pólskim	pʊlskʲim
wuchu	uxu
módra	mʊdra
rozgranjaś	rɔzɡranʲaɕ
budyšyn	budɨʃɨn
grob	ɡrɔp
droby	drɔbɨ
póram	pɛram
kokot	kɔkɔt
njejstej	nʲɛjstɛj
piłam	pʲiwam
njejsu	nʲɛjsu
jašćeŕ	jaɕt͡ɕɛrʲ
wóno	wʊnɔ
jarem	jarɛm
lubjej	lubʲɛj
njekśě	nʲɛkɕɪ
kócor	kʊt͡sɔr
kukawa	kukawa
tase	tasɛ
kanuna	kanuna
drapaś	drapaɕ
mórzgi	mɨrzɡʲi
jajce	jajt͡sɛ
nocy	nɔt͡sɨ
čaj	t͡ʃaj
kenž	kʲɛnʃ
źoš	ʑɔʃ
zuku	zuku
chóśebuski	xɛɕɛbuskʲi
słomkach	swɔmkax
śichy	ɕixɨ
toporišćo	tɔpɔrʲiɕt͡ɕɔ
kanu	kanu
wósk	wɨsk
chórgoj	xɛrɡɔj
zemi	zɛmʲi
wence	wɛnt͡sɛ
pónjeźele	pɛnʲɛʑɛlɛ
spódobaś	spʊdɔbaɕ
jasnych	jasnɨx
chórem	xʊrɛm
jebany	jɛbanɨ
wutšobnje	ut͡ʃɔbnʲɛ
móžoš	mʊʒɔʃ
góle	ɡɛlɛ
ceło	t͡sɛwɔ
włos	wɔs
pit	pʲit
mólu	mɛlu
miła	mʲiwa
mack	mat͡sk
šyś	ʃɨɕ
škóra	ʃkɛra
ruda	ruda
kjałbasa	kʲawbasa
spaštej	spaʃtɛj
nogi	nɔɡʲi
kněžna	knʲɪʒna
běch	bʲɪx
ze	zɛ
ježe	jɛʒɛ
pśěźo	pɕɪʑɔ
swója	swɛja
soli	sɔli
mógła	mɨɡwa
zgnity	zɡnʲitɨ
kuru	kuru
sćo	st͡ɕɔ
faru	faru
wobwócyjo	ɔbwʊt͡sɨjɔ
albanarka	albanarka
nejgóršy	nɛjɡʊrʃɨ
móžoš	mɨʒɔʃ
niskich	nʲiskʲix
žurnalistka	ʒurnalistka
awto	awtɔ
wódkow	wʊtkɔw
póli	pɛli
góry	ɡɛrɨ
byłej	bɨwej
gusta	ɡusta
estniska	ɛstnʲiska
kócor	kɛt͡sɔr
śpa	ɕpa
sobota	sɔbɛta
terasa	tɛrasa
mjasec	mʲasɛt͡s
bcha	pxa
sakska	sakska
šwicaŕska	ɕvʲit͡sarʲska
wózu	wʊzu
górach	ɡɛrax
kózyrožk	kɨzɨroʃk
broda	brɔda
głogu	ɡwɔɡu
gnida	ɡnʲida
buź	buɕ
wódkow	wɛtkɔw
pjenjeze	pʲɛnʲɛzɛ
póla	pɛla
gowjedo	ɡɔjɛdɔ
inženjerka	inʒɛnʲɛrka
jasny	jasnɨ
miłego	mʲiwɛɡɔ
bejach	bɛjax
slězy	slɪzɨ
cyniśo	t͡sɨnʲiɕɔ
taska	taska
stwórtk	stwɛrtk
gózdźe	ɡʊzd͡ʑɛ
mógu	mɨɡu
zemiskam	zɛmʲiskam
łopatka	wɔpatka
móžotej	mʊʒɔtɛj
marchwje	marxjɛ
brošma	brɔʃma
brjoze	brʲɔzɛ
wólša	wʊlʃa
česka	tʃɛska
bratš	bratʃ
fary	farɨ
kósć	kʊst͡ɕ
stilistika	stʲilistʲika
kale	kalɛ
casa	t͡sasa
złotej	zwɔtɛj
kmótš	kmʊt͡ʃ
město	mʲɪstɔ
móžo	mʊʒɔ
rjobro	rʲɔbrɔ
licho	lixɔ
wuměrał	umʲɪraw
žywjenje	ʒɨvʲɛnʲɛ
proga	prɔɡa
kórjeń	kɛrʲɛnʲ
bósy	bɛsɨ
palach	palax
gósći	ɡɨst͡ɕi
kólaso	kɨlasɔ
ceji	t͡sɛji
pla	pla
dym	dɨm
gowjedo	ɡɔvʲɛdɔ
joli	jɔli
teju	tɛju
zuka	zuka
pśijaśel	pɕijaɕel
wóni	wɨnʲi
wósach	wɨsax
gólc	ɡɨlt͡s
pusty	pustɨ
cynim	t͡sɨnʲim
rudawy	rudawɨ
pówětš	pʊvʲɪt͡ʃ
kózoł	kɨzow
za	za
knigły	knʲiɡwɨ
bójał	bɛjaw
pśigótujo	pɕiɡɛtujɔ
skóro	skɛrɔ
pśěsć	pɕɪst͡ɕ
pónjeźele	pʊnʲɛʑɛlɛ
wódkach	wɛtkax
słodki	swɔtkʲi
nagimi	naɡʲimʲi
dawny	dawnɨ
woko	ɔkɔ
guba	ɡuba
babce	bapt͡sɛ
rakach	rakax
póram	pʊram
lutem	lutɛm
lěkaŕ	lɪkarʲ
jěźecy	jɪʑɛt͡sɨ
syna	sɨna
wót	wɨt
źomej	ʑɔmɛj
wjasele	jasɛlɛ
śěsny	ɕɪsnɨ
caple	t͡saplɛ
nož	nɔʃ
du	du
grobje	ɡrɔbʲɛ
prozny	prɔznɨ
drježdźany	drʲɛʑdʑanɨ
inženjer	inʒɛnʲɛr
palce	palt͡sɛ
słomka	swɔmka
kśidło	kɕidwɔ
teke	tɛkʲɛ
lutu	lutu
brod	brɔt
socha	sɔxa
bydlim	bɨdlim
starjejšej	starʲɛjʃɛj
pyto	pɨtɔ
dług	dwuk
gósći	ɡʊst͡ɕi
žona	ʒɔna
jatšy	jat͡ʃɨ
myš	mɨʃ
wjasoły	jasɔwɨ
mógli	mɛɡli
kórjeń	kɨrʲɛnʲ
kósu	kɨsu
cyni	t͡sɨnʲi
gdyby	dɨbɨ
źaržaś	ʑarʒaɕ
chudy	xudɨ
rado	radɔ
wódka	wɛtka
jogurt	jɔɡurt
dobrymi	dɔbrɨmʲi
wałtora	wawtɔra
komar	kɔmar
wósoba	wɨsɔba
jeb	jɛp
bom	bɔm
jeglicka	jɛɡlit͡ska
nose	nɔsɛ
b́edro	bʲɛdrɔ
gibanje	ɡʲibanʲɛ
běšćo	bʲɪɕt͡ɕɔ
kósu	kɛsu
pyrje	pɨrʲɛ
kónju	kɛnʲu
ně	nʲɪ
chórych	xɨrɨx
noga	nɔɡa
njejźomej	nʲɛjʑɔmɛj
danu	danu
móst	mɛst
stadło	stadwɔ
klěś	klɪɕ
jeba	jɛba
sec	sɛt͡s
kśiwy	kɕiwɨ
kóń	kʊnʲ
lězć	lɪst͡ɕ
chóry	xʊrɨ
dobrym	dɔbrɨm
chóśebuski	xɨɕɛbuskʲi
wódy	wɛdɨ
gótowy	ɡʊtɔwɨ
górjejce	ɡɛrʲɛjt͡sɛ
fabriki	fabrʲikʲi
bósy	bʊsɨ
pata	pata
chórobny	xɛrɔbnɨ
lista	lista
nejgóršy	nɛjɡɛrʃɨ
padali	padali
garba	ɡarba
comu	t͡sɔmu
pód	pʊt
albanaŕ	albanarʲ
měŕ	mʲɪrʲ
pětka	pʲɪtka
wobjedowali	ɔbʲɛdɔwali
putam	putam
mamy	mamɨ
bjerještej	bʲɛrʲɛʃtɛj
sedło	sɛdwɔ
lěpšy	lɪpʃɨ
kurami	kuramʲi
rybce	rɨpt͡sɛ
chóśebuza	xɨɕɛbuza
wódajśo	wɨdajɕɔ
palica	palit͡sa
pališ	paliʃ
pód	pɨt
nima	nʲima
cynitej	t͡sɨnʲitej
wjelgin	jɛlɡʲin
źom	ʑɔm
kóńck	kɨnʲtsk
syto	sɨtɔ
wónej	wʊnɛj
gjarb	ɡʲarp
pśez	pɕɛs
pale	palɛ
žyto	ʒɨtɔ
źowćo	ʑowtɕɔ
měto	mʲɪtɔ
chórgoj	xɨrɡɔj
pětk	pʲɪtk
góry	ɡɨrɨ
psa	psa
gósćeńc	ɡʊst͡ɕɛnʲt͡s
prědny	prʲɪdnɨ
witali	vʲitali
we	wɛ
ból	bʊl
banana	banana
póraś	pʊraɕ
móžotej	mɛʒɔtɛj
spitej	spʲitɛj
taktika	taktʲika
kake	kakʲɛ
pěta	pʲɪta
dłujki	dwujkʲi
mól	mɨl
zgórjelc	zɡʊrʲɛlt͡s
strow	strow
gózdź	ɡʊst͡ɕ
kśěś	kɕɪɕ
wjacor	jat͡sɔr
rodam	rɔdam
wó	wɛ
góra	ɡɨra
guste	ɡustɛ
spódobaś	spɨdɔbaɕ
źěsna	ʑɪsna
kofer	kɔfɛr
witśe	vʲit͡ɕɛ
droga	drɔwɡa
pjelniś	pʲɛlnʲiɕ
kněni	knʲɪnʲi
wóna	wɛna
góra	ɡʊra
wóse	wɨsɛ
lipaś	lipaɕ
powědański	povʲɪdanʲskʲi
módry	mʊdrɨ
rjemjeń	rʲɛmʲɛnʲ
kósu	kʊsu
snědanje	snʲɪdanʲɛ
mamu	mamu
módra	mɛdra
skóńcowaś	skɛnʲt͡sɔwaɕ
tšawa	t͡ʃawa
swójej	swɛjɛj
napšawo	napʃawɔ
bjerješo	bʲɛrʲɛʃɔ
kobru	kɔbru
bóleś	bʊlɛɕ
garona	ɡarɔna
tłocym	twɔt͡sɨm
góńtwowaś	ɡʊnʲtwowaɕ
groni	ɡrɔnʲi
puta	puta
pó	pɛ
cele	t͡sɛlɛ
kócor	kɨt͡sɔr
škórc	ʃkʊrt͡s
góru	ɡɛru
pjelch	pʲɛlx
móžom	mʊʒɔm
tasa	tasa
wušam	uʃam
zasejwiźenje	zasɛjvʲiʑɛnʲɛ
młode	mwɔdɛ
jazor	jazɔr
kósam	kʊsam
droge	drɔɡʲɛ
miłej	mʲiwej
złotymi	zwɔtɨmʲi
móžotej	mɨʒɔtɛj
njeźela	nʲɛʑɛla
nalěwo	nalɪwɔ
stil	stʲil
paw	paw
wósowu	wʊsɔwu
wódajśo	wɛdajɕɔ
bit	bʲit
bogaty	bɔɡatɨ
chrust	xrust
powěźeś	pɔjɪʑeɕ
tkałej	tkawɛj
slěwka	slɪwka
twarda	twarda
abo	abɔ
spóra	spɛra
spódobaś	spɛdɔbaɕ
wósoma	wɛsɔma
chórowni	xʊrownʲi
pławiś	pwavʲiɕ
chto	xtɔ
kśě	kɕɪ
marchwje	marxvʲɛ
piły	pʲiwɨ
dejał	dɛjaw
dirigentka	dʲirʲiɡʲɛntka
rza	rza
muli	muli
jastśeb	jast͡ɕɛp
pług	pwuk
góla	ɡɛla
terase	tɛrasɛ
pó	pɨ
wobjedował	ɔbʲɛdɔwaw
bósučki	bɛsut͡ʃki
górami	ɡɛramɨ
bliskich	bliskʲix
słodkich	swɔtkʲix
myt	mɨt
pólskich	pɨlskʲix
macki	mat͡skʲi
měso	mʲɪsɔ
wódki	wɨtkʲi
grobach	ɡrɔbax
wótmólowaś	wɨtmɨlɔwaɕ
dub	dup
cesto	t͡sɛstɔ
nas	nas
deriś	dɛrʲiɕ
šery	ʃɛrɨ
górami	ɡʊramɨ
njetopyŕ	nʲɛtɔpɨrʲ
fanfara	fanfara
je	jɛ
góršy	ɡɛrʃɨ
pšosyś	pʃɔsɨɕ
wórjech	wɛrʲɛx
prama	prama
móžomej	mʊʒɔmɛj
danki	dankʲi
wogeń	ɔɡʲɛnʲ
pódla	pɨdla
wobwóco	ɔbwɛt͡sɔ
žołź	ʒɔwɕ
měź	mʲɪɕ
ceja	t͡sɛja
pětkoma	pʲɪtkɔma
buźtej	buɕtɛj
boma	bɔma
mackom	mat͡skɔm
wón	wɛn
deri	dɛrʲi
móžomy	mʊʒɔmɨ
kusam	kusam
pśechójźowaś	pɕɛxɛjʑɔwaɕ
muže	muʒɛ
sena	sɛna
kuram	kuram
měrje	mʲɪrʲɛ
bóleś	bɛlɛɕ
dobrych	dɔbrɨx
wódka	wʊtka
dyma	dɨma
swětki	svʲɪtkʲi
wrjeśeno	rʲɛɕɛnɔ
banki	bankʲi
hyś	ɨɕ
nokś	nɔkɕ
jěza	jɪza
rdžaś	rd͡ʒaɕ
bjachaŕ	bʲaxarʲ
měrim	mʲɪrʲim
wóna	wʊna
familija	famʲilʲija
mackach	mat͡skax
brodami	brɔdamʲi
jědro	jɪdrɔ
kšupa	kʃupa
bóleł	bʊlɛw
górka	ɡɨrka
palca	palt͡sa
wódce	wɨtt͡sɛ
tapeta	tapɛta
jěźechu	jɪʑɛçu
twarjenje	twarʲɛnʲɛ
rogam	rɔɡam
skót	skʊt
łoski	wɔskʲi
gózdźe	ɡɛzd͡ʑɛ
pětkami	pʲɪtkamʲi
starej	starɛj
jěźenje	jɪʑɛnʲɛ
buźom	buʑɔm
mólam	mɛlam
wobwóco	ɔbwɨt͡sɔ
mjac	mʲat͡s
pólka	pʊlka
rady	radɨ
wšake	ʃakʲɛ
wul	ul
wódajtej	wɨdajtɛj
wumrěł	umrʲɪw
błota	bwɔta
nejgóršy	nɛjɡɨrʃɨ
how	ɔw
lažčejšy	laʃt͡ʃɛjʃɨ
kórjeń	kʊrʲɛnʲ
wósoł	wɛsɔw
muce	mut͡sɛ
wósoma	wɨsɔma
jogo	jɔɡɔ
pódomk	pʊdɔmk
kócka	kɛt͡ska
bydlit	bɨdlit
móct	mʊt͡st
blisko	bliskɔ
pórat	pɨrat
kóńc	kɨnʲt͡s
glědaś	ɡlʲɪdaɕ
pólska	pʊlska
pawk	pawk
chóśebuza	xʊɕɛbuza
pólack	pɨlat͡sk
dobrem	dɔbrɛm
wobwócyjo	ɔbwɛt͡sɨjɔ
pite	pʲitɛ
cut	t͡sut
krida	krʲida
měch	mʲɪx
stej	stɛj
pólu	pɛlu
gózdźa	ɡɨzd͡ʑa
gód	ɡɛt
błoto	bwɔtɔ
dla	dla
łoje	wɔjɛ
wósowu	wɛsɔwu
wótergi	wʊtɛrɡʲi
ruka	ruka
bjerjomej	bʲɛrʲɔmɛj
pólskimi	pɛlskʲimʲi
kmótš	kmɨt͡ʃ
wucho	uxɔ
groba	ɡrɔba
śele	ɕɛlɛ
pusta	pusta
park	park
pase	pasɛ
domy	dɔmɨ
miłe	mʲiwɛ
pólskimi	pʊlskʲimʲi
twója	twɛja
bramborska	brambɔrska
pód	pɛt
piś	pʲiɕ
zgórjelc	zɡɨrʲɛlt͡s
łoskich	wɔskʲix
chórowni	xɨrownʲi
prězy	prʲɪzɨ
kakawa	kakawa
stojaś	stɔjaɕ
pśi	pɕi
woblico	ɔblit͡sɔ
rjeśaz	rʲɛɕas
spane	spanɛ
wódkami	wʊtkamʲi
ryzy	rɨzɨ
kapu	kapu
złotego	zwɔtɛɡo
žorawa	ʒɔrawa
bóli	bɨli
cas	t͡sas
zub	zup
škobrjonk	ʃkɔbrʲɔŋk
wósam	wɨsam
wuměra	umʲɪra
popjeł	pɔpʲɛw
cukor	t͡sukɔr
wósow	wʊsɔw
lute	lutɛ
měki	mʲɪkʲi
brjuch	brʲux
pile	pʲilɛ
grody	ɡrɔdɨ
rědne	rʲɪdnɛ
kóńck	kʊnʲtsk
wódkami	wɛtkamʲi
kótary	kɨtarɨ
wuž	uʃ
kśemjeń	kɕɛmʲɛnʲ
miłymi	mʲiwɨmʲi
syrotny	sɨrɔtnɨ
pónjeźela	pʊnʲɛʑɛla
rod	rɔt
kim	kʲim
žyś	ʒɨɕ
charta	xarta
kał	kaw
śamny	ɕamnɨ
śěgnuś	ɕɪɡnuɕ
taski	taskʲi
wjacor	vʲat͡sɔr
kmótš	kmɛt͡ʃ
pity	pʲitɨ
módle	mɨdlɛ
łojś	wɔjɕ
lěwy	lɪwɨ
zeleny	zɛlɛnɨ
wósa	wɨsa
klěšće	klɪɕt͡ɕɛ
sejźeś	sɛjʑɛɕ
mulu	mulu
jaden	jadɛn
póraś	pɨraɕ
górach	ɡʊrax
móle	mɛlɛ
cerw	t͡sɛrf
kóńc	kʊnʲt͡s
módre	mʊdrɛ
jěźony	jɪʑɔnɨ
móli	mɛli
rěc	rʲɪt͡s
pěsć	pʲɪst͡ɕ
kanja	kanʲa
grobom	ɡrɔbɔm
bóli	bɛli
wótmólowany	wɨtmɨlɔwanɨ
mula	mula
śěsto	ɕɪstɔ
tak	tak
tasku	tasku
mapje	mapʲɛ
wótergi	wɨtɛrɡʲi
brodu	brɔdu
pólske	pʊlskʲɛ
chóśebuz	xɛɕɛbus
droba	drɔba
kšyśe	kʃɨɕɛ
kokoš	kɔkɔʃ
ryt	rɨt
gósć	ɡʊst͡ɕ
sup	sup
rodom	rɔdɔm
złota	zwɔta
mej	mɛj
pólach	pɛlax
kóń	kɨnʲ
pśědu	pɕɪdu
bydlił	bɨdliw
kótary	kʊtarɨ
mězga	mʲɪzɡa
górka	ɡʊrka
wobwóco	ɔbwʊt͡sɔ
brony	brɔnɨ
masle	maslɛ
roju	rɔja
ból	bɨl
pětku	pʲɪtku
mógł	mʊk
gano	ɡanɔ
mólach	mʊlax
