math	maθ
adfét	aðfʲeːd
súile	suːlʲe
aderrius	aðer͈ʲiu̯s
itius	idʲiu̯s
ben	bʲen
adfíadam	aðfʲiːa̯ðəṽ
boí	boːi̯
claidid	klaðʲiðʲ
gaiscedach	ɡasʲkʲeðax
muccfoil	mukolʲ
gabor	ɡavor
domoiniur	domonʲur
léic	l͈ʲeːɡʲ
goirt	ɡor͈ʲtʲ
phóca	foːɡa
theine	θʲenʲe
arna	ar͈n͈a
fissi	fʲisʲi
asbera	asbʲera
subach	suvax
én	eːn
robá	robaː
nobcarad	n͈ovkarað
caille	kal͈ʲe
dath	daθ
fulang	fuləŋɡ
gae	ɡai̯
atgairith	adɣarʲiðʲ
suí	sui̯
beirid	bʲerʲiðʲ
comflaithius	koṽlaθʲus
ilar	ilər
il	il
rígdae	r͈ʲiːɣðe
attá	attaː
días	dʲia̯s
abissiu	avʲisʲu
fáth	faːθ
rún	r͈uːn
gessi	ɡʲesʲi
ed	eð
aicher	axʲer
déni	dʲeːni
corcur	korkur
canaid	kaniðʲ
imned	imʲnʲeð
immefolnged	imʲeolʲŋʲeð
goídel	ɡoːi̯ðʲel
mún	muːn
ainmm	anʲmʲ
gobr	ɡɔbr
etarscara	edarskara
hulltu	ul͈tu
fogur	foɣur
étig	eːdʲəɣʲ
trisgata	tr͈isɡada
daim	daṽʲ
camma	kama
chomsuidigud	xoṽhuðʲiɣuð
fessin	fʲesʲinʲ
ndodcadchai	n͈doðɡaðxi
atomriug	adoṽrʲiu̯ɣ
crott	krot
indarbanar	in͈darbanar
mbréthre	mʲbʲrʲeːθʲrʲe
bad	bað
dúib	duːvʲ
nachamindarbanar	n͈axaṽin͈darvanar
bí	bʲiː
beca	bʲeɡa
cene	kʲene
athchumtach	aθxuṽdax
techtaid	tʲextiðʲ
trícho	tʲrʲiːxo
friu	fʲrʲiu̯
carae	kare
phersan	fʲer͈san
foillsigthir	fol͈sʲiɣʲθʲirʲ
senátoir	sʲenaːdorʲ
tussu	tusu
thig	θʲiɣʲ
derc	dʲerk
macthi	makθi
déde	dʲeːðʲe
adrad	aðrað
eter	edʲer
fuilech	fulʲex
bregda	bʲrʲeɣða
accrannaib	akran͈ivʲ
techtai	tʲexti
ícc	iːk
bíuu	bʲiːu̯
ara	ara
dia	dʲia
cóecatmad	koːi̯ɡadṽað
cridiu	kʲrʲiðʲu
aithirge	aθʲərʲɣʲe
caích	kaːi̯xʲ
ard	ar͈d
uraid	urəðʲ
téiged	tʲeːɣʲeð
ferr	fʲer͈
fuchertat	fuxʲer͈dad
ágathar	aːɣaθar
espáin	espʲaːnʲ
fini	fʲinʲi
oínur	oːi̯nur
adcladat	aðklaðad
clú	kluː
étatais	eːdadisʲ
chenn	xʲen͈
fortgide	for͈ʲtʲɣʲiðʲe
moth	moθ
fuirib	furʲivʲ
fri	fʲrʲi
íasc	iːa̯sk
na	n͈a
toschith	tosʲxʲiθʲ
tír	tʲiːr
berr	bʲer͈
robartae	r͈ovərte
torad	torað
dílgend	dʲiːlʲɣʲən͈d
chon	xon
chumachtae	xuṽaxte
triunni	tʲrʲiu̯n͈ʲi
fén	fʲeːn
bás	baːs
marbaid	marviðʲ
tabur	tavur
abla	avla
adcotat	aðkodad
adraid	aðrəðʲ
dungní	duŋʲnʲiː
aingel	aŋʲɡʲel
ailid	alʲiðʲ
caín	kai̯nʲ
intísiu	in͈ʲtʲiːsʲiu̯
brig	bʲrʲiɣʲ
aball	aval͈
atcomla	adɡoṽla
attaí	attaːi̯
éta	eːda
traig	traɣʲ
congair	konɡarʲ
bendacht	bʲen͈daxt
foloing	fol͈oŋʲɡʲ
úair	uːa̯rʲ
tigiu	tʲiɣʲiu̯
bun	bun
ditaam	dʲitaaṽ
adruchoisséni	aðruxosʲeːnʲi
gel	ɡʲel
maicc	makʲ
bráge	br͈aːɣe
adrograd	aðr͈oɣrað
lorg	l͈orɡ
mag	maɣ
notbeir	n͈otvʲerʲ
teg	tʲeɣ
adcosnat	aðkosnad
chois	xosʲ
circ	kʲirʲkʲ
muilt	mul͈ʲtʲ
béo	bʲeːu̯
frecor	fʲrʲeɡur
robatar	rovadar
tórmach	toːrṽəx
arpeti	arpʲedʲi
tarb	tarv
carad	karað
foilsigidir	fol͈ʲsʲiɣʲiðʲirʲ
mér	mʲeːr
seichithir	sʲexʲiθʲirʲ
mára	maːra
immcomairc	imkoṽərʲkʲ
chroich	xroxʲ
lie	l͈ʲie
fiach	fʲiəx
comsuidigthi	koṽhuðʲiɣʲθʲi
úan	uːa̯n
teglach	tʲeɣlax
adgládathar	aðɡlaːðaθar
altae	al͈te
dermat	dʲerməd
gili	ɡʲilʲi
cammu	kamu
dúna	duːna
árim	aːrimʲ
fet	fʲed
asbertis	asbʲer͈ʲdʲisʲ
tanae	tane
ól	oːl
ata	ataː
donn	don͈
tóbae	toːve
cloud	kl͈ouð
ararethi	ararʲeθʲi
moirtchenn	mor͈ʲtʲxʲen͈
díummusach	dʲiːu̯musax
lotar	l͈odar
célide	kʲeːlʲiðʲe
lethan	l͈ʲeθan
rige	r͈ʲiɣʲe
glór	ɡloːr
fetarlicc	fʲedar͈l͈iɡʲ
chuintechti	xun͈ʲtʲexti
saidid	saðʲiðʲ
aicsin	akʲsʲinʲ
adcobraim	aðkovrimʲ
amrae	aṽre
adamrigther	aðaṽriɣʲθʲer
deacht	dʲeaxt
adchí	aðxʲiː
cnú	knuː
adcichitis	aðkʲixʲidʲisʲ
adcotate	aðkodade
étaste	eːdaste
áigsetar	aːɣʲsʲedar
áigthiu	aːɣʲθʲu
im	imʲ
foir	forʲ
iach	iax
aithne	aθʲnʲe
déu	dʲeːu̯
conboing	konboŋʲ
altram	al͈tram
oll	ol͈
dolega	dol͈ʲeɣa
congbál	koŋɡvaːl
torud	toruð
brisis	bʲrʲisʲisʲ
suidiu	suðʲu
atrobair	adrovirʲ
bid	bʲiðʲ
conn	kon͈
glinne	ɡʲlʲin͈ʲe
imbide	imʲbʲiðʲe
cétal	kʲeːtəl
dogní	doɡʲnʲiː
festa	fʲesta
congaib	konɡavʲ
són	soːn
atbeirmis	advʲerʲmʲisʲ
mug	muɣ
finn	fʲin͈
cnocc	knok
amail	aṽilʲ
frisbrudi	fʲrʲisbruðʲi
aní	an͈ʲiː
nipi	n͈ʲibʲi
beothu	bʲeu̯θu
leth	l͈ʲeθ
éc	eːɡ
fochell	foxʲəl͈
eirbthi	erʲbʲθʲi
bic	bʲiɡʲ
focerdam	fokʲer͈daṽ
sroigell	sroɣʲel͈
fine	fʲinʲe
daltae	dal͈te
lus	l͈us
frescisiu	fʲr͈ʲesʲkʲəsʲu
accastar	akastar
tarm	tarm
chath	xaθ
suth	suθ
conchobair	konxovirʲ
gaimred	ɡʲaṽʲrʲəð
níp	n͈ʲiːb
cétnae	kʲeːdn͈e
arsissedar	arsʲisʲəðər
medc	mʲeðɡ
dorolgea	dor͈olʲɣʲa
adgúisiu	aðɡuːsʲu
fodmat	foðṽad
coitsecht	kotʲsʲəxt
hóre	oːrʲe
aite	adʲe
cenna	kʲen͈a
ásaid	aːsəðʲ
claidiub	klaðʲuv
indaithirset	in͈daθʲirsʲed
dídnad	diːðnəð
tíagat	tʲiːa̯ɣad
bith	bʲiθ
bróc	broːɡ
indráigne	in͈draːɣʲnʲe
sechmall	sʲexmal͈
aingil	anʲɣʲilʲ
etti	etʲi
téit	tʲeːdʲ
slóig	sl͈oːɣʲ
adchotar	aðxodar
forc	fork
nech	n͈ʲex
adcomaltar	aðkoṽal͈tar
domun	doṽun
balba	balva
trá	traː
lour	l͈our
cách	kaːx
dogníu	doɡʲnʲiːu̯
long	l͈oŋɡ
legas	l͈eɣas
daimid	daṽʲiðʲ
clár	klaːr
móra	moːra
étach	eːdax
óc	oːɡ
tan	tan
cimbid	kʲimʲbʲiðʲ
m'	mʲ
écsamail	eːɡsaṽilʲ
doinfet	doinʲfʲədʲ
dét	dʲeːd
indárban	in͈daːrban
bocht	boxt
adchotate	aðxodade
ruis	r͈usʲ
táncatar	taːŋɡadar
cid	kʲið
múr	muːr
slíab	sʲl͈ʲiːa̯v
derucc	dʲeruk
nudubfeil	n͈uduvfʲelʲ
ingen	inʲɣʲen
arsaid	ar͈siðʲ
ingnae	iŋɣne
rega	r͈ʲeɣa
irlam	œrl͈əṽ
rocluinethar	roklunʲeθar
doirseo	dor͈ʲsʲo
saigid	saɣʲəðʲ
fér	fʲeːr
ain	anʲ
dorat	dor͈ad
choscur	xoskur
marcach	markax
gataid	ɡadəðʲ
líth	l͈ʲiːθ
apstal	abstal
boin	bonʲ
muinteras	mun͈ʲtʲeras
indocbál	in͈doɡvaːl
tengae	tʲeŋɡe
múinid	muːnʲiðʲ
íarn	iːa̯rn
cíall	kʲiːa̯l͈
ler	l͈ʲer
cóem	koːi̯ṽ
scriptuir	sʲkʲrʲiptuːrʲ
comthururas	koṽθururas
dían	dʲiːən
sercach	sʲerkax
nondad	n͈on͈dað
mbat	mbad
bedgach	bʲeðɡax
chenél	kʲenʲeːl
tlacht	tlaxt
chaire	xarʲe
seirc	sʲerʲkʲ
cétmad	kʲeːdṽað
colnide	kol͈n͈iðʲe
aeir	aerʲ
ága	aːɣa
ella	elːa
orcaid	orɡiðʲ
adgairid	aðɡarʲiðʲ
adfíadar	aðiːa̯ðar
addaim	aðdaṽʲ
ass	as
taat	taad
assu	asu
epur	ebur
cetabí	kʲedabiː
adora	aðora
ilardatu	ilarðadu
fercaigthe	fʲerɡiɣʲθʲe
toísech	toːi̯sʲəx
lín	l͈ʲiːn
láine	l͈aːnʲe
créchtnaigid	kʲr͈ʲeːxdnəɣʲəðʲ
tuit	tutʲ
chen	çen
aingil	aŋʲɡʲilʲ
cin	kʲin
adaill	aðal͈ʲ
fortgidiu	for͈ʲtʲɣʲiðʲu
comalnad	koṽal͈n͈að
arnap	ar͈n͈ab
odb	oðb
cuintechtai	kun͈ʲtʲexti
bat	bad
doír	doːi̯rʲ
samlaid	saṽliðʲ
ainmnit	anʲmʲnʲidʲ
marc	mark
étaigidir	eːdiɣʲiðʲirʲ
agad	aɣəð
tech	tʲex
adceithe	aðkʲeθʲe
áss	aːs
ful	ful
adcosantae	aðkosan͈te
fuar	fuər
aicci	akʲi
lige	l͈ʲiɣʲe
dligid	dʲlʲiɣʲiðʲ
guidid	ɡuðʲiðʲ
anme	anme
persan	pʲer͈san
ranngabálae	r͈an͈ɣavaːle
nach	n͈ax
magistru	maɣʲistru
cía	kʲiːa̯
sáer	saːi̯r
tosach	tosax
petur	pʲedur
beich	bʲexʲ
linn	l͈ʲin͈ʲ
doruimnethar	dorumʲnʲəθər
dugnéu	duɡʲnʲeːu̯
doscara	doskara
dígail	dʲiːɣilʲ
lomm	l͈om
dechmad	dʲexṽað
dorus	dorus
sáil	saːlʲ
adcotadsam	aðkodaðsaṽ
temel	tʲeṽʲel
chenna	xʲen͈a
boladmar	bolaðṽar
aracotar	arakodar
mescaid	mʲeskiðʲ
ansam	an͈saṽ
seinnid	sʲen͈ʲəðʲ
didiu	dʲiðʲiu̯
téis	tʲeːsʲ
formuinethar	formunʲeθar
lepaid	l͈ʲebiðʲ
ibid	ivʲiðʲ
machthad	maxθað
mí	mʲiː
allas	al͈as
la	la
focertar	fokʲerdar
anim	anʲim
conchobar	konxovar
tosuch	tosux
feraid	fʲeriðʲ
arfen	arfʲen
caurad	kau̯rað
adgén	aðɡʲeːn
gilu	ɡʲilu
inse	in͈se
arrosfí	ar͈osfʲiː
máthar	maːθar
tír	tʲiːrʲ
ap	ab
og	oɣ
cóiced	koːɡʲeð
síd	sʲiːð
mucca	muka
ernaid	er͈n͈iðʲ
fodaraithminedar	fodar͈aθʲmʲinʲeðar
dóer	doːi̯r
ésom	eːsom
blíadain	bʲlʲiːa̯ðinʲ
séta	sʲeːda
cumachtae	kuṽaxte
sissi	sʲisʲi
commant	komən͈d
laí	l͈aːi̯
líath	l͈ʲiːa̯θ
atbaill	adval͈ʲ
slicht	sʲl͈ʲixt
rúin	r͈uːnʲ
doté	dotʲeː
aithirset	aθʲirsʲed
nodafortachtaigedar	n͈oðafor͈taxtiɣʲeðar
chríst	xʲrʲiːsʲtʲ
adcobrai	aðkovri
ungae	uŋɡe
ícc	iːkʲ
gé	ɡʲeː
coím	koːi̯v
buide	buðʲe
erelca	erʲəlka
aicned	aɡʲnʲeð
adrochomolta	aðroxoṽol͈ta
daingen	daŋʲɡʲen
thír	θʲiːɾʲ
chirce	xʲirʲkʲe
meirle	mʲerlʲe
bero	bʲero
chosmailius	xosṽilʲus
thoísegu	θoːi̯sʲeɣu
aicsenaib	akʲsʲenivʲ
coimdiu	koṽʲðʲu
molaidir	moliðʲirʲ
glenn	ɡʲlʲen͈
olchenae	olxʲene
tig	tʲiɣʲ
buidi	buðʲi
derg	dʲerɡ
nommoídim	n͈oṽṽoːi̯ðʲimʲ
écht	eːxt
molad	molað
noí	n͈oːi̯
aithchi	aθʲxʲi
ngrád	ŋɡraːð
sirid	sʲirʲið
estar	estar
forsa	for͈sa
temair	tʲeṽərʲ
asberaid	asbʲeriðʲ
airde	ar͈ʲdʲe
dligud	dʲlʲiɣuð
contúaisi	kontua̯sʲi
bruthmar	bruθṽar
ainder	an͈ʲdʲər
glúin	ɡluːnʲ
íarum	iːa̯ruṽ
chrud	xruð
nem	n͈ʲeṽ
inducbaide	in͈duɡviðʲe
dofúaid	dofuːa̯ðʲ
mucc	muk
brao	braːu̯
túsu	tuːsu
doesta	doesta
bíada	bʲiːa̯ða
coíca	koːi̯ɡa
dagníu	daɣʲnʲiːu̯
tál	t̪ˠɑːlˠ
slisne	sʲl͈ʲisʲn͈ⁿe
and	an͈d
epaid	œbəðʲ
áigetar	aːɣʲedar
loingthech	l͈oŋʲɡʲθʲex
asgleinn	asɡʲl͈ʲen͈ʲ
adágur	aðaːɣur
scél	sʲkʲeːl
adamraigther	aðaṽriɣʲθʲer
ecguisti	eɡusʲtʲi
anse	an͈se
foirmtech	forʲmʲdʲex
achair	axərʲ
maidid	maðʲiðʲ
diandaithirsid	dʲiːa̯n͈daθʲirsʲiðʲ
étis	eːdʲisʲ
tánaisi	taːnisʲi
toga	toɣa
macc	mak
garait	ɡarədʲ
derbráthair	dʲerbraːθirʲ
conrig	konr͈ʲiɣʲ
críst	kʲrʲiːst
ísin	iːsʲinʲ
charae	xare
regad	r͈ʲeɣað
adcíther	aðkʲiːθer
adcobrat	aðkovrad
máel	maːi̯l
dich	dʲix
fedb	fʲeðv
méine	mʲeːnʲe
it	it
fáid	faːðʲ
doirse	dor͈ʲsʲe
chnámi	xnaːṽi
fíado	fʲia̯ðo
láiches	l͈aːi̯xʲəs
léir	l͈ʲeːrʲ
cumachtach	kuṽaxtax
doberam	dobʲeraṽ
dusclaid	dusklaðʲ
focerrad	fokʲer͈að
líathrit	l͈ʲiːa̯θriðʲ
donnchad	don͈xəð
ailte	ailʲtʲe
éisi	eːsʲi
coimded	koṽðʲeð
dúin	duːnʲ
rocoiscset	rokosʲkʲsʲed
fíni	fʲiːnʲi
uinnius	un͈ʲus
dá	daː
coscitir	kosʲkʲidʲirʲ
dogníthe	doɡʲnʲiːθʲe
tailtiu	talʲtʲu
féchem	fʲeːxʲəṽ
atacomla	adaɡoṽla
ildatu	il͈dadu
géc	ɡʲeːɡ
toirsech	tor͈ʲsʲex
dorigénsat	dor͈ʲiɣʲeːnsad
aicce	akʲe
méit	mʲeːdʲ
bili	bʲilʲi
doecmalla	doeɡməl͈a
cétnidetu	kʲeːdn͈iðʲe
géiss	ɡʲeːsʲ
asbeirmis	asbʲerʲmʲəsʲ
molt	mol͈t
catt	kat
conmesca	konmʲeska
glas	ɡlas
etarscartha	edarskarθa
nathracha	n͈aθraxa
frecrae	fʲrʲeɡre
arachrin	araxʲrʲinʲ
cullach	kul͈ax
corann	korən͈
robsa	r͈ovsa
brigit	bʲrʲiɣʲidʲ
athramlai	aθraṽli
rala	r͈ala
airisem	arʲəsʲəṽ
cér	kʲeːr
idib	iðʲivʲ
téchtu	tʲeːxtu
cnámai	knaːṽi
adchodados	aðxodaðos
bíad	bʲiːa̯ð
mruig	mruɣʲ
dothuit	dotutʲ
bés	bʲeːs
luchorp	l͈uxorb
abis	avʲis
beith	bʲeθʲ
conói	konoi̯
iris	irʲisʲ
solus	solus
iacób	iːa̯koːb
doaurchain	doœrxənʲ
intled	in͈ʲtʲlʲeð
erelc	erʲəlk
étaid	eːdiðʲ
coitchen	kotʲxʲen͈
serb	sʲerv
manainn	manin͈ʲ
aithirsid	aθʲirsʲiðʲ
glóir	ɡloːrʲ
ail	alʲ
accobri	akovri
beuch	bʲeu̯x
cit	kʲid
béim	bʲeːmʲ
legar	l͈ʲeɣar
dugníther	duɡʲnʲiːθʲer
cruim	kruṽʲ
dofil	dofil
gníid	ɡʲnʲiːiðʲ
múnigid	muːnʲiɣʲiðʲ
folt	fol͈t
pridches	pʲrʲiðʲxʲes
ndugníther	n͈duɡʲnʲiːθʲer
arcela	arkʲela
adopair	aðobirʲ
bís	bʲiːs
thol	θol
dea	dʲea
éicen	eːɡʲen
ísel	iːsʲel
druimm	drumʲ
atrab	atr͈əv
chapall	xapal͈
daumu	dau̯ṽu
apid	abiðʲ
iaich	iaxʲ
tiug	tʲiu̯ɣ
accomol	akuṽul
íar	iːa̯r
insamlathar	insaṽlaθar
slógu	sl͈oːɣu
doe	doe
bréc	bʲrʲeːɡ
feidm	fʲeðʲmʲ
metrapoil	mʲetrapolʲ
adclaid	aðklaðʲ
brithem	bʲrʲiθʲeṽ
classa	klasa
dofuthracair	dofuθr͈əkərʲ
labar	lavar
cói	koi̯
descipuil	dʲesʲkʲibulʲ
úadisi	uːa̯dʲisʲi
cland	klan͈d
focicher	fokʲixʲer
láitir	l͈aːdʲirʲ
rétglu	r͈eːdɣlu
aithgéuin	aθʲɣʲeːu̯nʲ
íss	iːs
accubur	akuvur
connachta	kon͈axta
gnímu	ɡʲnʲiːṽu
conmescatar	konmʲeskadar
maccidóndu	makʲiðoːn͈du
ette	etʲe
tair	tarʲ
mbeid	mʲbʲeðʲ
cathach	kaθax
biru	bʲiru
cosmailius	kosṽilʲus
boingid	boŋʲɡʲiðʲ
sóer	soːi̯r
acair	aɡirʲ
sabbait	sabidʲ
ciúin	kʲiːu̯nʲ
cummiscther	kumʲisʲkʲθʲer
coím	koːi̯vʲ
gnáthach	ɡnaːθax
focerdat	fokʲer͈dad
ditá	dʲitɑː
tost	tost
seichem	sʲexʲeṽ
bélib	bʲeːlivʲ
ferge	fʲerɡe
ág	aːɣ
niba	n͈ʲiva
rop	r͈ob
aithmet	aθʲṽʲed
céimm	kʲeːmʲ
caraid	kariðʲ
gláedach	ɡlaːi̯ðax
conéit	koneːdʲ
ráth	r͈aːθ
ndoirse	n͈dor͈ʲsʲe
agat	aɣad
fliuch	fʲlʲiu̯x
choirp	xorʲpʲ
muinethar	munʲeθar
uili	ulʲi
ceist	kʲesʲtʲ
bedg	bʲeðɡ
cáich	kaːxʲ
nocht	n͈oxt
guide	ɡuðʲe
ata	ada
robsat	r͈ovsad
brígmar	bʲrʲiːɣṽar
basa	basa
anmain	anminʲ
adcuaid	aðkuiðʲ
úathmar	uːa̯θṽar
bé	bʲeː
beires	bʲerʲes
cobais	kovəsʲ
mani	manʲi
thabairt	θavir͈ʲtʲ
leosom	lʲeu̯som
glenn	ɡʲlʲen͈ʲ
clúas	kluːa̯s
cáera	kaːi̯ra
margaid	marɡiðʲ
óenmad	oːi̯nṽað
focul	fokul
sodain	soðinʲ
ar	ar
gnáth	ɡnaːθ
capall	kapal͈
atchessa	adxʲɛsa
maissi	masʲi
céille	kʲeːl͈ʲe
adarcaib	aðarkivʲ
croich	kroxʲ
bratt	br͈at
caur	kau̯r
menmae	mʲenme
ball	bal͈
égept	eːɣʲept
benair	bʲenirʲ
techt	tʲext
indidit	in͈ʲdʲiðʲidʲ
é	eː
í	iː
grían	ɡʲrʲiːa̯n
sén	sʲeːn
sech	sʲex
eth	eθ
domoiniur	domunʲur
tóe	toːe
foilsigedar	fol͈sʲiɣʲeðar
slucait	sl͈uɡədʲ
sír	sʲiːr
móire	moːrʲe
molur	molur
imbe	imʲbʲe
scáth	skaːθ
adrími	aðr͈ʲiːṽʲi
sessam	sʲesaṽ
cridi	kʲrʲiðʲe
lóeg	l͈oːi̯ɣ
aidlignigitir	aðʲlʲiɡʲnʲiɣʲidʲirʲ
adamrae	aðaṽre
dalugub	dal͈uɣuv
gáeth	ɡaːi̯θ
mbíth	mʲbʲiːθʲ
dig	dʲiɣʲ
lud	l͈uð
robad	rovað
bethu	bʲeθu
noídiu	n͈oːi̯ðiu̯
accobra	akovra
airegdu	arʲeɣðu
adcess	aðkʲɛs
fogaib	foɡavʲ
uloth	uloθ
adcichlus	aðkʲixlus
adcosnainn	aðkosnin͈ʲ
asagú	asaɡuː
báid	baːðʲ
inunn	inun͈
etargne	edarɡne
léicid	l͈ʲeːɡʲiðʲ
díbirciud	diːvərʲɡʲud
cinn	kʲin͈ʲ
biad	bʲiað
dom	doṽ
buiden	buðʲen
ibar	ivər
rí	r͈ʲiː
mad	mað
airigther	arʲiɣʲθʲer
lim	lʲimʲ
dé	dʲeː
banscál	banskaːl
lachu	l͈axu
oínfer	oːi̯nʲer
té	tʲeː
cossa	kosa
ét	eːd
fuilide	fulʲiðʲe
cochall	koxal͈
torrach	tor͈ax
deug	dʲeu̯ɣ
lán	l͈aːn
pridcha	pʲrʲiðxa
snig	sʲn͈ʲiɣʲ
doeclainn	doeɡlən͈ʲ
cluinte	klun͈ʲtʲe
dígal	dʲiːɣal
rainn	r͈an͈ʲ
mana	mana
borba	borba
accomlatar	akoṽladar
frisben	fʲrʲisbʲen
deorad	dʲeːu̯rað
bith	bʲiːθʲ
gabál	ɡavaːl
erbaid	erbiðʲ
fili	fʲilʲi
cerd	kʲer͈d
sorn	sor͈n͈
bríathar	bʲrʲiːa̯θər
leith	l͈ʲeθʲ
forchanat	forxanad
airbe	arʲvʲe
birre	bʲir͈ʲe
immib	imʲivʲ
adragart	aðraɣar͈t
bélrai	bʲeːl͈ri
dobidci	dobʲiðɡʲi
morbi	morʲvʲi
foilsigdde	fol͈ʲsʲiɣʲdʲe
slóg	sl͈oːɣ
cumscaigthetu	kuṽskiɣʲθʲedu
coínid	koi̯nʲəðʲ
esséirgu	esʲeːrʲɣʲu
ataré	adar͈ʲeː
saíre	sai̯rʲe
dúildetu	duːlʲdʲedu
ní	n͈ʲiː
sruth	sruθ
aichre	axʲrʲe
contuili	kon͈tulʲi
adruamraigset	aðr͈uaṽriɣʲsʲed
búaid	buːa̯ðʲ
salainn	salin͈ʲ
chíall	xʲiːa̯l͈
ultaib	ul͈divʲ
úathbás	uːa̯θvaːs
filid	fʲilʲiðʲ
mbas	mbas
bia	bʲia
mided	mʲiðʲeð
suide	suðʲe
adcessa	aðkʲɛsa
mrugaib	mruɣivʲ
chomalnit	xoṽalnidʲ
m'	m
asinchobra	asinxovra
col	kol
nícon	n͈ʲikon
domnach	doṽnəx
gagar	ɡaɣər
aicniud	aɡʲnʲuð
do	do
súlo	suːlo
aiges	aɣʲes
rolá	r͈ol͈aː
amar	aṽar
núa	n͈uːa̯
ellug	el͈uɣ
sé	sʲeː
aire	arʲe
cininfil	kʲinʲinʲfʲilʲ
maith	maθʲ
bél	bʲeːl
duit	dutʲ
indi	in͈ʲdʲi
cóemgen	koːi̯ṽɣʲen
accobar	akovar
labratar	l͈avradar
sláinte	sl͈aːn͈ʲtʲə
rofoilsigthea	r͈ofol͈ʲsʲiɣʲθʲa
dongní	doŋʲnʲiː
fel	fʲel
fíadach	fʲiːa̯ðax
doairbertar	doharʲbʲerdar
imme	imʲe
bíid	bʲiːiðʲ
atomaig	adomaɣʲ
chet	xʲed
tairb	tarʲvʲ
mall	mal͈
chomalnad	xoṽal͈n͈að
téchtae	tʲeːxte
firend	fʲirʲen͈
manach	manəx
lingid	l͈ʲiŋʲɡʲiðʲ
amein	aṽʲenʲ
caire	karʲe
friusom	fʲrʲiu̯som
noa	noː
tráth	traːθ
dofuissim	dofusʲimʲ
spirut	spʲirud
corruanat	kor͈uanad
tuiter	tutʲer
daum	dau̯ṽ
ceníuil	kʲenʲiːu̯lʲ
rubai	r͈uvi
fis	fʲis
for	for
masu	masu
etarru	edar͈u
leusom	lʲeu̯som
na	n͈aː
dama	daṽa
aisndís	asʲnʲdʲiːsʲ
eclais	eɡlisʲ
intinn	in͈ʲtʲin͈ʲ
úar	uːa̯rʲ
seissed	sʲesʲeð
ainmne	anʲmʲnʲe
sechmaill	sʲexmil͈ʲ
maccu	maku
adráigsetar	aðr͈aːɣʲsʲedar
aithirgid	aθʲirɣʲiðʲ
anáil	anaːlʲ
roadamrigther	r͈oaðaṽriɣʲθʲer
precept	pʲrʲeɡʲept
mbeca	mʲbʲeɡa
aird	ar͈ʲdʲ
don	don
ecguiste	eɡusʲtʲe
foircniter	forʲkʲnʲidʲer
dénim	dʲeːnʲimʲ
adersetar	aðer͈ʲsʲedar
tabairt	tavər͈ʲtʲ
arbor	arvər
atdubelliub	aduvel͈ʲiu̯v
sib	sʲivʲ
tánaise	taːnisʲe
adáigther	aðaːɣʲðʲer
assa	asa
mlas	mlas
glinn	ɡʲlʲin͈ʲ
follus	fol͈us
scríbaid	sʲkʲrʲiːviðʲ
caithid	kaθʲəðʲ
cuire	kurʲe
súla	suːla
