རྫོང་ཁ	*rd͡zoŋkʰa
ཞང	*ʑaŋ
སྐམ་པོ	kam˥˥po˥˥
མཚོ་གླིང	*mt͡sʰogliŋ
བདུན	wdən
རྣམ་ཤེས	*rnamɕes
ཉལ	ȵal
སྡོད	*zdot
ཆོས	*t͡ɕʰos
རང	ʐaŋ˩˧
བཞི་བཅུ	ɣɪ˥˥t͡ɕu˥˧
འགྲོ	*ᵑɡro
ཀ་ར	ka˥˥ʐa˥˥
སྒམ	*zɡam
བྱི་བ	*bʲiba
ཕུར་བུ	pʰu˥˥pu˥˥
གཟའ་ལྷག་པ	sa˩˧ɬak̚ˀ˥˥pa˥˥
ཇ་ལོ	t͡ɕʰa˩˧lo˥˥
ལི	li˩˧
གཞིས་ཀ	*gʑiska
ཁྲི	ʈ͡ʂʰɪ˥˧
ཆུང་མ	t͡ɕʰuŋ˥˥maˑ
མངའ་འབངས	ŋan˥˥paŋ˥˩
བྱི་བ	t͡ɕʰi˩˧wə˥˥
མུ་མེན	*mumen
དྲུག་ཅུ	ʈ͡ʂu˨˧t͡ɕu˥˧
བདེ་ལེགས	*bdeleks
མཚོ	t͡sʰu˥˧
གཙང	t͡saŋ˥˥
ཇ	t͡ɕʰa˩˧
སུམ་ཅུ	sum˥˥t͡ɕu˥˥
ཞབས་ཀྱུ	*ʑapskʲu
གཟའ་ཉི་མ	*gzaɣȵima
ལེགས་པོ	*lekspo
ཟུམ	sum˩˧
དབྱིན་ཇིའི་སྐད	jĩ˥˥t͡ɕiː˥˥kɛː˥˩
འཛུམ	t͡sum˥˩
རྣམ་པ	nam˥˥pa˥˥
སྤྲུལ	ʈ͡ʂyː˥˥
སྨྲ་བ	ma˥˥waˑ
འཛམ་གླིང	*ⁿd͡zamgliŋ
དགུ་བཅུ	ɡu˧˩t͡ɕu˥˧
ཇོ་མོ་གླང་མ	*d͡ʑomoglaŋma
ཤེལ་དམ	*ɕeldam
སྐྱུར་མོ	cuː˥˥mu˥˥
སུམ་ཅུ	sʰəmt͡ɕə
འཁྲིད་སྟོན	*ᵑkʰritston
སྤོ་བོ	po˥˥wo˥˥
ཀ	ka˥˥
བཙོན་པ	*pt͡sonpa
ཚན་རིག་པ	t͡sʰɛ̃˥˥ʐi˥˩paˑ
རྒྱ་མི	cə˩˧mi˥˥
ལོ	lo˩˧
ཁ་པར	*kʰapar
སྲས	sɛː˥˩
ཞལ	ɕɛː˩˧
འཛུམས	t͡sum˥˩
མངའ་འབངས	*mŋaɣᵐbaŋs
རྩ་བ	*rt͡saba
བྱ་ཚིག	t͡ɕʰə˩˧t͡sʰi˥˩
ཨོཾ	ʔom˥˥
བླ	*bla
གཟའ་སྤེན་པ	*gzaɣspenpa
ལོ་རྒྱུས	lu˩˧cyː˥˩
ཐགས་ཐོགས	*tʰakstʰoks
ཐུག་པ	*tʰukpa
སྦས་ཡུལ	*zbasjul
གློག	*glok
ཆུ	*t͡ɕʰu
ལྡག	hdak
དམན་པ	mɛ̃˥˩paˑ
སྒྲིལ	ʈ͡ʂi˩˧
གཟའ་ཕུར་བུ	*gzaɣpʰurbu
ཞོགས	*ʑoks
བླ་མ	la˥˥ma˥˥
འགྲོ	ʈ͡ʂo˩˧
དྲུང་ཡིག	ʈ͡ʂʰuŋ˩˧jik̚ˀ˥˥
རྩོམ	*rt͡som
བཟང་ངན	saŋ˩˧ŋɛ̃ˑ
རྩེད་མོ	*rt͡setmo
ལྷ་ཁང	ɬa˥˥kʰaŋ˥˥
དགེ་སློང	ke˩˧loŋ˥˥
དགྲ་བོ	*dɡrabo
ལེགས་པོ	lek̚ˀ˩˧po˥˥
སྣུབ	*znup
ཨ་ཕ	*ʔapʰa
ཕྱེ་མ་ལེབ	t͡ɕʰe˥˥ma˥˥lep̚˥˩
བོད་རང་སྐྱོང་ལྗོངས	*botraŋskʲoŋld͡ʑoŋs
སྒྲ་སྙན	ʈ͡ʂam˩˧ȵɛ̃˥˥
ཁྱུང	*kʰʲuŋ
གསོལ་དཀྲུམ	søː˥˥ʈ͡ʂum˥˩
སུམ་ཅུ	sʰɑ̃˥˥t͡ɕu˥˧
རྗེས་མ	t͡ɕe˩˧maˑ
ཆུ་རྒུན་འབྲུམ	t͡ɕʰu˥˥kỹ˩˧ʈ͡ʂum˥˥
གཏམ	tam˥˥
སྲོག	ʂoχ
སློབ་ཁང	*zlopkʰaŋ
གང	kʰaŋ˩˧˨
ནུབ	nuʔ˨˧˩
སྒམ	rgam
སྦྲུལ	ru˥˧
སྒེ་ཁུང	ki˩˧kʰuŋ˥˥
བཞི་བཅུ	ɕip̚˩˧t͡ɕu˥˥
ཐུགས	thuk̚ˀ˥˥
ཤུབས	*ɕups
མགོ	ko˩˧
ཉལ	ȵɛ˨˧˩
གསོན་པོ	sø̃˥˥pa˥˥
རྗོད	t͡ɕøː˩˧˨
སྤྱན	*spʲan
འཛུམ	t͡sum˩˧˨
བླ་རི	*blari
གོ	*ɡo
མངར་མོ	ŋaː˥˥mo˥˥
སྤེན་པ	pẽ˥˥pa˥˥
ལམ་ཐག	*lamtʰak
སྟོབས་རྒྱས	*stopsrɡʲas
ཁྲི	ʈ͡ʂʰi˥˥
ཤོག་བུ	*ɕokbu
རི་མོ	ʐi˩˧mo˥˥
འབབ་ཚུགས	*ᵐbapt͡sʰuks
ཉ	*ȵa
གནས	nɛː˥˩
སློབ་ཁྲིད་བྱེད	*zlopkʰritbʲet
བ	wa˥˥
ལྕོག་ཙེ	t͡ɕok̚ˀ˥˥t͡se˥˥
དོམ	tom
ཤར	xhar
ཉར	*ȵar
བཞིན	ɕĩ˩˧˨
སེང	*seŋ
སྣ་མིན་སྣ་ཚོགས	na˥˥mɛ̃˥˥na˥˥t͡sʰo˥˩
ལྷག་པ	*l̥akpa
རི་བོ	ʐi˩˧wu˥˥
བཟོ	so˩˧˨
སྒང་ཐོག	kaŋ˩˧tʰo˥˩
ག་རེ	*ɡare
རྫོང	t͡saŋ˩˧˨
སྒྱུར	*zɡʲur
རྐང་པ	hkaŋwa
ཁྱི	cʰi˥˥
རི	*ri
གཉིས	*gȵis
ལྟབ་པ	*ltappa
འབྲས	*ᵐbras
སྤྲིང	ʈ͡ʂiŋ˥˥
མཉམ་དུ	*mȵamdu
ད	tʰa˩˧
ཁོ	*kʰo
དམར་པོ	maː˥˥mo˥˥
སྒྲུབ	*zɡrup
འཁྲུངས་སྐར	*ᵑkʰruŋsskar
འབྱར	*ᵐbʲar
སོ	so˥˥
ཅུང་ཟད	*t͡ɕuŋzat
ལྡོག	to˩˧˨
སློབ་གྲྭ་ཆེན་མོ	*zlopgrʷat͡ɕʰenmo
རྩེ	*rt͡se
སྒོ	*zɡo
མེ་མདའ	mẽ˩˧ta˥˥
འུ	*ɣu
སྨྲ་བ	*zmraba
ཡོང	*joŋ
སྡོམ	tom˩˧
ལུང་པ	*luŋpa
མཐོང	*mtʰoŋ
བཞད	ɕɛː˩˧˨
རྗེས་དྲན	t͡ɕeː˩˧ʈ͡ʂɛ̃˥˥
སྨན་པ	m̥en˥˥ba˥˧
ལ་དྭགས	la˩˧ta˥˩
ངན་པ	*ŋanpa
མ་འོངས་པ	*maɣoŋspa
ལེགས་སྦྱར	lek̚ˀ˩˧t͡ɕaː˥˥
སྒྲ་སྙན	*zɡrazȵan
ཀླུང་མ	*kluŋma
གུར་གུམ	kʰu˩˧kum˥˥
ཟིང་སྐྱ	*ziŋskʲa
ལྷོ་པ	*l̥opa
རྒྱལ་རབས	*rɡʲalraps
དངུལ	*dŋul
སློབ་སྟོན	lop̚˥˥tø̃ˑ
བརྒྱད	cɛː˩˧˨
ཟིལ་བ	siː˩˧pʰa˩˧
ལྟ	ta˥˥
སློབ་ཁྲིད	*zlopkʰrit
བརྒྱ	ca˩˧
ཁྲེན་ཏུ	*kʰrentu
ཕག	pʰa˥˩
འོད	*ɣot
རེ	*re
མཚན	t͡sʰɛ̃˥˥
ཡིན	*jin
མཁན་པོ	kʰɛ̃˥˥po˥˥
རྒྱལ་ཁབ	*rɡʲalkʰap
པ	pa˥˥
མགུལ	kyː˩˧
ཕ་མ	*pʰama
སྒྲུབ	ʈ͡ʂup̚˩˧˨
གཡུ	*ɡju
བརྡ་སྤྲོད་ཀྱི་གཞུང	*brdasprotkʲigʑuŋ
རྒྱན་སྤྲས	cɛ̃˩˧ʈ͡ʂɛː˥˩
ཚྭ	t͡sʰa
དང་པོ	*daŋpo
ཆུ་མིག	t͡ɕʰu˥˥mi˥˥
སློབ	*zlop
ངན	*ŋan
གཞུག་གུ	*gʑukɡu
མགྲོན་ཁང	ʈ͡ʂø̃˩˧kʰaŋ˥˥
ཀླད་ཀོར	lɛː˥˥koː˥˥
པར་ཆས	*part͡ɕʰas
ཟླ་བ	*zlaba
ས་རྟགས	*sartaks
ཉི་མ	ȵi˩˧mə˥˥
ལྕགས་ལམ	t͡ɕak̚ˀ˥˥lam˥˥
སོག་པོ	sok̚ˀ˥˥po˥˩
མེད	mɛː˩˧˨
ཐང་འབྲས	*tʰaŋᵐbras
སྤོས	*spos
དགེ་རྒན	*dɡerɡan
རྣ་བ	na˥˥wa˥˥
སྐུ	ku˥˥
ལྕགས་ལམ	*lt͡ɕakslam
ལྟེམས	*ltems
ལུང་པ	luŋ˩˧pa˩˧
སྡུར	*zdur
ལང	laŋ˩˧
རེད	ʐe˩˧˨
སྐུལ་ཚིག	kyː˥˥t͡sʰi˥˩
ང	ŋɒ́
གུང་ཁྲན་ཏང	kʰuŋ˩˧ʈ͡ʂʰɛ̃˥˥taŋ˥˩
མཇུག་སྒྲིལ	t͡ɕuk̚ˀ˩˧˨ʈ͡ʂi˩˧
འཐུམ	*ⁿtʰum
འབྲུག་པ	ʈ͡ʂuk̚ˀ˩˧pə˥˥
ཙི་ཙི	t͡si˥˥t͡si˥˥
རིན་ཐང	ʐĩ˩˧tʰaŋ˥˥
སེམས	sam˥˩
ལྟ་སྟངས	*ltastaŋs
བཞི་བཅུ	ʑe˧˩t͡ɕu˥˧
ག་ཚོད	*ɡat͡sʰot
ཏ	*ta
པས	pɛː˥˩
རྒྱ་ནག	ca˩˧na˥˩
བུམ་པ	pʰum˩˧pa˥˥
རི་བོ	*ribo
ཀ	*ka
འཇིག	*ⁿd͡ʑik
སྨུག་པ	muk̚ˀ˥˥pə˥˥
རླུང་རྟ	luŋ˥˥tə˥˥
རི་ལི	ʐi˩˧li˥˥
འཆི	ɕi˥˥
འབྲུག	ʈ͡ʂu˩˧˨
ག	kʰa˩˧
རྔུལ	*rŋul
མེ་ཏོག	*metok
ཟ་ཁང	sa˩˧kʰaŋ˥˥
སྟོང	*stoŋ
སྦྲུལ	ʈ͡ʂyː˩˧
ཡི་དམ	*jidam
དངུལ་ཁང	*dŋulkʰaŋ
ཚ་པོ	t͡sʰa˥˥wa˥˥
ཁར	kʰaː˥˥
སྡོམ	rdom
རྒྱལ་ཁབ	gyalkhap̚ˑ
སྤང་རྒྱན	paŋ˥˥cɛ̃ˑ
ཤིང་སྡོང	ɕiŋ˥˥toŋ˥˥
སོགས	so˥˩
ཆོས་ལུགས	t͡ɕʰyː˥˥lu˥˩
རྒྱལ་སྲིད	*rɡʲalsrit
རླངས	*rlaŋs
འབྲུག	*ᵐbruk
སྒོ་ལྕགས	kon˩˧t͡ɕa˥˩
ཚ་ལུ་མ	t͡sʰə˥˥lu˥˥məˑ
རང་བྱུང་ཁམས	*raŋbʲuŋkʰams
བསྡུ	tu˩˧
ཤོར	ɕoː˥˥
དབྱངས	jaŋ˥˩
གློག་བརྙན	loː˥˥ȵɛ̃˥˥
ཞོགས་ཇ	ɕoː˩˧t͡ɕa˥˥
དབུས་གཙང	ʔyː˥˥t͡saŋ˥˥
ཤེས་པ	*ɕespa
བདེ་ཐང	*bdetʰaŋ
རྒྱ་མཚོ	ca˩˧t͡sʰo˥˥
ཚོང་པ	*t͡sʰoŋpa
སྟོབས	top̚˥˩
ས་ཁུལ	sa˥˥kʰyː˥˥
ཁོང	kʰoŋ˥˥
ཡུན་ནན་ཞིང་ཆེན	*junnanʑiŋt͡ɕʰen
པོ་ཏ་ལ	*potala
ཁྲིད	ʈ͡ʂʰi˥˩
རྨ་བྱ	map̚˥˥t͡ɕa˥˥
སྟོང	toŋ˥˥
ཇོ་མོ་གླང་མ	t͡ɕʰo˩˧mo˥˥laŋ˥˥ma˥˥
དང	tʰaŋ˩˧
ནད	nɛː˩˧˨
བྱང་ཐང	t͡ɕʰaŋ˩˧tʰaŋ˥˥
མཚོ	t͡sʰo˥˥
སེམས	*sems
ལེགས	le˩˧˨
ཀྲུམས	ʈ͡ʂum˥˩
བྱེ་བ	t͡ɕʰi˩˧wə˥˥
ཚྭ	t͡sʰa˥˥
འདི	*ⁿdi
གོན	*ɡon
རླུང་རྟ	*rluŋrta
གཟིགས	si˩˧˨
གུར་གུམ	*ɡurɡum
བརྒྱད	d͡ʑɛʔ˥˧
བར་དོ	*bardo
ཤ	ɕa˥˥
ནད་ཡམས	*natjams
བོད་ལྗོངས	pʰø̃˩˧t͡ɕoŋ˥˩
མེ	*me
ཐང་ཤིང	tʰəŋ˥˥ɕiŋ˥˥
ལྔ་བཅུ	ŋəp̚˥˥t͡ɕu˥˥
ལྔ་བཅུ	hŋapt͡ɕə
རྫ་ཆུ	*rd͡zat͡ɕʰu
བདུན་ཅུ	tỹ˩˧t͡ɕu˥˥
ཁབ	*kʰap
སྤྲེའུ	piu˥˥
ཛ	*d͡za
བོད	pʰøː˩˧˨
དམངས་གཙོ	maŋ˥˥t͡so˥˥
དོམ	tɑ̃˩˧
སྤྱི་ཚོགས་རིང་ལུགས	t͡ɕi˥˥t͡sʰo˥˩ʐiŋ˩˧lu˥˩
ཕྲུ་གུ	*pʰruɡu
སྦག་སྦག	*zbakzbak
འོ་མ	*ɣoma
འདས་པ	*ⁿdaspa
རྩིག	t͡si˥˩
འོངས	ʔoŋ˩˧˨
རྐང	*rkaŋ
གཡུ་ལོ	*ɡjulo
གཟའ་ཟླ་བ	*gzaɣzlaba
མིག་འབྲས	miŋ˥˥ʈ͡ʂɛː˥˩
གད་ཉིག	*ɡatȵik
ནང་པ	*naŋpa
བྲིས	*bris
པས	*pas
མཁྱེན་པ	cʰẽ˥˥pa˥˥
སྲས	*sras
རྫ	*rd͡za
གྱོན	*ɡʲon
རྡུལ་ཕྲན	tyː˩˧ʈ͡ʂʰɛ̃˥˥
བཞི་བཅུ	*bʑipt͡ɕu
གནམ་གཤིས	*gnamkɕis
ལྡག	rdak
སྤྱང་ཀི	t͡ɕəŋ˥˥ku˥˥
བ་ཕྱུགས	pʰa˩˧t͡ɕʰuk̚ˀ˥˩
རེད	*ret
རླུང་གཡབ	luŋ˥˥jəp̚˥˩
གདན	tonˑ
བརླ་ཤ	*brlaɕa
སངས་རྒྱས	saŋ˥˥cɛː˥˩
རིན་ཆེན	*rint͡ɕʰen
གཟི	si˩˧
བོན་པོ	*bonpo
གདན	*gdan
བྱེ་བ	*bʲeba
ཚ	t͡sʰa˥˥
གཞུང	ɕuŋ˩˧
ལྟེ་བ	*lteba
གནང	*gnaŋ
མངའ་ཐང	ŋa˥˥tʰaŋ˥˥
རྙིང་པ	ȵiŋ˥˥pə˥˥
གདོན་འདྲེ	*gdonⁿdre
ས	*sa
བྱེ	*bʲe
ཡིན	jĩ˩˧
སྦྱིན་པ	*zbʲinpa
སྟོང	htoŋ
ཙོང	*t͡soŋ
ལྷོ	ɬu˥˧
མཐེ་པོ	*mtʰepo
དངུལ	hŋu
སྒྱུར	cuːɹ˩˧
དབུས	*dbus
སྡུད	tu˩˧
གྲུ་བཞི	ʈ͡ʂʰup̚˩˧ɕi˥˥
ལག་པ	*lakpa
ལོ་རྒྱུས	*lorɡʲus
སྟོང	tũ˥˥
ནང་བསྟན	naŋ˩˧tɛ̃˥˥
གསོད	sɛ˥˧
སྤང་རྒྱན	*spaŋrɡʲan
ཚོང	*t͡sʰoŋ
ནགས	nag
དུག	*duk
ཚང	*t͡sʰaŋ
རིང་ལུགས	ʐiŋ˩˧lu˥˩
བུ་མོ	pʰo˩˧mo˥˥
སྲོག	so˥˩
ལེན	lẽ˩˧
ལྔ་བཅུ	*lŋapt͡ɕu
ཝ་མོ	*wamo
ཐ	tʰa˥˥
སྒྲུབ་ཐབས	*zɡruptʰaps
གསར་པ	*ksarpa
ན	na˥˥
ཉལ	ȵe˩˧
ལྷ་གཅིག	l̥a˥˥t͡ɕik̚˥˨
ལྟེ་བ	tɛː˥˥
བཅུ	t͡ɕu˥˥
འཛུམ	sum˩˧
དཀོན་མཆོག	kø̃˥˥ʈ͡ʂʰok̚ˀ˥˩
ཕྱི	t͡ɕʰi˥˥
ལྟམ	*ltam
གཞིས་ཀ་རྩེ	*gʑiskart͡se
བླ	la˥˥
རིག་པ	*rikpa
གསོད	sal
སྣ་མིན་སྣ་ཚོགས	*znaminznat͡sʰoks
གང	*ɡaŋ
རྟ	ta˥˥
བཟང	*bzaŋ
སྲས་མོ	sɛː˥˥mo˥˥
རྩོམ་མཁན	t͡som˥˥ŋɛ̃ˑ
ཉི་ཤུ	ȵəxhə
གླང་ཆེན	*glaŋt͡ɕʰen
བརྙན་འཕྲིན	ȵɛ̃˥˥ʈ͡ʂʰĩ˥˥
ན་རོ	na˩˧ʐo˥˥
དུང་ཕྱུར	*duŋpʰʲur
ཡོང	joŋ˩˧
རྩེ	ht͡se
འབུམ	*ᵐbum
སྲིང་མོ	*sriŋmo
ཕྲག་པ	ʈ͡ʂʰak̚ˀ˥˥pa˥˥
འབྲས་ལྗོངས་སྐད	*ᵐbrasld͡ʑoŋsskat
རྩམ་པ	t͡sam˥˥pa˥˥
དབྱངས	*dbʲaŋs
རྒྱལ་སྲིད	cɛː˩˧si˥˩
གློག	lo˥˩
མིག་ཤེལ	mi˥˩ɕeː˥˥
རྩེད	*rt͡set
པན་ཆེན་བླ་མ	pɛ̃˥˥t͡ɕʰẽ˥˥la˥˥ma˥˥
ཟ	*za
བདུན་ཅུ	*bdunt͡ɕu
པོ་ཏི	pu˥˥ti˥˥
གྲོང་ཁྱེར	ʈ͡ʂʰoŋ˩˧cʰeː˥˥
ཚྭ	*t͡sʰʷa
ལུད	*lut
གོ་ཐལ	*ɡotʰal
སྒོ	go˧˩
ཆེ་ཆུད	*t͡ɕʰet͡ɕʰut
བློ	lo˥˥
མི་ཚང	*mit͡sʰaŋ
རྗོད	*rd͡ʑot
ནུབ	nəp
ཧ་ཡང	*hajaŋ
ཤངས	ɕaŋ˥˩
མར་གད	*marɡat
འབྲུག་སྐད	*ᵐbrukskat
མེད	*met
འབབ	nbap
བཀའ	*pkaɣ
ལྡག	*ldak
སྤོ་ལོ	*spolo
ང	ŋa˩˧
སྐྱིད་པོ	*skʲitpo
བསྟན་འཛིན	*pstanⁿd͡zin
དགྲ་བོ	ʈ͡ʂa˩˧wo˥˥
ལྕམ	t͡ɕam˥˥
ཁྱིམ་ཚང	*kʰʲimt͡sʰaŋ
ཉིང་ཁྲི	ȵiŋ˩˧ʈ͡ʂʰi˥˥
ལོ་ཙཱ་བ	lo˩˧t͡sa˥˥waˑ
རང་སྐྱོང་ལྗོངས	ʐaŋ˩˧coŋ˥˩t͡ɕoŋ˩˧˨
གསོད	*ksot
སྒོར་མོ	*zɡormo
སླར	*zlar
ཞབས་ཀྱུ	ɕap̚˩˧t͡ɕu˥˥
འབབ་ཚུགས	pəp̚˩˧t͡sʰu˥˩
འབྲི	pi˩˧
རྩེ	t͡se˥˥
ཤིང་སྡོང	*ɕiŋzdoŋ
སྦྲང་རྩི	*zbraŋrt͡si
དབང་སྒྱུར	waŋ˥˥kuːɹˑ
སྐམ་པོ	*skampo
འོ་ན	*ɣona
གླུ་དབྱངས	*gludbʲaŋs
རྒན	*rɡan
སྡུག་བསྔལ	tu˩˧ŋɛː˥˥
ཁྱུང	cʰuŋ˥˥
བཟང་ཞན	saŋ˩˧ɕɛ̃ˑ
ཤར་བ	ɕérpa
རྩོམ་པ་པོ	*rt͡sompapo
བཤད	*pɕat
སང་ཉིན	saŋ˥˥ȵĩ˩˧
ནག་པོ	*nakpo
ཁྲག	*kʰrak
གཟའ་མིག་དམར	sa˩˧miː˩˧maː˥˥
ངན	ŋɛ̃˩˧
ཉ	ȵa˩˧
རྐང་པ	kaŋba
རྒལ	*rɡal
པོ་ཏ་ལ	po˥˥ta˥˥laˑ
དམག་འཁྲུག	mək̚ˀ˥˥ʈ͡ʂʰu˥˩
ནུབ	nuʔ˧˩
རྐུ	ku˥˥
རྒྱལ	*rɡʲal
རྡོ་རྗེ	*rdord͡ʑe
རྙིང	ȵiŋ˥˥
རང་བྱུང	*raŋbʲuŋ
བཀའ་བརྒྱུད	*pkaɣbrɡʲut
ལྔ་བཅུ	rŋapt͡ɕə
བཀའ་ཤག	*pkaɣɕak
ལི	*li
སྒྲ་གདངས	ʈ͡ʂan˩˧taŋ˥˩
ལྔ	hŋa
རྒྱ་སྐད	*rɡʲaskat
ཨ་ལྕག	*ʔalt͡ɕak
བྱང	*bʲaŋ
གི་གུ	*ɡiɡu
ཕོ་བྲང	*pʰobraŋ
ཟླ་བ	hdawa
ཁྲེན་ཏུ	ʈ͡ʂʰẽ˥˥tu˥˥
ལྷ་མོ	ɬa˥˥mo˥˥
དར་ཆ	*dart͡ɕʰa
མུ་སྟེགས་པ	mu˩˧tik̚ˀ˥˩pəˑ
གྱི	kiˑ
སྦྱང	t͡ɕaŋ˩˧
རྡོ་རྗེ	toː˩˧t͡ɕe˥˥
ཁ་བཏགས	*kʰaptaks
འབྲས	ʈ͡ʂɛː˩˧˨
ཐལ་བ	*tʰalba
ཆུང་ཆུང	t͡ɕʰỹ˥˥t͡ɕʰỹ˥˥
རྐུ	*rku
རྔུལ	rŋu
ཉལ	ȵɛː˩˧
མཐེ་བོང	*mtʰeboŋ
ཤིང་ཏོག	*ɕiŋtok
ཁྲུས་ཁང	ʈ͡ʂʰyː˥˥kʰaŋ˥˥
ཅ	*t͡ɕa
གྲང་མོ	*ɡraŋmo
མིག་འབྲས	*mikᵐbras
ལྔ	*lŋa
རོལ་གཞས	*rolgʑas
མཇུག་མ	*md͡ʑukma
ཀོག་ཤི	*kokɕi
འབྲས	nɖ͡ʐe
ནད་གཡོག	*natɡjok
འཐག	tʰa˥˩
རྣམས​	nam˥˥
བོད་སྐད	*botskat
དྲུག་ཅུ	ʈ͡ʂu˧˩t͡ɕu˥˧
ལ་ཕུག	lə˩˧pu˥˩
མགོ	*mɡo
འབྱེད	*ᵐbʲet
རྣམ་དབྱེ	nam˥˥je˥˥
བྲན་གཡོག	*branɡjok
ཁྲག	ʈ͡ʂʰa˥˩
བོད་པ	pʰøː˩˧pa˥˥
ཉི་ཤུ	*ȵiɕu
འབྲོག་པ	*ᵐbrokpa
ཏིལ	tiːɹ˥˥
ཀྱི	kiˑ
དགེ་སློང	*dɡezloŋ
དཀྲོལ	*tkrol
ཐེབས	*tʰeps
འཁྲིད	ʈ͡ʂʰi˥˩
འབྱོར	*ᵐbʲor
ཆུང་ཆུང	*t͡ɕʰuŋt͡ɕʰuŋ
ལྡིར	tiːɹ˩˧
ཆུ་མིག	*t͡ɕʰumik
ལྟོ	*lto
སྒྲིག	ʈ͡ʂi˩˧˨
དབྱར་ཁ	jaː˥˥kʰa˥˥
རབ་བཀྲམ་ཆེན་པོ	*rapbkramt͡ɕʰenpo
བྱ	t͡ɕʰe˩˧˨
ན	*na
མཆོད	*mt͡ɕʰot
དབུས	ʔyː˥˩
སྒོ་ལྕགས	*zɡolt͡ɕaks
ལྟ་བ	*ltaba
ཁྲུས་ཁང	*kʰruskʰaŋ
ཚེ་རིང	*t͡sʰeriŋ
གཙང་མ	*kt͡saŋma
ལྔ	ŋa
གཞིས་ཀ་རྩེ	ɕi˩˧kə˥˥t͡seˑ
སྨན	mɛ̃˥˥
ཐུགས	*tʰuks
ས་ཁུལ	*sakʰul
སུ	*su
དམངས་གཙོ	*dmaŋskt͡so
རྟོག	*rtok
ཧ	ha˥˥
གོན	kʰø̃˩˧
གྲུ	ʈ͡ʂʰu˩˧
མཁྱེན་པ	*mkʰʲenpa
འཇིག	ɕi˥˩
ཆོས	t͡ɕʰøː˥˩
དངུལ	rŋu
བཞད	*bʑat
གཟིགས	*gziks
གོ	kʰo˩˧
ལ	la˩˧
ཞབས	ɕap̚˩˧
སྨན་པ	ɣm̥anmba
ད་ལྟ་བ	*daltaba
དམར་པོ	*dmarpo
ཐག་པ	tʰa˥˩pa˥˥
རྒྱ་གར	ca˩˧kaː˥˥
འཆི	xhi˥˧
འཛིན	t͡sĩ˩˧
ཉམས	*ȵams
མ་འོངས་པ	ma˩˧ʔoŋ˥˩paˑ
བརྒྱད་ཅུ	d͡ʑa˥˥t͡ɕʰu˥˧
མདེའུ	tiu˩˧
མཚོ	*mt͡sʰo
ནད	*nat
དགེ	*dɡe
རི་མོ	*rimo
བཅུ	*pt͡ɕu
སྔོན་པོ	ŋø̃˥˥po˥˥
ག་པར	kʰa˩˧paːɹ˥˥
ཕྱུ་པ	*pʰʲupa
བདུན	dun
གཏམ་བཟང	tam˥˥saŋˑ
མེ་ལོང	me˩˧loŋ˥˥
བློ	*blo
སྦྱིན	t͡ɕĩ˩˧
ཞ	ɕa˩˧
ཟླ་བ	nda˩˧ɣɑ˥˥
ཆུ	t͡ɕʰu˥˥
ཧ	*ha
འཛུམས	*ⁿd͡zums
གླང	laŋ˥˥
གཏོར་མ	*ktorma
འབྲི་ཆུ	ʈ͡ʂi˩˧t͡ɕʰu˥˥
བཞི	ʑe
ཕོ་བྲང	pʰo˥˥ʈ͡ʂaŋ˥˥
ཡབ	*jap
ཀུ་མུད	*kumut
སྒྲ	*zɡra
སྤྲིང	*spriŋ
བཞི	ʒi
རི	ʐi˩˧
ཁྲིད	*kʰrit
འབྱེ	*ᵐbʲe
ནང་པ	naŋ˩˧pa˥˥
སྟོང	rtoŋ
ནད་གཡོག	nɛː˩˧jok̚ˀ˥˩
གཡུ་མཚོ	*ɡjumt͡sʰo
ལྡིར	*ldir
སྔ་དྲོ་བདེ་ལེགས	ŋa˥˥ʈ͡ʂo˥˥te˩˧le˥˩
དམག	*dmak
ཁབ	kʰap̚˥˩
ལོ་གསར	*loksar
རྫོང	t͡soŋ˩˧
དགེ་བཤེས	*dɡepɕes
ལྕེ	t͡ɕe˥˥
གྲུ་གསུམ	ʈ͡ʂʰuk̚ˀ˩˧sum˥˥
རྐུན་མ	*rkunma
རྐང་པ	kuŋ˥˥ba˥˧
མེ་མདའ	*memdaɣ
འདེབས	təp̚˥˩
འབྲུག	nɖ͡ʐək
ལྷོ	*l̥o
པན་ཆེན་བླ་མ	*pant͡ɕʰenblama
ལྕགས	rt͡ɕak
ཤིང་ཏོག	ɕiŋ˥˥to˥˩
འཛིན	sim˩˧
ལྟ་སྟངས	ta˥˥taŋ˥˩
འཛིན	*ⁿd͡zin
གི	kiˑ
བོད་ཇ	*botd͡ʑa
ཕྲུ་གུ	ʈ͡ʂʰu˥˥kuˑ
འཇིབ	*ⁿd͡ʑip
ཇ་ལོ	*d͡ʑalo
དགུ	gᴜ˥˧
གླང་ཆེན	laŋ˥˥t͡ɕʰẽ˥˥
བོན	*bon
དམངས	maŋ˥˩
བདུན	tỹ˩˧
གཉིས	hȵi
རྔུལ	ŋy˥˧
གཡག	ja˥˩
སང་ཉིན	*saŋȵin
ཉམས	ȵam˩˧˨
སྙིང་རྗེ	*zȵiŋrd͡ʑe
ཨ	*ʔa
སྒོག་པ	*zɡokpa
སྐད་བརྡ་རིག་པ	*skatbrdarikpa
སྤྱང་ཀི	*spʲaŋki
ཟིལ་བ	*zilba
རྟོག	ta˥˩
རྐང་འཁོར	kaŋ˥˥kʰoː˥˥
