lyfta	lɪʰta
møna	møːna
føroyaskøra	fœɹjaskøːɹa
japan	jaːpan
aka	ɛaːʰka
framtíð	fɾam̥tʰʊiːj
revtík	ɹɛftʊiːjk
fikutræ	fiːkʊtɹɛaː
hattur	haʰtːʊɹ
lordur	lɔɻʈʊɹ
tóna	tʰɔuna
sabbatur	sapːaʰtʊɹ
hjørtur	jœɻ̥ʈʊɹ
jónatan	jouːnatʰanː
hópur	hɔuːwpʊɹ
jaksul	jaksʊl
mega	meːa
nugga	nʊkːa
svín	svʊin
fjarstýra	fjaɹ̥stʊiːjɹa
grøta	kɾøːʰta
keypmaður	tʃʰɛʰpːmɛaːvʊɹ
skóti	skɔuːtɪ
gløggur	klœkːʊɹ
banka	paŋ̊ka
gjá	t͡ʃɔɑː
toka	tʰoːʰka
beður	peːvʊɹ
blak	plɛaːk
há	hɔɑː
søldfirðingur	sœl̥fɪɹɪŋkʊɹ
sára	sɔɑːɹa
máni	mɔɑːnɪ
bakari	pɛaːʰkaɹɪ
foreldur	fɔɹɛltʊɹ
hæl	hɛaːl
støddfrøði	stœtːfɹøːjɪ
langabbi	lɛŋkapːɪ
spógvi	spɛkvɪ
ymisleiki	iːmɪslaiːt͡ʃɪ
vetrarblóma	veːtɹaɹplɔuːma
fríur	fɾʊiːjʊɹ
losti	lɔstɪ
meyrusýra	mɛiːɹʊsʊiːɹa
undur	ʊntʊɹ
skarv	skaɹv
tænasta	tʰɛanasta
trygging	tʰɹɪt͡ʃːɪŋk
gjógv	t͡ʃɛkv
tiltak	tiːl̥tʱɛaːʰk
brennivín	pɹɛnːɪvʊiːjn
fuglafrøði	fʊklafɾøːjɪ
revur	ɹeːvʊɹ
húsfrú	hʉuːsfrʉuː
stóra	stɔuːɹa
kenniorð	tʃʰɛnːɪoːɹ
kíkur	kʊiːjkʊɹ
geldingur	tʃɛltɪŋkʊɹ
fosfor	fɔsfoɹ
spøk	spøːʰk
tol	tʰoːl
skyr	ʃiːɹ
gir	kiːɹ
fuglasúpan	fʊklasʉuːpan
verpa	vɛɹ̥pa
spyrja	spɪɹja
tún	tʰʉuːn
faks	faks
herbúni	heːrpʉunɪ
ørn	œɻɳ
umstøður	ʊmstøːvʊɹ
tunnil	tʰʊnːɪl
tema	tʰeːma
óðin	ɔuːwɪn
brosma	pɾɔsma
litur	liːtʊɹ
lán	lɔɑːn
torleiki	tʰɔɹlaiːt͡ʃɪ
grann	kɾanː
y	iː
forsøgn	foːɹ̥sœkn
nevna	nɛu̯na
graður	kɾɛaːvʊɹ
karniffil	kʰaɹnɪfːɪl
tíðindamaður	tʰʊiːjɪntamɛaːvʊɹ
mási	mɔaːsɪ
árarnar	ɔaːɹaɹnaɹ
kili	t͡ʃʰiːlɪ
orð	oːɹ
fjøður	fjøːvʊɹ
fílum	fʊiːlʊn
vokk	vɔʰkː
tíðindi	tʰʊiːjɪntɪ
bagal	peːal
skrápur	skɹɔɑːʰpʊɹ
tøva	tʰøːva
ætta	aʰtːa
jakki	jaʰt͡ʃːɪ
skein	skaiːn
ske	skeː
eista	aiːʃta
oyra	ɔira
løn	løːn
hít	hʊiːt
strond	strɔnt
kai	kʰaiː
nýsilvur	nʊiːsɪlvʊɹ
víkingaøld	vʊiːtʃɪŋkaœlt
bankarnir	paŋ̊kaɹnɪɹ
altari	al̥tarɪ
svimjibuksur	svimjɪpʊksʊɹ
dýraætt	tʊiːɹaaʰtː
stova	stɔːva
hassj	haʃː
tjald	tʃʰalt
plantuætt	plan̥tʊaʰtː
svínoyingur	svʊinɪŋkʊɹ
urða	uːɹa
kristus	kʰɾɪstʊs
grønmeti	kɹœnmeːʰtɪ
gjørð	t͡ʃøːɹ
kør	kʰøːɹ
snjósólja	snjɔuːsœlja
baltasar	pal̥tasaɹ
gylvi	t͡ʃɪlvɪ
veðurfrøði	veːvʊrfrøːjɪ
ve	veː
hobbi	hopːɪ
ikki	ɪʰtʃːɪ
gýtt	kʊiʰtː
øða	øːa
landafrøði	lantafɹøːjɪ
spina	spiːna
bólgna	pœlna
dýraslag	tʊiːɹaslɛaː
brúka	pɹʉuːka
tamarhald	tʰɛaːmaɹhalt
laki	lɛaːʰt͡ʃɪ
heiður	haijʊr
u	uː
gløgg	klœkː
dimmgrønur	tɪŋːkɹøœːnʊɹ
vomb	vɔmp
signa	sɪkna
tvørsøgn	tvœʂːœkn
sæð	sɛaː
helvt	hɛl̥t
grøv	kɾøːv
reindýr	ɹɔindʊiːɹ
týð	tʰʊiː
lúka	lʉuːka
ekka	ɛʰkːa
blindleiki	plɪntlaiːt͡ʃɪ
pápa	pʰɔɑːʰpa
par	pʰɛaːɹ
gjør	t͡ʃøːɹ
skúgvur	skɪkvʊɹ
tyrla	tʰɪɻɭa
síl	sʊiːl
skerpikjøt	ʃɛɹ̥pɪtʃʰøːʰt
sjeyndi	ʃɛntɪ
kragi	kʰrɛaːjɪ
økismenning	øːʰtʃɪsmɛnːɪŋk
korsika	kʰɔʂɪka
tailand	tʰaiːlant
brúður	pɹʉuːwʊɹ
íri	ʊiːɹɪ
krónur	kʰɹɔuːnʊɹ
stýrivolt	stʊiɹɪvɔl̥t
arni	aɻɳɪ
pikti	pʰɪʰktɪ
lord	lɔɻʈ
slóð	slɔuː
míl	mʊiːl
tamur	tʰɛaːmʊɹ
aðalheiður	e̞ːalhaiːjʊɹ
eyðun	ɛiːjʊn
traðk	tʰɹaʰkː
fljóð	fljɔuː
spyrjið	spɪɹjɪ
knívur	knʊiːvʊɹ
ost	ɔst
argið	aɹt͡ʃɪ
akarn	ɛaːʰkaɻɳ
kagari	kʰe̞ːaɹɪ
stari	stɛaːɹɪ
guðrun	kuːɹʊn
mogga	mɔkːa
vanuatu	vanuɑːtu
gekk	t͡ʃɛʰkː
lækni	laʰknɪ
siv	siːv
vinstur	vɪn̥stʊɹ
taka	tʰɛaːʰka
leingi	lɔɲtʃɪ
kava	kʰɛaːva
babba	papːa
handil	hantɪl
stýrimaður	stʊiːjɹɪmɛaːvʊɹ
hevur	heːvʊɹ
vetur	veːʰtʊr
padda	pʰatːa
sitja	siːt͡ʃa
ferð	feːɹ
girnd	t͡ʃɪɻɳʈ
túgva	tɪkva
píka	pʰʊiːka
lansi	lan̥sɪ
støð	støː
glaður	klɛaːvʊɹ
fara	fɛaːɹa
hestur	hɛstʊɹ
last	last
binda	pɪnta
á	ɔɑː
havn	haun
ása	ɔɑːsa
súltutoy	sʏl̥tʊtʰɔiː
kálvi	kʰɔlvɪ
appilsintræ	aʰpːɪlsiːntʰɹɛaː
lagna	lakna
alaska	alaska
mynd	mɪnt
trupul	tɹuːpʊl
fyrsta	fɪsta
baldur	paltʊɹ
megin	meːjɪn
sekund	sekʊnt
riv	ɹiːv
meðan	miːjan
banka	pɛŋ̊ka
hædd	hatː
leysur	lɛiːsʊɹ
vív	vʊiːv
oddur	ɔtːʊɹ
binding	pɪntɪŋk
veður	veːvʊɹ
drúgvur	tɾɪkvʊɹ
gníggja	knʊit͡ʃːa
tin	tʰiːn
djórafrøði	t͡ʃɔuːɹafɹøːjɪ
rín	ɹʊiːn
búni	pʉuːnɪ
viðføri	vifːøːɹɪ
lýðveldi	lʊiːvɛltɪ
tvætl	tʰvaʰtl
kallur	kʰaʰtlʊɹ
vápn	vɔʰpn
volt	vɔl̥t
yvirlit	iːvɪɹliːt
renna	ɹɛnːa
jákup	jɔɑːʰkʊp
kanada	kanata
livur	liːvʊɹ
íkorni	ʊiːkɔtnɪ
fisksúpan	fɪsksʉupan
streymur	stɹɛiːjmʊɹ
berur	pɛːɹʊɹ
hálka	hɔl̥ka
korea	kʰoɹeːa
ýla	ʊiːla
himmal	hɪmːal
eingilskur	ɔɲt͡ʃɪlskʊɹ
protesa	pɾotʰeːsa
hvølpur	kʰvœl̥pʊɹ
lodna	lɔtna
tjóðbúni	tʃʰɔuːwpʉuːnɪ
sandoy	santɔiː
mannbjørn	manːpjœtn
høll	hœtl
ýa	ʊiːja
sálmur	sɔlmʊr
avi	ɛaːvɪ
hunangur	huːnɛŋkʊɹ
tá	tʰɔɑː
nú	nʉuː
elgur	ɛlkʊɹ
itu	iːtu
shamanur	ʃamanʊɹ
heyst	hɛst
guð	kuː
elv	ɛlv
festi	fɛstɪ
svíma	svʊiːma
jól	jɔuːl
prýði	pɹʊiːjɪ
bókstavarað	pœkstɛaːvarɛaː
oljuber	ɔljʊpeɛːɹ
sváva	svɔɑːva
kálvur	kʰɔlvʊɹ
hýsa	hʊiːjsa
fiskiørn	fɪstʃɪœɻɳ
leðurbløka	leːvʊɹpløːʰka
stað	stɛaː
føroyskum	føːɹɪskʊn
tjatsi	t͡ʃʰaʰtsɪ
betageisling	pɛːʰtakaiʃlɪŋk
keisari	kʰaiːsaɹɪ
lettland	lɛʰtːlant
leið	laiːj
gáva	kɔɑːva
tala	tʰɛaːla
skómakari	skɔuːmɛaːʰkaɹɪ
benjardøgg	pɛɲːaɹtœkː
rói	rɔuːwɪ
oyggj	ɔt͡ʃː
kúnni	kʰʏnːɪ
kunna	kʰʊnːa
svørð	svøːɹ
veruleiki	veːɹʊlaiːtʃɪ
mortítlingur	mɔɹ̥tʰʊitlɪŋkʊɹ
døgnfluga	tøœːmfluːa
kahútt	kʰahʏʰtː
øða	øːva
svá	svɔɑː
hali	hɛaːlɪ
momma	mɔmːa
teg	tʰeː
vongur	vɔŋkʊɹ
bøur	pøːvʊɹ
gyðja	t͡ʃiːja
toskur	tʰɔskʊɹ
føroyar	fœɹjaɹ
kvala	kvɛaːla
bjór	pjɔuːɹ
tráður	tɹɔɑːvʊɹ
tænari	tʰɛanaɹɪ
kins	t͡ʃɪn̥s
sæbjørn	sɛaːpjœtn
ljóð	ljɔuː
gæs	ɡɛas
sáa	sɔːa
skurðlækni	skuːrlaʰknɪ
mykines	miːtʃɪneːs
m	m
fen	feːn
móður	mɔuːvʊɹ
fiti	fiːtɪ
jaksla	jaksla
svøvnur	svœvnʊɹ
annu	anːʊ
skjóta	ʃɔuːta
veðurvánir	veːvʊɹvɔɑːnɪɹ
fremmandafólk	fɾɛmːantafœl̥k
pálsmessa	pʰɔlsmɛsːa
fugloyingur	fʊklɪŋkʊɹ
timbur	tʰɪmpʊɹ
vindeyga	vɪntɛiːja
mettur	mɛʰtːʊɹ
jarðarskorpa	jɛaːɹaɹʂkɔɻ̥pa
hjørdis	jœɻʈɪs
iva	iːva
jesus	jeːsʊs
koltur	kʰɔl̥tʊɹ
sukur	suːkʊɹ
vøddi	vœtːɪ
sár	sɔaːɹ
volapúkk	voːlapʰʏʰkː
hertogi	hɛɹ̥tʰɔjɪ
yvirætt	iːvɪɹaʰtː
ásur	ɔɑːsʊɹ
fúti	fʉuːtɪ
dýr	tʊiːjɹ
mununum	muːnʊnʊn
boari	poːaɹɪ
lata	lɛaːta
styrki	stɪɻ̊t͡ʃɪ
skomm	skɔmː
stig	stiːj
eiðið	aiːjɪ
tómur	tʰɔuːmʊɹ
tal	tʰɛaːl
hørður	høːɹʊɹ
gestur	t͡ʃɛstʊɹ
gávur	kɔɑːvʊɹ
drúvusukur	tɹʉuːʋʊsuːkʊɹ
dyr	tiːɹ
ur	uːɹ
hørgur	hœɹkʊɹ
meyra	mɛiːɹa
fagur	fɛaːvʊɹ
tjúkkur	t͡ʃʰʏʰkːʊɹ
jarðskjálvti	jaɹ̥ʃɔl̥tɪ
spæta	spɛaːʰta
sprákari	spɹɔɑːʰkaɹɪ
hjálmur	t͡ʃʰɔlmʊɹ
onnur	ɔnːʊɹ
knæ	kn̥ɛaː
ø	øː
boppa	pɔʰpːa
jaksli	jakslɪ
gjógv	t͡ʃoːaɹ
doyða	tɔiːja
føroyakort	fœɹjakʰɔɻ̊ʈ
dýna	tʊiːna
ingibjørg	ɪɲt͡ʃɪpjœrk
tingfundur	tʰɪŋkfʊntʊɹ
herðablað	heːɹaplaɛː
fløska	flœska
gás	kɔɑːs
strongur	stɹɔŋkʊɹ
bleikur	plaiːjkʊɹ
tjóðveldi	t͡ʃʰɔuːvɛltɪ
kári	kʰɔɑːɹɪ
piparrót	pʰiːpaɹɔuːt
olivinolja	ɔliːʋɪnɔlja
tórur	tʰɔuːɹʊɹ
ríða	ɹʊiːja
ytstur	ɪstʊɹ
judo	juːto
glas	klɛaːs
konsertferð	kɔnsɛɻ̊ʈfeːɹ
løgregla	lœkɹɛkla
sjúkrahús	ʃʉuːkɹahʉuːs
lús	lʉuːs
ílatog	ʊiːlatoː
vertur	vɛɹ̥ʈʊɹ
urð	uːɹ
smør	smøːɹ
øðrum	øːɹʊn
tóra	tʰɔuːɹa
knæ	knɛaː
nál	nɔɑːl
mosi	moːsɪ
purra	pʰʊɹːa
se	seː
ver	veːɹ
mikudagur	miːkʊtɛaːwʊɹ
marita	mɛaːɹɪta
morreyður	mɔɹːɛiːjʊɹ
hugsan	hʊksan
glúmur	klʉuːmʊɹ
hagfrøði	hakfɹøːjɪ
glæma	klɛaːma
skósmiður	skɔuːsmiːjʊɹ
ljótur	lʲɔuːtʊɹ
skemt	ʃɛm̥t
spaki	spɛaːʰt͡ʃɪ
fregnartænasta	fɾɛknaɹtʰɛaːnasta
langur	lɛŋkʊɹ
nepal	neːʰpal
barki	paɹ̥t͡ʃɪ
mál	mɔɑːl
sjókort	ʃɔukɔɻ̊ʈ
grønleykur	kɾœnlɛiːkʊɹ
rún	ɹʉuːn
brúkaranavn	prʉuːwkaɹanaun
nýrasteinur	nʊiːɹastaiːnʊɹ
frakki	fraʰt͡ʃɪ
persilla	pʰɛɻ̥ʂɪlːa
ytstur	ɪkstʊɹ
ærgið	aɹt͡ʃɪ
grikkaland	kɾɪʰkːalant
ýr	ʊiːjɹ
fles	fleːs
tónleikur	tʰɔuːnlaiːjkʊɹ
hvat	kvɛaːʰt
edd	ɛtː
borgarstjóri	pɔɹkaɹʃɔuːwɹɪ
benjamin	pɛnjamin
ísa	ʊiːsa
tollur	tʰɔtlʊɹ
búð	pʉuːw
havn	havn
gonga	kɔŋka
sesamfræ	seːsamfɾɛaː
samlega	samleːva
ørur	øːɹʊɹ
døgg	tœkː
hugur	huːvʊɹ
menn	mɛnː
klokka	kʰlɔʰkːa
dreki	tɹɛːʰt͡ʃɪ
ugla	ʊkla
askur	askʊɹ
bókstavur	pœʰkstɛaːvʊɹ
lendi	lɛntɪ
bil	piːl
týðing	tʰʊiːjɪŋk
heiði	haiːjɪ
kálksótt	kʰɔl̥ksœʰtː
elvur	ɛlvʊɹ
elduvíkingur	ɛltʊvʊiʃɪŋkʊɹ
kál	kʰɔaːl
umseting	ʊmseːtɪŋk
skarlak	skaɻɭak
verkætlan	vɛɹ̥kaʰtlan
n	n
tryggingarfelag	tʰɹɪt͡ʃːɪŋkaɹfeːla
appilsindjús	aʰpːɪlsiːnt͡ʃʉuːs
milti	mɪl̥tɪ
erla	ɛɻɭa
nema	neːma
kelling	tʃʰɛtlɪŋk
gøta	køːʰta
vørður	vøːɹʊɹ
beð	peː
norðurland	noːrʊrlant
deyvleiki	tɛiːvlaiːʰt͡ʃɪ
kymru	tʃʰɪmɹʊ
høggmynd	hœɡːmɪnd
unnur	ʊnːʊɹ
vingul	vɪŋkʊl
fika	fiːka
lulla	lʊlːa
belti	pɛl̥tɪ
verður	veːɹʊɹ
gjógv	tʃɛkf
tonn	tʰɔnː
króna	kɹɔuːna
var	vɛaːɹ
tosta	tʰɔsta
otto	ɔʰtːʊ
stikkari	stɪʰkːaɹɪ
spakur	spɛaːʰkʊɹ
átjan	ɔaːʰt͡ʃan
epl	ɛpl
bogi	poːjɪ
nábúgvi	nɔɑːpɪkvɪ
døgum	tøːvʊn
eyður	ɛiːjʊɹ
elri	ɛlɹɪ
smyril	smiːɹɪl
brotsmaður	brɔtsmɛaːvʊɹ
jarðber	jaɹpeɛːɹ
song	sɔŋk
gestablídni	tʃɛstaplʊitnɪ
eftirlit	ɛʰtːɪɹliːt
undirhópur	ʊntɪɹhɔuːpʊɹ
slovenia	sloveːnia
bráður	pɾɔɑːvʊɹ
heilagur	haiːlavʊɹ
frískur	fɾʊiʃkʊɹ
nossa	nɔsːa
enskur	ɛn̥skʊɹ
sáta	sɔɑːʰta
hallur	hatlʊɹ
stóru	stɔuːɹʊ
magur	mɛaːvʊɹ
játta	jɔʰtːa
pipar	pʰiːpaɹ
púta	pʰʉuːta
john	jɔnː
kollfirðingur	kɔl̥fɪɹɪŋkʊɹ
músabróðir	mʉuːsapɾɔuːwɪɹ
jólatræ	jɔuːlatʰɹɛaː
íslendingur	ʊiʃlɛntɪŋkʊɹ
árnafjørður	ɔtnafjøːɹʊɹ
bakkus	paʰkːʊs
tjaldursegg	tʃʰaltʊɹsɛkː
nakki	naʰt͡ʃːɪ
viðfang	vɪfːɛŋk
teir	tʰaiːɹ
veðrur	vɛkɹʊɹ
yngri	ɪŋkɾɪ
brynhild	pɾiːnɪlt
piparnøt	pʰiːpaɹnøːʰt
happ	haʰpː
hvala	kvɛaːla
marur	mɛaːɹʊɹ
elli	ɛtlɪ
frændi	frantɪ
nýta	nʊiːta
hví	kʰvʊiː
høkja	høːʰt͡ʃa
dúgva	tɪkva
dorg	tɔɹk
argi	aɹt͡ʃɪ
taivan	tʰaiːvan
íggj	ʊit͡ʃː
