dubhghall	d̪ˠʊwəl
púdar	pˠuːd̪ˠəɾˠ
rud	ɾˠʊd̪ˠ
fúthu	fˠuːbˠ
ad	əd̪ˠ
lasracha	l̪ˠasˠəɾˠəxə
bodhrán	bˠoːɾˠæn̪ˠ
anáil	ənɑːl
pógadh	pˠoːɡəx
ró	ɾˠɔː
phléisiúr	fʲlʲeːʃuɾˠ
fiaradh	fʲiəɾˠəx
litear	l̠ʲɪtʲəɾˠ
salm	sˠɑl̪ˠəmˠ
dtorann	d̪ˠʌɾˠən̪ˠ
múnadh	mˠuːn̪ˠətʲ
máirt	mˠaːɾˠtʲ
éalaigh	eːlˠə
gcaptaen	ɡɑpˠt̪ˠeːn̪ˠ
bpáipéar	bˠaːpʲeːɾˠ
cnáib	knˠɑːbʲ
scaradh	sˠkɑɾˠəx
déantar	dʲɪn̪ˠt̪ˠəɾˠ
ochtar	ʌxt̪ˠəɾˠ
snáth	sˠn̪ˠæː
socraigh	sˠɔkɾˠiː
céanna	ceːn̪ˠə
chomh	xu
eisceacht	ɛʃcaht̪ˠ
gealach	ɟæl̪ˠəx
gcapall	ɡapˠəl̪ˠ
bál	bˠæːlˠ
hais	haʃ
iontráil	ɪn̪ˠt̪ˠɾˠælʲ
breaca	bʲɾʲakə
annamh	an̪ˠuː
dheacair	jækəɾʲ
tiarna	tʲiəɾˠn̪ˠə
triomach	tʲɾʲʊməx
teocht	tʲoːxt̪ˠ
cheann	çaun̪ˠ
maíomh	mˠiːvˠ
amhlaidh	ɑwl̪ˠə
feiceadh	fʲɛcu
torcán	̪tˠəɾˠkɑːn̪ˠ
breoiteacht	bʲɾʲoːtʲəxt̪ˠ
nollag	n̪ˠʌl̪ˠək
beoir	bʲoːɾʲ
treascair	tʲrʲaskaɾʲ
casadh	kɑsˠəx
uí	iː
miadh	mʲiə
óm	oːmˠ
fhreastalaíodh	ɾʲasˠt̪ˠəlˠiːx
dubh	d̪ˠʊfˠ
d'fhonn	d̪ˠuːn̪ˠ
bruíon	bˠɾˠiːnˠ
moladh	mˠɔlˠəx
holc	hʌlˠk
fírinneach	fʲiːɾʲɪɲəx
ciotach	cɪt̪ˠəx
lasadh	l̪ˠasˠə
abar	abˠəɾˠ
ba	bˠɑh
pictiúr	pʲɪctʲuɾˠ
atuirseach	at̪ˠʊɾˠʃəx
gine	ɟɪnʲə
acadamh	akəd̪ˠuː
cneas	cɾʲasˠ
múch	mˠuːx
leathan	l̠ʲahanˠ
cuisliméara	kɪʃlʲəmʲeːɾˠə
conchúr	knˠʊxuːɾˠ
bagún	bˠaɡunˠ
iomlán	ʌmˠlˠænˠ
glanadh	ɡlˠanˠuː
eabar	abˠəɾˠ
deirfiúracha	dʲɾʲehuːɾˠəxə
scar	skaɾˠ
stada	sˠt̪ˠɑd̪ˠə
stábh	sˠt̪ˠɑːvˠ
coisin	kɔʃɪnʲ
dot	d̪ˠɔt̪ˠ
crúigh	kɾˠuːj
coinnigh	kɪn̠ʲə
mbó	moː
ghabhas	ɣəisˠ
dhíom	jiːmˠ
beadh	bʲɛfˠ
chósta	xɔːsˠt̪ˠə
tarraingt	t̪ˠaɾˠən̠ʲtʲ
mbata	mˠat̪ˠə
speala	sˠpʲalˠə
galúin	ɡalˠuːnʲ
bhíonns	vʲiːn̪ˠsˠ
tríd	tʲɾʲiːdʲ
ciarraí	ciəɾˠiː
airne	æːɾˠn̠ʲə
domsa	d̪ˠɔmˠsˠə
muileann	mˠɪlʲən̪ˠ
spriogadh	sˠpʲɾʲʊɡəɡ
cosúil	kʌsˠulʲ
galach	ɡalˠəx
móil	mˠoːlʲ
fhiaradh	iəɾˠə
cogadh	kɔɡəvˠ
araon	əɾˠeːnˠ
d'fhill	dʲiːl̠ʲ
fheadh	aɡ
rialtais	ɾˠiəl̪ˠt̪ˠəʃ
álainn	æːlˠən̠ʲ
luch	l̪ˠʌx
chodladh	xɔl̪ˠə
éigin	eːɟɪnʲ
tánn	t̪ˠɑːn̪ˠ
cnaipe	kɾˠapʲə
fhreastalódh	ɾʲasˠt̪ˠəlˠoːx
loim	l̪ˠɪmʲ
phioc	fʲʊk
briseadh	bʲɾʲɪʃuː
sloinne	sˠl̪ˠɪɲɪ
mianach	mʲiːnˠəx
aice	acɪ
peanna	pʲaːn̪ˠə
caith	kaih
cóirigh	kɔːɾʲi
deire	dʲɛɾʲə
shínigh	hiːnʲi
cóiste	kɔːʃtʲə
fliuchadh	fʲlʲʊxu
abhann	əun̪ˠ
aeróstach	eːɾˠɔːsˠt̪ˠax
damáiste	d̪ˠamˠæʃtʲə
cé	ceː
bhád	wæːd̪ˠ
d'fháisc	d̪ˠɑːʃc
déistin	dʲeːʃtʲənʲ
caipín	kapʲinʲ
bhríd	vʲɾʲiːdʲ
taifead	t̪ˠafʲəd̪ˠ
páirc	pˠaːɾʲc
gliocais	ɟlʊkəʃ
carbónach	kaɾˠəbˠoːn̪ˠəx
mílte	mʲiːl̠ʲtʲə
caint	kəin̠ʲtʲ
brí	bʲɾʲiː
lenarbh	lʲɛnˠəɾˠvˠ
carbón	kəɾˠəbˠoːn̪ˠ
dhíomsa	jiːmˠsˠə
comhairle	koːɾˠl̠ʲə
tharlódh	hɑːɾˠl̪ˠoːx
breá	bʲɾʲɑː
féasóg	fʲeːsˠoːɡ
brollach	bˠɾˠal̪ˠax
phianfadh	fʲiənˠhu
bearradh	bʲɑːɾˠətʲ
ráinig	ɾˠɑːnʲɪc
clog	klˠɔɡ
caillte	kal̠ʲtʲə
gol	ɡʌlˠ
bhreab	vʲɾʲabˠ
cinneadh	cɪɲə
duilleog	dʲɪloːɡ
brocach	bˠɾˠɔkəx
traidisiún	t̪ˠɾˠadʲəʃuːn̪ˠ
ceart	cæɾˠt̪ˠ
anseo	ən̪ˠʃɔ
sáigh	sˠɑːɟ
coirnis	koːɾˠnʲɪʃ
bhun	vˠʊnˠ
sibhse	ʃɪvʲʃə
áille	ɑːl̠ʲə
báinín	bˠæːnʲinʲ
chaith	xa
bpáipéar	bˠɑːpʲeːɾˠ
neodar	n̠ʲoːd̪ˠəɾˠ
glacann	ɡlˠakən̪ˠ
mhór	woːɾˠ
'sé	ʃeː
chugainn	ʊɡən̠ʲ
gcrainn	ɡɾˠiːnʲ
chasfadh	kasˠətʲ
caith	ka
traidisiún	t̪ˠɾˠədʲɪʃuːnˠ
gruaig	ɡɾˠuəɡ
soiléir	sˠɛlʲeːɾʲ
cochall	kɔxəl̪ˠ
scóp	sˠkɔːpˠ
spreag	sˠpʲɾʲaɡ
siúinéir	ʃuːnʲeːɾʲ
íseal	iːʃəlˠ
ubh	ɔvˠ
dhom	mˠ
cuibhrigh	kɪvʲɾʲiː
mearcair	mʲaɾˠkəɾʲ
tóra	t̪ˠoːɾˠə
thuaidh	huəɟ
bláthmhar	bˠlˠɑːfˠəɾˠ
báisteach	bˠɑːʃtʲəx
shábháil	hɑːwɑːlʲ
óstach	oːsˠt̪ˠəx
samhain	sˠəunʲ
siúlóid	ʃuːlˠoːdʲ
gceann	ɟɑːn̪ˠ
cime	cɪmʲə
uirthi	ɔɾˠə
pósadh	pˠoːsˠətʲ
móin	mˠoːnʲ
chéid	çeːdʲ
phuca	fˠʊkə
gnách	ɡɾˠæːx
dainséar	d̪ˠainʲʃeːɾˠ
ithir	ɪhəɾʲ
fos	fˠʌsˠ
go	ɡɔ
sinéad	ʃɪnʲad̪ˠ
gcósta	ɡoːsˠt̪ˠə
gáir	ɡɑːɾʲ
samhradh	sˠəuɾˠuː
mná	mˠɾˠæː
phósfadh	fˠoːsˠəx
séabra	ʃeːbˠɾˠə
bréagach	bʲɾʲiaɡəx
ormsa	ɔɾˠəmˠsˠə
brata	bˠɾˠat̪ˠə
foclóirí	fˠʌkl̪ˠɔɾʲi
saolta	sˠeːl̪ˠt̪ˠə
gcósta	ɡɔːsˠt̪ˠə
eiteog	ɛtʲaɡ
fúmsa	fˠuːmˠsˠə
goirid	ɡʌɾʲədʲ
goil	ɡɔlʲ
nóta	nˠoːt̪ˠə
spáinne	sˠpˠɑːɲɪ
fear	fʲæɾˠ
carraigín	kaɾˠɪɟiːnʲ
churaigh	xʊɾˠə
fhágadar	ɑːɡəd̪ˠəɾˠ
caithfidh	kahə
lean	l̠ʲan̪ˠ
ghobadh	ɣɔbˠəx
fómhar	fˠɔːwəɾˠ
náireach	n̪ˠɑːɾʲəx
mháthair	wæhəɾʲ
do	ɡə
banana	bˠən̪ˠan̪ˠə
fada	fˠad̪ˠə
monabhar	mˠʊnˠəwəɾˠ
leabhair	l̠ʲəurʲ
amharc	aːfˠɾˠək
gearradh	ɟɑːɾˠəx
aimsire	æmʲʃəɾʲə
srian	sˠɾˠiənˠ
spriogadh	sˠpʲɾʲʊɡə
tógaint	t̪ˠoːɡənʲtʲ
breá	bʲɾʲaː
thabharfadh	hoːɾˠətʲ
ceist	cɛʃtʲ
leagaim	l̠ʲaɡəmʲ
bhfuair	vˠuəɾʲ
pioc	pʲʊk
arbhar	aɾˠuːɾˠ
linne	lʲɪn̠ʲə
ata	at̪ˠə
earrach	əɾˠax
soilse	sˠiːlʲʃə
ród	ɾˠɔːd̪ˠ
gualainn	ɡuˑəl̪ˠənʲ
chaill	xailʲ
liom	lʲəmˠ
bhfuair	wiːɾʲ
án	ɑːn̪ˠ
bard	bˠæːɾˠd̪ˠ
siobhán	ʃʊwaːn̪ˠ
preab	pʲɾʲabˠ
san	sˠənˠ
geala	ɟalˠə
linn	l̠ʲɪn̠ʲ
idir	ɪdʲəɾʲ
lem	lʲɛmˠ
ngé	ɲeː
treabhsar	tʲɾʲəusˠəɾˠ
ceapadh	cæpˠətʲ
bhfreastalódh	vʲɾʲasˠt̪ˠəlˠoːtʲ
tom	t̪ˠuːmˠ
oifige	ɛfʲɪɟɪ
cáin	kæːnʲ
méid	mʲeːdʲ
blianta	bʲlʲiən̪ˠt̪ˠə
chrann	xɾˠaun̪ˠ
eascann	æsˠkən
teilifíse	tʲɛlʲəfʲiːʃə
bhád	vˠɑːd̪ˠ
lasadh	l̪ˠɑsˠəx
iomrá	ɤmɾˠæ
eidheann	eːn̪ˠ
éireoidh	əiɾʲoː
d'fheicfeadh	dʲɛcu
gaol	ɡiːlˠ
leagadh	l̠ʲaɡuː
críochnaithe	cɾʲiːxn̪ˠɪhɪ
samhlaigh	sˠəul̪ˠə
gcead	ɟæːd̪ˠ
seol	ʃoːl̪ˠ
madadh	mˠad̪ˠu
biorán	bʲɪɾˠɑːn̪ˠ
fiabhras	fʲiəvˠɾˠəsˠ
feadh	fʲa
tosaigh	t̪ˠɔsˠiː
chama	xamˠə
cár	kaːɾˠ
smaoinigh	sˠmˠiːnʲə
vác	wæːk
cailleadh	kal̠ʲuː
inteacht	ɪn̠ʲtʲaht̪ˠ
aíocht	iəxt̪ˠ
duilleach	d̪ˠɪl̠ʲəx
iontach	iːn̪ˠt̪ˠah
feoilséantóir	fʲɔːlʲʃeːn̪ˠt̪ˠɔrʲ
brónach	bˠɾˠuːnˠəx
claí	kləi
tirim	tʲɾʲɪmʲ
trom	t̪ˠɾˠoumˠ
ciú	cuː
tuairim	t̪ˠuəɾʲəmʲ
iomlán	əmˠl̪ˠɑːn̪ˠ
eadáine	ad̪ˠɑːn̠ʲə
dúide	d̪ˠuːdʲə
bith	bʲɪ
biorán	bɾʲɑːn̪ˠ
meall	mʲɑːl̪ˠ
diaidh	dʲiə
sámh	sˠɑːw
freo	fˠɾˠoːbˠ
broim	bˠɾˠiːmʲ
glaoigh	ɡl̪ˠiː
ag	ɛɟ
dhúinn	ɪn̠ʲ
aibreán	ɑbˠəɾˠɑːn̪ˠ
leanbhín	lʲanəvʲiːnʲ
cleachtadh	clʲaxt̪ˠuː
aithiseach	æhəʃəx
thoiligh	hɞlʲɪɟ
easna	ɑsˠn̪ˠə
veinéiseach	vʲɛnʲeʃax
mianach	mʲiənˠəx
thorann	hʌɾˠən̪ˠ
ord	əuɾˠd̪ˠ
seanmóir	ʃanˠəmɔɾʲ
bunúsach	bʊn̪ˠuːsˠəx
bisigh	bʲɪʃɪɟ
neosad	nʲoːsˠəd̪ˠ
cuntais	kʊn̪ˠt̪ˠəʃ
chuig	ɛɟ
neide	n̠ʲɛdʲə
muis	mˠɪʃ
aonraic	eːn̪ˠɾˠɪc
ordú	oːɾˠd̪ˠu
madraí	mˠɑːd̪ˠɾˠiː
fill	fʲiːlʲ
féin	fʲeːnʲ
bata	bˠat̪ˠə
fairsing	fˠaɾˠʃən̠ʲ
cineál	cɪnʲælˠ
polainn	pˠɔlˠən̠ʲ
bóthar	bˠɔhəɾˠ
ortsa	ɔɾˠt̪ˠsˠə
haige	haɟɪ
leath	l̠ʲæ
uilig	əlʲɪɟ
mbás	mˠɑːsˠ
dinnéar	dʲɪnʲeːɾˠ
snáithim	sˠn̪ˠæːihəmˠ
gearrán	ɟaɾˠɑːnˠ
orthu	ɞɾˠəbˠ
miosúir	mʲɪsˠuːɾʲ
ascaill	asˠkəl̪ˠ
dúigh	d̪ˠuːj
coscair	kɔsˠkəɾʲ
lasair	l̪ˠasˠəɾʲ
aibreán	əibʲɾʲɑːn
piléir	pʲɪlʲeːɾʲ
eadrainn	ad̪ˠɾˠən̠ʲ
seilbh	ʃɛlʲəvʲ
féinín	fʲeːnʲiːnʲ
macra	mˠakɾˠə
clástrafóibe	klˠɑːsˠt̪ˠɾˠəfˠoːbʲə
beithíoch	bʲɛix
teastaigh	tʲasˠt̪ˠi
ancaire	aŋkəɾʲə
sáinn	sˠæːn̠ʲ
támh	t̪ˠæːw
d'fhonn	d̪ˠəun̪ˠ
líos	l̠ʲiːsˠ
anam	ɑnəmˠ
leigheas	l̠ʲeːsˠ
freastail	fʲɾʲasˠt̪ˠəlʲ
saoil	sˠiːlʲ
mearadh	mʲaɾˠə
feaca	fʲakə
tar	t̪ˠaɾˠ
beir	bʲɛɾʲ
dóchas	d̪ˠoːxəsˠ
d'oilfeadh	d̪ˠɛlʲhuː
scaraid	sˠkaɾˠədʲ
patrún	pˠɑt̪ˠɾˠuːnˠ
eolaíocht	oːlˠiəxt̪ˠ
múinteoirí	mˠuːn̠ʲtʲoːɾʲiː
cláirseach	klˠæːɾˠʃah
gobadh	ɡɔbˠəvˠ
cnámh	knɑːvʲ
chaoi	xiː
seasamh	ʃasˠuː
treoracha	tʲɾʲoːɾˠəxiː
saothrú	sˠiːɾˠuː
cathair	kahɪɾʲ
bpáistí	bˠæːʃtʲi
laga	l̪ˠɑɡə
ag	əɡ
beacha	bʲaxə
ghliocais	jlʊkəʃ
slán	sˠl̪ˠɑːn̪ˠ
héirinn	heːɾʲɪɲ
pógadh	pˠoːɡə
molfaidh	mʌlhi
ngránaigh	ŋɾˠæːnˠi
dála	d̪ˠɑːlˠə
pionta	pʲɪn̪ˠt̪ˠə
oileadh	ɪlʲu
nguíonna	ŋiːn̪ˠə
scilling	ʃcilʲənʲ
iontrálacha	ɪn̪ˠt̪ˠɾˠælˠaxə
oileadh	ɛlʲuː
cinnidh	cɪnʲɪɟ
foirgneamh	fˠɔɾʲɪɟənʲəvˠ
gean	ɟanˠ
acaiseach	ækəʃəx
faitíos	fˠatʲiəsˠ
cead	cæːd̪ˠ
aice	ɛcɪ
fáinne	fˠɑːn̠ʲə
gníomhaíocht	ɡn̪ˠiːvˠiəxt̪ˠ
féicheamh	fʲeːçəvˠ
abhaill	əuwəl̠ʲ
rúis	ɾˠuːʃ
anamhaith	ɑn̪ˠəvˠɑh
bonnán	bˠun̪ˠɑːn̪ˠ
mbriseadh	mʲɾʲɪʃuː
síos	ʃiːsˠ
ard	æːɾˠd̪ˠ
ochtó	oxt̪ˠoː
chuala	xuəlˠə
uaithi	woːhə
mholfadh	wɔlˠhu
fanacht	fˠanˠaxt̪ˠ
curach	kɤɾˠax
maiseach	mˠaʃəx
fuair	fˠuəɾʲ
pós	pˠoːsˠ
frainc	fɾˠaɲc
dhúinn	ɣuːn̠ʲ
ae	eː
próis	pˠɾˠoːʃ
donncha	d̪ˠɔn̪ˠəxə
goileann	ɡɛlʲən̪ˠ
abair	abˠəɾʲ
claíomh	klˠiːw
gléas	ɟlʲeːsˠ
fail	fˠalʲ
samhain	sˠounʲ
chuici	xuːhʲə
bile	bʲɪlʲə
fáinne	fˠɑːɲə
críochnaigh	cɾʲiːxn̪ˠɪɟ
dó	d̪ˠoː
amadán	amˠəd̪ˠɑːnˠ
clampar	klˠamˠpˠəɾˠ
d'éirigh	dʲəiɾʲə
uirthi	ɛɾʲhə
sorcha	sˠɔɾˠəxə
náid	n̪ˠæːdʲ
géagach	ɟeːɡah
bolcáin	bəl̪ˠkɑːnʲ
gránach	ɡɾˠæːnˠah
dhéag	jeːɡ
teacht	tʲæːxt̪ˠ
briosca	bʲɾʲɪsˠkə
acusan	ɑkəpˠsˠənˠ
ásc	ɑːsˠk
aiges	ɛɟɪsˠ
cibé	cɪbʲeː
tír	tʲiːɾʲ
agaibh	ɑɡiː
baile	bˠalʲə
paidir	pˠadʲəɾʲ
aireach	æɾʲəx
cuireadh	kɪɾʲəɡ
fhómhar	õːɾˠ
atá	at̪ˠɑː
árasáin	æːɾˠəsˠænʲ
manainnis	mˠanˠən̠ʲɪʃ
dtigh	dʲiː
aibhneacha	əivʲn̠ʲəxiː
gabh	ɡavʲ
cheannach	çan̪ˠah
gob	ɡʌbˠ
sop	sˠapˠ
d'fheicfeadh	dʲɛcətʲ
bearradh	bʲaɾˠə
torann	t̪ˠʌɾˠən̪ˠ
oilim	ɪlʲəmˠ
seasamh	ʃæsˠə
spreagtha	sˠpʲrʲakə
rialta	ɾˠiəl̪ˠt̪ˠə
crochadh	kɾˠɔxuː
achadh	axu
cuarc	kuəɾˠk
bhriseadh	vʲɾʲɪʃu
tiubh	tʲʊw
suite	sˠɪtʲə
pheann	fʲan̪ˠ
foradh	fˠɔɾˠə
deargadh	dʲaɾˠəɡətʲ
láthair	l̪ˠɑːhəɾʲ
gasóg	ɡasˠaɡ
círe	ciːɾʲə
rá	ɾˠɑː
mheas	vʲasˠ
ciseal	cɪʃəlˠ
pianfaidh	pʲiənhə
giúistís	ɟuːʃtʲiːʃ
tuaisceart	t̪ˠuəʃcəɾˠt̪ˠ
seadadh	ʃad̪ˠə
againne	aɡən̠ʲə
coinne	kɪn̠ʲə
don	d̪ˠʌnˠ
dugaire	d̪ˠɤɡəɾʲə
fomhuireán	fɔvˠərʲɑːn̪ˠ
aibhne	uəvn̠ʲə
fríd	fʲɾʲiːdʲ
poill	pˠəil̠ʲ
miosúir	mʲɪsˠuɾʲ
réiteach	ɾˠeːtʲah
deartháireacha	dʲæːɾˠhaɾʲaxə
boig	bˠɪɟ
dramanna	d̪ˠɾˠamˠən̪ˠiː
asainn	ɑsˠən̠ʲ
smál	sˠmˠɑːl̪ˠ
bláth	bˠl̪ˠæː
am	amˠ
féinín	fʲeːnʲinʲ
chloch	xlˠʌx
cleachtadh	clʲæxt̪ˠətʲ
intinn	iːn̠ʲtʲən̠ʲ
aiseag	aʃək
craos	kɾˠiːsˠ
carbán	karˠbˠɑːnˠ
fliuchadh	fʲlʲʊxuː
chailleas	xalʲəsˠ
folláin	fˠɔl̪ˠɑːnʲ
tostar	t̪ˠɔsˠt̪ˠəɾˠ
druncaera	d̪ˠɾˠʊŋkeːɾˠə
m'anam	mˠanˠəmˠ
hoibre	hɛbʲərʲə
chas	xasˠ
dhaoibhse	jiːpʲʃə
bandach	bˠan̪ˠd̪ˠəx
bhfaigheann	wæːn̪ˠ
mapa	mˠapˠə
créatúr	cɾʲeːt̪ˠuɾˠ
fúibhse	fˠuːpʲʃə
cuireadh	kɪɾʲuː
naoscann	n̪ˠiːsˠkən̪ˠ
captaen	kɑpˠt̪ˠeːn̪ˠ
uaibh	wæbʲ
plainc	pˠlˠaɲc
sceacha	ʃcaxə
bhean	vʲæːnˠ
chnuic	xnˠɪc
chroí	xɾˠiː
ionsaí	ɔnˠsˠiː
baintreach	bˠanʲtʲɾʲəx
dhínn	iːn̠ʲ
tanaí	t̪ˠan̪ˠiː
saorann	sˠiːɾˠən̪ˠ
suarach	sˠuˑəɾˠəx
fearr	fʲɑːɾˠ
tarbh	t̪ˠaɾˠuː
sáigh	sˠæːj
stiofán	ʃtʲʊfˠɑːnˠ
póg	pˠɔːɡ
tobac	t̪ˠəbˠak
crom	kɾˠaumˠ
snáith	sˠn̪ˠɑːiç
án	ɑːnˠ
cognadh	kɔɡnˠə
shuigh	hʊ
maor	mˠiːɾˠ
chian	çiənˠ
ainm	anʲəmʲ
dheacair	jakəɾʲ
leigheas	l̠ʲəisˠ
bacach	bˠəkɑx
comrádaí	kʌmˠɾˠæd̪ˠi
costas	kɔsˠt̪ˠəsˠ
suaimhneach	sˠuənʲəx
tábhacht	t̪ˠɑːxt̪ˠ
sáigh	sˠɑːj
uafásach	uhæsˠah
amaideach	ɑmˠədʲəx
ola	ɔlˠə
crith	crʲɪh
churaigh	xʊɾˠiː
ód	oːd̪ˠ
mhór	wɔːɾˠ
daonra	dˠeːn̪ˠɾˠə
orthu	ɔɾˠhə
bóthar	bˠoːhəɾˠ
aineolaí	anʲɔli
mhol	wɔlˠ
uaidh	uəɟ
théas	heːsˠ
mhoill	vˠiːlʲ
firéad	fʲɪrʲeːd̪ˠ
deargadh	dʲaɾˠəɡəx
uafásach	uːhɑːsˠəx
saibhir	sˠɛvʲəɾʲ
deirfiúr	dʲɛɾʲəfˠuːɾˠ
cheann	çan̪ˠ
clóscríobhaithe	klˠoːʃcɾʲiːwiː
feoigh	fʲɔːj
déan	dʲiːn
chasta	xasˠt̪ˠə
saothar	sˠihəɾˠ
dhomsa	ɣɔmˠsˠə
oideachais	ɛdʲəxəʃ
cuisneoir	kɪʃnʲɔɾʲ
oil	ɛlʲ
córas	kɔːɾˠəsˠ
amhras	ãvˠɾˠəsˠ
tiománaí	tʲɪmˠænˠi
cath	kah
toir	t̪ˠɛɾʲ
aoife	iːfʲə
cluin	klɨn
bpianadh	bʲiənˠəvˠ
orm	əɾˠmˠ
albanach	alˠəbˠənəx
íosfaidh	iːsiː
uaibhse	wæpʲʃə
doiciméad	d̪ˠɪcɪmʲeːd̪ˠ
teastáil	t̪ˠasˠt̪ˠɑːlʲ
cam	kaumˠ
dhearna	jɑːɾˠn̪ˠə
réiteach	ɾˠeːtʲəx
agus	ɡəsˠ
snáthaid	sˠn̪ˠæhəd̪ˠ
ann	aun̪ˠ
tuirse	t̪ˠʊɾˠʃə
d'oileadh	d̪ˠɛlʲuː
péinis	pʲeːnʲəʃ
gríos	ɡɾʲɪsˠ
leo	lʲoːbˠ
doiciméad	d̪ˠɔcɪmʲed̪ˠ
guta	ɡʊt̪ˠə
seasca	ʃasˠkə
bior	bʲɪɾ
gcasadh	ɡɑsˠəx
scuab	sˠkuəbˠ
crúigh	kɾˠuː
móire	mɔːɾʲə
léarscáil	lʲeːɾˠsˠkaːlʲ
ollmhargadh	ɔl̪ˠwaɾˠəɡuː
míos	mʲiːsˠ
freis	fˠɾˠɛʃ
dhóibh	oːbˠ
gnách	ɡɾˠɑːx
amú	əmˠuː
bealach	bʲəl̪ˠɑx
laethe	l̪ˠeːhɪ
riocht	ɾˠʊxt̪ˠ
lios	l̠ʲɪsˠ
ardchlár	ɑːɾˠd̪ˠxlˠɑːɾˠ
gcodladh	ɡɔl̪ˠuː
dorcha	d̪ˠʌɾˠəxə
chinn	çiːnʲ
níos	n̠ʲiːsˠ
cánach	kɑːn̪ˠəx
toradh	t̪ˠʌɾˠu
sás	sˠɑːsˠ
eagla	aːɡlə
maoin	mˠiːnʲ
ghníomhaíocht	ɣn̪ˠiːvˠiəxt̪ˠ
mullach	mʊl̪ˠəx
airg	aɾʲɪɟ
salaigh	sˠalˠi
labhair	l̪ˠəuɾʲ
canúnach	kan̪ˠuːn̪ˠəx
séipéal	ʃeːpʲal̪ˠ
cónaí	kuːnˠiː
caisleán	kəʃlʲɑːn̪ˠ
oileán	əlʲɑːnˠ
síoraí	ʃiːɾˠiː
pálás	pˠɑːlˠɑːsˠ
stól	sˠt̪ˠoːlˠ
seasamh	ʃasˠu
oirnis	əuɾʲn̠ʲəʃ
chearnóg	çɑːɾˠn̪ˠoːɡ
dtiocfad	d̪ˠʊkəd̪ˠ
meá	mʲaː
cíora	ciːɾˠə
tuilleadh	tʲɪl̠ʲə
mholadh	wɔlˠuː
píce	pʲiːcɪ
aire	aɾʲə
faocha	fˠeːxə
minic	mʲnʲɪc
cuireadh	kɪɾʲəx
abhann	oːn̪ˠ
gcoill	ɡɞl̠ʲ
molfaidh	mɔlhiː
curach	kɔɾˠəx
chaoil	xiːlʲ
shinsir	hɪn̠ʲsʲəɾʲ
méad	mʲeːd̪ˠ
agaibhse	aɡəvʲʃə
seanathair	ʃanˠahəɾʲ
hainmneacha	hanʲəmʲnʲəxiː
cúr	kuːɾˠ
iadsan	iəd̪ˠsˠənˠ
d'éalaigh	dʲeːlˠiː
féarach	fʲiarəx
colúr	kəl̪ˠuːɾˠ
scilling	ʃcɪlʲɪɲ
cuach	kuəx
coicís	kəikiːsˠ
leath	lʲæ
braon	bˠɾˠiːnˠ
dúntar	d̪ˠuːn̪ˠt̪ˠəɾˠ
ab	abˠ
cheart	çaɾˠt̪ˠ
feiceáil	fʲɛcɑːlʲ
dol	d̪ˠɔlˠ
ná	n̪ˠɑː
mothaíonn	muːiːn̪ˠ
údar	uːd̪ˠəɾˠ
ceathrú	caɾˠhu
réir	ɾˠeːɾʲ
curaigh	kʊɾˠiː
bacacha	bˠakəxə
dinnéar	dʲɪnʲeɾˠ
imleacán	imʲlʲəkɑːnˠ
aeráid	eːɾˠɑːdʲ
curaí	kɤɾˠi
bearradh	bʲɑːɾˠəx
clúdach	klˠuːd̪ˠax
díbhse	dʲiːvʲʃə
bunús	bən̪ˠuːsˠ
crith	crʲɪç
tigh	tʲiː
scriú	sˠkɾˠuː
anamhór	ɑn̪ˠəvˠuəɾˠ
búistéara	bˠuːʃtʲeːɾˠə
suíochán	sˠiːxɑːnˠ
suigh	sˠʊ
croíúil	kɾˠiːuːlʲ
piléar	pʲɪlʲeːɾˠ
casann	kɑsən̪ˠ
curach	kɤɾˠa
coileach	kɛlʲəx
tosú	t̪ˠəsˠuː
oileadh	ɛlʲəx
lean	lʲan̪ˠ
uaim	wæmʲ
paca	pˠakə
toiligh	t̪ˠʌlʲi
cinneadh	cɪɲəɡ
toinn	t̪ˠaɪɲ
asam	asˠəmˠ
páipéar	pˠaːpʲeːɾˠ
fheiceadh	ɛcətʲ
beas	bʲɛɪsˠ
anamacha	an̪ˠəmˠəxiː
chinn	çɪn̠ʲ
mála	mˠæːl̪ˠə
ciúin	cuːnʲ
ionamsa	ɪnəmˠsˠə
domhnall	d̪ˠoːnˠəl̪ˠ
sagairt	sˠæɡəɾˠtʲ
gcéadta	ɟeːt̪ˠə
cuán	kuːænˠ
nós	n̪ˠɔːsˠ
scéal	ʃceːlˠ
tráta	t̪ˠɾˠɑːt̪ˠə
cuibhrigh	kɪvʲɾʲɪɟ
cuisneoir	kɪʃnʲoːɾʲ
céard	ceːɾˠd̪ˠ
bheadh	vʲɛx
féarach	fʲeːrax
aithrí	aɾʲhiː
mháighistreása	vˠɑːʃtʲəɾʲɑːsˠə
sobal	sˠɔbˠəlˠ
di	dʲiː
d'éalaigh	dʲeːlˠi
cosaint	kʌsˠən̠ʲtʲ
gcead	ɟad̪ˠ
bróg	bˠɾˠoːɡ
deachaigh	dʲaxiː
thoir	hɛɾʲ
guidte	ɡɪtʲə
fáil	fˠɑːlʲ
coinníoll	kɪn̠ʲil̪ˠ
gníomhaíocht	ɡɾˠiːwiəxt̪ˠ
seacht	ʃaxt̪ˠ
cnoc	kɾˠʊk
seáin	ʃæːnʲ
