អាង	ʔaaŋ
ចែកចេញជា	caekcəɲcie
ត្រាំ	tram
ដើមស្រូវ	daəmsrəv
មុខជូរ	mukcuu
ដូច	douc
បិណ្ឌ	bən
ព្រាយ	priey
កត់ត្រា	kɑttraa
សិក្ខាសាលា	səkkʰaasaalaa,sekkʰaasaalaa
ថ្ងៃសៅរ៍	tŋaysav
ណោះ	nɑh
សាច់ក្រណាត់	sackrɑnat
គណិត	keaʔnet
កង្ហារ	kɑŋhaa
ស្វាយប៉ោម	svaaypaom
ស្រា	sraa
អង្គញ់	ʔɑŋkʊəɲ
សែន	saen
ឧបករណ៍	ʔuʔpaʔkɑɑ
មេរោគ	meerook
អ៊ើ	ʔəə
ខ្លាំង	klaŋ
ទម្លាប់	tumloap
កុយ	koy
ប្រាថ្នា	pratnaa
ដើមទង	daəmtɔɔŋ
នាំឲ្យ	noamʔaoy
ទឹកចិត្ត	tɨkcət
អាស្រ័យ	ʔaasray
វាសនា	viehsnaa,viesaʔnaa
ចូល	coul
វត្ត	voat
វិក្កយបត្រ	vikkaʔyaeaʔbat
ពីរោះ	piirʊəh
ក្រយៅដៃ	krɑyavday
ជាន់	coan
ឈូស	cʰuuh
ក្លែងក្លាយ	klaeŋklaay
ហាលថ្ងៃ	haaltŋay
សម្រាក	sɑmraak
អាទិភាព	ʔaatɨʔpʰiep
ចាកចេញ	caakcəɲ
ប្រយោជន៍	prɑyaoc
កាលពី	kaalpii
អ្នកជិតខាង	neakcɨtkʰaaŋ
គ្រាន់បើ	kroanbaə
ប្រតិទិន	prɑteʔtɨn
ខណ្ឌ	kʰan
ព្យួរ	pyuə
ពណ៌	poa
អាឡែង	ʔaalaeŋ
តិចទៀត	təctiət
ឈឺចាប់	cʰɨɨcap
បាល់	bal
ស្រួលបួល	sruǝlbuəl
ជាស្រេច	ciesrac
ស្រូវ	srəv
ក្រៅ	krav
លាងចាន	lieŋcaan
ស្រាល	sraal
ដងទន្លេ	dɑɑŋtʊənlee
កក	kɑɑk
ភ្នាល់	pnoal
ហ៊ាន	hien
បារម្ភ	baarɑm
រិះគន់	rihkʊən
ឪពុក	ʔǝvpuk
ប្រហោង	prɑhaoŋ
ទ្រាំ	troam
ឆែកមើល	cʰaekməəl
ខ្ទាត	ktiet
អារម្មណ៍	ʔaarɑm
មក	mɔɔk
បបរ	bɑbɑɑ
បង្អង់	bɑŋʔɑŋ
ខើច	kʰaəc
ត្បាល់	tbal
ដដែល	dɑdael
កម្មករ	kammaʔkɑɑ
រប៉ាត់រប៉ាយ	rɔpatrɔpaay
យឹត	yɨt
ពឹងផ្អែក	pɨŋpʔaek
មកកាន់	mɔɔkkan
ថ្នាំ	tnam
ពិបាក	piʔbaak
សន្យា	sɑnyaa
មួកការពារ	muəkkaapie
ណា៎	naa
ផ្លូវភេទ	pləvpʰeet
បាល់ទាត់	baltoat
ក្រោយ	kraoy
ឬក៏	rɨɨkɑɑ
កាំជណ្ដើរ	kamcʊəndaə
ចេញឈាម	cəɲcʰiem
ស្រាប់តែ	sraptae
គុក	kuk
លុយអាប់	luyʔap
វិបុល	viʔbol
ក្លៀក	kliək
ពាក្យ	piek
ក្រៅពី	kravpii
បាត់បង់	batbɑŋ
ច្រវាក់	crɑvak
ចំពុះ	cɑmpuh
កំពូលភ្នំ	kɑmpuulpnum
ហូប	houp
បាប	baap
ជុំវិញ	cumvɨɲ
ហុយ	hoy
កអាវ	kɑɑʔaav
បរិមាណ	paʔreʔmaan
សីតុណ្ហមាត្រ	səytonhaʔmiet
រវិច	rɔvɨc
ស្គាល់គ្នា	skoalknie
ប៊ីចេង	biiceeŋ
ស័ក្តិសម	saksɑm
យ៉ាងដូចម្ដេច	yaaŋdoucmdəc
ដាលីន	daalɨn
ចំណង់	cɑmnɑŋ
បញ្ជាក់	bɑɲceak
ពេលវេលា	peelveelie
ឃ្លោង	klooŋ
ប៉េងប៉ោះ	peeŋpɑh
ពួកគាត់	puəkkoat
ខ្ពុរ	kpuu,kpul
ទឹកសុទ្ធ	tɨksot
សម្ងំ	sɑmŋɑm
រីករាយ	riikriey
ដំរី	dɑmrəy
ស្បែកជើងប៉ាតា	sbaekcǝǝŋbaataa
មើលទៅ	məəltɨv
ដំឡូងបារាំង	dɑmlouŋbaaraŋ
សុជាតិ	soʔciet
ត្រចៀក	trɑciək
អកុសល	ʔaʔkoʔsɑl
អត់ធ្មត់	ʔɑttmʊət
រៀប	riəp
ជាដើម	ciedaəm
ចំបើង	cɑmbaəŋ
អង្អែល	ʔɑŋʔael
អង់គ្លេស	ʔɑŋkleeh
ប្រេះ	preh
ទើស	təəh
បាញ់	baɲ
រឹង	rɨŋ
ឆេះ	cʰeh
ទូទឹកកក	tuutɨkkɑɑk
ដុតឆេះ	dotcʰeh
ប្រហែស	prɑhaeh
ផ្សារទំនើប	psaatumnəəp
ស្រោច	sraoc
បែរ	bae
ក្រ	krɑɑ
សង់	sɑŋ
ផ្លូវ	pləv
គ្រោះថ្នាក់	krʊəktnak
ដឹងខ្លួន	dəŋkluən
រ៉ូប	roup
ថ្នាំដុសធ្មេញ	tnamdohtmɨɲ
រតនៈ	roattaʔnaʔ,reaʔtaʔnaʔ
ទូកអុំ	tuukʔom
សាច់ដុំ	sacdom
ពិធីករ	piʔtʰiikɑɑ
កញ្ចក់	kɑɲcɑk
ម្រាមដៃ	mriemday
ស្នែង	snaeŋ
ស្ដីឲ្យ	sdǝyʔaoy
បណ្ដូល	bɑndoul
បាច់	bac
កូនមាន់	kounmoan
ខ្យល់	kcɑl,kyɑl,ksɑl
រូប	ruup
ហ្អ	ʔɑ
ថ្ងៃនេះ	tŋaynih
ដូចមុន	doucmun
កាលបរិច្ឆេទ	kaalpaʔrəccʰaet,kaalbɑɑrəccʰaet
ត្រី	trəy
ម៉ា	maa
បាច	baac
ផ្ងារ	pŋaa
ទីផ្សារ	tiipsaa
អើយ	ʔaəy,ʔəəy
ចំកណ្ដាល	cɑmkɑndaal
អសន្តិសុខ	ʔaʔsɑnteʔsok
ម្នាក់ឯង	mneakʔaeŋ
ពីដើម	piidaəm
ដេញ	dəɲ
សារធាតុ	saaraʔtʰiet
ច្រាំង	craŋ
កូនក្មេង	kounkmeeŋ
លីង	liiŋ
លេស	leeh
ខ្យង	kyɑɑŋ,kcɑɑŋ
របាំង	rɔbaŋ
ច្រមុះ	crɑmoh
នំបញ្ចុក	numbɑɲcok
ទារ	tie
ទិសដៅ	tɨhdav
ស្រេក	sreek
ហ្វាម៉ាស៊ី	faamaasii
ផ្សំថ្នាំ	psɑmtnam
មង្ឃុត	mʊəŋkʰut
រេ	ree
ហើយនិង	haǝynɨŋ
ចាប់ចិត្ត	capcət
អេក្រង់	ʔeekrɑŋ
ជិះ	cih
អំពូល	ʔɑmpuul
របារ	rɔbaa
លាត	liet
ខូចខាត	kʰouckʰaat
ខ្ចប់	kcɑp
បងប្អូន	bɑɑŋpʔoun
ក្រៀម	kriəm
ធាក់	tʰeak
ទឹកស៊ុប	tɨksup
ក្ដាប់	kdap
ផ្សែង	psaeŋ
កម្ចាត់	kɑmcat
ទប់ទល់	tuptʊəl
ហ្វូម	foum
ឆ្អិន	cʔən
ស្វ័យ	svay
អាល់កុល	ʔalko
បង់បិទដំបៅ	bɑŋbətdɑmbav
គុណភាព	kunaʔpʰiep
ក្រោយពេល	kraoypeel
ល្អ	lʔɑɑ
លំអងផ្កា	lumʔɑɑŋpkaa
ឆ្លង	clɑɑŋ
ពិចនិច	pɨcnɨc
ក្រហម	krɑhɑɑm
ហ្នុង	noŋ
ស្បើយ	sbaəy
ដង្កូវទឹក	dɑŋkəvtɨk
អញ្ចុះ	ʔɑɲcoh
សេព	saep
ចុង	coŋ
វាស់	voah
សុគន្ធ	soʔkʊən
កើតឡើង	kaətlaəŋ
ពង	pɔɔŋ
ផារី	pʰaarii
ឈើគូស	cʰəəkuuh
បាត់ស្រេក	batsreek
កេស	keeh
ដង	dɑɑŋ
ទិញ	tɨɲ
ស្រដៀងនឹង	srɑdiǝŋnɨŋ
យួរ	yuə
ការវះកាត់	kaaveahkat
រានហាល	rienhaal
ម៉ាគំនរ	maakumnɔɔ
កសិករ	kaʔseʔkɑɑ
ទុំ	tum
វិលមុខ	vɨlmuk
ប្រាកដជា	praakɑɑtcie
បងស្រី	bɑɑŋsrǝy
ចន្ទល់	cɑntʊəl
បះ	bah
ប្រវែង	prɑvaeŋ
ខាងដើម	kʰaaŋdaəm
សុខសប្បាយ	soksapbaay
បំបែក	bɑmbaek
ហុច	hoc
មាស	mieh
កំណក	kɑmnɑɑk
លិច	lɨc
តឹង	təŋ
ខ្មាសគេ	kmaahkee
ថ្ងៃចន្ទ	tŋaycan
គុម្ព	kum
នរោត្តម	nɔroodɑm
ចៅ	cav
ថ្ម	tmɑɑ
ប្រឡង	prɑlɑɑŋ
ប្រជាប្រិយភាព	prɑcieprəypʰiep
សម្បត្តិ	sɑmbat
ដោះសា	dɑhsaa
យក	yɔɔk
ម្នាក់	mneak
ម្ជុល	mcul
បណ្ណាល័យ	pannaalay
ពេញចិត្ត	pɨɲcət
ឪពុកម្ដាយ	ʔǝvpukmdaay
ផ្សេង	pseeŋ
គួរឲ្យ	kuəʔaoy
ពំនូក	pumnuuk
ផ្ទះល្វែង	pteahlvɛɛŋ
ស្គាល់	skoal
សន្លប់	sɑnlɑp
ចីវរ	ciivɔɔ
ក្រឡុក	krɑlok
សត្វល្អិត	satlʔǝt
ឱប	ʔaop
បណ្ដាញទំនាក់ទំនងសង្គម	bɑndaaɲtumneaktumnɔɔŋsɑŋkum
ថាមពល	tʰaamaʔpʊəl
តួនាទី	tuənietii
ហ្វេសប៊ុក	feehbuk
សារភាព	saaraʔpʰiep
បឋម	paʔtʰɑm
រលក	rɔlɔɔk
ប្រុស	proh
ខាងណា	kʰaaŋnaa
លក្ខខណ្ឌ	leakkʰan
សភាព	saʔpʰiep
ផ្គុំ	pkum
រោង	rooŋ
ឈាន	cʰien
ឱន	ʔaon
សម្អាត	sɑmʔaat
ផ្លូវជាតិ	pləvciet
ស្ទើរគ្រប់	stǝǝkrup
ច្រាសដុសធ្មេញ	craahdohtmɨɲ
ពពក	pɔpɔɔk
ជីវិត	ciivɨt
កាយ	kaay
បង្កប់ន័យ	bɑŋkɑpney
ធ្លាយ	tliey
ចឹង	cəŋ
សិទ្ធិ	sət
ដក់	dɑk
អាកាស	ʔaakaah
សម្ផស្ស	sampʰɑh
អ្នកបើកបរ	neakbaəkbɑɑ
កន្លង	kɑnlɑɑŋ
កាំកង់	kamkɑŋ
ភ្នំសន្ទុក	pnumsɑntuk
យី	yii
បារមី	baareaʔməy
បន្ទប់គេង	bɑntupkeeŋ
ក្រប	krɑɑp
ខួបកំណើត	kʰuəpkɑmnaət
មុខវិជ្ជា	mukvɨccie
រដូវ	rɔdəv
ឆួល	cʰuəl
ឃ្លីងឃ្លោង	kliiŋklooŋ
ថាស	tʰaah
បណ្ដុំ	bɑndom
ស្រុក	srok
មិនទាំង	mɨnteaŋ
ខ្ជាប់	kcoap
ពែង	pɛɛŋ
លត	lɔɔt
ណារី	naarii
ត្រកង	trɑkɑɑŋ
ភ្លេចភ្លាំង	plɨcpleaŋ
ដុំដែក	domdaek
ដើរលេង	daəleeŋ
សុទ្ធតែ	sottae
កាច់ចង្កូត	kaccɑŋkout
ម្ភៃ	mpʰey
ធ្លាក់	tleak
ត្នោត	tnaot
ទាក់ជើង	teakcəəŋ
ការិយាល័យ	kaareʔyaalay
ម៉ោង	maoŋ
ខ្វិត	kvət
ស្របាល	srɑbaal
ពិពណ៌នា	piʔpoanaʔnie,piʔpoanie
ឪឡឹក	ʔǝvlǝk
សីហា	səyhaa
ងាក	ŋiek
ទុកទុក	tuktuk
ដាស់	dah
បកប្រែ	bɑɑkprae
ឆ្កឹះ	ckəh
គ្រោះអាក្រក់	krʊəkʔaakrɑk
បដិសេធ	paʔdeʔsaet
ដប់ប្រាំ	dɑppram
ប្លាស្ទិក	plaastɨk
រូបថត	ruuptʰɑɑt
គ្រប់សព្វ	krupsɑp
មេសា	meesaa
រយៈពេល	reaʔyeaʔpeel
អំពើ	ʔɑmpəə
តេនីស	teeniih
ប្រាំង	praŋ
លាគ្នា	lieknie
កន្ត្រក	kɑntrɑɑk
ដៃ	day
ខួរក្បាល	kʰuəkbaal
រងាវ	rɔŋiev
ទំពា	tumpie
ចុះ	coh
បរិភោគ	bɑɑreʔpʰook
តំបន់	tɑmbɑn
សំប៉ែត	sɑmpaet
ពិនិត្យ	piʔnɨt
អត្តសញ្ញាណប័ណ្ណ	ʔattaʔsaɲɲaanban
កាស្យូ	kaasyou
ស្នាក់	snak
តាមពិត	taampɨt
ឡប់ៗ	lɑplɑp
តម្រៀប	tɑmriəp
មេ	mee
ញាប់	ɲoap
ដង្ហើម	dɑŋhaəm
ក្អម	kʔɑɑm
សាប៊ូកក់សក់	saabuukɑksɑk
ក្រដាសកេស	krɑdaahkeeh
សសរ	sɑsɑɑ
មិន	mɨn
រំលង	rumlɔɔŋ
ភ្ជាប់នឹង	pcoapnɨŋ
សច្ចា	saccaa
ចំ	cɑm
ចាយ	caay
ហើយៗ	haǝyhaǝy
កឿង	kɨəŋ
ហត់នឿយ	hatnɨəy
រំលែកទុក្ខ	rumlɛɛktuk
កាល	kaal
ថ្ងៃត្រង់	tŋaytrɑŋ
ទំហំ	tumhum
បញ្ចុះបញ្ចូល	bɑɲcohbɑɲcoul
គឺ	kɨɨ
ស្អិត	sʔət
ហែក	haek
ជូនពរ	cuunpɔɔ
រកស៊ី	rɔɔksii
សង្ឃ	sɑŋ
ស្វាយកែវចិន	svaaykaevcən
ឃ្យូត	kyuut
ល្បឿន	lbɨǝn
ម្សិលមិញ	msəlmɨɲ
ជាមិនខាន	ciemɨnkʰaan
មិនមែន	mɨnmɛɛn
ស្រាវិស្គី	sraaviskii
ទៀង	tiəŋ
ប៉ូលិស	poulih
ពពុះ	pɔpuh
ភ្លើងស្តុប	pləəŋstop
តារាង	taaraaŋ
បោះពុម្ព	bɑhpum
ស្រាយ	sraay
អង្សាសេ	ʔɑŋsaasee
មណ្ឌលគិរី	mʊəndʊəlkiʔrii
ស្វិត	svət
ថា	tʰaa
សណ្ដូក	sɑndouk
ផលដំណាំ	pʰɑldɑmnam
ចា៎ស	caah
ចាំ	cam
ខល	kʰɑɑl
ប៉ះ	pah
ពាក្យសូរដូច	pieksoudouc
អត់ទេស	ʔɑtteeh
ពិសី	piʔsəy
អៀន	ʔiǝn
ចង្កាក់	cɑŋkak
អនុវត្ត	ʔaʔnuʔvoat
ទទួល	tɔtuəl
រាក	riek
គ្រឿងផ្សំ	krɨəŋpsɑm
មើម	məəm
សោះ	sɑh
ចំណីចំណុក	cɑmnəycɑmnok
តេ	tee
សាឡុង	saaloŋ
ថ្វាយបង្គំ	tvaaybɑŋkum
ខុសវិន័យ	kʰohviʔney
ថោក	tʰaok
អញ្ជើញ	ʔɑɲcəəɲ
រួសរាយ	ruəhriey
ជឿ	cɨə
មេមាន់	meemoan
សុខុម	sokʰom
តស៊ូ	tɑɑsuu
ប្រូម៉ូសិន	broumousǝn
ឥឡូវហ្នឹង	ʔəyləvnɨŋ,ʔləvnɨŋ,ʔiʔləvnɨŋ
សឺរ៉ាំង	səɨraŋ
លក់ដាច់	lʊəkdac
ញេញធ្មេញ	ɲɨɲtmɨɲ
សេរី	seerəy
ថ្ងៃសីល	tŋaysǝl
ក្បាលរ៉ូប៊ីនេ	kbaalroubiinee
កាត់តម្លៃ	kattɑmlay
សាប៊ូ	saabuu
ត្រើយ	traəy
ជ្រលក់	crɔlʊək
ពេលព្រឹកព្រលឹម	peelprɨkprɔlɨm
លើកលែង	lǝǝklɛɛŋ
កៅអី	kavʔəy
អាហារដ្ឋាន	ʔaahaatʰaan
ដុះ	doh
យ៉ាប់ម៉ង	yapmɑɑŋ
អេ	ʔee
នាំគ្នា	noamknie
តែប៉ុណ្ណោះ	taeponnɑh
ម្រាមដៃនាង	mriemdaynieŋ
ខូច	kʰouc
ឌុប	dup
អ៊ុនៗ	ʔunʔun
លាប	liep
ជោគជ័យ	cookcey
អេឡិចត្រូនិច	eeləttrounɨt
សាមសិប	saamsəp
មួយទៀត	muəytiət
ខៀវ	kʰiəv
ឆ្មា	cmaa
ពូថៅ	puutʰav
ផ្ទៃ	ptey
ចៀស	ciəh
គ្រោះថ្នាក់ចរាចរណ៍	krʊəktnakcɑraacɑɑ
ស្រដៀង	srɑdiǝŋ
សំឡី	sɑmləy
បាតទន្លេ	baattʊənlee
រសៀល	rɔsiəl
ស្រះ	srah
លំដាប់លំដោយ	lumdaplumdaoy
ដារិន	daarɨn
បង្ហាញ	bɑŋhaaɲ
ជ្រើសរើស	crəəhrəəh
សរសើរ	sɑɑsaə
លាន់មាត់	loanmoat
ចែកឋាន	caektʰaan
ដង្កូវ	dɑŋkəv
បណ្ដេញ	bɑndəɲ
ឡាម	laam
គ្រលង	krɔlɔɔŋ
ត្រដាង	trɑdaaŋ
ហត់	hɑt
លាស់	loah
ធ្ងន់ធ្ងរ	tŋʊəntŋɔɔ
ប្រឹងប្រែង	prəŋpraeŋ
អង្វែង	ʔɑŋvaeŋ
ស្ថិត	stʰət,tʰət
ប្រាក់ខែ	prakkʰae
ទំព័រ	tumpoa
គណនី	keaʔnaʔnəy,keaʔnaʔnii
អាលុយមីញ៉ូម	ʔaaluymiiɲoum
ខាំ	kʰam
ស្ងាត់	sŋat
ស៊យអាណេះ	sɔɔyʔaaneh
អក្ខរាវិរុទ្ធ	ʔakkʰaʔraaviʔrut
ប្រអប់ស្នោ	prɑʔɑpsnao
រលាត់	rɔloat
គាំង	keaŋ
ឡាតេ	laatee
ណាត់	nat
រដូវរងា	rɔdəvrɔŋie
យ៉ាងម៉េច	yaaŋməc
សៀត	siǝt
កូនដៃ	kounday
ទន់ខ្សោយ	tʊənksaoy
ខាងចុង	kʰaaŋcoŋ
ទីនេះ	tiinih
ពេញនិយម	pɨɲniʔyum
សូម្បីតែ	soumbəytae
ហេតុអី	haetʔəy
ភ	pʰɔɔ
សប្បាយចិត្ត	sapbaaycət
យន្តហោះ	yʊənhɑh
ពួកគេ	puəkkee
ស៊ីរ៉ែន	siiraen
មន្ទីរពេទ្យ	mʊəntiipɛɛt
ស្អុះ	sʔoh
ស្និត	snǝt
ចង្អុល	cɑŋʔol
ព្រួយ	pruəy
សីល	səl
ចាំងថ្ងៃ	caŋtŋay
យុវជន	yuʔveaʔcʊən
នេះ	nih
ចំណង់ចំណូលចិត្ត	cɑmnɑŋcɑmnoulcət
ពីក្រោយ	piikraoy
បន្ទប់ល	bɑntuplɔɔ
ថ្នេរ	tnee
ទឹក	tɨk
ឱ	ʔao
កម្សាន្ត	kɑmsaan
បង្អុរ	bɑŋʔao,bɑŋʔol
ព័ត៌មាន	poadɑɑmien
ញ៉ាំ	ɲam
ប្រទេស	prɑteeh
វិញ	vɨɲ
រំលាយអាហារ	rumlieyʔaahaa
ជម្រាបសួរ	cumriepsuǝ
ផ្លុំ	plom
អាកាសធាតុ	ʔaakaasaʔtʰiet
អ្នកទិញ	neaktɨɲ
សម្រេច	sɑmrac
និយាយរួម	niʔyieyruəm
អត្ថប្រយោជន៍	ʔattʰaʔprɑyaoc
ប្អូនស្រី	pʔounsrǝy
ប្រេង	preeŋ
សំណើម	sɑmnaəm
ពីក្រោម	piikraom
ជំនួយ	cumnuəy
ក្អែល	kʔael
ផ្ដេក	pdeek
ជីដូនជីតា	ciidounciitaa
ដើម	daəm
ពេលព្រឹក	peelprɨk
ស្វាយ	svaay
វាំងនន	veaŋnɔɔn
ប្រាំមួយ	prammuəy
សុភមង្គល	soʔpʰeaʔmeaŋkʊəl,soʔpʰeaʔmʊəŋkʊəl
អង្គែ	ʔɑŋkɛɛ
វីដេអូ	viideeʔou
ប៉ុណ្ណោះ	ponnɑh
ងើប	ŋəəp
ខាងក្រោយ	kʰaaŋkraoy
មុជ	muc
សង្គ្រោះ	sɑŋkrʊəh
ហើមពោះ	haǝmpʊəh
លេប	leep
ធ្វេសប្រហែស	tveehprɑhaeh
រាប	riep
សំរាម	sɑmraam
ផល	pʰɑl
ធម្មជាតិ	tʰoamʔciet,tʰoammeaʔciet
ទន្លេ	tʊənlee
សាឡេត	saaleet
អង្គុយ	ʔɑŋkuy
នំខេក	numkʰeek
លុយរាយ	luyriey
សែសិប	saesǝp
ខ្ចី	kcəy
តែម	taem
ពោះ	pʊəh
ម៉ាស៊ីនបញ្ចាំងស្លាយ	maasinbɑɲcaŋslaay
បៀម	biəm
ខាងលើ	kʰaaŋlǝǝ
នុង	nuŋ
ណេះ	neh
បញ្ហា	paɲhaa,baɲhaa
យេស	yeeh
ច្រើន	craən
ទិន្នន័យ	tɨnneaʔney
ប្រាប់	prap
រដូវប្រាំង	rɔdəvpraŋ
អ្នកស្រែ	neaksrae
ឡាបូ	laabou
ចាន	caan
សុភាពបុរស	soʔpʰiepboʔrɑh
ដៃគូសន្ទនា	daykuusɑnteaʔnie
យូរ	yuu
គូ	kuu
ស្រពោន	srɑpoon
កត់	kɑt
ឧស្សាហ៍	ʔussaa
អេធីអឹម	ʔeetʰiiʔəm
ពិធីបុណ្យ	piʔtʰiibon
ពួកខ្ញុំ	puəkkɲom
ចោរ	cao
មានណា	miennaa
អែប	ʔaep
បង្កង់	bɑŋkɑŋ
យុថ្កា	yuttkaa
លើស	lǝǝh
ជុំគ្នា	cumknie
ទំនប់ទឹក	tumnuptɨk
ប្រញាប់ប្រញាល់	prɑɲapprɑɲal
អៀម	ʔiǝm
ទឹកជំនន់	tɨkcumnʊən
ជ្រាលជ្រៅ	crielcrɨv
មិត្តប្រុស	mɨtproh
មី	mii
លុបចោល	lupcaol
ចៃដន្យ	caydɑn
វេន	veen
ប្រសិនបើ	prɑsənbaə
ព្រលឹម	prɔlɨm
ដុំ	dom
ស្រីខួច	srəykʰuəc
នាទី	nietii
ចំហៀង	cɑmhiəŋ
ទៅមុខ	tɨvmuk
ប្រតិកម្ម	prɑteʔkam
ពេទ្យ	pɛɛt
ពិតមែន	pɨtmɛɛn
បង្ហើយ	bɑŋhaəy
ខោ	kʰao
របស់	rɔbɑh
ខុស	kʰoh
អង្រែ	ʔɑŋrɛɛ
គ្រប់ទីកន្លែង	kruptiikɑnlaeŋ
ប៉ោម	paom
ស្រុកស្រែ	sroksrae
ភោជនីយដ្ឋាន	pʰooceaʔniiyeaʔtʰaan
ព្រោះ	prʊəh
ទាល់	toal
កិន	kən
ដៃខ្លី	daykləy
ខ្សោយ	ksaoy
ចិន	cən
ទាំងអស់គ្នា	teaŋʔɑhknie
ស្ងៀម	sŋiǝm
ឡាំង	laŋ
ថ្នម	tnɑɑm
ដឺម៉ង់	dəɨmɑŋ
សោភ័ណភាព	saopʰoanapʰiep
ផ្លែ	plae
ចំណេញ	cɑmnəɲ
ពាក់កណ្ដាល	peakkɑndaal
យោបល់	yoobɑl
បូនើស	bounǝǝs
ម្ទេសប្លោក	mteehplaok
ហូបចុក	houpcok
ប្រាំពីរ	prampii,prampɨl
ឯ	ʔae
សណ្ដែក	sɑndaek
ដាក់បាត្រ	dakbaat
ក្តី	kdəy
សើម	saəm
ស្រេច	srac
បាំងវាំងនន	baŋveaŋnɔɔn
ចាហួយ	caahuəy
ទើបតែ	təəptae
ហ្សែន	sɛɛn
ឈូង	cʰuuŋ
ជាមុនសិន	ciemunsən
ភ្លើង	pləəŋ
បើក	baək
ម៉ូនីទ័រ	mouniitoa
ទៅតាម	tɨvtaam
ស្កុត	skot
ប្រកួត	prɑkuət
ហាង	haaŋ
ចៀសផ្លូវ	ciəhpləv
សុវត្ថិភាព	soʔvattʰeʔpʰiep
មានការ	mienkaa
ដុស	doh
ឈើច្រត់	cʰəəcrɑt
ឆា	cʰaa
ប្រាស់	prah
សំយោគសញ្ញា	saŋyooksaɲɲaa
អាហារសម្រន់	ʔaahaasɑmrɑn
អាពាហ៍ពិពាហ៍	ʔaapiepiʔpie
ចំណាញ់	cɑmnaɲ
កំប៉ុង	kɑmpoŋ
ស៊ីម	siim
ឆ្ងាយ	cŋaay
ប្រុងប្រយ័ត្ន	proŋprɑyat
ឥឡូវនេះ	ʔəyləvnih,ʔləvnih,ʔiʔləvnih
ស្រួល	sruəl
ជ្រញ់	crʊəɲ
កូដ	kout
ងុយគេង	ŋuykeeŋ
ក្រដាស	krɑdaah
ម្លិះ	mlih
សុផល	soʔpʰɑl
បញ្ចូល	bɑɲcoul
កម្ទេចកម្ទី	kɑmtɨckɑmtii
ស៊ីណា	siinaa
សំពត់ហូល	sɑmpʊəthoul
អំបិល	ʔɑmbəl
បាក់	bak
ញ៉ាំការ	ɲamkaa
គោរព	koorup
កក់សក់	kɑksɑk
មុត	mut
ក្រុមគ្រួសារ	kromkruəsaa
សន្លឹក	sɑnlək
នាគារ	niekie
មែនទែន	mɛɛntɛɛn
រវាង	rɔvieŋ
ផងដែរ	pʰɑɑŋdae
សុភី	soʔpʰii
តម្បារ	tɑmbaa
សមរម្យ	sɑmrum
លោក	look
ចំណី	cɑmnəy
មួកសុវត្ថិភាព	muəksoʔvattʰeʔpʰiep
រួច	ruəc
ដី	dəy
បារី	baarəy,pərəy
ស្អាត	sʔaat
គូទ	kuut
ព្រមទាំង	prɔɔmteaŋ
ជាប់នឹង	coapnɨŋ
សំខាន់	sɑmkʰan
តែ	tae
ហប់	hɑp
អាគុយ	ʔaakuy
មិនសូវ	mɨnsəv
ចិញ្ចើមផ្លូវ	cəɲcaəmpləv
ចេញចូល	cəɲcoul
រពឹស	rɔpɨh
ជួប	cuəp
ភក់	pʰʊək
រាំង	reaŋ
ស្រីពេជ្រ	srǝypɨc
ងាប់	ŋoap
ហ្វែល	fael
ច្របល់	crɑbɑl
វែក	vɛɛk
បំពានច្បាប់	bɑmpiencbap
សូម្បី	soumbəy
កុំ	kom
អ្នកបម្រើ	neakbɑmraə
ពងមាន់	pɔɔŋmoan
ប្រាំពិល	prampɨl
សុជីវធម៌	soʔciiveaʔtʰoa
ជ្រះ	creah
កាត	kaat
សាកលវិទ្យាល័យ	saakɑlvittyielay
អំឡុង	ʔɑmloŋ
បំពង់ក	bɑmpʊəŋkɑɑ
សាធារណៈ	saatʰiereaʔnaʔ
ជោក	cook
ម្សិលម្ង៉ៃ	msəlmŋay
សន្ទូង	sɑntuuŋ
គ្រឿងញៀន	krɨəŋɲiən
កៀក	kiək
ស្រស់ស្រូប	srɑhsroop
ធានា	tʰienie
ចូលរួម	coulruəm
ផ្កាប់	pkap
រដូវភ្លៀង	rɔdəvpliəŋ
ខោវប៊យ	kʰaubɔɔy
បញ្ច្រាស	bɑɲcraah
ព្រួយបារម្ភ	pruəybaarɑm
ស្រូវវស្សា	srǝvvoahsaa
បក់	bɑk
ចាក់ក្រឡេក	cakkrɑleek
ខ្លួនឯង	kluənʔaeŋ
ច្រូត	crout
ក្ដារ	kdaa
ផាមួង	pʰaamuəŋ
អ្វី	ʔvəy
ចង្អើរ	cɑŋʔaə
សងខាង	sɑɑŋkʰaaŋ
ដល់ពេលបច្ចុប្បន្ន	dɑlpeelpaccopbɑn
រង្វង់	rʊəŋvʊəŋ
សំបក	sɑmbɑɑk
បច្ចុប្បន្ន	paccopbɑn
រឹងកំព្រឹស	rɨŋkɑmprɨh
ថវិកា	tʰaʔviʔkaa
ពេលខ្លះ	peelklah
អឺះ	ʔɨh
ឈប់	cʰup
បន្តិច	bɑntəc
ផ្ទុយពី	ptuypii
ត្រូវមាត់	trəvmoat
ក្លឹប	kləp
បរិស្ថាន	bɑɑreʔstʰaan
កើយ	kaəy
ប្រជែង	prɑcɛɛŋ
ម្ល៉េះ	mleh
សម្លៀកបំពាក់	sɑmliəkbɑmpeak
គម្លាត	kumliet
