já	jauː
malli	malːɪ
teygja	tʰeiːja
hreyfa	r̥eiːva
hylli	hɪtlɪ
nú	nuː
téténía	tʰjɛtʰjɛːniːja
flugbraut	flʏɣprøyːt
hildigunnur	hɪltɪkʏnːʏr
samviskusemi	samvɪskʏsɛːmɪ
kakkalakki	kʰahkalahcɪ
kýr	cʰiːr
rykfalla	rɪːkfatla
jólaeyja	jouːlaeiːja
annríki	anːriːcɪ
strítkar	striːtkʰaːr
anemóna	aːnɛmouːna
safn	sapn
auðæfi	øyːðaiːvɪ
vegna	vɛkna
tyrkneska	tʰɪr̥knɛska
rúm	ruːm
drekkja	trɛhca
réttlæti	rjɛhtlaiːtɪ
bambus	pampʏs
náttúra	nauhtuːra
ástralía	australiːja
lágarfi	lauːɣarvɪ
fordrykkur	fɔrtrɪhkʏr
vetni	vɛhtnɪ
gauti	køyːtɪ
deigja	teiːja
kúga	kuːa
perlumóðir	pʰɛrtlʏmouːðɪr
hríð	r̥iːð
ljón	ljouːn
graslendi	kraːslɛntɪ
fylling	fɪtliŋk
hjör	çœːr
stórólfur	stouːroulvʏr
brynjólfína	prɪnjoulviːna
trójuhestur	tʰrouːjʏhɛstʏr
offita	ɔffɪːta
margæs	marcaiːs
franskur	franskʏr
sönnun	sœnːʏn
gæsa	caiːsa
aggi	acːɪ
kúrbítur	kʰurpiːtʏr
kvíði	kʰviːðɪ
kíló	cʰiːlouː
drykkur	trɪhkʏr
bé	pjɛː
hönd	hœnt
hugsa	hʏxsa
nánd	naunt
líkindi	liːcɪntɪ
jarþrúður	jar̥θruːðʏr
kynsjúkdómur	cʰɪnsjuːktouːmʏr
sauðlaukur	søyðløyːkʏr
strákur	strauːkʏr
mús	muːs
kyrr	cʰɪːr
herðar	hɛrðar
deild	teilt
hrinda	r̥ɪnta
spítt	spiht
frauð	frøyːð
matseðill	maːtsɛːðɪtl
hjartanykra	çar̥tanɪːkra
týndur	tʰintʏr
kompa	kʰɔm̥pa
tarfur	tʰarvʏr
reigja	reiːja
magur	maːɣʏr
þiðna	θɪðna
bora	pɔːra
hungur	huŋkʏr
efnahvarf	ɛpnakʰvarv
hljóðeind	l̥jouːðeint
aðili	aːðɪːlɪ
eydís	eiːtiːs
svigna	svɪkna
bjarma	pjarma
landi	lantɪ
einteymingur	eintʰeiːmiŋkʏr
lúga	luːa
pex	pɛks
nokkur	nɔhkʏr
dúskur	tuskʏr
ekkert	ɛhcɛr̥t
ríkisfang	riːcɪsfauŋk
salerni	saːlɛrtnɪ
nýrun	niːrʏn
je	jɛː
námskeið	naumsceiːð
samræmi	samraiːmɪ
slagsmál	stlaxsmauːl
bauk	pøyːk
vélfræði	vjɛlfraiːðɪ
mysuostur	mɪːsʏɔstʏr
jötunuxi	jœːtʰʏnʏxsɪ
haltra	hal̥tra
gísl	cistl
fetta	fɛhta
styrkur	stɪr̥kʏr
skinna	skɪnːa
stelkur	stɛl̥kʏr
sónata	souːnaːta
þrýstilína	θristɪliːna
tvíær	tʰviːaiːr
skynsemi	scɪnsɛːmɪ
dagatal	taːɣatʰaːl
leyfa	leiːva
kaka	kʰaːka
póstkort	pʰoustkʰɔr̥t
setningafræði	sɛhtniŋkafraiːðɪ
jú	juː
ausa	øyːsa
borgaralegur	pɔrkaːralɛːɣʏr
smiður	smɪːðʏr
myndarlegur	mɪntarlɛːɣʏr
bati	paːtɪ
karakter	kʰaraxtɛːr
snoppufríður	stnɔhpʏfriːðʏr
miðja	mɪðja
eiginmaður	eiːjɪnmaːðʏr
leysa	leiːsa
nögl	nœkl
miðbaugur	mɪðpøyːɣʏr
ey	eiː
vettlingur	vɛhtliŋkʏr
hræsnari	r̥aistnarɪ
guðjohnsen	kvʏðjounsɛːnː
nýsnævi	niːsnaiːvɪ
skyn	scɪːn
magnús	maknuːs
fylki	fɪl̥cɪ
bollur	pɔlːʏr
einvaldur	einvaltʏr
nefnd	nɛmt
arabía	aːrapiːja
blað	plaːð
stofa	stɔːva
fram	framː
gola	kɔːla
kvaran	kʰvaːran
hegna	hɛkna
friðmundur	frɪðmʏntʏr
api	aːpɪ
agalega	aːɣalɛːɣa
forðafræði	fɔrðafraiːðɪ
prúður	pʰruːðʏr
fallegur	fatlɛːɣʏr
gíraffi	ciːrafːɪ
beygla	peikla
lunti	lʏn̥tɪ
venda	vɛnta
randa	ranta
dofinn	tɔːvɪnː
hrukka	r̥ʏhka
net	nɛːt
pungbindi	pʰuŋkpɪntɪ
bindi	pɪntɪ
klinka	kʰliŋ̊ka
rismál	rɪːsmauːl
kollhnís	kʰɔtln̥iːs
loðna	lɔðna
stíll	stitl
popp	pʰɔhp
ræðismaður	raiːðɪsmaːðʏr
predikari	pʰrɛːtɪkarɪ
trúarlegur	tʰruːarlɛːɣʏr
ásýnd	auːsint
aðdáun	aðtauːʏn
söngur	søyŋkʏr
fet	fɛːt
flas	flaːs
kamar	kʰaːmar
dreyma	treiːma
varta	var̥ta
anddyri	anttɪːrɪ
liður	lɪːðʏr
ísmael	iːsmaːɛːl
vistvænn	vɪstvaitn
margföldun	markfœltʏn
settaug	sɛːttʰøyːɣ
hlutur	l̥ʏːtʏr
bauð	pøiːð
hjarta	çar̥ta
glott	klɔht
álmur	aulmʏr
læknisfræðilegur	laihknɪsfraiːðɪlɛːɣʏr
skjaldarmerki	scaltarmɛr̥kɪ
eðlisfræðingur	ɛðlɪsfraiːðiŋkʏr
benjamín	pɛnjamiːn
bikar	pɪːkar
sólbað	soulpaːð
tollera	tʰɔlːɛːra
páldís	paultiːs
fenómen	fɛːnouːmɛːn
spæll	spaitl
böllur	pœtlʏr
hnykill	n̥ɪːcɪtl
slitna	stlɪhtna
hagga	hakːa
hlýri	l̥iːrɪ
stóll	stoutl
tilfinningalaus	tʰɪlfɪnːiŋkaløyːs
erítrea	ɛːriːtʰrɛːa
kista	cʰɪsta
bliða	plɪːða
riðla	rɪðla
meta	mɛːta
grænkál	krainkʰauːl
emm	ɛmː
sofir	sɔːvɪr
mega	meiːɣa
steðji	stɛðjɪ
mærð	mairð
brautryðjandi	prøyːtrɪðjantɪ
sorti	sɔr̥tɪ
umsókn	ʏmsouhkn
nýmjólk	niːmjoul̥k
hnappur	n̥ahpʏr
melting	mɛl̥tiŋk
geðlæknir	cɛðlaihknɪr
burnirót	pʏrtnɪrouːt
nebbi	nɛpːɪ
bógur	pouːʏr
sútun	suːtʏn
uml	ʏml
mjólk	mjoul̥k
frumufræði	frʏːmʏfraiːðɪ
sítróna	siːtʰrouːna
flæmskur	flaimskʏr
afstæði	afstaiːðɪ
andefni	antɛpnɪ
hjal	çaːl
hnupl	n̥ʏhpl
yfirtónn	ɪːvɪrtʰoutn
úlpa	ul̥pa
glufa	klʏːva
endurreisnarstefna	ɛntʏrreistnarstɛpna
hrafndís	r̥apntiːs
solla	sɔːla
ferðaáætlun	fɛrðaauːaihtlʏn
drengskapur	treiŋkskaːpʏr
hvelfing	kʰvɛlviŋk
böðull	pœːðʏtl
vit	vɪːt
köfnun	kʰœpnʏn
títra	tʰiːtra
bjóða	pjouːða
alin	aːlɪn
treysta	tʰreista
gimbill	cɪmpɪtl
fótasár	fouːtasauːr
gautelfur	køyːtɛlvʏr
sæða	saiːða
vinalegur	vɪːnalɛːɣʏr
unnusta	ʏnːʏsta
andeind	anteint
blýantur	pliːantʏr
eistalyppa	eistalɪhpa
brauðmylsna	prøyðmɪlstna
vígi	viːjɪ
meitla	meihtla
lífga	livka
hlið	l̥ɪːð
stunda	stʏnta
þuríður	θʏːriːðʏr
innkast	ɪnːkʰast
ólafssúra	ouːlafssuːra
líka	liːka
jarðarber	jarðarpɛːr
hérna	çɛrtna
ker	cʰɛːr
hálsbindi	haulspɪntɪ
kapp	kʰahp
löm	lœːm
önugur	œːnʏːɣʏr
luma	lʏːma
sæmundína	saiːmʏntiːna
stelling	stɛtliŋk
daufur	tøyːvʏr
dýrslegur	tir̥slɛːɣʏr
indverji	ɪntvɛrjɪ
órækja	ouːraiːca
stríðni	striðnɪ
partí	pʰar̥ti
þega	θɛːɣa
snækobbi	snaiːkʰɔpːɪ
skvetta	skvɛhta
bílaflutningabíll	piːlaflʏhtniŋkapitl
burkni	pʏr̥knɪ
drottinn	trɔhtɪn
konur	kʰɔːnʏr
klöpp	kʰlœhp
skíri	sciːrɪ
föndra	fœntra
hrafnastör	r̥apnastœːr
einar	eiːnar
mörgæs	mœrcaiːs
rit	rɪːt
stytta	stɪhta
gætni	caihtnɪ
soldill	sɔltɪtl
maðra	maðra
selja	sɛlja
nagdýr	naɣtiːr
túrmerik	tʰurmɛːrɪk
aðskilja	aðscɪlja
bað	paːð
skynja	scɪnja
skreppa	skrɛhpa
gríska	kriska
konungshöll	kʰɔːnuŋkshœtl
fljót	fljouːt
fræða	fraiːða
kím	cʰiːm
sía	siːja
húfa	huːva
garðakornblóm	karðakʰɔrtnplouːm
bílalest	piːlalɛst
skelkaður	scɛl̥kaðʏr
fönn	fœnː
hnúður	n̥uːðʏr
spauga	spøyːɣa
aðferð	aðfɛrð
sandfok	santfɔːk
spenna	spɛnːa
kynskiptingur	cʰɪːnscɪftiŋkʏr
ásamt	auːsam̥t
léttmjólk	ljɛhtmjoul̥k
útibú	uːtɪpuː
nývirki	niːvɪr̥cɪ
krít	kʰriːt
kyrtill	cʰɪr̥tɪtl
keisaraviður	cʰeiːsaːravɪːðʏr
hengi	heiɲcɪ
dreifa	treiːva
danskur	tanskʏr
bákn	pauhkn
jörgensen	jœrkɛnsɛːnː
fallbyssa	fatlpɪsːa
vesturland	vɛstʏrlant
samför	samfœːr
netfang	nɛːtfauŋk
siða	sɪːða
lok	lɔːk
sívalur	siːvaːlʏr
heimsmethafi	heimsmɛːthaːvɪ
rúmfræði	rumfraiːðɪ
símonía	siːmɔːniːja
leggöng	lɛɣkøyŋk
píta	pʰiːta
magi	maːjɪ
ölkelduvatn	œlcʰɛltʏvahtn
gagnlegur	kaknlɛɣʏr
hlymja	l̥ɪmja
jafntefli	japntʰɛplɪ
austurríki	øystʏrriːcɪ
beisli	peistlɪ
nafnorð	napnɔrð
peð	pʰɛːð
trekt	tʰrɛxt
þýska	θiska
tónn	tʰoutn
vindverskur	vɪntvɛr̥skʏr
mói	mouːɪ
feikn	feihkn
númer	nuːmɛːr
hreinskilinn	r̥einscɪːlɪnː
fals	fals
ljóðskáld	ljouðskault
líkur	liːkʏr
umkringja	ʏmkʰriɲca
flag	flaːɣ
garðaprjón	karðapʰrjouːn
og	ɔːɣ
norðdahl	nɔrðtaːl
nestisbox	nɛstɪspɔxs
nasismi	naːsɪsmɪ
slefa	stlɛːva
rakhnífur	raːkn̥iːvʏr
einrækta	einraixta
lesblindur	lɛːsplɪntʏr
veita	veiːta
hjara	çaːra
prís	pʰriːs
letur	lɛːtʏr
róla	rouːla
gúlrotta	kulrɔhta
ásmundur	auːsmʏntʏr
djarfur	tjarvʏr
sjáland	sjauːlant
jarlsfrú	jartlsfruː
skapari	skaːparɪ
systkin	sɪstkɪːn
bein	peiːn
leturborð	lɛːtʏrpɔrð
umfang	ʏmfauŋk
dreymandi	treiːmantɪ
natrín	naːtriːn
ágirnd	auːcɪrnt
stjörnuspekingur	stjœrtnʏspɛːciŋkʏr
miðaftann	mɪːðaftanː
krossfari	kʰrɔsːfaːrɪ
brjóstamjólk	prjoustamjoul̥k
storkur	stɔr̥kʏr
hróarskelda	r̥ouːar̥scʰɛlta
einhver	einxʷɛːr
rúða	ruːða
álfheiður	aulvheiːðʏr
disklingur	tɪskliŋkʏr
eign	eikn
stóð	stouːð
nashyrningur	naːshɪrtniŋkʏr
bendill	pɛntɪtl
bitur	pɪːtʏr
botnlanganám	pɔhtnlauŋkanauːm
atvikssaga	aːtvɪxssaːɣa
buna	pʏːna
andlangur	antlauŋkʏr
mandla	mantla
styðja	stɪðja
dans	tans
sleppa	stlɛhpa
sæll	saitl̥
lakkrís	lahkriːs
mátun	mauːtʏn
mislingar	mɪstliŋkar
lag	laːɣ
karkari	kʰar̥karɪ
vængur	vaiŋkʏr
járnbraut	jaurtnprøyːt
álka	aul̥ka
láð	lauːð
ljóseind	ljouːseint
góa	kouːa
glæða	klaiːða
kjuði	cʰʏːðɪ
þýskur	θiskʏr
kjölfar	cʰœlfaːr
andheiti	antheiːtɪ
bálkur	paul̥kʏr
visna	vɪstna
mannkyn	manːcʰɪːn
lána	lauːna
niðurlæging	nɪːðʏrlaiːjiŋk
ríkisborgari	riːcɪspɔrkarɪ
bræðsla	praiðstla
steinn	steitn
sefa	sɛːva
tæfa	tʰaiːva
ást	aust
sveipur	sveiːpʏr
fræði	fraiːðɪ
fjórðungur	fjourðuŋkʏr
haustlegur	høystlɛːɣʏr
blóðarfi	plouːðarvɪ
júnímánuður	juːniːmauːnʏðʏr
kveðja	kʰvɛðja
spíra	spiːra
skekkja	scɛhca
hvala	xʷaːla
eggjastokkur	ɛcːastɔhkʏr
brotna	prɔhtna
ferja	fɛrja
textavarp	tʰɛxstavar̥p
glepja	klɛːpja
kóróna	kʰouːrouːna
skáli	skauːlɪ
mjaldur	mjaltʏr
snilld	stnɪlt
vog	vɔːɣ
háseti	hauːsɛːtɪ
hittni	hɪhtnɪ
þras	θraːs
seiða	seiːða
aldinborg	altɪnpɔrk
svella	svɛtla
viskí	vɪsciː
fimbulvetur	fɪmpʏlvɛːtʏr
hyrna	hɪrtna
dugleysi	tʏɣleiːsɪ
móberg	mouːpɛrk
vindur	vɪntʏr
fífill	fiːvɪtl
tjón	tʰjouːn
rauðleitur	røyðleiːtʏr
dagblaðapappír	taɣplaːðapahpiːr
oddviti	ɔtːvɪtɪ
opnunartími	ɔhpnʏːnaːrtʰiːmɪ
símaskrá	siːmaskrauː
rennibekkur	rɛnːɪpɛhkʏr
sitkagreni	sɪːtkakrɛːnɪ
as	aːs
asi	aːsɪ
japani	jaːpʰaːnɪ
rakur	raːkʏr
úlfur	ulvʏr
baskamál	paskamauːl
brjóstvasi	prjoustvaːsɪ
hugsun	hʏxsʏn
hirðuleysi	hɪrðʏleiːsɪ
dýrka	tir̥ka
kræklóttur	kʰraihklouhtʏr
sprunga	spruŋka
hryggja	r̥ɪcːa
fingurbjörg	fiŋkʏrpjœrk
stansa	stansa
nifl	nɪpl
hvalveiði	kʰvalveiːðɪ
ákafi	auːkʰaːvɪ
hrímblaðka	r̥implaðka
hryðjuverkamaður	r̥ɪðjʏvɛr̥kamaːðʏr
men	mɛːn
hæ	haiː
dvergsóley	tvɛrksouːleiː
einarína	eiːnaːriːna
sýki	siːcɪ
hjartafífill	çar̥tafiːvɪtl
glerungur	klɛːruŋkʏr
faraldur	faːraltʏr
séra	sjɛːra
sofa	sɔːva
rögnvaldína	rœknvaltiːna
torveldur	tʰɔrvɛltʏr
háttur	hauhtʏr
kynstur	cʰɪnstʏr
gína	ciːna
holur	hɔːlʏr
bíta	piːta
eintyngdur	eintiŋtʏr
hedda	hɛtːa
seinn	seitn
skjár	scauːr
imbi	ɪmpɪ
höggva	hœkːva
gaukur	køyːkʏr
ingvarsson	iŋkvar̥ssɔːn
kitl	cʰɪhtl
skepna	scɛhpna
m	ɛmː
þynnka	θiŋ̊ka
jakobsfífill	jaːkʰɔpsfiːvɪtl
pokabjörn	pʰɔːkapjœrtn
kóngsriddari	kouŋksrɪtːarɪ
kapítuli	kʰaːpitʰʏːlɪ
dagblað	taɣplaːð
sykurreyr	sɪːkʏrreiːr
æskja	aisca
geysa	ceiːsa
glær	klaiːr
brandari	prantarɪ
eyjaálfa	eiːjaaulva
stranda	stranta
ös	œːs
tilraun	tɪlrøyːn
niðurstaða	nɪːðʏrstaːða
þykja	θɪːca
hóruhús	houːrʏhuːs
kyndill	cʰɪntɪtl
reikningur	reihkniŋkʏr
þráðlaus	θrauðløyːs
risna	rɪstna
hvirfill	xʷɪrvɪtl
múli	muːlɪ
verk	vɛr̥k
tækling	tʰaihkliŋk
ráðabrugg	rauːðaprʏkː
borgundarhólmur	pɔrkʏntarhoulmʏr
hóll	houtl
hæla	haiːla
hafald	haːvalt
snarl	stnartl
frumulíffæri	frʏːmʏliffaiːrɪ
kjörgengur	cʰœrceiŋkʏr
fyrirgangur	fɪːrɪrkauŋkʏr
óbó	ouːpouː
fargjald	farcalt
tæta	tʰaiːta
flauel	fløyːjɛːl
reipi	reiːpɪ
heiðagæs	heiːðacaiːs
kúluvarp	kʰuːlʏvar̥p
viðbrögð	vɪðprœɣð
gróp	krouːp
afríkanskur	aːfriːkʰanskʏr
búfé	puːfjɛː
konsúll	kʰɔnsutl
gulur	kʏːlʏr
kindakjöt	cʰɪntacʰœːt
netja	nɛːtja
framleiða	framleiːða
vasatölva	vaːsatʰœlva
kónguló	kʰouŋkʏlouː
veill	veitl
stafla	stapla
akkeri	ahkɛːrɪ
rjátl	rjauhtl
kæla	cʰaiːla
hornafall	hɔrtnafatl
örvamælir	œrvamaiːlɪr
milt	mɪl̥t
alexander	aːlɛksantɛːr
beitieski	peiːtɪɛscɪ
þorvarðína	θɔrvarðiːna
vestra	vɛstra
yfirtaka	ɪːvɪrtʰaːka
frí	friː
tjákn	tʰjauhkn
kaffi	kʰafːɪ
nágranni	nauːkranːɪ
rusl	rʏstl
fart	far̥t
hanga	hauŋka
mjálma	mjaulma
vansi	vansɪ
virkni	vɪr̥knɪ
útiloka	uːtɪlɔːka
áhugi	auːhʏjɪ
hörfinka	hœrfiŋka
pýroxen	pʰiːrɔksɛːn
kollur	kʰɔtlʏr
gómfilla	koumfɪtla
vöndull	vœntʏtl
mey	meiː
tóbak	tʰouːpaːk
broddkúmen	prɔtːkʰuːmɛːn
maki	maːcɪ
aðalritning	aːðalrɪhtniŋk
nörd	nœrt
orðfræði	ɔrðfraiːðɪ
víns	vins
þórunn	θouːrʏnː
strekkja	strɛhca
verja	vɛrja
tækni	tʰaihkn̥ɪ
hrogn	r̥ɔkn
falla	fatla
iða	ɪːða
stulta	stʏl̥ta
orðatiltæki	ɔrðatʰɪl̥tʰaiːcɪ
frekna	frɛhkna
dramb	tramp
tómur	tʰouːmʏr
rasismi	raːsɪsmɪ
hrææta	r̥aiːjaiːta
kál	kʰauːl
handavinna	hantavɪnːa
tónsproti	tʰounsprɔːtɪ
kjarnavopn	cʰartnavɔhpn
sprikla	sprɪhkla
tremmi	tʰrɛmːɪ
kremja	kʰrɛmja
lautinant	løyːtʰɪnan̥t
luri	lʏːrɪ
kænn	cʰaitn
dráttarvél	trauhtarvjɛːl
sigurdís	sɪːɣʏrtiːs
tylft	tɪl̥ft
samfélagsmiðill	samfjɛːlaːɣsmɪːðɪtl
körfuknattleikur	kʰœrvʏkʰnahtleiːkʏr
kosta	kʰɔsta
sóley	souːleiː
lesta	lɛsta
gisti	cɪstɪ
prenta	pʰrɛn̥ta
pæla	pʰaiːla
serótónín	sɛːrouːtʰouːniːn
forrita	fɔrːɪːta
atgeir	aːtkeiːr
herfi	hɛrvɪ
mosi	mɔːsɪ
kort	kʰɔr̥t
dvergur	tvɛrkʏr
heimsfriður	heimsfrɪːðʏr
glissa	klɪsːa
vax	vaxs
greni	krɛːnɪ
slarkfenginn	stlar̥kfeiŋkɪnː
hóffífill	houvfiːvɪtl
tíundi	tʰiːjʏntɪ
flauta	fløyːta
ákaflega	auːkʰavlɛːɣa
njóta	njouːta
möppudýr	mœhpʏtiːr
óvandaður	ouːvantaːðʏr
flagasef	flaːɣasɛːv
kópur	kʰouːpʏr
laxerolía	laxsɛrɔːlija
hvalur	xʷaːlʏr
skart	skar̥t
lortur	lɔr̥tʏr
eistneska	eistnɛska
greipa	kreiːpa
obláta	ɔplauːta
kerúb	cʰɛːruːp
orðaleikur	ɔrðaleiːkʏr
naust	nøyst
heilbrigður	heilprɪɣðʏr
iðulega	ɪːðʏlɛːɣa
plebbi	pʰlɛpːɪ
úff	ufː
kossa	kʰɔsːa
æja	aiːja
púki	pʰuːcɪ
sull	sʏtl
kjarrsveifgras	cʰarːsveivkraːs
spaug	spøyːɣ
víngarður	vinkarðʏr
framsöguháttur	framsœːɣʏhauhtʏr
bogga	pɔkːa
símgreiðsla	simkreiðstla
dónalega	touːnalɛːɣa
fuglafræði	fʏklafraiːðɪ
húsfrú	huːsfruː
júlíus	juːliːjʏs
hlýja	l̥iːja
málsháttur	maulshauhtʏr
dylja	tɪlja
vita	vɪːta
mæðgin	maiðcɪːn
lækjasef	laiːcasɛːv
þorbjörg	θɔrpjœrk
greipaldin	kreiːpaltɪn
vefja	vɛvja
þrjóta	θrjouːta
saltfiskur	sal̥tfɪskʏr
fullnusta	fʏtlnʏsta
sóldís	soultiːs
málning	maulniŋk
gáfaður	kauːvaðʏr
trefjasóley	tʰrɛvjasouːleiː
einhentur	eiːnhɛn̥tʏr
stía	stiːja
rangeygður	rauŋkeiɣðʏr
kæpa	cʰaiːpa
flórída	flouːrita
dagmál	taɣmauːl
alaska	aːlaska
kaup	kʰøyːp
svífa	sviːva
þjónustustúlka	θjouːnʏstʏstul̥ka
kjörlendi	cʰœrlɛntɪ
linnur	lɪnːʏr
sólveig	soulveiːɣ
kanslari	kʰanstlarɪ
óþekkt	ouːθɛxt
fjandmaður	fjantmaːðʏr
jakuxi	jaːkʏksɪ
fljúga	fljuːa
sumar	sʏːmaːr
mjúkur	mjuːkʏr
öxl	œxstl
palestína	pʰaːlɛstiːna
aumingi	øyːmiɲcɪ
hártoppur	haurtʰɔhpʏr
koffín	kʰɔfːiːn
hestaleiga	hɛstaleiːɣa
dörslag	tœrstlaːɣ
tau	tʰøyː
nötra	nœːtra
fíkinn	fiːcɪnː
bókastoð	pouːkastɔːð
skóli	skouːlɪ
arnór	artnouːr
gluggatjald	klʏkːatʰjalt
fasismi	faːsɪsmɪ
finnungur	fɪnːuŋkʏr
þerna	θɛrtna
aðdragandi	aðtraːɣantɪ
eiturlyfjasali	eiːtʏrlɪvjasaːlɪ
feill	feitl
sigra	sɪɣra
gjögur	cœːɣʏr
þvæla	θvaiːla
frjóhnappur	frjouːn̥ahpʏr
p	pʰjɛː
meik	meiːk
hjakka	çahka
umdæmi	ʏmtaiːmɪ
óhlýðni	ouːl̥iðnɪ
vögguvísa	vœkːʏviːsa
siður	sɪːðʏr
fjárhundur	fjaurhʏntʏr
jórdanía	jourtaːniːja
sítrónusafi	siːtʰrouːnʏsaːvɪ
sendinn	sɛntɪnː
hermikráka	hɛrmɪkʰrauːka
löskur	lœskʏr
févíti	fjɛːviːtɪ
höfuðborgarsvæðið	hœːvʏθpɔrkarsvaiːðɪð
sviði	svɪːðɪ
sjálf	sjaulv
girðing	cɪrðiŋk
þórfríður	θour̥friːðʏr
gler	klɛːr
gaffall	kafːatl
laga	laːɣa
sérhljóð	sjɛːrl̥jouːð
hleypa	l̥eiːpa
þari	θaːrɪ
hrak	r̥aːk
sveinn	sveitn
tvísykra	tʰviːsɪːkra
brokka	prɔhka
frilla	frɪtla
æla	aiːla
útland	uːtlant
afleiðing	avleiːðiŋk
sjá	sjauː
hryssa	r̥ɪsːa
dvergtungljurt	tvɛrktʰuŋljʏr̥t
rakafullur	raːkafʏtlʏr
kúfur	kʰuːvʏr
getnaðarlimur	cɛhtnaːðarlɪːmʏr
hlé	l̥jɛː
bólivía	pouːlɪviːja
innheimta	ɪnːheim̥ta
grímkell	krimcʰɛtl
kaðlari	kʰaðlarɪ
almennur	almɛnːʏr
skrímsli	skrimstlɪ
raul	røyːl
smjör	smjœːr
mýrasauðlaukur	miːrasøyðløyːkʏr
þórshöfn	θour̥shœpn
hneta	n̥ɛːta
óætur	ouːaiːtʏr
hagi	haːjɪ
posi	pʰɔːsɪ
ára	auːra
spark	spar̥k
kragi	kʰraiːjɪ
ræna	raiːna
atburður	aːtpʏrðʏr
klúbbur	kʰlupːʏr
basla	pastla
ólöglegur	ouːlœɣlɛːɣʏr
mold	mɔlt
meðstjórnendur	mɛðstjourtnɛntʏr
sög	sœːɣ
stilkur	stɪl̥kʏr
klettafrú	kʰlɛhtafruː
otur	ɔːtʏr
lyf	lɪːv
erja	ɛrja
tág	tʰauː
dabbi	tapːɪ
bandalag	pantalaːɣ
flokkur	flɔhkʏr
miður	mɪːðʏr
hvæs	kʰvaiːs
þolandi	θɔːlantɪ
upptrekktur	ʏhptʰrɛxtʏr
tónleikar	tʰounleiːkar
stýra	stiːra
lýðnet	liðnɛːt
harpa	har̥pa
kjöt	kʰjœːt
ráðherra	rauːðhɛrːa
rof	rɔːv
kerti	cʰɛr̥tɪ
besefi	pɛːsɛːvɪ
óhapp	ouːhahp
mulningur	mʏlniŋkʏr
stökkva	stœhkva
ú	uː
hakka	hakka
þrasa	θraːsa
ari	aːrɪ
klængur	kʰlaiŋkʏr
georgína	cɛːɔrciːna
tyrkneskur	tʰɪr̥knɛskʏr
þykkur	θɪhkʏr
hryðjuverk	r̥ɪðjʏvɛr̥k
daldís	taltiːs
hefndarþorsti	hɛmtarθɔr̥stɪ
smygill	smɪːjɪtl
hlutverk	l̥ʏːtvɛr̥k
vináttuleikur	vɪːnauhtʏleiːkʏr
tjarnablaðka	tʰjartnaplaðka
blogg	plɔkː
gylta	cɪl̥ta
fura	fʏːra
neðri	neðrɪ
grunnskóli	krʏnːskouːlɪ
augnlok	øyknlɔːk
ógn	oukn
jóndís	jountiːs
spaði	spaːðɪ
drykkja	trɪhca
bliki	plɪːcɪ
bragðskyn	praɣðscɪːn
brúðkaup	pruðkʰøyːp
svo	svɔː
brandönd	prantœnt
feluleikur	fɛːlʏleiːkʏr
mannvitsbrekka	manːvɪtsprɛhka
sekta	sɛxta
fésbók	fjɛːspouːk
viðeigandi	vɪːðeiːɣantɪ
jórdan	jourtaːn
stafafura	staːvafʏːra
úkraína	uːkʰraːiːna
þema	θɛːma
sjóher	sjouːhɛːr
tæki	tʰaiːcɪ
hveitikím	kʰveiːtɪkʰiːm
tuskulegur	tʰʏskʏlɛːɣʏr
mótmæla	mouːtmaiːla
gleði	klɛːðɪ
rasskinn	rasːcʰɪnː
saffran	safːran
fyrirgera	fɪːrɪrcɛːra
jakob	jaːkʰɔːp
lyklaborð	lɪhklapɔrð
kantur	kʰan̥tʏr
nafnháttur	napnhauhtʏr
elía	ɛːliːja
krækla	kʰraihkla
kalsi	kʰalsɪ
legkaka	lɛɣkʰaːka
bróðir	prouːðɪr
rólega	rouːlɛːɣa
helluhnoðri	hɛtlʏn̥ɔðrɪ
stíga	stiːɣa
skema	scɛːma
lemmun	lɛmːʏn
skánn	skautn
kínín	cʰiːniːn
rassgat	rasːkaːt
mesópótamía	mɛːsouːpʰouːtamiːja
stykkja	stɪhca
hræsnistár	r̥aistnɪstʰauːr
beina	peiːna
hrafn	r̥apn
áskrift	auːskrɪft
gras	kraːs
algyðistrú	alcɪðɪstʰru
sakaskrá	saːkaskrauː
kvísl	kʰvistl
stöðvun	stœðvʏn
kappi	kʰahpɪ
bljúgur	pljuːʏr
músareyra	muːsareiːra
einmanaleiki	einmaːnaleiːcɪ
hækill	haicːɪtl
kirkjugarður	cʰɪr̥cʏkarðʏr
bakstur	paxstʏr
hökull	hœːkʏtl
hreinsunareldur	r̥einsʏːnaːrɛltʏr
óhuggulegur	ouːhʏkːʏlɛːɣʏr
daníel	taːnijɛːl
kífa	cʰiːva
hattari	hahtaːrɪ
nafnbót	napnpouːt
fæla	faiːla
kalksteinn	kʰal̥ksteitn
túnsúra	tʰunsuːra
meiðsl	meiðstl
hengja	heiɲca
múgur	muːʏr
gagnrýni	kaknriːnɪ
harður	harðʏr
frækinn	fraiːcɪnː
fjórði	fjourðɪ
aðstoðarforstjóri	aðstɔːðarfɔr̥stjouːrɪ
peningaseðill	pʰɛːniŋkasɛːðɪtl
kló	kʰlouː
afmælisdagur	avmaiːlɪstaːɣʏr
gagnauga	kaknøyːɣa
banga	pauŋka
gátt	kauht
