melandro	melandɾo̝
sarria	sarja̝
doca	dɔka̝
ansemar	ansemaɾ
comarca	komaɾka̝
conda	kɔnda̝
tallo	taʎo̝
caldas	kalda̝s
cea	sea̝
zapping	θapin
nandufe	nandufe̝
sobexo	soβeʃo̝
picota	pikota̝
embora	embɔɾa̝
hedreira	ɛðɾejɾa̝
coral	koɾal
proer	pɾoeɾ
tacoar	takoaɾ
brancellao	bɾanθeʎao̯
isca	iska̝
subela	suβɛla̝
rabo	raβo̝
sarxar	saɾʃaɾ
costa	kɔsta̝
poallo	poaʎo̝
gancho	ɡant͡ʃo̝
zapateiro	sapatejɾo̝
fervenza	feɾβɛnθa̝
feso	feso̝
trincado	tɾiŋkaðo̝
mexericas	meʃeɾika̝s
coroa	koɾoa̝
saa	saː
groria	ɡɾɔɾja̝
reseso	resɛso̝
recuar	rekuaɾ
manicomio	manikɔmjo
buligar	buliɣaɾ
cebro	θeβɾo̝
chorir	t͡ʃoɾiɾ
corgo	kɔɾɣo̝
elmo	ɛlmʊ
buraz	buɾas
truel	tɾuɛl
pampo	pampo̝
mascato	maskato̝
augueiro	awɣejɾo̝
aturuxar	atuɾuʃaɾ
boto	bɔto̝
traballar	tɾaβaʎaɾ
pedreiro	peðɾejɾo̝
xan	ʃaŋ
mi	mi
salame	salame
garela	ɡaɾɛla̝
mantemento	mantemɛnto̝
ventas	ventas
chambergas	t͡ʃambeɾɣa̝s
aparellar	apareʎaɾ
tauromaquia	tauɾomakja
belesar	belesaɾ
olveira	olβejɾa̝
cerna	θɛɾna̝
magán	maɣaŋ
brancaneves	bɾaŋka̝nɛβe̝s
mouco	mowko̝
sella	seʎa̝
sabugueiro	saβuɣejɾo̝
garfela	ɡaɾfɛla̝
zoar	zoaɾ
pisón	pisoŋ
madeiro	maðejɾo̝
liame	liame̝
tapar	tapaɾ
pirixel	piɾiʃɛl
bafarada	bafaɾaða̝
chourela	t͡ʃowɾɛla̝
ningún	niŋɡuŋ
inzar	inθaɾ
asoballar	asoβaʎaɾ
perexil	peɾeʃil
garfelo	ɡaɾfɛlo̝
acabar	akabaɾ
cornacha	kɔɾnat͡ʃa̝
muíña	muiɲa̝
famento	famɛnto̝
guillado	ɡiʎaðo̝
apostar	apostaɾ
mordomo	mɔɾðomo̝
charamisca	t͡ʃaɾamiska̝
budión	buðioŋ
casula	kasula̝
chosco	t͡ʃosko̝
arrufar	arufaɾ
compás	kompas
coriscar	koɾiskaɾ
entroido	entɾujðo̝
videira	biðejɾa̝
richar	rit͡ʃaɾ
cuada	kuaða̝
axe	aʃe̝
engastallar	eŋɡastaʎaɾ
zamarra	θamara̝
ladrar	laðɾaɾ
bastir	bastiɾ
zanfona	θaɱfona̝
habelencia	aβelɛnθja̝
boroa	boɾoa̝
cruto	kɾuto̝
tecer	teθeɾ
esculca	eskulka̝
macho	mat͡ʃo̝
recear	reseaɾ
sombra	sombɾa̝
randulfe	randulfe̝
agasallar	aɣasaʎaɾ
esteiro	estejɾo̝
acoro	akoɾo̝
galar	ħalaɾ
gago	ɡaɣo̝
buxeo	buʃeo̯
esmigallar	esmiɣaʎaɾ
pergamiño	peɾɣamiɲo̝
halar	alaɾ
portelo	poɾtɛlo̝
salmón	salmoŋ
friúce	fɾiuθe̝
gola	ɡɔla
oito	ojto̝
manlle	manʎe̝
randolfe	randolfe̝
pardiña	paɾðiɲa̝
loitosa	lojtosa̝
queimar	kejmaɾ
carepa	kaɾepa̝
moreira	moɾejɾa̝
aparcar	apaɾkaɾ
menciña	menθiɲa̝
volandeira	bolandejɾa̝
escenario	esθenaɾjo
anello	aneʎo̝
retrinco	retɾiŋko̝
fortaleza	foɾtaleθa
xermolo	ʃeɾmolo̝
zapato	θapato̝
alcanzar	alkansaɾ
bucio	buθjo̝
espernear	espeɾneaɾ
dubra	duβɾa̝
alcouce	alkowθe̝
valo	balo̝
estela	estɛla̝
cichón	sit͡ʃoŋ
gondufe	ɡondufe̝
loderno	loðɛɾno̝
coial	kɔjal
verga	bɛɾɣa̝
castizal	kastiθal
redondo	reðondo̝
ferro	fɛro̝
cirola	θiɾɔla̝
encetar	enθetaɾ
pinchacarneiro	pint͡ʃakaɾnejɾo̝
míllara	miʎa̝ɾa̝
asma	asma̝
cerna	sɛɾna̝
chapeu	t͡ʃapew
gallar	ɡaʎaɾ
cabezal	kaβesal
bulló	buʎɔ
solleiro	soʎejɾo̝
miño	miɲo̝
apodrentar	apoðɾentaɾ
canaval	kanaβal
abelá	aβela
cincha	θint͡ʃa̝
gavela	ɡaβɛla
cerquiño	θeɾkiɲo̝
guindareza	ɡindaɾeθɐ
carracha	karat͡ʃa̝
lagarto	laɣaɾto̝
bando	bando̝
betoque	betɔke̝
prebe	pɾɛβe̝
lear	leaɾ
catasol	katasol
abrigo	aβɾiɣo̝
cela	θɛla̝
xunco	ʃuŋko̝
abafar	aβafaɾ
croia	kɾɔja̝
dourado	dowɾaðo̝
gomesende	ɡomesende̝
pallota	paʎɔta̝
poceiro	poθejɾo̝
bendrade	bendɾaðe̝
feixe	fejʃe̝
cativo	katiβo̝
abur	aβuɾ
cumieira	kumjejɾa̝̝
trabuco	tɾaβuko̝
espeta	espeta̝
tina	tina̝
besta	bɛsta̝
ameixeira	amejʃejɾa̝
picapau	pikapaw
amalloar	amaʎoaɾ
homofobia	o̞mo̞fo̞βja̠
curmán	kuɾmao̯
escenario	esenaɾjo
freixa	fɾejʃa̝
facha	fat͡ʃa̝
gaiola	ɡajɔla̝
abra	aβɾa̝
gramar	ɡɾamaɾ
escolma	eskɔlma̝
beldrogo	beldɾoɣo̝
anubrar	anuβɾaɾ
medoña	meðoɲa̝
zamborca	sambɔɾka̝
igrexa	iɣɾeʃa̝
esgrevio	esɣɾeβjo̝
faceiroa	faθejɾoa̝
tamén	tamɛŋ
tronzar	tɾonsaɾ
cadeado	kaðeaðo̝
póla	pɔla̝
buscar	buskaɾ
morriña	muriɲa
cachear	kat͡ʃeaɾ
pedrazo	peðɾaso̝
pinaza	pinaθa̝
mouro	mowɾo̝
obús	ɔβus
chamador	t͡ʃamaðoɾ
asenso	asɛnso̝
lentura	lentuɾa̝
abeiro	aβejɾo̝
pisar	pisaɾ
coio	kɔjo̝
doente	doente̝
fato	fato̝
rubir	ruβiɾ
graña	ɡɾaɲa̝
limaco	limako̝
vesada	besaða̝
uz	us
áspero	aspɾo̝
deostar	deɔstaɾ
albor	alβoɾ
fesga	fesɣa̝
arume	aɾume̝
tranga	tɾaŋɡa̝
rueiro	ruejɾo̝
churrasco	t͡ʃurasko̝
abada	aβaða̝
trinca	tɾiŋka̝
rodeiro	roðejɾo̝
cenza	θɛnθa̝
azouta	asowta̝
poza	posa̝
trema	tɾema̝
fodechinchos	foðet͡ʃint͡ʃo̝s
recuncar	rekuŋkaɾ
consonte	konsonte̝
pallabarro	paʎaβaro̝
prema	pɾema̝
fento	fɛnto̝
soneca	sonɛka̝
esnacar	esnakaɾ
insua	inswa̝
marmelo	maɾmɛlo̝
albarda	alβaɾða̝
toutón	towtoŋ
can	kaŋ
golfiño	ɡolfiɲo̝
escarmear	eskaɾmeaɾ
eu	ew
arqueiro	aɾkejɾo
mentir	mentiɾ
freba	fɾeβa̝
rocín	rosiŋ
pozo	poθo̝
lambonada	lambonaða̝
marra	mara̝
alverxón	alβ̞eɾʃoŋ
cobizoso	koβisoso̝
guindastre	ɡindastɾe̝
cadoiro	kaðojɾo̝
herdanza	ɛɾðanθa̝
cerca	seɾka̝
viravolta	biɾaβɔlta̝
aferretar	aferetaɾ
acibecheiro	asiβɛt͡ʃeiɾo̝
colmea	kolmea̝
apocalipse	apokalipse̝
pernil	pɛɾnil
parrulo	parulo̝
merdento	mɛɾðento̝
bago	baɣo̝
boutureira	bowtuɾejɾa̝
coiraza	kojɾaθa̝
negrón	neɣɾoŋ
repugnante	repuɡnante̝
regueifa	reɣejfa̝
cervexa	seɾβeʃa̝
fito	fito̝
mamada	mamaða
galocha	ɡalɔt͡ʃa̝
boira	bɔjɾa̝
gallado	ɡaʎaðo̝
ceibe	sejβe̝
esmeriz	esmeɾiθ
ateigar	atejɣaɾ
buso	bus̻o̝
sementeira	sementejɾa
bastar	bastaɾ
foula	fowla̝
mirfallo	mirfaʎʊ
remollar	remoʎaɾ
feitizo	fejtiθo̝
adormentar	aðoɾmɛntaɾ
podrecer	poðɾeθeɾ
torgo	tɔɾɣo̝
guisande	ɡisande̝
almariz	almaɾiθ
orxo	oɾʃo̝
torrente	torɛnte̝
meada	meaða̝
chisqueiro	t͡ʃiskejɾo̝
poula	powla̝
derradeiro	deraðejɾo̝̝
congostra	koŋɡostɾa̝
sé	sɛ
deschoer	dest͡ʃoeɾ
peixe	pejʃe̝
rolla	roʎa̝
saña	saɲa̝
feira	fejɾa̝
fretar	fɾetaɾ
orella	oɾeʎa̝
entrouxo	entɾowʃo̝
esfamear	esfameaɾ
enchoupar	ent͡ʃowpaɾ
cheiro	t͡ʃɛjɾo̝
fariña	faɾiɲa̝
coxo	koʃo̝
aceiro	asθejɾo̝
renxer	renʃeɾ
crista	kɾista̝
cabaleiro	kaβalejɾo̝
bertomil	beɾtomil
callar	kaʎaɾ
fedello	feðeʎo̝
traíña	tɾaiɲa̝
ordenanza	oɾðenanθa̝
guillamil	ɡiʎamil
caetano	kae̯tano̝
venda	benda̝
céltigos	θɛltiɣo̝s
soio	sojo̝
raíña	raiɲa̝
petón	petoŋ
molo	molo̝
cisma	ʃiɾma̝
esporón	espoɾoŋ
gonzar	ɡonθaɾ
terroeira	teroejɾa
mucio	muθjo̝
chuvasqueiro	t͡ʃuβaskejɾo̝
badalar	baðalaɾ
guillado	ħiʎaðo̝
han	an
escolmar	eskolmaɾ
lucenza	luθenθa̝
franco	fɾaŋkʊ
natura	natura̝
pombal	pɔmbal
barbanza	baɾβanθa̝
arrufado	arufaðo̝
becerra	beθera̝
tralla	tɾaʎa̝
dubidar	duβiðaɾ
torrar	toraɾ
sachar	sat͡ʃo̝
frangulla	fɾaŋɡuʎa̝
trepia	tɾepja̝
lavadura	laβaðuɾa̝
nobelo	noβelo̝
bota	bota̝
teito	tejto̝
cabrafigo	kaβɾa̝fiɣo̝
gana	ɡana̝
acha	at͡ʃa
roldán	roldaŋ
ofraxe	ɔfɾaʃe̝
arroupar	arowpaɾ
esboirar	esβojɾaɾ
lofa	lofɐ
morno	mɔɾno̝
randeeira	randeejɾa̝
catuxa	katuʃa̝
vizo	biso̝
puñal	puɲal
pan	paŋ
pravoa	pɾaβo̯a̝
nío	niw
ollar	oʎaɾ
escurecer	eskuɾeθeɾ
boo	bo
tacho	tat͡ʃo
rollo	roʎo̝
gulfariz	ɡulfaɾiθ
lapar	lapaɾ
galega	ħaleħɐ
falangueiro	falaŋɡejɾo̝
vorco	bɔɾko̝
toro	toɾo̝
barón	baɾoŋ
enxerir	enʃeɾiɾ
laretar	laɾetaɾ
escarallar	eskaɾaʎaɾ
ábrego	aβɾe̝ɣo̝
pitela	pitɛla̝
xibardo	ʃiβaɾðo̝
teimudo	tejmuðo̝
faceiroa	fasejɾoa̝
carnoedo	kaɾnoeðo̝
pasal	pasal
guerra	ɡɛra̝
cadillo	kaðiʎo̝
colo	kɔlo̝
rapante	rapante̝
estalar	estalaɾ
touza	towθa̝
xurro	ʃuro̝
corno	kɔɾno̝
cear	θeaɾ
parede	paɾeðe̝
brea	bɾea̝
aza	aθa
mastro	mastɾo̝
bagazo	baɣaso̝
xerme	ʃɛɾme̝
bota	bɔta̝
vizoso	biθoso̝
sisa	sisa̝
doutro	dowtɾo
cebada	mendɾeʎo̝
chencha	t͡ʃent͡ʃa̝
remexer	remeʃeɾ
louredo	lowɾeðo̝
lesta	lɛsta̝
dicir	diθiɾ
cortiza	koɾtiθa̝
estévez	esteβeθ̝
estripacontos	estɾipakonto̝s
escoda	es̺koð̞ɐ
aluscar	aluskaɾ
meda	mɛða̝
lousado	lowsaðo̝
chor	t͡ʃoɾ
bidueiro	biðuejɾo̝
cincho	sint͡ʃo̝
meu	mew
fouciña	fowθiɲa̝
lento	lento̝
trabanco	tɾaβaŋko̝
zuncho	θunt͡ʃo̝
enxaugar	enʃawɣaɾ
melgacho	mɛlɣat͡ʃo̝
bieiteiro	biejtejɾo̝
touticeira	towtiθejɾa̝
peza	pɛθa̝
mallar	maʎaɾ
chata	t͡ʃata̝
florín	floɾiŋ
zorra	θora̝
miolo	miolo̝
pezoia	pesoja̝
sartaña	saɾtaɲa
alínea	alinea
godallo	ɰoðaʎo̝
piquelo	pikɛlo̝
nin	niŋ
escuso	eskuso̝
chover	t͡ʃoβeɾ
pontón	puntoŋ
luar	luaɾ
alabarar	alaβaɾaɾ
risada	risaða̝
pallaza	paʎaθa̝
cisma	sisma̝
borro	boro̝
xadrez	ʃaðɾeθ
des	des
caca	kaka̝
mañufe	maɲufe̝
roda	rɔða̝
melón	meloŋ
leiba	lɛjβa̝
chafariz	t͡ʃafaɾis
xurreira	ʃurejɾa̝
casco	kasko̝
toimil	tojmil
restrelo	restɾelo̝
laido	lajðo̝
marta	maɾta̝
sorte	sɔɾte̝
quiñón	kiɲoŋ
vestir	bistiɾ
finar	finaɾ
ruído	ruiðo̝
treboada	tɾeβoaða̝
papafigo	papafiɣo̝
ventureiro	bentuɾejɾo̝
topete	topɛte̝
palma	palma̝
grixoa	ɡɾiʃɔa̝
picar	pikaɾ
prestar	pɾestaɾ
guldrís	ɡuldɾis
berce	bɛɾse̝
aixada	ajʃaða̝
vendaval	bendaβal
chedeiro	t͡ʃeðejɾo̝
escangallar	eskaŋɡaʎaɾ
chan	t͡ʃaŋ
bácoro	bako̝ɾo̝
trouzo	tɾowso̝
nabiza	naβiθa̝
esposa	esposa̝
maariz	maːɾiθ
podrén	poðɾɛŋ
esbourar	esβowɾaɾ
afreitas	afɾejta̝s
cotián	kɔtjaŋ
aceda	aθeða̝
feixe	fejʃ
pitelo	pitɛlo̝
trapela	tɾapɛla̝
barallete	baɾaʎete̝
lamia	lamja̝
fiúza	fiuθa̝
gorxa	ɡɔɾʃa̝
fraga	fɾaɣɐ
milmanda	milmanda̝
zafra	safɾa
trepar	tɾepaɾ
orballo	oɾβaʎo̝
trisco	tɾisko̝
arameña	aɾameɲa̝
ollar	ɔʎaɾ
trade	tɾaðe̝
sa	sa
pelexar	peleʃaɾ
maragoto	maɾaɣɔto̝
alustrar	alustɾaɾ
augardente	awɣaɾðɛnte̝
axirxilar	aʃiɾʃilaɾ
sable	saβle̝̝
argallar	aɾɣaʎaɾ
zorregar	soreɡaɾ
valente	balɛnte̝
comesto	komesto̝
cazón	kaθoŋ
bou	bow
gargallar	ɡaɾɣaʎaɾ
longo	loŋɡo̝
buxeu	buʃew
palmeira	palmeiɾa
infondura	ɪŋfonduɾa̝
baeta	baeta̝
fastío	fastio̝
sar	saɾ
entruido	entɾujðo̝
vara	baɾa̝
caluga	kaluɣa̝
revellido	reβeʎiðo̝
tinta	tinta̝
guindareza	ɡindaɾesɐ
portela	pɔɾtɛla̝
faragulla	faɾaɣuʎa̝
faba	faβa̝
arpeo	aɾpeo̝
esburgar	esβuɾɣaɾ
barco	baɾkʊ
escofar	eskofaɾ
acibecheiro	aθiβɛt͡ʃeiɾo̝
barqueiro	baɾkejɾo̝
bacieiro	baθiejɾo̝
do	d̪ʊ
cepar	θepaɾ
ganapán	ɡanapaŋ
atrapallar	atɾapaʎaɾ
acaroar	akaɾoar
arfar	aɾfaɾ
canga	kaŋɡa̝
troba	tɾɔβa̝
coitelo	kojtɛlo̝
xas	ʃaːs̺
bacelo	baθɛlo̝
cisco	sisko̝
senlleiro	senʎejɾo̝
braga	bɾaɣa̝
galiñeiro	ɡaliɲejɾo̝
buzaco	busako̝
vurullo	buɾuʎo̝
querer	keɾeɾ
riazó	riaθɔ
froila	fɾɔjla̝
escavar	eskaβaɾ
baraza	baɾasa̝
meleiro	mɛlejɾo̝
cheo	t͡ʃeo̝
guerreiro	ɡɛrejɾo̝
afogar	afoɣaɾ
grilanda	ɡrilanda̝
testa	testa̝
bozo	boθo̝
trincar	triŋkaɾ
eixido	ejʃiðo̝
fornello	forneʎo̝
cova	kɔβa̝
xendra	ʃendɾa̝
estribeira	estɾiβejɾa̝
cerrar	sɛraɾ
meogo	meɔɣo̝
suorento	suoɾɛnto̝
toleiro	tɔlejɾo̝
portal	poɾtal
estripar	estɾipaɾ
porén	poɾeŋ
fronza	fɾonsa̝
cona	kona̝
coira	kojɾa̝
lide	liðe̝
camiño	kamiɲo̝
peregrino	peɾeɣɾino̝
foxo	foʃo̝
abetocar	aβetɔkaɾ
monticelo	montiθɛlo̝
leito	lejto̝
laderno	laðɛɾno̝
venres	bɛnre̝s
zorregar	θoreɡaɾ
canizo	kaniso̝
labrada	laβɾaða̝
moneca	monɛka
chirlar	t͡ʃiɾlaɾ
cerrar	θɛraɾ
presuño	pɾɛsuɲo̝
percebe	peɾseβe̝
troita	tɾujta̝
golfón	ɡolfoŋ
saleiro	salejɾo̝
fregar	fɾeɣaɾ
debuxar	deβuʃaɾ
retrucar	retɾukaɾ
gurgullo	ɡuɾɣuʎo̝
tragar	tɾaɣaɾ
drola	dɾɔla̝
mellora	meʎoɾa̝
guillade	ɡiʎaðe̝
bilurico	biluɾiko̝
chencha	t͡ʃɛnt͡ʃa̝
galga	ɡalɣa̝
cruzado	kɾusaðo̝
xerar	ʃeɾaɾ
legua	lɛɣʊ̯a̝
toiberde	tujβeɾðe̝
escairar	eskajɾaɾ
torco	tɔɾko̝
illarga	iʎaɾɣa̝
abondo	aβondo̝
foia	fɔja̝
longaínza	loŋɡainθa̝
lampaza	lampaθa̝
mordomádego	moɾðomaðe̝ɣo̝
taberneiro	taβɛɾnejɾo̝
zamarra	samara̝
colmo	kɔlmo̝
piar	piaɾ
lembrar	lembɾaɾ
sociable	sɔθjable
galicia	ɡalisjɐ
teiga	tɛjɣa̝
toutizo	towtiθo̝
freila	fɾejla̝
arrombar	aromβaɾ
pomar	pomaɾ
almorzar	almoɾsaɾ
ril	ril
lanza	lanθa̝
besta	besta̝
cosmogonía	kosmoɣonia
caravilla	kaɾaβiʎa̝
arroaz	aroaθ
solla	soʎa̝
tamouca	tamowka̝
entón	entoŋ
pereira	peɾejɾa̝
carballo	kaɾβaʎo̝
pelota	pelɔta̝
reo	reo̝
asolagar	asolaɡaɾ
empoleirar	empolejɾaɾ
leiva	lɛjβa̝
ceibar	sejβaɾ
praza	pɾaθa̝
xoga	ʃɔɣa̝
celeiro	θelejɾo̝
xostra	ʃɔstɾa̝
cerro	sero̝
cadrifollo	mendɾeʎo̝
librar	liβɾaɾ
raso	raso̝
solaina	solajna̝
portádego	pɔɾtaðe̝ɣo̝
robaliza	roβalisa̝
regatón	reɣatoŋ
carallada	kaɾaʎaða̝
suor	suoɾ
depenicar	depenikaɾ
rocha	rɔt͡ʃa̝
estoupar	estowpaɾ
retriza	retɾiθa̝
mallo	maʎo̝
lote	lɔte̝
encaixar	eŋkajʃaɾ
aloumiñeiro	alowmiɲejɾo̝
mada	maða̝
cornecho	kɔɾnet͡ʃo̝
encanto	eŋkanto̝
soá	soa
abrente	aβɾɛnte̝
consello	konseʎo̝
abetouro	aβetowɾo̝
brandarís	bɾandaɾis
couce	kowse
néboa	nɛβo̯a̝
colmear	kolmear
acereiro	aθeɾejɾo̝
facho	fat͡ʃo̝
couso	kowso̝
valume	balume̝
mámoa	mamo̯a
relusco	relusko̝
amolegar	amoleɣaɾ
cancelo	kansɛlo̝
cortello	koɾteʎo̝
couzoeira	kowsoejɾa̝
escaravello	eskaɾaβɛʎo̝
labestro	laβestɾo̝
celamín	θelamiŋ
botella	botɛʎɐ
lesende	lesende̝
vira	biɾa̝
entrego	entɾɛɣo̝
gornecer	ɡoɾneθeɾ
centulo	θentulo̝
sobrado	soβɾaðo̝
celanova	θelanɔβa̝
ferra	fɛra̝
lagoa	laɣoa̝
érbedo	eɾβe̝ðo̝
bacío	basio̝
mexillón	miʃiʎoŋ
curuxa	kuɾuʃa̝
fumegar	fumeɣaɾ
louzán	lowθaŋ
panca	paŋka̝
fionllo	fionʎo̝
polaina	polajna̝
nifrar	nifɾaɾ
buceta	buθeta̝
laredo	laɾiðo̝
miradoiro	miɾaðojɾo̝
trapallada	tɾapaʎaða̝
mariñeiro	maɾiɲejɾo̝
ledesma	leðesma̝
claro	klaɾo̝
tenda	tenda̝
chea	t͡ʃea̝
leria	lɛɾja̝
semellar	semeʎaɾ
mantenza	mantɛnsa̝
mosteiró	mostejɾɔ
esterqueira	esteɾkejɾa̝
estear	esteaɾ
achorentar	at͡ʃoɾɛntaɾ
moufa	mowfa̝
arando	aɾando̝
tordo	toɾðo̝
basculla	baskuʎa̝
guincho	ɡint͡ʃo̝
ola	ola̝
agro	aɣɾo̝
quecer	kɛθeɾ
sandar	sandaɾ
amencer	amenseɾ
taboado	taβo̯aðo̝
bogada	boɣaða̝
nariz	naɾis
chincho	t͡ʃit͡ʃaro̝
xabre	ʃaβɾe̝
chufar	t͡ʃufaɾ
trocar	tɾokaɾ
langrán	laŋɡɾaŋ
artigo	aɾtiɣo̝
baraza	baɾaθa̝
pote	pɔte̝
apeladoira	apelaðojɾa̝
melga	mɛlɣa̝
estremo	estɾemo̝
ferrada	fɛraða̝
andrade	andɾaðe̝
gastallo	ɡastaʎo̝
fouce	fowse̝
perdiz	peɾðiθ
pádoa	pað̞wa̝
cable	kaβle̝
rodeira	roðejɾa̝
rubién	ruβjɛŋ
rexión	reʃjoŋ
belvís	bɛlβis
torrontés	torontes
cristal	kɾistal
borreiro	borejɾo̝
táboa	taβo̯a̝
freixedo	fɾejʃeðo̝
cargar	kaɾɣaɾ
sacho	sat͡ʃo̝
zanfoga	θaɱfɔɣa̝
esmilfallar	esmilfaʎaɾ
grei	ɡrɛj
cincho	θint͡ʃo̝
tamuxe	tamuʃe̝
piringalla	piriŋɡaʎa̝
esfaragullar	esfaɾaɣuʎaɾ
magosto	maɣosto̝
mión	mioŋ
vedro	bɛðɾo̝
triabá	tɾiaβa
varón	baɾoŋ
saído	saiðo̝
illó	iʎɔ
mexada	meʃaða̝
peleteiro	peletejɾo̝
coello	koeʎo̝
desqueixar	deskejʃaɾ
nubeiro	nuβejɾo
arrotar	arotaɾ
aduanada	aðwanaða̝
cinlla	θinʎa̝
cerviño	θɛɾβiɲo̝
allada	aʎaða̝
tren	tɾɛŋ
rixo	riʃo̝
suorento	suoɾento̝
cangar	kaŋɡaɾ
ambroesa	ambɾuesa̝
agulla	aɣuʎa̝
rousar	rowsaɾ
esnaquizar	esnakisaɾ
enfeitar	eɱfejtaɾ
rachar	rat͡ʃaɾ
espremer	espɾemeɾ
asmo	asmo̝
peneirar	penejɾaɾ
noxo	noʃo̝
rodrigar	roðɾiɣaɾ
parvo	paɾβo̝
trueiro	tɾuejɾo̝
emprestar	empɾestaɾ
podre	poðɾe̝
xeración	ʃeɾaθjoŋ
sebo	seβo̝
vascullo	baskuʎo̝
xoaniña	ʃwaniɲa̝
espulla	espuʎa̝
rengue	rɛŋɡe̝
tinalla	tinaʎa̝
atar	ataɾ
vilariño	bilaɾiɲo̝
empanar	empanaɾ
azougue	aθowɣe̝
paixón	pajʃoŋ
trono	tɾono̝
galardón	ɡalaɾðoŋ
árgoma	aɾɣo̝ma̝
esculcar	eskulkaɾ
caer	kaeɾ
refungar	refuŋkaɾ
cas	kas
gobelete	ɡoβelete̝
fozar	fosaɾ
garavanzo	ɡaraβanθo̝
vitureira	bituɾejɾa̝
cadeirado	kaðejɾaðo
arrecender	aresendeɾ
intre	intɾe̝
furancho	fuɾant͡ʃo̝̝
mergullar	meɾɣuʎaɾ
dentón	dɛntoŋ
raíz	rais
marcar	maɾkaɾ
zafra	θafɾa
tecelán	teθelaŋ
pota	pɔta̝
cego	sɛɣo̝
acevo	aθeβo
gafo	ɡafo̝
pescozada	peskosada̝
andar	andaɾ
escorar	eskɔɾaɾ
zanca	θaŋka̝
doira	dojɾa̝
señeiro	seɲejɾo̝
olmo	olmo̝
sangiao	sanʃiao̯
gallo	ħaʎʊ
sobreira	soβɾejɾa̝
choupar	t͡ʃowpaɾ
esmola	esmɔla̝
recear	reθeaɾ
camisa	kamisa̝
cancela	kansɛla̝
preguiceiro	pɾeɣiθejɾo̝
lamazal	lamasal
berro	bɛro̝
baril	baɾil
alto	alto̝
buxarda	buʃaɾða̝
buxón	buʃoŋ
auga	awɡa
perexil	pɾeʃil
doente	doɛnte̝
parladoiro	paɾlaðojɾo̝
olga	ɔlɣa̝
serpe	sɛɾpe̝
caíño	kaiɲo̝
boullón	bowʎoŋ
fita	fita̝
birollo	biɾoʎo̝
balorento	baloɾɛnto̝
alcácer	alkasɛɾ
monllo	mɔnʎo̝
parrumeira	parumejɾa̝
rusia	rusja
aquí	aki
espiar	espiaɾ
sorrir	soriɾ
trenla	tɾɛnla̝
loureiro	lowɾejɾo̝
tronada	tɾonaða̝
escarpear	eskaɾpeaɾ
biqueira	bikejɾa̝
cezobre	θeθɔbɾe̝
xeitoso	ʃejtoso̝
tol	tɔl
goro	ɡɔɾo̝
abafo	aβafo̝
roñar	roɲaɾ
sarillo	saɾiʎo̝
troula	tɾowla̝
pasadoiro	pasaðojɾo̝
pá	paː
adrede	aðɾeðe̝
mazaroca	maθaɾɔka̝
xalundes	ʃalundes
seara	seaɾa̝
moufada	mowfaða̝
balboa	balβoa̝
agromar	aɣɾomaɾ
orgullo	oɾɣuʎo̝
arre	are̝
cinchar	θint͡ʃaɾ
requeixo	rekejʃo̝
dobrar	doβɾaɾ
casquete	kaskete̝
decote	dekɔte̝
túzaro	tusa̝ɾo̝
acio	aθjo̝
baloco	balɔko̝
ferros	fɛro̝s
muxe	muʃe̝
despender	despendeɾ
enriquecer	enrikeθeɾ
ferir	feɾiɾ
nembargantes	nɛmbaɾɣa̝nte̝s
galega	ɡaleɣɐ
xouba	ʃowβa̝
mosende	mosende̝
abalo	aβalo̝
estourar	estowɾaɾ
aparello	apaɾeʎo̝
veitureira	bejtuɾejɾa̝
liñó	liɲɔ
olfate	ɔlfate̝
estevo	esteβo̝
esguizar	esɣiθaɾ
maceira	maθejɾa̝
piscar	piskaɾ
campaza	kampaθa̝
gaivota	ɡajβɔta̝
brandián	bɾandiaŋ
borrea	borea̝
morar	moɾaɾ
calvo	kalβo̝
avesío	aβesio̝
vezo	beso̝
puño	puɲo̝
aguillada	aɡiʎaða̝
buxola	buʃɔla̝
bicho	bit͡ʃo̝
tirador	tiɾaðoɾ
zoar	soaɾ
merdento	mɛɾðɛnto̝
ansoar	anso̯aɾ
perna	pɛɾna̝
recanto	rekanto̝
regato	reɣato̝
samos	samo̝s
treito	tɾejto̝
rodriga	roðɾiɣa̝
predela	pɾeðɛla
berberecho	beɾβeɾet͡ʃo̝
desferrado	desferaðo̝
sa	saː
chapeu	t͡ʃapɛw
hortelá	ɔɾtela
cervún	θɛɾβuŋ
fungar	fuŋkaɾ
chicharro	t͡ʃit͡ʃaro̝
milgranda	milɣɾanda̝
malleira	maʎejɾa̝
doado	duaðo̝
carballa	kaɾβaʎa̝
mosqueira	moskejɾa̝
pesqueira	peskejɾa̝
muruxa	muɾuʃa̝
xiba	ʃiβa̝
eslumar	eslumaɾ
morteiro	moɾtejɾo̝
espadela	espaðɛla̝
canle	kanle̝
lesma	lɛsma̝
rairo	rajɾo̝
mariola	maɾjɔla̝
lambefoula	lambefowla̝
zurro	θuro̝
fillo	fiʎo̝
mazá	maθaː
parruma	paruma̝
brocha	bɾɔt͡ʃa̝
tornarratos	tɔɾnarato̝s
rocho	rɔt͡ʃo̝
buso	buso̝
seda	seða
sazón	saθoŋ
eirado	ejɾaðo̝
chaga	t͡ʃaɣa̝
pobo	pɔβo̝
busto	busto̝
caixón	kajʃoŋ
