naabritega	nˈaːbritˌeɡa
õpitut	ˈɵpitut
perede	pˈerɛde
Saatse	sˈaːtse
kaaluda	kˈaːluda
palliplatsil	pˈaʎʎiplaˌit^sil
säästudest	sˈæːstudest
suvilas	sˈuvɪlas
tõlgendatav	tˈɵlɡendatav
meetrilt	mˈeːtːrilt
LehtKolmapäev	lˈehtkˈolmapæev
haridussüsteem	hˌarɪdˌussystˈeːm
piirmäärade	pˈiːrmˈæːrade
peata	pˈeatːa
välistest	vˈæʎɪstest
kirjanikust	kˈirjanikust
tänuväärse	tˌænʊvˈæːrse
hüüdlauseid	hˈyːdlaˌuseid
loole	lˈoːle
petis	pˈet^is
põlenguala	pˈɵlɛŋɡˌuala
kunstinäitus	kˈunstinˌæ͡itːus
ütlust	ˈytːlust
täiendavad	tˈæ͡ijendavad
plaadile	plˈaːd^ile
ärapanemise	ˈærɑpˌanemˌise
toores	tˈoːres
modell	mˈodɛiʎʎ
ilmaennustuse	ˈilmaˌennustˌuse
loodigi	lˈoːd^iɡi
tel	tˈelɛfon
kombaini	kˈommbaˌini
Uba	ˈubɑ
geograafiat	kˈeoːɡrˈaːfiat
pillide	pˈiʎʎide
Näituse	nˈæ͡itːuse
riigivisiit	rˈiːɡivisˈiːt
liiklejad	lˈiːkːlejad
eurotsooni	ˌeurotsˈoːni
noortes	nˈoːrtes
Targemad	tˈarɡemad
Rattaralli	rˈatːarˌalli
Ulla	ˈulla
Ahjaa	ahjˈaː
puhka	pˈuhka
lennukatastroofi	lˌennukatastrˈoːfi
Van	vˈan
teenivate	tˈeːɲivˌate
kurvastav	kˈurvastav
hoius	hˈoijus
keskkonnakaitse	kˈeskːonnakaˌitse
karjamaal	kˌarjamˈaːl
pussitas	pˈus^s^itas
läbitud	lˈæbɪtud
valvega	vˈalveɡa
lennutatud	lˈennutatud
Tootseni	tˈoːtseni
vanuseklassi	vˈanʊsˌekːlassi
pühitsemine	pˈyhɪtsˌemine
halvustama	hˈalvustˌama
aadressiks	ˈaːdressiks
hoia	hˈoija
kutsekoolides	kˌutsekˈoːlides
raviarst	rˈaviarst
erisuste	ˈerɪsˌuste
terrorismivastane	tˈerrorˌismivˌastane
haigestumus	hˈaiɡˌestumus
ratifitseerimiseks	rˌat^ifitsˈeːrimiseks
konfidentsiaalsed	kˌonfidˌentsiˈaːlsed
toimuvaga	tˈoimˌuvaɡa
bürokraatiast	pˌyrɔkːrˈaːtːiast
saajaid	sˈaːjaid
rattal	rˈatːal
muusikasse	mˈuːs^ikˌasse
Kärmas	kˈærmas
lähendada	lˈæhɛndˌada
saavutamisel	sˈaːvutˌamisel
Tamperes	tˈamperes
Miks	mˈiks
variserid	vˈarɪserid
mudelitele	mˈudɛlˌitele
kahepoolset	kˌahɛpˈoːlset
lk	ˈellkˌaaː
viaduktil	vˈiadˌuktil
uskusid	ˈuskusid
Lahendused	lˈahɛndused
riikidele	rˈiːkːidˌele
muusikuks	mˈuːs^ikuks
Patendiameti	pˈateɲdˌiamˌeti
omagi	ˈomɑɡi
õppivate	ˈɵpːivˌate
strateegiliselt	stratˈeːɡiliselt
kuningriigis	kˌuɲɪŋɡrˈiːɡis
kontrolörid	kˈontrolørid
enamusosaluse	ˈenɑmˌusosˌaluse
kriminaalpolitseiniku	krˌiminˈaːlpolˌitseˌiniku
esitleti	ˈes^ɪtːlˌeti
intervjuus	ˌintervjˈuːs
rootslasest	rˈoːtslasest
meisterdanud	mˈeistˌerdanud
omaste	ˈomɑste
Maksimarketi	mˈaksimˌarkːeti
niiväga	nˈiːvæɡa
Tadžikistani	tˈadʒikˌistani
ereda	ˈerɛda
pooldajad	pˈoːldajad
Kesikud	kˈes^ɪkud
riigijuhte	rˈiːɡijˌuhte
kiiruseks	kˈiːruseks
tugevaimad	tˈuɡɛvˌaimad
Regina	rˈeɡɪna
keelekasutus	kˈeːlekˌasutus
heida	hˈeida
saatejuhile	sˈaːtːejˌuhile
talgutele	tˈalɡutˌele
kokkuvõtteid	kˈokːuvˌɵtːeid
julgeolekupoliitika	julɡˈeoːlekupolˈiːtːika
poosid	pˈoːs^id
Uurisin	ˈuːrisin
Alba	ˈalba
valgusfoor	vˌalɡusfˈoːr
VE	vˈe
täidaks	tˈæ͡idaks
täiendusõppe	tˈæ͡ijendusˌɵpːe
Teades	tˈeades
seiku	sˈeikːu
kate	kˈate
Alguse	ˈalɡuse
eluvaldkondade	ˈelʊvˌaldkondˌade
Mõnedki	mˈɵnɛdki
kärpe	kˈærpe
päringutele	pˈærɪŋɡˌutele
kristlasena	krˈistlasˌena
meisse	mˈeisse
provotseeris	prˌovotsˈeːris
Margus	mˈarɡus
lähenes	lˈæhɛnes
tegutsetud	tˈeɡʊtsetud
sotsiaalmaja	sˌoit^siˈaːlmaja
omandamisega	ˈomɑndˌamisˌeɡa
Jaht	jˈaht
Sügava	sˈyɡɑva
eluvaldkondades	ˈelʊvˌaldkondades
münte	mˈynte
õpetused	ˈɵpetused
Liepajas	lˈiepːajas
mahavõtmine	mˈahɑvˌɵtːmine
sööks	sˈøːks
isiksusena	ˈis^ɪksˌusena
aluspesu	ˈalʊspˌesu
Helm	hˈelm
konni	kˈoɲɲi
Avandi	ˈavɑɲdi
jänki	jˈæŋkːi
suguharu	sˈuɡʊhˌaru
lõhkunud	lˈɵhkunud
politseiprefekt	pˈoʎɪtseˌipːrefekt
investeeringutesse	ˌinvestˈeːriŋɡutˌesse
Äärmiselt	ˈæːrmiselt
Meelejahutaja	mˈeːlejˌahutˌaja
juhtimisega	jˈuhtimˌiseɡa
nimegi	nˈimɛɡi
toetus	tˈoetːus
tapavad	tˈapavad
kasvatama	kˈasvatˌama
targale	tˈarɡale
ujutatud	ˈujʊtatud
seisu	sˈeisu
tõmbamine	tˈɵmmbamˌine
aktsionäridel	ˈaktsiˌonæridel
konservatiivne	kˌonservatˈiːvne
loeti	lˈoetːi
märkuse	mˈærkːuse
mõjutab	mˈɵjʊtab
laulude	lˈaulˌude
hoidudes	hˈoidudes
pleki	plˈeki
koostöökokkuleppe	kˈoːstˈøːkːokːulˌepːe
FactSeti	fˈaktsˈet^i
imeilusa	ˈimeˌilusa
Ulfsaki	ˈulfsaki
nõustanud	nˈɵustanud
Saatest	sˈaːtːest
esituse	ˈes^ɪtˌuse
lörtsi	lˈørtsi
äsjasündinud	ˈæs^jasˌyɲdinud
ebaõnnestus	ˈebaˌɵnnestus
Mil	mˈil
kursi	kˈursi
rahvusriiki	rˌahvusrˈiːkːi
sedelile	sˈedɛlˌile
toitmine	tˈoitːmˌine
automaadist	ˌautːomˈaːdist
raiuti	rˈaijˌutːi
kohtulahend	kˈohtulahend
telesse	tˈelɛsse
paradiisis	pˌarɑdˈiːsis
kodutöid	kˈodʊtø͡id
kajastati	kˈajɑstˌati
pudeneb	pˈudɛneb
sündmusest	sˈyndmusest
kurjategijad	kˈurjatˌeɡijad
korvpalliturniiril	kˌorvpalliturnˈiːril
nõrk	nˈɵrk
Indian	ˈiɲdian
Mubaraki	mˈubɑrˌaki
kasutuseta	kˈasʊtˌuseta
rinnavähi	rˈinnavˌæhi
Tammepuu	tˌammepˈuː
lahendit	lˈahɛɲdit
Šveitsist	ʃvˈeiˌit^sist
saiad	sˈaijad
sügavale	sˈyɡɑvˌale
otseseid	ˈotseseid
nõukogule	nˈɵukːˌoɡule
auhind	ˈauhind
uhkustundega	ˈuhkustˌundeɡa
mööduva	mˈøːduva
spurdi	spˈurdi
Vendade	vˈendade
Lõppev	lˈɵpːev
Alevi	ˈalɛvi
tuvastamist	tˈuvɑstamist
Escort	ˈeskort
saaksite	sˈaːksite
turge	tˈurɡe
hirmutas	hˈirmutas
Tere	tˈerɛ
kommete	kˈommete
vähendame	vˈæhɛndˌame
popiks	pˈopiks
küpse	kˈypse
väljaannete	væʎjˈaːnnete
kostüüme	kostˈyːme
konditsioneer	kˌoɲdiˌit^sionˈeːr
kooskõlastusringile	kˈoːskɵlˌastusrˌiŋɡile
ringkäigu	rˈiŋɡkæ͡iɡu
saarte	sˈaːrte
miljoniga	mˈiʎjonˌiɡa
Ljudmilla	ljˈudmilla
Kõivupuu	kˌɵivupˈuː
valimisliidul	vˌaʎɪmislˈiːdul
Tammla	tˈammla
asulas	ˈasʊlas
ninaga	nˈinɑɡa
ettevalmistamise	ˈetːevˌalmistˌamise
osalejaga	ˈosɑlˌejaɡa
lastepornot	lˈastepˌornot
realiseerib	rˌealisˈeːrib
sügavamalt	sˈyɡɑvamalt
linnale	lˈinnale
osta	ˈosta
pressisekretär	prˈes^s^isˌekːretær
vaimulikele	vˈaimˌulikˌele
selgemalt	sˈelɡemalt
värises	vˈærɪses
kasvulava	kˈasvulˌava
inimõiguste	ˈiɲɪmɵiɡˌuste
GMi	kmˈi
teenindusmaja	tˈeːɲindˌusmaja
rikastavad	rˈikastavad
sõjaväeteenistus	sˌɵjɑvæetːˈeːnistus
äragi	ˈærɑɡi
lõnga	lˈɵŋɡa
Aasmäe	ˈaːsmˈæeː
saaks	sˈaːks
Mustpeade	mˈustpeˌade
nägude	nˈæɡʊde
kaeti	kˈaetːi
utoopia	utˈoːpːia
pilootide	pilˈoːtːide
Ekspress	ˈekspreis^s^
ründav	rˈyndav
tsiviilhagi	tsivˈiːlhaɡi
Kungla	kˈuŋɡla
Konjunktuuriinstituudi	kˌoɲjuŋktˈuːrˈiːnstitˈuːdi
Lugna	lˈuɡna
abiellunud	ˈabiˌellunud
küsimärk	kˈys^ɪmærk
julgevad	jˈulɡevad
Ruussaar	rˈuːssˈaːr
tagasilöökide	tˌaɡɑsilˈøːkːide
Alzheeria	alʒˈeːria
Fotol	fˈotol
korduvaid	kˈorduvaid
sündide	sˈyɲdide
mäele	mˈæele
armeenia	armˈeːnia
Tundmatuks	tˈundmatuks
P	pˈeeː
makseraskustesse	mˈakserˌaskustˌesse
Pätsi	pˈæit^si
Juhti	jˈuhti
noorematega	nˈoːremˌateɡa
Marsilt	mˈarsilt
peaksite	pˈeaksˌite
argipäeviti	ˈarɡipˌæevˌiti
rõhuasetused	rˈɵhuˌasetused
Hinna	hˈinna
liikumist	lˈiːkːumist
värbamise	vˈærbamˌise
seik	sˈeik
võidu	vˈɵidu
küsitluses	kˈys^ɪtːluses
aegumist	ˈaeɡumist
mõjuagent	mˈɵjuaɡeɲt
suurematele	sˈuːremˌatele
olümpiakuld	ˈolympiˌakːuld
psühhiaater	psˌyhhiˈaːtːer
kasulikuks	kˈasʊlikuks
artiklite	ˈartikːlˌite
kalmistut	kˈalmistut
teos	tˈeoːs
ärevuses	ˈærɛvuses
saabumiseni	sˈaːbumˌiseni
perse	pˈerse
muuseumis	mˈuːseumis
maasturite	mˈaːsturˌite
segavat	sˈeɡɑvat
naha	nˈahɑ
maaklerite	mˈaːkːlerˌite
juurdeehitis	jˈuːrdˈeːhitis
hoiatava	hˈoijˌatːava
sõidutavad	sˈɵidˌutavad
kavalusega	kˈavɑlˌuseɡa
käega	kˈæeɡa
madrus	mˈadrus
Boko	pˈoko
Föderaalne	fˌødɛrˈaːlne
pehmod	pˈehmod
Uruguay	ˈurʊɡˌuai
jätkuval	jˈætkuval
Associated	ˈassotsiˌatːed
lapsesõbralik	lˈapsesˌɵbralik
Urmi	ˈurmi
Paet	pˈaet
leiutama	lˈeijˌutːama
anekdoodi	ˌanɛkdˈoːdi
voldikuid	vˈoʎdikuid
Luhamaal	lˌuhɑmˈaːl
Vastupidisel	vˈastupˌidisel
veevarustuse	vˈeːvarˌustuse
kogutava	kˈoɡʊtˌava
tungitud	tˈuŋɡitud
Mexico	mˈeksiko
ahnete	ˈahnete
efektiivseid	ˌefɛktˈiːvseid
arust	ˈarʊst
Iisraelis	ˈiːsraelis
justiitsministeeriumile	jus^tˈiːtsministˈeːriˌumile
devalveerida	tˌevɑlvˈeːrida
kaitseliitlane	kˌaitselˈiːtːlane
riietuda	rˈiːjetːˌuda
põhiseaduslikule	pˈɵhɪseadˌuslikˌule
SMSi	smsˈi
igapäevaelus	ˈiɡɑpˌæevˌaelus
liiklusesse	lˈiːkːlusˌesse
täielikuks	tˈæ͡ijelikuks
laos	lˈaoːs
RIIK	rˈiːk
ministritest	mˈiɲɪstritest
harrastaja	hˈarrastˌaja
avatus	ˈavɑtus
Volvo	vˈolvo
Pärsim	pˈærsim
talukoha	tˈalʊkˌoha
Zirk	zˈirk
pahatahtlikult	pˈahɑtˌaht^likult
Kasuks	kˈasʊks
Elamislubade	ˈelɑmˌislubˌade
Teate	tˈeatːe
impordikeelu	ˌimpordikˈeːlu
kolmapäeviti	kˈolmapˌæevˌiti
kaugematest	kˈauːɡˌematest
suunas	sˈuːnas
Vilniuses	vˈiʎniuses
laevu	lˈaevu
joodikud	jˈoːd^ikud
koolidirektori	kˈoːʎidirˌektori
varuosi	vˈaruˌosi
kütavad	kˈytavad
Jäätteenmäki	jˈæːtːˈeːnmæki
süüasja	sˈy͡ijasja
NASA	nˈasɑ
Rahula	rˈahʊla
Oberg	ˈobɛrɡ
ühisprojekti	ˈyhɪsprojˌekti
mitmeaastast	mˌitːmeˈaːstast
puhastades	pˈuhɑstades
auhinnaraha	ˈauhˌinnarˌaha
ähvardamises	ˈæhvardˌamises
kantsel	kˈantsel
ettevaatlikumalt	ˌetːevˈaːtːlikumalt
enesekontrolli	ˈenɛsekˌontrolli
ohjeldamine	ˈohjeldˌamine
Aleppo	ˈalɛpːo
kahasse	kˈahɑsse
sentigi	sˈeɲtiɡi
asetuse	ˈasɛtˌuse
Näha	nˈæhɑ
janu	jˈanʊ
Lada	lˈadɑ
sunnitud	sˈuɲɲitud
võrgu	vˈɵrɡu
kunsttükk	kˈunstːykː
korraldab	kˈorraldab
siseriiklik	sˌisɛrˈiːkːlik
Lady	lˈadi
raviga	rˈavɪɡa
Üllatas	ˈyllatas
kogukonnaga	kˈoɡʊkˌonnaɡa
riietusruumis	rˈiːjetːusrˈuːmis
pretensioone	prˌeteɲsiˈoːne
suuresti	sˈuːres^ti
asjakohase	ˈas^jakˌohase
kunstnikke	kˈunst^nikːe
Lugeja	lˈuɡɛja
nauditav	nˈauditav
igat	ˈiɡɑt
kirikuvarade	kˈirɪkˌuvarˌade
tekstile	tˈekstile
Tatari	tˈatari
libisemise	lˈibɪsˌemise
rahvarõivaid	rˈahvarˌɵivaid
õp	ˈɵpɛtˌaja
vaimulikust	vˈaimˌulikust
ostuks	ˈostuks
noortetöö	nˈoːrtetˈøː
käitlemises	kˈæ͡itːlemises
julmal	jˈulmal
Pensionäridele	pˈeɲsiˌonærˌidele
Malta	mˈalta
pooleaastast	pˈoːleˈaːstast
Sadamal	sˈadɑmal
ammuse	ˈammuse
kandideerimine	kˌaɲdidˈeːrimˌine
omavalitsusliidu	ˌomɑvalˌitsuslˈiːdu
tunneli	tˈunneli
leti	lˈet^i
oman	ˈomɑn
paremana	pˈarɛmˌana
tõdenud	tˈɵdɛnud
ajutiste	ˈajʊtˌiste
ostetavad	ˈostetavad
opositsioonijõud	ˌoposiˌit^siˈoːnijɵud
Kirsimäe	kˌirsimˈæeː
tule	tˈulɛ
loobumise	lˈoːbumˌise
Dyeri	tˈieri
Arvi	ˈarvi
tandem	tˈandem
liberaalsete	lˌibɛrˈaːlsete
valedega	vˈalɛdˌeɡa
vääriline	vˈæːrilˌine
raskused	rˈaskused
jätkavad	jˈætkavad
kõnega	kˈɵnɛɡa
Pet	pˈet
Netanyahu	nˈetanˌiahu
ilutulestikku	ˈilʊtulˌes^tikːu
tagastamast	tˈaɡɑstamast
palavikku	pˈalɑvˌikːu
innuga	ˈinnuɡa
sotsiaalse	sˌoit^siˈaːlse
aastakümnetel	ˈaːstakˌymnetel
tülpinud	tˈylpinud
Sirelpuu	sˌirɛlpˈuː
Merlyn	mˈerlin
mänguväljak	mˈæŋɡuvˌæljak
kokkulepetest	kˈokːulˌepetest
tendentside	tˈendentsˌide
rahvuslikul	rˈahvuslikul
finantseeritud	fˌinɑntsˈeːritud
Võimuvõitlus	vˈɵimuvɵˌitːlus
Ime	ˈimɛ
Peegel	pˈeːɡel
tõhustamise	tˈɵhʊstˌamise
sinnamaani	sˌinnamˈaːni
põdrad	pˈɵdrad
Pangad	pˈaŋɡad
vahepealsete	vˈahɛpeˌalsete
sotsiaalteenuseid	sˌoit^siˈaːltˈeːnuseid
korrastamiseks	kˈorrastˌamiseks
menetlemist	mˈenɛtːlemist
Rahvaliidule	rˌahvalˈiːdule
krediitkaarti	kred^ˈiːtkˈaːrti
maksuvõlast	mˈaksuvɵlast
säästetud	sˈæːstetud
Prima	prˈima
säästva	sˈæːstva
Kuulda	kˈuːlda
vilksatas	vˈilksatas
Järgneb	jˈærɡneb
Midfield	mˈidfield
ületati	ˈylɛtˌati
Punase	pˈunɑse
proovigu	prˈoːviɡu
vägagi	vˈæɡɑɡi
hing	hˈiŋɡ
päde	pˈædɛ
teiegi	tˈeijˌeɡi
Tänapäeva	tˈænɑpˌæeva
baasi	pˈaːs^i
tegevuskulusid	tˈeɡɛvˌuskulusid
pidamas	pˈidɑmas
rool	rˈooːl
elukorraldus	ˈelʊkˌorraldus
viissada	vˈiːssada
Franciscos	frˈantsiskos
kogusid	kˈoɡʊsid
mitmekesi	mˈitːmekˌesi
näisid	nˈæ͡is^id
Vang	vˈaŋɡ
Praha	prˈaha
tähtajalise	tˈæhtajˌalise
köige	kˈø͡iɡe
sportauto	spˈortaˌutːo
Relve	rˈelve
paljast	pˈaʎjast
kulukaid	kˈulʊkaid
väljarännet	vˈæʎjarˌænnet
triibulised	trˈiːbulised
klopsida	klˈopsida
Shipping	ʃˈipːiŋɡ
ülikoolides	ˌyʎɪkˈoːlides
kiirest	kˈiːrest
ehitusmaterjalide	ˈehɪtˌusmatˌerjalˌide
raiskamisest	rˈaiskˌamisest
teel	tˈeeːl
kaugust	kˈauɡust
Town	tˈovn
Agri	ˈaɡri
toetataks	tˈoetːataks
põllumajandussektoris	pˈɵllumajˌandussˌektoris
Komisjonil	kˈomɪsjonil
tööplaani	tˈøːpːlˈaːni
Ülaltoodud	ˌylɑltˈoːdud
oskuses	ˈoskuses
aluseid	ˈalʊseid
restoranid	rˈestoranid
Reinsalu	rˈeinsˌalu
olümpiaküla	ˈolympiˌakːyla
pada	pˈadɑ
tarbis	tˈarbis
Kuulasin	kˈuːlasin
tegevusteks	tˈeɡɛvˌusteks
kirurgia	kˈirʊrɡˌia
punktina	pˈuŋktina
ld	ˈelldˌeeː
pandaks	pˈandaks
seekordses	sˈeːkːordses
eelistung	ˈeːʎistuŋɡ
granaat	kranˈaːt
arstilt	ˈarstilt
elavatel	ˈelɑvatel
Tõnson	tˈɵnson
kurgi	kˈurɡi
ulatunud	ˈulɑtunud
vilkuma	vˈilkːuma
traditsiooniks	trˌad^iˌit^siˈoːniks
kliente	klˈiente
pidanuks	pˈidɑnuks
Varssavist	vˈarssavist
lattu	lˈatːu
mustust	mˈustust
akuga	ˈakuɡa
streiki	strˈeikːi
omadused	ˈomɑdused
rahvuslust	rˈahvuslust
seminaridel	sˈemɪnˌaridel
Siimanniga	sˈiːmannˌiɡa
saavutatav	sˈaːvutatav
piirkond	pˈiːrkːond
lisateenuseid	lˌisɑtˈeːnuseid
kaasreisija	kˈaːsreˌisija
kreeklastel	krˈeːkːlastel
Toll	tˈoiʎʎ
enko	ˈeŋkːo
Valimine	vˈaʎɪmˌine
Lätlaste	lˈætːlaste
Raudteele	rˌaudtˈeːle
Laja	lˈajɑ
nimeta	nˈimɛta
säravad	sˈærɑvad
avarii	ˌavɑrˈiː
Laikmaa	lˌaikːmˈaː
viima	vˈiːma
vili	vˈiʎɪ
haigekassal	hˈaiɡekˌassal
Kaplan	kˈaplan
Venelasi	vˈenɛlˌasi
lisavad	lˈisɑvad
sõpruskonna	sˈɵpruskˌonna
Andras	ˈandras
homoseksuaalne	hˌomɔsˌeksuˈaːlne
joodik	jˈoːd^ik
Norras	nˈorras
erastamisele	ˈerɑstˌamisˌele
kiitusega	kˈiːtːusˌeɡa
rahvuskaaslasi	rˌahvuskˈaːslasi
talumatult	tˈalʊmatult
Uuesti	ˈuːwes^ti
Hamid	hˈamɪd
andsin	ˈandsin
vanglas	vˈaŋɡlas
võimaldata	vˈɵimˌaldata
m²	ˈemmkˈakːs
hoiatavad	hˈoijˌatːavad
jahti	jˈahti
kurjus	kˈurjus
kosmosesse	kˈosmosˌesse
kompenseerida	kˌompensˈeːrida
ärkad	ˈærkːad
vennike	vˈeɲɲike
Põlvamaa	pˌɵlvamˈaː
saavutavad	sˈaːvutavad
nõutaval	nˈɵutːaval
kemikaalid	kˌemɪkˈaːlid
Tasa	tˈasɑ
ühisvara	ˈyhɪsvˌara
hädakisa	hˈædɑkˌisa
Ülemnõukogu	ˈylɛmnɵˌukːoɡu
puhkepäeva	pˈuhkepˌæeva
vihmase	vˈihmase
eestikeelses	ˈeːs^tikˈeːlses
Ootasin	ˈoːtːasin
poliitikuga	poʎˈiːtːikˌuɡa
Poznani	pˈoznani
instants	ˈinstants
Vanurid	vˈanʊrid
Opositsiooni	ˌoposiˌit^siˈoːni
ununema	ˈunʊnˌema
Warren	vˈarren
artiklitele	ˈartikːlˌitele
tugevate	tˈuɡɛvˌate
Weekend	vˈeːkːend
taassünd	tˈaːssynd
kutsekooli	kˌutsekˈoːli
Kowalczyk	kˈovalkzik
noortemaja	nˈoːrtemˌaja
varuda	vˈarʊda
kibe	kˈibɛ
omahind	ˈomɑhind
keerama	kˈeːrama
allkiri	ˈalʎkiri
näidanud	nˈæ͡idanud
Kohtualune	kˈohtuˌalune
lauludes	lˈauludes
turniiril	turnˈiːril
naisele	nˈaisˌele
isikust	ˈis^ɪkust
töökogemus	tˈøːkːoɡemus
illusioon	ˌillusiˈoːn
väiksest	vˈæ͡iksest
Pühtitsa	pˈyhtitsa
Rahvaerakond	rˈahvaˌerakond
naistepäeva	nˈaistˌepæˌeva
Veevärgi	vˈeːværɡi
aidaku	ˈaidˌaku
Samlik	sˈamlik
teadusministeerium	tˌeadˌusministˈeːrium
teolt	tˈeoːlt
poliitilise	poʎˈiːtːilˌise
kinnistuid	kˈiɲɲistuid
kodurahu	kˈodʊrˌahu
Kaupluse	kˈaupːlˌuse
selgitusi	sˈeʎɡitˌusi
reoveepuhasti	rˈeoːvˈeːpːuhˌas^ti
energiakandjate	ˈenɛrɡiˌakːaɲdjˌate
paiku	pˈaikːu
potti	pˈot^ːi
Mattisen	mˈat^ːisen
Apteeker	aptˈeːkːer
armastava	ˈarmastˌava
ravikindlustuseta	rˈavɪkˌindlustˌuseta
tehtavad	tˈehtavad
valinud	vˈaʎɪnud
Beslanis	pˈeslanis
lauljal	lˈauljal
und	ˈund
EENet	ˈeeːnˈet
kalad	kˈalɑd
toetusrühma	tˈoetːˌusryhma
meeleavaldus	mˈeːleavˌaldus
mõnikord	mˈɵɲɪkord
Rae	rˈaeː
seksib	sˈeksib
mõrvamise	mˈɵrvamˌise
uuringuga	ˈuːriŋɡˌuɡa
igatsevad	ˈiɡɑtsevad
risu	rˈisʊ
langemine	lˈaŋɡemˌine
kaheksale	kˈahɛksˌale
Tynkkynen	tˈiŋkːinen
toonitanud	tˈoːɲitanud
põhiosas	pˈɵhiosas
otsejoones	ˌotsejˈoːnes
Teame	tˈeame
Mälberg	mˈælberɡ
Vili	vˈiʎɪ
autojuhte	ˈautːojˌuhte
sigala	sˈiɡɑla
uuendas	ˈuːwendas
toimetades	tˈoimˌetades
tõsiasjaga	tˈɵs^iˌasjaɡa
rauamaagi	rˌauwamˈaːɡi
riskianalüüsi	rˌiskiˌanalˈyːsi
päästerõngaks	pˈæːsterˌɵŋɡaks
odavaima	ˈodɑvˌaima
algklassidest	ˈalɡklassidest
Jonesi	jˈonɛsi
NATOst	nˈatˈost
sõnavõtule	sˈɵnɑvˌɵtule
kaustas	kˈaustas
alkohol	ˈalkːohol
tõena	tˈɵena
peamegi	pˈeamˌeɡi
unikaalse	ˌuɲɪkˈaːlse
Hale	hˈalɛ
mendid	mˈeɲdid
teraapiline	terˈaːpːilˌine
sundüürnikest	sundˈyːrnikest
looduspargi	lˈoːduspˌarɡi
Ning	niŋɡ
eestlastes	ˈeːstlastes
lepitakse	lˈepitˌakse
kuldsed	kˈuldsed
hoonesse	hˈoːnesse
lubadust	lˈubɑdust
kompromisside	kˈompromˌisside
õigustada	ˈɵiɡˌustada
kaalus	kˈaːlus
leping	lˈepiŋɡ
Arvan	ˈarvan
Rõngus	rˈɵŋɡus
IBU	ˈibʊ
väidavad	vˈæ͡idavad
söandanud	sˈøaːndanud
mahuka	mˈahʊka
Pevkur	pˈevkur
Garri	kˈarri
kurdavad	kˈurdavad
jõulukuuse	jˌɵulukˈuːse
soojatootja	sˈoːjatˈoːtja
valimiseelseid	vˌaʎɪmisˈeːlseid
printsiip	printsˈiːp
petmine	pˈetːmine
Õpilasmalev	ˈɵpilˌasmalev
juuksed	jˈuːksed
osutu	ˈosʊtu
ajudeta	ˈajʊdˌeta
ATKO	ˈatko
Politseinikke	pˈoʎɪtseinˌikːe
trükiste	trˈykiste
muudatusega	mˈuːdatˌuseɡa
kolmekordselt	kˈolmekˌordselt
valjult	vˈaʎjult
soojal	sˈoːjal
Mereste	mˈerɛste
liikmesmaade	lˈiːkːmesmˈaːde
arstidega	ˈarstidˌeɡa
Trumm	trˈumm
suus	sˈuuːs
suhtesse	sˈuhtesse
nimekat	nˈimɛkat
parteiks	pˈarteiks
Kanadas	kˈanɑdas
Raido	rˈaido
Mistahes	mˈistahes
miinusega	mˈiːnusˌeɡa
pooltes	pˈoːltes
kandideeris	kˌaɲdidˈeːris
tuumaks	tˈuːmaks
meelitades	mˈeːʎitades
jahedam	jˈahɛdam
äraneetud	ˌærɑnˈeːtːud
LAV	lˈav
Fisher	fˈisher
millel	mˈillel
sedeli	sˈedɛli
määrata	mˈæːrata
kuidagiviisi	kˌuidˌaɡivˈiːsi
jälgimisele	jˈæʎɡimˌisele
laimajad	lˈaimajad
Esse	ˈesse
abivajajatele	ˈabɪvˌajajˌatele
uss	ˈuis^s^
kuldses	kˈuldses
erand	ˈerɑnd
enamikul	ˈenɑmikul
poolkoksi	pˈoːlkːoksi
pikendust	pˈikendust
Harjak	hˈarjak
teolooge	tˈeoːlˈoːɡe
ületundide	ˈylɛtˌuɲdide
originaalis	ˌorɪɡinˈaːlis
kogusummast	kˈoɡʊsˌummast
server	sˈerver
küünivad	kˈyːɲivad
äriühinguid	ˈæriyhˌiŋɡuid
Kirjastus	kˈirjastus
Marianna	mˈariˌanna
Dacia	tˈatsia
Külmhoone	kylmhˈoːne
raamatutest	rˈaːmatutest
UURING	ˈuːriŋɡ
väitest	vˈæ͡itːest
spordiaasta	spˌordiˈaːsta
kõhu	kˈɵhʊ
joonel	jˈoːnel
internetist	ˈinternetist
vastupidi	vˈastupˌidi
ree	rˈeeː
tunnikese	tˈuɲɲikˌese
Prants	prˈants
suleti	sˈulɛti
Üheksa	ˈyhɛksa
korvamatut	kˈorvamatut
tippsportlased	tˈipːsportlased
Sisekaitseakadeemia	sˌisɛkaˌitseˌakːadˈeːmia
otsid	ˈoit^sid
Inimkond	ˈiɲɪmkːond
sihilikult	sˈihɪlikult
kaunitar	kˈaunitar
kalmistud	kˈalmistud
Endised	ˈeɲdised
Nelson	nˈelson
millegipärast	mˈilleɡˌipærast
teeni	tˈeːɲi
abivajajat	ˈabɪvˌajajat
põhjendab	pˈɵhjendab
mänedzher	mˈænɛdʒer
kavatseb	kˈavɑtseb
rahustava	rˈahʊstˌava
esilinastusel	ˈes^ɪlinˌastusel
koolituseks	kˈoːʎituseks
muusikaline	mˈuːs^ikˌaline
vaatlust	vˈaːtːlust
pärijate	pˈærɪjˌate
Euroliitu	ˌeurolˈiːtːu
saadakse	sˈaːdakse
