bekerjasama	bəkərdʒasama
bersidang	bərsidaŋ
keamanan	kəamanan
samsu	samsu
pelémparan	pəlemparan
beronok	bəronoʔ
jéngkol	dʒeŋkol
sendawa	səndawa
lékéh	lekeh
seperlunya	səpərluɲa
mambo	mambo
kelakah	kəlakah
cekuk	tʃəkuʔ
setrat	sətrat
berkeberatan	bərkəbəratan
terkelempai	tərkələmpai
érotis	erotis
tertujukan	tərtudʒukan
terserampang	tərsərampaŋ
kesentuhan	kəsəntuhan
selépé	səlepe
berbunga	bərbuŋa
pengembara	pəŋəmbara
mendaging	məndagiŋ
tepa	təpa
selonong	səlonoŋ
membarut	məmbarut
hadapi	hadapi
audiogram	audiogram
tempala	təmpala
téklok	teʔloʔ
hidrolik	hidroliʔ
sahutan	sahutan
giro	giro
ketiban	kətiban
berbéntar	bərbentar
mémék	memeʔ
terampil	tərampil
makamkan	makamkan
menyelaputi	məɲəlaputi
igauan	igauan
ubi	ubi
kandang	kandaŋ
pengguguran	pəŋguguran
tanggap	taŋgap
pucuk	putʃuʔ
terkeréséng	tərkəreseŋ
seluk	səluʔ
derajatnya	dəradʒatɲa
memborok	məmboroʔ
kerahasiaan	kərahasiaʔan
saranan	saranan
seluang	səluaŋ
menggelapkan	məŋgəlapkan
ékonomis	ekonomis
selepi	sələpi
amputan	amputan
pengenaan	pəŋənaʔan
séntiare	sentiarə
lalap	lalap
dekah	dəkah
pénis	penis
éksposisi	eʔsposisi
berhimpit	bərhimpit
buraksa	buraʔsa
majikannya	madʒikanɲa
kemal	kəmal
nyai	ɲai
inisiatif	inisiatif
cambung	tʃambuŋ
membenih	məmbənih
pengelim	pəŋəlim
terkait	tərkait
berkokok	bərkokoʔ
permasalahan	pərmasalahan
afirmasi	afirmasi
keléréng	kəlereŋ
celepuk	tʃələpuʔ
menyelap	məɲəlap
dikaitkan	dikaitkan
mahatinggi	mahatiŋgi
mungkir	muŋkir
mujur	mudʒur
penganjur	pəŋandʒur
perisik	pərisiʔ
sembir	səmbir
semayi	səmaji
ring	riŋ
kauperbuat	kaupərbuat
aum	aum
berjanji	bərdʒandʒi
bertengking	bərtəŋkiŋ
azhar	azhar
asaman	asaman
pandang	pandaŋ
akun	akun
bijaksanawan	bidʒaʔsanawan
disuntik.	disuntik.
dabung	dabuŋ
musytari	musjtari
kekekalan	kəkəkalan
mengawétkan	məŋawetkan
diantar	diantar
terpancar	tərpantʃar
besengék	bəsəŋeʔ
menyéngkang	məɲeŋkaŋ
perahan	pərahan
antardaérah	antardaerah
mengambilkan	məŋambilkan
végetasi	vegətasi
separbang	səparbaŋ
menganéhkan	məŋanehkan
mencéléngi	məntʃeleŋi
interval	intərval
tip	tip
serangsang	səraŋsaŋ
disayangkan	disajaŋkan
jingga	dʒiŋga
pelinteng	pəlintəŋ
menyerkapi	məɲərkapi
lem	ləm
rujak	rudʒaʔ
pembidas	pəmbidas
berserikat	bərsərikat
apéndiks	apendiʔs
memepas	məməpas
sanubari	sanubari
kesénioran	kəsenioran
anu	anu
buluk	buluʔ
keserakahan	kəsərakahan
capaian	tʃapaian
réproduksi	reproduʔsi
intuisi	intuisi
binti	binti
éksplotasi	eʔsplotasi
antropomorfisme	antropomorfismə
agihan	agihan
cemplang	tʃəmplaŋ
memudahkan	məmudahkan
jepitan	dʒəpitan
seruas	səruas
berpaling	bərpaliŋ
peradilan	pəradilan
firdaus	firdaus
tersangka	tərsaŋka
bahana	bahana
medalion	mədalion
habisi	habisi
biah	biah
cakra	tʃaʔra
pencabulan	pəntʃabulan
sebu	səbu
menghajatkan	məŋhadʒatkan
urban	urban
sadapan	sadapan
memperdekat	məmpərdəkat
rel	rəl
bercabut	bərtʃabut
perlindungan	pərlinduŋan
binasa	binasa
tolakan	tolakan
jumlahnya	dʒumlahɲa
melécét	məletʃet
menanduk	mənanduʔ
mengupah	məŋupah
édan	edan
maha	maha
tempaan	təmpaʔan
skala	skala
berpencaran	bərpəntʃaran
bocah	botʃah
pengolahan	pəŋolahan
kegaduhan	kəgaduhan
tamak	tamaʔ
menyembarangi	məɲəmbaraŋi
mewakilkan	məwakilkan
latam	latam
terbaru	tərbaru
got	got
tanduknya	tanduʔɲa
résérse	resersə
terpelanting	tərpəlantiŋ
pusta	pusta
adverténsi	advərtensi
menggergaji	məŋgərgadʒi
mendosir	məndosir
bintan	bintan
pencemar	pəntʃəmar
pencetus	pəntʃətus
biuku	biuku
penyék	pəɲeʔ
bertertib	bərtərtib
pusaka	pusaka
membidani	məmbidani
bendahari	bəndahari
taubat	taubat
demung	dəmuŋ
perbantahan	pərbantahan
bermula	bərmula
berhadapan	bərhadapan
boto	boto
menanggungkan	mənaŋguŋkan
deging	dəgiŋ
menyesatkan	məɲəsatkan
seagak	səagaʔ
goblok	gobloʔ
tata	tata
berdaki	bərdaki
budak	budaʔ
terungkap	təruŋkap
tunasusila	tunasusila
ketimbang	kətimbaŋ
peluang	pəluaŋ
melinjo	məlindʒo
kumulatif	kumulatif
artériografi	arteriografi
koruptor	koruptor
berkerut	bərkərut
jarahan	dʒarahan
pidana	pidana
éyang	ejaŋ
tempayung	təmpajuŋ
mempercapak	məmpərtʃapaʔ
penyisihan	pəɲisihan
patroli	patroli
mendiskusikan	məndiskusikan
diperluas	dipərluas
berbalas	bərbalas
radiolog	radiolog
mempertengkarkan	məmpərtəŋkarkan
kepai	kəpai
menjernihkan	məndʒərnihkan
sekitarnya	səkitarɲa
gempita	gəmpita
meléléh	məleleh
membanyakkan	məmbaɲaʔkan
belalak	bəlalaʔ
kurang	kuraŋ
lutut	lutut
mendaruratkan	məndaruratkan
getaran	gətaran
menuntaskan	mənuntaskan
landa	landa
juluk	dʒuluʔ
iming	imiŋ
eh	əh
serasa	sərasa
berbelang	bərbəlaŋ
capil	tʃapil
dianggap	diaŋgap
telap	təlap
mendébat	məndebat
keterlibatan	kətərlibatan
pembidik	pəmbidiʔ
brigade	brigadə
merasuk	mərasuʔ
meski	məski
adinda	adinda
coban	tʃoban
advokat	advokat
setiwel	sətiwəl
rangkak	raŋkaʔ
bilatéral	bilateral
takuk	takuʔ
melukiskan	məlukiskan
teranggar	təraŋgar
berkélok	bərkeloʔ
kepiat	kəpiat
belanak	bəlanaʔ
kegenangan	kəgənaŋan
cekakak	tʃəkakaʔ
seronok	səronoʔ
berselindung	bərsəlinduŋ
mencicil	məntʃitʃil
témplok	temploʔ
mandolin	mandolin
mendenda	məndənda
munculnya	muntʃulɲa
bertatih	bərtatih
penyesuaian	pəɲəsuaian
penyimpangan	pəɲimpaŋan
seduh	səduh
kelaziman	kəlaziman
mengaudit	məŋaudit
menénggék	məneŋgeʔ
waskita	waskita
betis	bətis
cendekia	tʃəndəkia
pekatu	pəkatu
reruntuhan	rəruntuhan
bajul	badʒul
majlis	madʒlis
aksép	aʔsep
aktual	aʔtual
séntakan	sentakan
disagio	disagio
melobi	məlobi
ékuivalénsi	ekuivalensi
ambuh	ambuh
memasang	məmasaŋ
mendapat	məndapat
tukik	tukiʔ
berdesus	bərdəsus
kelepak	kələpaʔ
berpeluang	bərpəluaŋ
mengigau	məŋigau
penutupan	pənutupan
mak	maʔ
pengaudit	pəŋaudit
pencapaian	pəntʃapaian
mélodi	melodi
--nya	--ɲa
apopléksi	apopleʔsi
tadinya	tadiɲa
memelas	məməlas
patologi	patologi
karang	karaŋ
bicarakan	bitʃarakan
memusing	məmusiŋ
sértu	sertu
pénsil	pensil
bernyawa	bərɲawa
tiara	tiara
kegagahan	kəgagahan
sérémonial	seremonial
bersepi	bərsəpi
mengahlikan	məŋahlikan
jongkit	dʒoŋkit
kelucahan	kəlutʃahan
untaian	untaian
perigi	pərigi
menyeréndéngkan	məɲərendeŋkan
jakun	dʒakun
bana	bana
melindung	məlinduŋ
salem	saləm
cincin	tʃintʃin
musik	musiʔ
perompak	pərompaʔ
ceranggah	tʃəraŋgah
makmal	maʔmal
lumpur	lumpur
disko	disko
insidén	insiden
acatan	atʃatan
bentangan	bəntaŋan
ongkos	oŋkos
terjeblos	tərdʒəblos
pédal	pedal
tercoang	tərtʃoaŋ
terpahat	tərpahat
penilaian	pənilaian
jejal	dʒədʒal
kapasitas	kapasitas
pengangkat	pəŋaŋkat
bertepuk	bərtəpuʔ
dogmatis	dogmatis
paradigma	paradigma
kurap	kurap
rebana	rəbana
mencangam	məntʃaŋam
arku	arku
awat	awat
kelik	kəliʔ
berdukung	bərdukuŋ
lelucon	ləlutʃon
amplitudo	amplitudo
memungut	məmuŋut
selang	səlaŋ
amulét	amulet
mengaminkan	məŋaminkan
menyernak	məɲərnaʔ
bergeréja	bərgəredʒa
seliap	səliap
terbelam	tərbəlam
sekeluar	səkəluar
diusut	diusut
kem	kəm
depanku	dəpanku
meringis	məriŋis
ionosfér	ionosfer
jagung	dʒaguŋ
dérmatologi	dermatologi
mendahsyatkan	məndahsjatkan
diri	diri
égrang	egraŋ
merinci	mərintʃi
meminati	məminati
bacin	batʃin
seragam	səragam
seriap	səriap
penyelia	pəɲəlia
sedianya	sədiaɲa
motif	motif
kecam	kətʃam
pengiring	pəŋiriŋ
keluargamu	kəluargamu
peruan	pəruan
cendala	tʃəndala
kedaérahan	kədaerahan
pencalonan	pəntʃalonan
sélulér	seluler
serapah	sərapah
bujangan	budʒaŋan
azam	azam
hambar	hambar
insinyur	insiɲur
mengulas	məŋulas
senyar	səɲar
ditumbuhi	ditumbuhi
sekébér	səkeber
diberitahu	dibəritahu
menumis	mənumis
logika	logika
abuk	abuʔ
rami	rami
terandal	tərandal
kebaikan	kəbaikan
mencarang	məntʃaraŋ
adiwidia	adiwidia
diskét	disket
pes	pəs
menerjunkan	mənərdʒunkan
penenangan	pənənaŋan
seduayah	səduajah
siamang	siamaŋ
kedai	kədai
rakan	rakan
komputerisasi	komputərisasi
siang	siaŋ
berkuasa	bərkuasa
peladangan	pəladaŋan
mencetus	məntʃətus
berdamping	bərdampiŋ
dampar	dampar
bertambah	bərtambah
kurma	kurma
dibesarkan	dibəsarkan
menceburkan	məntʃəburkan
tubuhnya	tubuhɲa
syarik	sjariʔ
idéntifikasi	identifikasi
pélek	peləʔ
ama	ama
dakar	dakar
runtun	runtun
mendendam	məndəndam
beléngsét	bəleŋset
kepuk	kəpuʔ
menyelundup	məɲəlundup
otot	otot
kosmografi	kosmografi
bacut	batʃut
mengelumuni	məŋəlumuni
pecel	pətʃəl
pendak	pəndaʔ
diés	dies
tanggapan	taŋgapan
mendesau	məndəsau
mendakwakan	məndaʔwakan
mendelong	məndəloŋ
mang	maŋ
rezeki	rəzəki
kontradiksi	kontradiʔsi
dibenci	dibəntʃi
bayu	baju
semu	səmu
berbudi	bərbudi
cetér	tʃəter
déportasi	deportasi
manfaat	manfaʔat
ujaran	udʒaran
bontak	bontaʔ
perumus	pərumus
hiduplah	hiduplah
dangai	daŋai
antarkelompok	antarkəlompoʔ
kesembronoan	kəsəmbronoan
bergumul	bərgumul
desak	dəsaʔ
perang	pəraŋ
télegram	teləgram
menampun	mənampun
hubung	hubuŋ
awawarna	awawarna
gelaran	gəlaran
dinikahkan	dinikahkan
pelosot	pəlosot
avgas	avgas
hidro-éléktrik	hidro-eleʔtriʔ
membelendung	məmbələnduŋ
kebuli	kəbuli
bersusah	bərsusah
bertéknologi	bərteʔnologi
biku	biku
rusuk	rusuʔ
pause	pausə
hitamkan	hitamkan
mempertimbangkan	məmpərtimbaŋkan
gulung	guluŋ
lentam	ləntam
prémis	premis
hotél	hotel
mengotori	məŋotori
eling	əliŋ
buritan	buritan
sendat	səndat
kayanya	kajaɲa
yamtuan	jamtuan
tetak	tətaʔ
tempinah	təmpinah
pélbak	pelbaʔ
cagak	tʃagaʔ
mencederai	məntʃədərai
pépésan	pepesan
proyéktor	projeʔtor
didaktis	didaʔtis
administrator	administrator
rumbia	rumbia
mengedau	məŋədau
donat	donat
perangkat	pəraŋkat
perdéo	pərdeo
gendang	gəndaŋ
menetapkan	mənətapkan
dikurung	dikuruŋ
mencolong	məntʃoloŋ
bertaut	bərtaut
mengamini	məŋamini
sendiri	səndiri
disetujui	disətudʒui
ulam	ulam
berkemudi	bərkəmudi
komoditi	komoditi
détérminis	determinis
pemiliknya	pəmiliʔɲa
melihat	məlihat
présidén	presiden
kader	kadər
penanggung	pənaŋguŋ
beternak	bətərnaʔ
alamat	alamat
keskul	kəskul
oktana	oʔtana
lampias	lampias
pelawan	pəlawan
lali	lali
aruk	aruʔ
mengatupkan	məŋatupkan
onar	onar
cetok	tʃətoʔ
penémpél	pənempel
cuit	tʃuit
mengukuhkan	məŋukuhkan
pergumulan	pərgumulan
mendominasi	məndominasi
terap	tərap
dedemit	dədəmit
menyedekahi	məɲədəkahi
swadaya	swadaja
kerul	kərul
awabau	awabau
berdaging	bərdagiŋ
memetalkan	məmətalkan
inai	inai
memicu	məmitʃu
disambar	disambar
kiper	kipər
dikenal	dikənal
embaran	əmbaran
golak	golaʔ
sentiong	səntioŋ
digoyang	digojaŋ
antuk	antuʔ
rasa	rasa
memperingati	məmpəriŋati
sarjana	sardʒana
penambahan	pənambahan
potlot	potlot
fiksasi	fiʔsasi
peringgitan	pəriŋgitan
modul	modul
ukir	ukir
dipangku	dipaŋku
terpacul	tərpatʃul
bergenang	bərgənaŋ
deksa	dəʔsa
menéngoki	məneŋoki
arteri	artəri
perjumpaan	pərdʒumpaʔan
melenyapkan	mələɲapkan
sempat	səmpat
gadungan	gaduŋan
lihat	lihat
paroki	paroki
seangkatan	səaŋkatan
kejip	kədʒip
ma’na	maʔna
mimbar	mimbar
keékséntrikan	kəeʔsentrikan
jawat	dʒawat
bégap	begap
daras	daras
dagang	dagaŋ
setiba	sətiba
pengelompokan	pəŋəlompokan
ba’da	baʔda
aéroskop	aeroskop
gerétan	gəretan
pengagihan	pəŋagihan
beras	bəras
membimbit	məmbimbit
awin	awin
memperadabkan	məmpəradabkan
beliau	bəliau
agitator	agitator
tidak	tidaʔ
akuakultur	akuakultur
mencabangkan	məntʃabaŋkan
kerébok	kəreboʔ
adempauze	adəmpauzə
menongkat	mənoŋkat
berpendidikan	bərpəndidikan
hayati	hajati
ratu	ratu
runtuhan	runtuhan
réspons	respons
kejutan	kədʒutan
bintat	bintat
deraan	dəraʔan
pendakwaan	pəndaʔwaʔan
pemarip	pəmarip
penyebaran	pəɲəbaran
mengesang	məŋəsaŋ
kiasan	kiasan
bercerita	bərtʃərita
menyeletuk	məɲələtuʔ
pantauan	pantauan
bégonia	begonia
caring	tʃariŋ
mangkir	maŋkir
roda	roda
timbang	timbaŋ
sekendal	səkəndal
menjebloskan	məndʒəbloskan
bumper	bumpər
bermacam	bərmatʃam
antih	antih
bersubsidi	bərsubsidi
undang	undaŋ
daripada	daripada
pencatutan	pəntʃatutan
bersanggul	bərsaŋgul
mencokolkan	məntʃokolkan
yassin	jassin
menyenandungkan	məɲənanduŋkan
misalan	misalan
kantin	kantin
crat	tʃrat
pengeroyokan	pəŋərojokan
terakumulasi	tərakumulasi
menemu	mənəmu
kapur	kapur
terkaji	tərkadʒi
mencalang	məntʃalaŋ
pencétak	pəntʃetaʔ
telapak	təlapaʔ
berbentuk	bərbəntuʔ
les	ləs
mistéri	misteri
membundar	məmbundar
bersetia	bərsətia
nyenyak	ɲəɲaʔ
ékspéditor	eʔspeditor
sela	səla
mencucurkan	məntʃutʃurkan
cialat	tʃialat
diubah	diubah
butiran	butiran
téken	tekən
adap	adap
telangkai	təlaŋkai
keponakan	kəponakan
rétrospéksi	retrospeʔsi
banda	banda
pianis	pianis
obo	obo
depak	dəpaʔ
kelasnya	kəlasɲa
jerat	dʒərat
dilipat	dilipat
mementil	məməntil
makan.	makan.
membaik	məmbaiʔ
timun	timun
kepemimpinan	kəpəmimpinan
diperkenankan	dipərkənankan
pembantahan	pəmbantahan
kios	kios
deritaan	dəritaʔan
bekén	bəken
pengeras	pəŋəras
keantikan	kəantikan
bangai	baŋai
ditaruhnya	ditaruhɲa
mengimpikan	məŋimpikan
peking	pəkiŋ
berminat	bərminat
bihun	bihun
dugal	dugal
akrab	aʔrab
genggang	gəŋgaŋ
menyéka	məɲeka
bulukan	bulukan
tersérét	tərseret
menyukai	məɲukai
kasta	kasta
belarak	bəlaraʔ
perunjung	pərundʒuŋ
awang	awaŋ
disapu	disapu
sémbar	sembar
tertahan	tərtahan
penyederhanaan	pəɲədərhanaʔan
terbantu	tərbantu
serangkaian	səraŋkaian
bagul	bagul
mengésék	məŋeseʔ
kemarin	kəmarin
bintik	bintiʔ
bijaksana	bidʒaʔsana
émosi	emosi
déduktif	deduʔtif
jantungnya	dʒantuŋɲa
calon	tʃalon
terketuk	tərkətuʔ
pentar	pəntar
umpuk	umpuʔ
menyentuhkan	məɲəntuhkan
balabad	balabad
layar	lajar
ibadat	ibadat
perenang	pərənaŋ
bersérak	bərseraʔ
menjiplak	məndʒiplaʔ
berkaul	bərkaul
cengkaman	tʃəŋkaman
bergerombolan	bərgərombolan
altruistis	altruistis
menggéléng	məŋgeleŋ
démo	demo
terperenyak	tərpərəɲaʔ
kepahitan	kəpahitan
kembalian	kəmbalian
nampaknya	nampaʔɲa
menggempur	məŋgəmpur
pelukan	pəlukan
sinis	sinis
suksés	suʔses
penghentian	pəŋhəntian
lenyap	ləɲap
pelacak	pəlatʃaʔ
berus	bərus
sémak	semaʔ
pengantréan	pəŋantrean
siluman	siluman
musnah	musnah
menaruh	mənaruh
tekun	təkun
énzim	enzim
laba	laba
balgam	balgam
berdahak	bərdahaʔ
pusu	pusu
bagar	bagar
kapitalistis	kapitalistis
sepadan	səpadan
pembandut	pəmbandut
optimis	optimis
memesankan	məməsankan
diapakan	diapakan
bruk	bruʔ
simfoni	simfoni
mengipas	məŋipas
menggaris-bawahi	məŋgaris-bawahi
rundung	runduŋ
jeléknya	dʒəleʔɲa
terkam	tərkam
jungkir	dʒuŋkir
semandan	səmandan
berimbang	bərimbaŋ
hérbivor	herbivor
lahiriah	lahiriah
selumu	səlumu
menyégel	məɲegəl
dibéréskan	dibereskan
mengekalkan	məŋəkalkan
bandel	bandəl
menekak	mənəkaʔ
propaganda	propaganda
bu	bu
kerat	kərat
yakut	jakut
goyangan	gojaŋan
berawalan	bərawalan
asimilasi	asimilasi
démobilisan	demobilisan
pisah	pisah
berlidah	bərlidah
kenya	kəɲa
teralih	təralih
oksigén	oʔsigen
besar	bəsar
memberkati	məmbərkati
memanggil	məmaŋgil
haji	hadʒi
bersérakan	bərserakan
mengalasi	məŋalasi
melilit	məlilit
bengung	bəŋuŋ
manjur	mandʒur
nadar	nadar
singkap	siŋkap
sembahyangan	səmbahjaŋan
mengecut	məŋətʃut
menyemenda	məɲəmənda
pangan	paŋan
terserat	tərsərat
antung	antuŋ
tomat	tomat
bentok	bəntoʔ
mengetuk	məŋətuʔ
penghasilan	pəŋhasilan
pergilah	pərgilah
mengintégrasikan	məŋintegrasikan
mencongol	məntʃoŋol
desih	dəsih
menggerunkan	məŋgərunkan
tabut	tabut
kementahan	kəməntahan
ugutan	ugutan
penyemuan	pəɲəmuan
kekhalifahan	kəʔhalifahan
agunan	agunan
belan	bəlan
berburuk	bərburuʔ
arang	araŋ
capjiki	tʃapdʒiki
pustaka	pustaka
diperhébat	dipərhebat
korup	korup
bersecepat	bərsətʃəpat
beronani	bəronani
barulah	barulah
kréditor	ʔreditor
menyemarakkan	məɲəmaraʔkan
aliénasi	alienasi
mengenakan	məŋənakan
berjihad	bərdʒihad
tersentuk	tərsəntuʔ
perbintangan	pərbintaŋan
disadari	disadari
mengamangi	məŋamaŋi
pengawalnya	pəŋawalɲa
melampaui	məlampaui
berteguh	bərtəguh
répréséntasi	representasi
kamit	kamit
menyesak	məɲəsaʔ
menegakkan	mənəgaʔkan
sendi	səndi
penulis	pənulis
mengékér	məŋeker
béni	beni
bali	bali
penernak	pənərnaʔ
kucai	kutʃai
tegahan	təgahan
deres	dərəs
ketawa	kətawa
mengévaluasi	məŋevaluasi
somprét	sompret
barli	barli
mahir	mahir
tertimbun	tərtimbun
barbur	barbur
gala	gala
mengeraskan	məŋəraskan
mengusut	məŋusut
néto	neto
kalah	kalah
anju	andʒu
catat	tʃatat
seteguk	sətəguʔ
pembentuk	pəmbəntuʔ
lucu	lutʃu
dijadikan	didʒadikan
membanjarkan	məmbandʒarkan
demek	dəməʔ
raup	raup
hiasan	hiasan
operator	opərator
basis	basis
setang	sətaŋ
kastam	kastam
teristiméwa	təristimewa
palungan	paluŋan
dikté	diʔte
diperlengkapi	dipərləŋkapi
oléh	oleh
anani	anani
lahir.	lahir.
kudis	kudis
bersemak	bərsəmaʔ
menyégakkan	məɲegaʔkan
upaya	upaja
bantai	bantai
ortodoksi	ortodoʔsi
gelatik	gəlatiʔ
dijunjung	didʒundʒuŋ
senggut	səŋgut
berserabut	bərsərabut
sepusat	səpusat
abaian	abaian
terhampar	tərhampar
sembiran	səmbiran
bergiat	bərgiat
menyahut	məɲahut
penyekatan	pəɲəkatan
penatua	pənatua
pengumpat	pəŋumpat
khadam	ʔhadam
gelinding	gəlindiŋ
téodolit	teodolit
kelésék	kəleseʔ
berumbun	bərumbun
penonjolan	pənondʒolan
médan	medan
berjabat	bərdʒabat
amarahnya	amarahɲa
drél	drel
berlambat	bərlambat
berkerah	bərkərah
primér	primer
terbesit	tərbəsit
cikal	tʃikal
menyukat	məɲukat
serati	sərati
temenggung	təməŋguŋ
aérobik	aerobiʔ
merentangi	mərəntaŋi
kardinal	kardinal
kontra	kontra
takzim	takzim
berjaga	bərdʒaga
penghabisan	pəŋhabisan
baluran	baluran
mencongak	məntʃoŋaʔ
vérifikasi	verifikasi
membosankan	məmbosankan
menempur	mənəmpur
ékspansif	eʔspansif
cangcang	tʃaŋtʃaŋ
pertubuhan	pərtubuhan
rial	rial
nama	nama
polos	polos
centung	tʃəntuŋ
aleman	aləman
penyentuh	pəɲəntuh
menékel	mənekəl
keruh	kəruh
kanibalisme	kanibalismə
penggemar	pəŋgəmar
domplangan	domplaŋan
menggunakannya	məŋgunakanɲa
mendengung	məndəŋuŋ
kerinjing	kərindʒiŋ
payah	pajah
pergantungan	pərgantuŋan
menyertakan	məɲərtakan
serai	sərai
témperau	tempərau
étérnit	eternit
dap	dap
berlau	bərlau
berdengus	bərdəŋus
kasuari	kasuari
tertusuk	tərtusuʔ
ulang	ulaŋ
kalau	kalau
édar	edar
pengisian	pəŋisian
konspirasi	konspirasi
mengasihi	məŋasihi
perombakan	pərombakan
cacap	tʃatʃap
belobor	bəlobor
lintasan	lintasan
lembék	ləmbeʔ
menjalankan	məndʒalankan
homogén	homogen
déodoran	deodoran
bengkang	bəŋkaŋ
tersadai	tərsadai
perum	pərum
membisul	məmbisul
dipersilakan	dipərsilakan
sesudahnya	səsudahɲa
mengawalengaskan	məŋawaləŋaskan
pengemas	pəŋəmas
berkeréta	bərkəreta
tebuk	təbuʔ
berizin	bərizin
membarengi	məmbarəŋi
hasilan	hasilan
dihias	dihias
colékan	tʃolekan
rambai	rambai
menyalin	məɲalin
menangkap	mənaŋkap
asabat	asabat
menjinakkan	məndʒinaʔkan
pembiaya	pəmbiaja
perbawa	pərbawa
afrit	afrit
kelisa	kəlisa
datin	datin
doktor	doʔtor
membuang	məmbuaŋ
meloncat	məlontʃat
berkuatkuasa	bərkuatkuasa
disampaikan	disampaikan
temuras	təmuras
menculak	məntʃulaʔ
penumbuk	pənumbuʔ
mérahan	merahan
jinak	dʒinaʔ
penganjuran	pəŋandʒuran
bijana	bidʒana
bumi	bumi
berdepan	bərdəpan
kesultanan	kəsultanan
pertua	pərtua
dadak	dadaʔ
unta	unta
mengganjal	məŋgandʒal
kebaya	kəbaja
éksplosif	eʔsplosif
dirinya	diriɲa
mencoméli	məntʃomeli
ubat	ubat
mengitari	məŋitari
budé	bude
subjék	subdʒeʔ
memperketat	məmpərkətat
bengkahan	bəŋkahan
lembab	ləmbab
menumpukan	mənumpukan
kecekatan	kətʃəkatan
menyempitkan	məɲəmpitkan
kejauhan	kədʒauhan
kobalt	kobalt
ciptaan	tʃiptaʔan
kéténgan	keteŋan
menumpahkan	mənumpahkan
pendébat	pəndebat
sengam	səŋam
kesériusan	kəseriusan
menggelisahkan	məŋgəlisahkan
umpat	umpat
mengeting	məŋətiŋ
inga	iŋa
sénsual	sensual
kuis	kuis
enyah	əɲah
datif	datif
sarung	saruŋ
cela	tʃəla
yakin	jakin
merang	məraŋ
borgol	borgol
pegan	pəgan
hulu	hulu
canggu	tʃaŋgu
rungut	ruŋut
mendung	mənduŋ
jurnalis	dʒurnalis
seantéro	səantero
menengkurapkan	mənəŋkurapkan
mencelakakan	məntʃəlakakan
berdédikasi	bərdedikasi
tangguhkan	taŋguhkan
sekitar	səkitar
merambah	mərambah
kemurnian	kəmurnian
mencuri	məntʃuri
ketitir	kətitir
kemelayuan	kəməlajuan
usus	usus
mendengkung	məndəŋkuŋ
pencelupan	pəntʃəlupan
anabolisme	anabolismə
merancang	mərantʃaŋ
saya.	saja.
kusir	kusir
sengap	səŋap
sekécéng	səketʃeŋ
membenarkan	məmbənarkan
bindu	bindu
lécak	letʃaʔ
telingkung	təliŋkuŋ
berleluasa	bərləluasa
pesalin	pəsalin
ditempatkan	ditəmpatkan
rerumputan	rərumputan
géodési	geodesi
divérgén	divergen
membalapkan	məmbalapkan
peristiwa	pəristiwa
sebayanya	səbajaɲa
mengerlip	məŋərlip
menyelusuri	məɲəlusuri
dop	dop
angkit	aŋkit
lipat	lipat
masuk	masuʔ
sekam	səkam
pengamalan	pəŋamalan
trénd	trend
métrik	metriʔ
.telapak	.təlapaʔ
menegang	mənəgaŋ
déwana	dewana
uangnya	uaŋɲa
didaki	didaki
selokan	səlokan
persembahyangan	pərsəmbahjaŋan
bulgur	bulgur
lapuk	lapuʔ
syarat	sjarat
keracak	kəratʃaʔ
ketebalan	kətəbalan
menjelmakan	məndʒəlmakan
antisipatif	antisipatif
pukul	pukul
ungu	uŋu
kegetiran	kəgətiran
menoréh	mənoreh
meyakini	məjakini
terlak	tərlaʔ
pengatusan	pəŋatusan
petopan	pətopan
busung	busuŋ
terindikasi	tərindikasi
ikrar	iʔrar
penderitaannya	pəndəritaʔanɲa
terkepoh	tərkəpoh
déwa	dewa
déspot	despot
pengécék	pəŋetʃeʔ
halaman	halaman
kemesuman	kəməsuman
rampung	rampuŋ
labil	labil
triwulan	triwulan
perebutan	pərəbutan
mengemban	məŋəmban
penilik	pəniliʔ
memberongsang	məmbəroŋsaŋ
koran	koran
potongan	potoŋan
jerami	dʒərami
sekian	səkian
keséléktifan	kəseleʔtifan
menyendirikan	məɲəndirikan
takik	takiʔ
berségel	bərsegəl
senawi	sənawi
humus	humus
mengepél	məŋəpel
penolakan	pənolakan
perkomputeran	pərkomputəran
menjolok	məndʒoloʔ
harung	haruŋ
temberam	təmbəram
andai	andai
petasan	pətasan
terambau	tərambau
disembunyikan	disəmbuɲikan
duluan	duluan
megak	məgaʔ
teraspal	təraspal
kekacang	kəkatʃaŋ
cébok	tʃeboʔ
cocok	tʃotʃoʔ
ékstrémisme	eʔstremismə
menelaah	mənəlaʔah
alumni	alumni
keinginannya	kəiŋinanɲa
aksiomatis	aʔsiomatis
mencamkan	məntʃamkan
jauh	dʒauh
kalbu	kalbu
membengisi	məmbəŋisi
dégradasi	degradasi
sebaik	səbaiʔ
persénan	pərsenan
pérubalsem	perubalsəm
karar	karar
pimpinan	pimpinan
tikungan	tikuŋan
mendengkur	məndəŋkur
membelandang	məmbəlandaŋ
kemabukan	kəmabukan
beraspal	bəraspal
kélah	kelah
akut	akut
kol	kol
kelompang	kəlompaŋ
anyang	aɲaŋ
kedangsa	kədaŋsa
mendegam	məndəgam
tepak	təpaʔ
sadri	sadri
bertaburan	bərtaburan
membawahkan	məmbawahkan
wabah	wabah
