tříštěn	tr̝̊iːʃcɛn
nashle	nazɦlɛ
lomeny	lomɛnɪ
dalmatský	dalmatskiː
vykládat	vɪklaːdat
znění	zɲɛɲiː
omladit	omlaɟɪt
choronymum	xoronɪmum
vyvlastnění	vɪvlastɲɛɲiː
doladit	dolaɟɪt
doplňkový	dopl̩ɲkoviː
partaj	partaj
tajnůstkářský	tajnuːstkaːr̝̊skiː
bezpodmínečný	bɛspodmiːnɛt͡ʃniː
žne	ʒnɛ
mohli	moɦlɪ
točit	tot͡ʃɪt
divák	ɟɪvaːk
schnete	sxnɛtɛ
antisymetrie	antɪsɪmɛtrɪjɛ
uhřík	uɦr̝iːk
současník	sou̯t͡ʃasɲiːk
hruď	ɦruc
pohodlně	poɦodl̩ɲɛ
dělila	ɟɛlɪla
přesměrovat	pr̝̊ɛsm̩ɲɛrovat
rozhodovat	rozɦodovat
zcvokatět	st͡svokacɛt
chronologie	xronoloɡɪjɛ
gigajoule	ɡɪɡadʒau̯l
mrholení	mr̩ɦolɛɲiː
pracant	prat͡sant
didaktický	dɪdaktɪt͡skiː
stepokur	stɛpokur
zapadat	zapadat
těžknout	cɛʃknou̯t
zadýchaný	zadiːxaniː
cobydup	t͡sobɪdup
kouzel	kou̯zɛl
břízách	br̝iːzaːx
arytmie	arɪtmɪjɛ
stuhlo	stuɦlo
patologický	patoloɡɪt͡skiː
strhnout	str̩ɦnou̯t
dráždit	draːʒɟɪt
slézem	slɛːzɛm
zajali	zajalɪ
pyreneje	pɪrɛnɛjɛ
loňský	loɲskiː
hradů	ɦraduː
sunete	sunɛtɛ
státní	staːtɲiː
lososí	lososiː
piho	pɪɦo
předělávat	pr̝̊ɛɟɛlaːvat
skonat	skonat
vyjmout	vɪjmou̯t
tišena	cɪʃɛna
zubů	zubuː
krmelec	kr̩mɛlɛt͡s
hangár	ɦaŋɡaːr
cukr	t͡sukr̩
projednávat	projɛdnaːvat
četách	t͡ʃɛtaːx
xylofon	ksɪlofoːn
snížení	sɲiːʒɛɲiː
tádžikistán	taːdʒɪkɪstaːn
označení	oznat͡ʃɛɲiː
vklad	fklat
sekačka	sɛkat͡ʃka
integrovat	ɪntɛɡrovat
kanálek	kanaːlɛk
kognitivní	koɡnɪtɪvɲiː
spravedlivost	spravɛdlɪvost
mává	maːvaː
souběžnost	sou̯bjɛʒnost
psychoterapie	psɪxotɛrapɪjɛ
štěstěna	ʃcɛscɛna
encyklika	ɛnt͡sɪklɪka
dovolená	dovolɛnaː
řidítka	r̝ɪɟiːtka
určitý	urt͡ʃɪtiː
cytolog	t͡sɪtolok
udilo	uɟɪlo
kontaminovat	kontamɪnovat
zteč	stɛt͡ʃ
zachytit	zaxɪcɪt
laura	lau̯ra
radikalizovat	radɪkalɪzovat
sáňky	saːɲkɪ
stříkat	str̝̊iːkat
zchátralý	sxaːtraliː
probudit	probuɟɪt
evropanka	ɛvropaŋka
jaly	jalɪ
vyplašit	vɪplaʃɪt
natož	natoʃ
dráno	draːno
síci	siːt͡sɪ
oligarcha	olɪɡarxa
nestranný	nɛstraniː
bezkřídlý	bɛskr̝̊iːdliː
porozumět	porozumɲɛt
čadský	t͡ʃatskiː
mališ	malɪʃ
žádostivost	ʒaːdoscɪvost
teheránec	tɛɦɛraːnɛt͡s
chroustí	xrou̯sciː
remizovat	rɛmɪzovat
slintá	slɪntaː
dramatizovat	dramatɪzovat
bonifác	bonɪfaːt͡s
libérie	lɪbɛːrɪjɛ
sejí	sɛjiː
skokan	skokan
urovnat	urovnat
nuzák	nuzaːk
panenka	panɛŋka
myslím	mɪsliːm
básnička	baːsɲɪt͡ʃka
letos	lɛtos
mol	mol
železniční	ʒɛlɛzɲɪt͡ʃɲiː
písmolijna	piːsmolɪjna
hasička	ɦasɪt͡ʃka
zpitý	spɪtiː
zádech	zaːdɛx
teologický	tɛoloɡɪt͡skiː
páře	paːr̝ɛ
dělání	ɟɛlaːɲiː
bětka	bjɛtka
tancovali	tant͡sovalɪ
žluč	ʒlut͡ʃ
foch	fox
spící	spiːt͡siː
vran	vran
nezbytný	nɛzbɪtniː
zachroptěv	zaxropcɛf
zanedbat	zanɛdbat
extraordinární	ɛkstraordɪnaːrɲiː
zasedat	zasɛdat
věřme	vjɛr̝mɛ
platíce	placiːt͡sɛ
zablácený	zablaːt͡sɛniː
procházet	proxaːzɛt
rovnátka	rovnaːtka
helenka	ɦɛlɛŋka
kandidatura	kandɪdatura
serbie	sɛrbɪjɛ
podřadit	podr̝aɟɪt
andělin	anɟɛlɪn
výslovný	viːslovniː
karlička	karlɪt͡ʃka
žárovka	ʒaːrofka
disk	dɪsk
venezuelanka	vɛnɛzuɛlaŋka
dýhy	diːɦɪ
cihlový	t͡sɪɦloviː
patery	patɛrɪ
teoretik	tɛorɛtɪk
klus	klus
tableta	tablɛta
ledem	lɛdɛm
koktání	koktaːɲiː
odletět	odlɛcɛt
pěl	pjɛl
sajte	sajtɛ
západně	zaːpadɲɛ
tropický	tropɪt͡skiː
čarodějka	t͡ʃaroɟɛjka
břitký	br̝ɪtkiː
šešulka	ʃɛʃulka
kapsle	kapslɛ
plicím	plɪt͡siːm
definovat	dɛfɪnovat
drahoslav	draɦoslaf
entita	ɛntɪta
jezevčík	jɛzɛft͡ʃiːk
oliver	olɪvɛr
napomínat	napomiːnat
želvička	ʒɛlvɪt͡ʃka
přivý	pr̝̊ɪviː
sibiň	sɪbɪɲ
modřinka	modr̝ɪŋka
olžin	olʒɪn
plešatý	plɛʃatiː
konstrukce	konstrukt͡sɛ
legendární	lɛɡɛndaːrɲiː
improvizovat	ɪmprovɪzovat
tanzanský	tanzanskiː
jamajčanka	jamajt͡ʃaŋka
měř	mɲɛr̝̊
carevna	t͡sarɛvna
jidášova	jɪdaːʃova
extremista	ɛkstrɛmɪsta
kytara	kɪtara
slazený	slazɛniː
vřed	vr̝ɛt
chceš	xt͡sɛʃ
syntaktik	sɪntaktɪk
báňat	baːɲat
kapat	kapat
mnišství	mɲɪʃstviː
pýru	piːru
vík	viːk
uhádnout	uɦaːdnou̯t
póla	poːla
dovážejíc	dovaːʒɛjiːt͡s
kindoš	kɪndoʃ
neplodný	nɛplodniː
potkáni	potkaːɲɪ
zubra	zubra
čenstochová	t͡ʃɛnstoxovaː
čertů	t͡ʃɛrtuː
vyložený	vɪloʒɛniː
karolínka	karoliːŋka
vydří	vɪdr̝iː
konfuze	konfuzɛ
setkání	sɛtkaːɲiː
vlha	vl̩ɦa
filozofický	fɪlozofɪt͡skiː
severoněmecký	sɛvɛroɲɛmɛt͡skiː
cestám	t͡sɛstaːm
mým	miːm
nepochopitelný	nɛpoxopɪtɛlniː
jedny	jɛdnɪ
mízo	miːzo
vezír	vɛziːr
emigrant	ɛmɪɡrant
uvozovka	uvozofka
honitba	ɦoɲɪdba
decelerovat	dɛt͡sɛlɛrovat
nevěra	nɛvjɛra
klíšťový	kliːʃcoviː
španělský	ʃpaɲɛlskiː
mizíš	mɪziːʃ
tlach	tlax
dobromyslný	dobromɪsl̩niː
píď	piːc
nohama	noɦama
obytný	obɪtniː
dokumentace	dokumɛntat͡sɛ
asymptotický	asɪmptotɪt͡skiː
policejní	polɪt͡sɛjɲiː
charvátština	xarvaːtʃcɪna
helenin	ɦɛlɛɲɪn
míře	miːr̝ɛ
tvarůžky	tvaruːʃkɪ
vešlo	vɛʃlo
iterovat	ɪtɛrovat
epifýza	ɛpɪfiːza
tělům	cɛluːm
kostrčí	kostr̩t͡ʃiː
čerti	t͡ʃɛrcɪ
teplí	tɛpliː
vápenka	vaːpɛŋka
tvorba	tvorba
nepříjemný	nɛpr̝̊iːjɛmniː
symetrie	sɪmɛtrɪjɛ
liga	lɪɡa
panna	pana
hláskovat	ɦlaːskovat
obklopit	opklopɪt
přednáška	pr̝̊ɛdnaːʃka
slatina	slacɪna
indiánka	ɪndɪaːŋka
tvora	tvora
jej	jɛj
nezávislý	nɛzaːvɪsliː
koaliční	koalɪt͡ʃɲiː
holec	ɦolɛt͡s
poulen	pou̯lɛn
vadám	vadaːm
poslali	poslalɪ
bezesporu	bɛzɛsporu
po	po
neposlušnost	nɛposluʃnost
nebí	nɛbiː
nahodilý	naɦoɟɪliː
sběratelství	zbjɛratɛlstviː
bankrot	baŋkrot
udobřit	udobr̝ɪt
vkus	fkus
koncentrace	kont͡sɛntrat͡sɛ
pášeš	paːʃɛʃ
psala	psala
prapor	prapor
římanka	r̝iːmaŋka
hláskování	ɦlaːskovaːɲiː
násoska	naːsoska
laním	laɲiːm
mnohojazyčný	mnoɦojazɪt͡ʃniː
vratnost	vratnost
zveřejnění	zvɛr̝ɛjɲɛɲiː
vazal	vazal
předefinovat	pr̝̊ɛdɛfɪnovat
hustě	ɦuscɛ
danuš	danuʃ
blekot	blɛkot
spalování	spalovaːɲiː
klíma	kliːma
přeměňovat	pr̝̊ɛmɲɛɲovat
čardáš	t͡ʃardaːʃ
rozhněvaný	rozɦɲɛvaniː
hojný	ɦojniː
osamělý	osamɲɛliː
kondoří	kondor̝iː
luxusní	luksusɲiː
hádal	ɦaːdal
diaforáza	dɪaforaːza
temnota	tɛmnota
machačkala	maxat͡ʃkala
nejrychlejší	nɛjrɪxlɛjʃiː
bezpatkový	bɛspatkoviː
neřetín	nɛr̝ɛciːn
jehlici	jɛɦlɪt͡sɪ
vztekle	fstɛklɛ
sperma	spɛrma
tříštit	tr̝̊iːʃcɪt
krasobruslař	krasobruslar̝̊
nářek	naːr̝ɛk
souložit	sou̯loʒɪt
budeš	budɛʃ
osten	ostɛn
anticholinergní	antɪxolɪnɛrɡɲiː
deštný	dɛʃtniː
poschodí	posxoɟiː
sporý	sporiː
myly	mɪlɪ
spony	sponɪ
cista	t͡sɪsta
řval	r̝val
dirigismus	dɪrɪɡɪzmus
hašteřit	ɦaʃtɛr̝ɪt
frakce	frakt͡sɛ
brnu	br̩nu
chřípí	xr̝̊iːpiː
ketoacidóza	kɛtoat͡sɪdoːza
jejku	jɛjku
dere	dɛrɛ
libte	lɪptɛ
viďte	vɪctɛ
mučedník	mut͡ʃɛdɲiːk
indukce	ɪndukt͡sɛ
ságovník	saːɡovɲiːk
pýr	piːr
trasa	trasa
tmu	tmu
otcích	ot͡siːx
prokládat	proklaːdat
jasnovidectví	jasnovɪdɛt͡stviː
líbíš	liːbiːʃ
sanskrt	sanskr̩t
beáta	bɛaːta
nyje	nɪjɛ
pupek	pupɛk
poraženectví	poraʒɛnɛt͡stviː
macujama	mat͡sujama
obousměrný	obou̯sm̩ɲɛrniː
kát	kaːt
píši	piːʃɪ
poskytnout	poskɪtnou̯t
vadím	vaɟiːm
vozataj	vozataj
cytologický	t͡sɪtoloɡɪt͡skiː
humenný	ɦumɛniː
nedobytný	nɛdobɪtniː
šalina	ʃalɪna
volí	voliː
pronásledovat	pronaːslɛdovat
dmýchat	dmiːxat
potenciál	potɛnt͡sɪaːl
rozum	rozum
káťa	kaːca
révě	rɛːvjɛ
tenkozobec	tɛnkozobɛts
losem	losɛm
pendlovky	pɛndlofkɪ
acidita	at͡sɪdɪta
slotě	slocɛ
pupeční	pupɛt͡ʃɲiː
jedí	jɛɟiː
libeček	lɪbɛt͡ʃɛk
narozeninám	narozɛɲɪnaːm
prali	pralɪ
churavět	xuravjɛt
plytký	plɪtkiː
saskia	saskɪa
darovat	darovat
nalezenec	nalɛzɛnɛt͡s
vanout	vanou̯t
šálů	ʃaːluː
jedu	jɛdu
vrknout	vr̩knou̯t
nadrovina	nadrovɪna
radit	raɟɪt
mandarinkovník	mandarɪŋkovɲiːk
zpopularizovat	spopularɪzovat
prohlubeň	proɦlubɛɲ
alimenty	alɪmɛntɪ
vratký	vratkiː
demokratický	dɛmokratɪt͡skiː
braňme	braɲmɛ
rétorický	rɛːtorɪt͡skiː
mihla	mɪɦla
usínat	usiːnat
přednášející	pr̝̊ɛdnaːʃɛjiːt͡siː
recht	rɛxt
takjaktak	takjaktak
chrlič	xr̩lɪt͡ʃ
vál	vaːl
dopravit	dopravɪt
kuře	kur̝ɛ
kukmák	kukmaːk
potopit	potopɪt
tahoun	taɦou̯n
kvíčalí	kviːt͡ʃaliː
sjezdovky	sjɛzdofkɪ
jedlý	jɛdliː
předávkování	pr̝̊ɛdaːfkovaːɲiː
nix	nɪks
mykény	mɪkɛːnɪ
metan	mɛtan
obereš	obɛrɛʃ
klasik	klasɪk
osly	oslɪ
zabouchnout	zabou̯xnou̯t
solnička	solɲɪt͡ʃka
pomstychtivý	pomstɪxcɪviː
bukurešťan	bukurɛʃcan
obsedantní	opsɛdantɲiː
daňte	daɲtɛ
smědý	sm̩ɲɛdiː
laryngální	larɪŋɡaːlɲiː
světloléčba	svjɛtlolɛːd͡ʒba
zubařský	zubar̝̊skiː
apozice	apozɪt͡sɛ
bronz	brons
zlého	zlɛːɦo
hrabat	ɦrabat
arabský	arapskiː
šťáva	ʃcaːva
bangladéšský	baŋɡladɛːʃskiː
podlehnout	podlɛɦnou̯t
osle	oslɛ
lhář	lɦaːr̝̊
šlím	ʃliːm
nevyvratitelný	nɛvɪvracɪtɛlniː
zavšivený	zafʃɪvɛniː
kostřava	kostr̝̊ava
soudil	sou̯ɟɪl
žna	ʒna
inzulín	ɪnzuliːn
pracováno	prat͡sovaːno
zvířetníkový	zviːr̝ɛtɲiːkoviː
projekce	projɛkt͡sɛ
ona	ona
partnerský	partnɛrskiː
pšoukat	pʃou̯kat
zemi	zɛmɪ
zrudnout	zrudnou̯t
červánky	t͡ʃɛrvaːŋkɪ
tancování	tant͡sovaːɲiː
džin	dʒɪn
útočný	uːtot͡ʃniː
chráněnec	xraːɲɛnɛt͡s
zaměnit	zamɲɛɲɪt
hudební	ɦudɛbɲiː
poprvé	popr̩vɛː
příchuť	pr̝̊iːxuc
sedlo	sɛdlo
padesátý	padɛsaːtiː
budu	budu
anglikánský	aŋɡlɪkaːnskiː
kladem	kladɛm
jhům	jɦuːm
symptomatický	sɪmptomatɪt͡skiː
klikám	klɪkaːm
křis	kr̝̊ɪs
daně	daɲɛ
struhadlo	struɦadlo
kůro	kuːro
konev	konɛf
chvátat	xvaːtat
přezkušovat	pr̝̊ɛskuʃovat
zepředu	zɛpr̝̊ɛdu
měřme	mɲɛr̝mɛ
polda	polda
nárok	naːrok
evin	ɛvɪn
skica	skɪt͡sa
zobecněný	zobɛt͡sɲɛniː
myla	mɪla
lymfocyt	lɪmfot͡sɪt
letem	lɛtɛm
zmek	zmɛk
mnohobuněčný	mnoɦobuɲɛt͡ʃniː
krajnice	krajɲɪt͡sɛ
ekzém	ɛɡzɛːm
pecte	pɛt͡stɛ
plevel	plɛvɛl
existencialistický	ɛksɪstɛnt͡sɪalɪstɪt͡skiː
čuránky	t͡ʃuraːŋkɪ
vulkanolog	vulkanolok
fajfka	fajfka
vyhnal	vɪɦnal
vojín	vojiːn
dáš	daːʃ
čtrnáctiprocentní	t͡ʃtr̩naːt͡scɪprot͡sɛntɲiː
kávovar	kaːvovar
radce	rat͡sɛ
klaď	klac
rukami	rukamɪ
silozpyt	sɪlospɪt
zavázat	zavaːzat
plít	pliːt
kosme	kosmɛ
botanika	botanɪka
palivy	palɪvɪ
danuška	danuʃka
hranu	ɦranu
okupační	okupat͡ʃɲiː
nadmořský	nadmor̝̊skiː
vztažný	fstaʒniː
sevřít	sɛvr̝iːt
nelibost	nɛlɪbost
kávovník	kaːvovɲiːk
ema	ɛma
zamlklý	zaml̩kliː
podsvětí	potsvjɛciː
kryštof	krɪʃtof
staroseverský	starosɛvɛrskiː
oxalát	oksalaːt
sílách	siːlaːx
bolivijský	bolɪvɪjskiː
nizozemec	ɲɪzozɛmɛt͡s
telko	tɛlko
magič	maɡɪt͡ʃ
přáteli	pr̝̊aːtɛlɪ
rétoricky	rɛːtorɪt͡skɪ
ostrý	ostriː
paseno	pasɛno
citů	t͡sɪtuː
umělec	umɲɛlɛt͡s
živnůstka	ʒɪvnuːstka
viste	vɪstɛ
aranžér	aranʒɛːr
jahůdka	jaɦuːtka
ředitelův	r̝ɛɟɪtɛluːf
duchovní	duxovɲiː
tamtéž	tamtɛːʃ
kohorta	koɦorta
uchách	uxaːx
nepřekonatelně	nɛpr̝̊ɛkonatɛlɲɛ
surrealista	surɛalɪsta
kondolovat	kondolovat
partyzánský	partɪzaːnskiː
dusil	dusɪl
vítali	viːtalɪ
slinění	slɪɲɛɲiː
plodnost	plodnost
rycích	rɪt͡siːx
čtvrtina	t͡ʃtvr̩cɪna
barončin	baront͡ʃɪn
mandolinista	mandolɪɲɪsta
krtonožka	kr̩tonoʃka
paréza	parɛːza
dodekaedr	dodɛkaɛdr̩
masakrovat	masakrovat
baculatý	bat͡sulatiː
zdí	zɟiː
bidlo	bɪdlo
jizev	jɪzɛf
originální	orɪɡɪnaːlɲiː
stalin	stalɪn
decentralizovat	dɛt͡sɛntralɪzovat
rýmovat	riːmovat
smeteš	smɛtɛʃ
poznán	poznaːn
cesto	t͡sɛsto
sunu	sunu
rýže	riːʒɛ
oháknout	oɦaːknou̯t
antilymfocytární	antɪlɪmfot͡sɪtaːrɲiː
horké	ɦorkɛː
pěj	pjɛj
snesitelný	snɛsɪtɛlniː
prd	pr̩t
skandinávka	skandɪnaːfka
binomický	bɪnomɪt͡skiː
neplánovaný	nɛplaːnovaniː
mna	mna
nuance	nuant͡sɛ
hloupůstka	ɦlou̯puːstka
toreb	torɛp
letuška	lɛtuʃka
jednotlivý	jɛdnotlɪviː
sukničkář	sukɲɪt͡ʃkaːr̝̊
lojový	lojoviː
milá	mɪlaː
dři	dr̝ɪ
ráďa	raːɟa
jenže	jɛnʒɛ
hladina	ɦlaɟɪna
úkaz	uːkas
klasifikovat	klasɪfɪkovat
břízo	br̝iːzo
maso	maso
normandie	normanɟɪɛ
nezasažen	nɛzasaʒɛn
mizérie	mɪzɛːrɪɛ
výjimečně	viːjɪmɛt͡ʃɲɛ
aktivní	aktɪvɲiː
rozmarýna	rozmariːna
vinami	vɪnamɪ
klínový	kliːnoviː
ultrazvukový	ultrazvukoviː
tazích	taziːx
irština	ɪrʃcɪna
tato	tato
přístavek	pr̝̊iːstavɛk
lusk	lusk
kro	kro
kraví	kraviː
prostitut	prostɪtut
vykřiknout	vɪkr̝̊ɪknou̯t
páchán	paːxaːn
dvanáctistěn	dvanaːt͡scɪscɛn
bud	but
přimět	pr̝̊ɪmɲɛt
májový	maːjoviː
lizů	lɪzuː
porotkyně	porotkɪɲɛ
dumání	dumaːɲiː
póly	poːlɪ
zeměpisář	zɛmɲɛpɪsaːr̝̊
říšský	r̝iːʃskiː
třetí	tr̝̊ɛciː
pouto	pou̯to
gramatický	ɡramatɪt͡skiː
lexikografický	lɛksɪkoɡrafɪt͡skiː
chucpe	xut͡spɛ
navrhnout	navr̩ɦnou̯t
mord	mort
kolumbův	kolumbuːf
solnohrad	solnoɦrat
antisemitismus	antɪsɛmɪtɪzmus
kotva	kotva
borůvkový	boruːfkoviː
termit	tɛrmɪt
vzájemný	vzaːjɛmniː
bubeník	bubɛɲiːk
ulevit	ulɛvɪt
podmnožina	podm̩noʒɪna
odnož	odnoʃ
prohra	proɦra
pelíškovat	pɛliːʃkovat
klopot	klopot
intramuskulární	ɪntramuskulaːrɲiː
intelektuál	ɪntɛlɛktuaːl
bavlna	bavl̩na
výživný	viːʒɪvniː
viň	vɪɲ
kaolín	kaoliːn
mutr	mutr̩
vile	vɪlɛ
sladce	slat͡sɛ
nenese	nɛnɛsɛ
metrosexuál	mɛtrosɛksuaːl
zemím	zɛmiːm
david	davɪt
aukce	au̯kt͡sɛ
zasebevraždit	zasɛbɛvraʒɟɪt
protivníkův	procɪvɲiːkuːf
větrů	vjɛtruː
stude	studɛ
panděro	panɟɛro
sloh	slox
zabito	zabɪto
zkoumání	skou̯maːɲiː
argentinský	arɡɛntɪnskiː
šálou	ʃaːlou̯
nádorový	naːdoroviː
erotika	ɛrotɪka
nevládní	nɛvlaːdɲiː
tlumič	tlumɪt͡ʃ
ručně	rut͡ʃɲɛ
krám	kraːm
numerický	numɛrɪt͡skiː
osika	osɪka
průplav	pruːplaf
dřeny	dr̝ɛnɪ
květnový	kvjɛtnoviː
tvoje	tvojɛ
lysku	lɪsku
lídr	liːdr̩
šikmý	ʃɪkmiː
sotvaže	sotvaʒɛ
kyselin	kɪsɛlɪn
inflamace	ɪnflamat͡sɛ
cizost	t͡sɪzost
kušna	kuʃna
nacistický	nat͡sɪstɪt͡skiː
deflace	dɛflat͡sɛ
solárko	solaːrko
ukřižování	ukr̝̊ɪʒovaːɲiː
pecme	pɛt͡smɛ
turpan	turpan
dirigistický	dɪrɪɡɪstɪt͡skiː
přenášet	pr̝̊ɛnaːʃɛt
úžas	uːʒas
pěstí	pjɛsciː
transatlantický	transatlantɪt͡skiː
gertruda	ɡɛrtruda
knajpa	knajpa
pečlivost	pɛt͡ʃlɪvost
hoštěn	ɦoʃcɛn
přehledný	pr̝̊ɛɦlɛdniː
opěru	opjɛru
bambus	bambus
přemysl	pr̝̊ɛmɪsl̩
algoritmus	alɡorɪtmus
náklaďák	naːklaɟaːk
kancům	kant͡suːm
programování	proɡramovaːɲiː
pomaleji	pomalɛjɪ
žabí	ʒabiː
lexikologický	lɛksɪkoloɡɪt͡skiː
dvojice	dvojɪt͡sɛ
plátce	plaːt͡sɛ
poutí	pou̯ciː
shlédnout	zɦlɛːdnou̯t
řadíc	r̝aɟiːt͡s
nitry	ɲɪtrɪ
jolanin	jolaɲɪn
objasnit	objasɲɪt
odřít	odr̝iːt
sviň	svɪɲ
fotosyntéza	fotosɪntɛːza
veterinář	vɛtɛrɪnaːr̝̊
buřt	bur̝̊t
koncový	kont͡soviː
košatý	koʃatiː
hornatý	ɦornatiː
topolany	topolanɪ
policajt	polɪt͡sajt
bolech	bolɛx
přeložitelný	pr̝̊ɛloʒɪtɛlniː
autíčko	au̯ciːt͡ʃko
rotunda	rotunda
dozrát	dozraːt
lojem	lojɛm
ukolébavka	ukolɛːbafka
zahradnictví	zaɦradɲɪt͡stviː
jepičí	jɛpɪt͡ʃiː
katolický	katolɪt͡skiː
abdon	abdon
infiltrovat	ɪnfɪltrovat
vzdávat	vzdaːvat
stihni	scɪɦɲɪ
schnou	sxnou̯
chvilkový	xvɪlkoviː
verbální	vɛrbaːlɲiː
mnichův	mɲɪxuːf
klecemi	klɛt͡sɛmɪ
jódlovačka	joːdlovat͡ʃka
klece	klɛt͡sɛ
marně	marɲɛ
měřící	mɲɛr̝iːt͡siː
zeť	zɛc
kaženi	kaʒɛɲɪ
katovi	katovɪ
antikoagulační	antɪkoaɡulat͡ʃɲiː
rekapitulace	rɛkapɪtulat͡sɛ
sluha	sluɦa
neděl	nɛɟɛl
tečna	tɛt͡ʃna
reformulace	rɛformulat͡sɛ
hádalo	ɦaːdalo
moudivláček	mouɟɪvl̩aːtʃɛk
portugalština	portuɡalʃcɪna
kolt	kolt
okolnost	okolnost
ideál	ɪdɛaːl
násobení	naːsobɛɲiː
dědek	ɟɛdɛk
choutky	xou̯tkɪ
hosté	ɦostɛː
hledík	ɦlɛɟiːk
chuďas	xuɟas
šlacha	ʃlaxa
brašen	braʃɛn
reproduktor	rɛproduktor
dosíci	dosiːt͡sɪ
toxický	toksɪt͡skiː
krášlit	kraːʃlɪt
míček	miːt͡ʃɛk
protiruský	procɪruskiː
dáven	daːvɛn
měkká	mɲɛkaː
baťůžek	bacuːʒɛk
hrádek	ɦraːdɛk
antonymum	antonɪmum
hodů	ɦoduː
vůni	vuːɲɪ
přivodit	pr̝̊ɪvoɟɪt
komořan	komor̝an
mrakodrap	mrakodrap
křížit	kr̝̊iːʒɪt
šel	ʃɛl
vlašský	vlaʃskiː
cibulačka	t͡sɪbulat͡ʃka
matoucí	matou̯t͡siː
apokalypsa	apokalɪpsa
perleť	pɛrlɛc
ron	ron
tunisan	tunɪsan
obyvatel	obɪvatɛl
cívkový	t͡siːfkoviː
světit	svjɛcɪt
moderátor	modɛraːtor
jedni	jɛdɲɪ
vedro	vɛdro
ohníček	oɦɲiːt͡ʃɛk
branám	branaːm
solíce	soliːt͡sɛ
duším	duʃiːm
proud	prou̯t
dáváno	daːvaːno
holce	ɦolt͡sɛ
výrobek	viːrobɛk
líbány	liːbaːnɪ
koncentrický	kont͡sɛntrɪt͡skiː
kapitálový	kapɪtaːloviː
pseudověda	psɛu̯dovjɛda
včelička	ft͡ʃɛlɪt͡ʃka
slečnin	slɛt͡ʃɲɪn
ďasu	ɟasu
velel	vɛlɛl
sabotovat	sabotovat
povyk	povɪk
hřebec	ɦr̝ɛbɛt͡s
jidiš	jɪdɪʃ
inherentní	ɪnɦɛrɛntɲiː
shrnovat	zɦr̩novat
žvejkačka	ʒvɛjkat͡ʃka
zdanit	zdaɲɪt
ústav	uːstaf
skútr	skuːtr̩
nikoli	ɲɪkolɪ
radoslav	radoslaf
poprava	poprava
alergolog	alɛrɡolok
prdel	pr̩dɛl
laborantka	laborantka
nechalo	nɛxalo
šíře	ʃiːr̝ɛ
obelstít	obɛlsciːt
krk	kr̩k
rýmovačka	riːmovat͡ʃka
zdím	zɟiːm
holomek	ɦolomɛk
cihlička	t͡sɪɦlɪt͡ʃka
antifašistický	antɪfaʃɪstɪt͡skiː
liška	lɪʃka
invalidní	ɪnvalɪdɲiː
hořký	ɦor̝̊kiː
pášeme	paːʃɛmɛ
škála	ʃkaːla
děšena	ɟɛʃɛna
organizace	orɡanɪzat͡sɛ
ochrnutí	oxr̩nuciː
lotos	lotos
parník	parɲiːk
chlorát	xloraːt
lány	laːnɪ
isoglosa	ɪzoɡlosa
retardovaný	rɛtardovaniː
odlišnost	odlɪʃnost
krleš	kr̩lɛʃ
kombajn	kombajn
svalnatý	svalnatiː
individualismus	ɪndɪvɪdualɪzmus
připojení	pr̝̊ɪpojɛɲiː
čepka	t͡ʃɛpka
dobráčtěji	dobraːt͡ʃcɛjɪ
osadník	osadɲiːk
maze	mazɛ
rýčů	riːt͡ʃuː
amerikanismus	amɛrɪkanɪzmus
létech	lɛːtɛx
dehydrovat	dɛɦɪdrovat
čadit	t͡ʃaɟɪt
země	zɛmɲɛ
zvonice	zvoɲɪt͡sɛ
hraběnčin	ɦrabjɛnt͡ʃɪn
kralevic	kralɛvɪt͡s
rovnítko	rovɲiːtko
slezem	slɛzɛm
bisexualita	bɪsɛksualɪta
bezpečnost	bɛspɛt͡ʃnost
svědek	svjɛdɛk
brnknout	brn̩knou̯t
matky	matkɪ
potápka	potaːpka
modalita	modalɪta
novinový	novɪnoviː
bouří	bou̯r̝iː
nevíra	nɛviːra
odstraňovat	otstraɲovat
klárka	klaːrka
dna	dna
pácháš	paːxaːʃ
láva	laːva
králem	kraːlɛm
pasu	pasu
dvanáctkrát	dvanaːt͡stkraːt
sedmnáctkrát	sɛdm̩naːt͡stkraːt
zjistit	zjɪscɪt
španěl	ʃpaɲɛl
racionální	rat͡sɪonaːlɲiː
metete	mɛtɛtɛ
nosnice	nosɲɪt͡sɛ
plotě	plocɛ
vlezdoprdelista	vlɛzdopr̩dɛlɪsta
nezávislost	nɛzaːvɪslost
sláb	slaːp
snížit	sɲiːʒɪt
zběhlý	zbjɛɦliː
apop	apop
jednat	jɛdnat
chorvatsko	xorvatsko
jede	jɛdɛ
ztroskotat	stroskotat
čajovník	t͡ʃajovɲiːk
buchtička	buxcɪt͡ʃka
radikalismus	radɪkalɪzmus
nepravdivost	nɛpravɟɪvost
objal	objal
křemík	kr̝̊ɛmiːk
defekovat	dɛfɛkovat
beton	bɛton
jevím	jɛviːm
trestanec	trɛstanɛt͡s
tajně	tajɲɛ
pekař	pɛkar̝̊
kove	kovɛ
věstit	vjɛscɪt
borům	boːruːm
sebeúcta	sɛbɛuːt͡sta
pošly	poʃlɪ
nedbalý	nɛdbaliː
