experimentar	iʃpɨɾimẽtaɾ
paciente	pɐsjẽtɨ
mães	mɐ̃j̃ʃ
deixado	dɐjʃaðu
ritmo	ʁitmu
novembro	nuvẽbɾu
noivo	nojvu
corrente	kuʁẽtɨ
mordomo	muɾðomu
apertado	ɐpɨɾtaðu
noites	nojtɨʃ
das	dɐʃ
arcanjo	ɐɾkɐ̃ʒu
perceber	pɨɾsɨbeɾ
ditar	ditaɾ
austero	awʃtɛɾu
razão	ʁɐzɐ̃w̃
filhó	fiʎɔ
químico	kimiku
dindim	dʒĩdʒĩ
serem	seɾɐ̃j̃
tágide	taʒiðɨ
puxa	puʃɐ
supremo	supɾemu
corno	koɾnu
alma	aɫmɐ
seio	sɐju
viajado	viɐʒaðu
sexto	sɐjʃtu
cominação	kominasɐ̃w̃
quantia	kwɐ̃tiɐ
conjunto	kõʒũtu
gouveia	ɡowvɐjɐ
mil	miɫ
vender	vẽdeɾ
indemne	ĩdẽnɨ
pirão	piɾɐ̃w̃
cangalheiro	kɐ̃ɡɐʎɐjɾu
estar	iʃtaɾ
alforriar	aɫfuʁjɐɾ
acolhedor	ɐkuʎɨðoɾ
safar	sɐfaɾ
pequenino	pɨkɨninu
lixa	liʃɐ
noutro	nowtɾu
leve	lɛvɨ
ramo	ʁɐmu
torpe	tɔɾpi
primeiro	pɾimɐjɾu
traição	tɾaisɐ̃w̃
fazes	fazɨʃ
ingerência	ĩʒeɾẽsja
cabaço	kabasu
lembrar	lẽbɾaɾ
ronrom	ʁõʁõ
próprios	pɾɔpɾjuʃ
circuncentro	sirkũsẽtru
agência	ɐʒẽsjɐ
ultramar	uɫtɾɐmaɾ
bege	bɛʒi
suar	suaɾ
trovão	tɾuvɐ̃w̃
orgia	oɾʒia
subjetivo	subʒɛtivu
mariana	mɐɾjɐnɐ
coleta	kulɛtɐ
esguio	iʒɣiu
funk	fɐ̃kɨ
remoinho	ʁɨmwiɲu
achar	ɐʃaɾ
moinho	muiɲu
tonfa	tõfa
kilobyte	kilobajtʃi
saindo	sɐĩdu
neónio	njɔnju
pinha	piɲɐ
diospireiro	djɔʃpiɾɐjɾu
ritual	ʁitwaɫ
ainda	ɐĩdɐ
senha	seɲɐ
cervo	sɛɾvu
cozinhar	kuziɲaɾ
conectar	kunɛktaɾ
agaloar	ɐɡɐlwaɾ
crista	kɾiʃtɐ
ó	ɔ
vou	vow
mas	mɐʃ
melancolicamente	mɨlɐ̃kɔlikɐmẽtɨ
levou	lɨvow
moer	mweɾ
extraordinário	iʃtɾɐɔɾðinaɾju
amarone	ɐmɐɾonɨ
cafoto	kafotu
papa	papɐ
queijo	kɐjʒu
esvair	iʒvɐiɾ
trapézio	tɾɐpɛzju
sacho	saʃu
tanque	tɐ̃kɨ
gentileza	ʒẽtʃilezɐ
lotado	lutaðu
masculinidade	mɐʃkuliniðaðɨ
lotear	lutjaɾ
arqueiro	aɾkɐjɾu
betinho	bɛtiɲu
todavia	toðɐviɐ
abjeto	ɐbʒɛtu
pesados	pɨzaðuʃ
compositor	kõpuzitoɾ
embaixada	ẽbajʃaðɐ
amante	ɐmɐ̃tɨ
benvindo	bẽj̃vĩdu
estoma	ɨʃtomɐ
bando	bɐ̃du
madeira	mɐðejɾɐ
cangalheiro	kɐ̃ɡɐʎejɾu
tinham	tiɲɐ̃w̃
ponto	põtu
gavião	ɡɐviɐ̃w
capoeira	kɐpuejɾɐ
boco	boku
bolso	boɫsu
emprego	ẽpɾeɣu
sujeito	suʒɐjtu
afeto	ɐfɛtu
tem	tɐ̃j̃
aquela	ɐkɛlɐ
matosinhos	mɐtuziɲuʃ
turvo	tuɾvu
passos	pasuʃ
nè	nɛ
garrir	ɡɐʁiɾ
alumínico	ɐluminiku
castidade	kɐʃtɨðaðɨ
trânsito	tɾɐ̃zitu
invencível	ĩvẽsivɛɫ
seguidor	sɨɣiðoɾ
abadesa	abadeza
vide	viðɨ
impedir	ĩpɨðiɾ
aldeia	aɫdɐjɐ
pestana	pɨʃtɐnɐ
confeição	kõfɐjsɐ̃w̃
croquete	kɾokɛtʃi
tensão	tẽsɐ̃w̃
vigente	viʒẽtɨ
interesse	ĩtɨɾesɨ
estado	iʃtaðu
transitório	tɾɐ̃zitɔɾiu
papoila	pɐpojlɐ
esperar	iʃpɨɾaɾ
farol	fɐɾɔɫ
ogano	ɔɣɐnu
noturno	nɔtuɾnu
glauco	ɡlawku
silvestre	siɫvɛʃtɾɨ
ideal	iðjaɫ
compota	kõpɔtɐ
própria	pɾɔpɾjɐ
estola	iʃtɔlɐ
medronheiro	mɨðɾuɲɐjɾu
malvão	maɫvɐ̃w̃
multa	muɫtɐ
falcatrua	faɫkɐtɾuɐ
humo	umu
arroz	ɐʁoʃ
mister	mistɛɾ
teoria	tjuɾiɐ
também	tɐ̃bẽj̃
biscoito	biʃkojtu
poção	pusɐ̃w̃
túnel	tunɛɫ
clã	klɐ̃
toca	tɔkɐ
marmelada	mɐɾmɨlaðɐ
saibro	sajβɾu
insensato	ĩsẽsatu
panos	pɐnuʃ
alecrim	ɐlɨkɾĩ
poncho	põʃu
totais	totajs
burca	buɾkɐ
abacista	ɐbasiʃtɐ
isolação	izulɐsɐ̃w̃
convidar	kõviðaɾ
manha	mɐɲɐ
senhores	sɨɲoɾɨʃ
sagrado	sɐɣɾaðu
regulamento	ʁɨɣulɐmẽtu
joelho	ʒwɐʎu
paraquedas	paɾɐkɛðɐʃ
loures	lowɾɨʃ
combinado	kõbinaðu
colmeia	koɫmɐjɐ
mamão	mɐmɐ̃w̃
canavês	kɐnɐveʃ
xá	ʃa
corresponder	kuʁɨʃpõdeɾ
reprodução	ʁɨpɾuðusɐ̃w̃
devasso	dɨvasu
tacha	taʃɐ
eneágono	ɛnjaɣunu
piolho	pioʎu
feio	fɐju
ruptura	ʁuptuɾɐ
exibido	ezibidu
separação	sɨpɐɾɐsɐ̃w̃
triturar	tɾituɾaɾ
inteligência	ĩtɨliʒẽsjɐ
mar	maɾ
crédito	kɾɛðitu
trabalho	tɾɐβaʎu
contino	kõtinu
caveira	kavejɾɐ
feio	feju
agiota	ɐʒjɔtɐ
gládio	ɡlaðju
abacaxizeiro	ɐbɐkɐʃizɐjɾu
bater	bɐteɾ
plátano	platɐnu
recinto	ʁesĩntu
chiar	ʃjaɾ
caminhos	kɐmiɲuʃ
lúcia	lusjɐ
breve	bɾɛvɨ
tabuleiro	tɐβulɐjɾu
dê	de
vem	vɐ̃j̃
cuidado	kwiðaðu
concelho	kõsɐʎu
sido	siðu
continente	kõtinẽtɨ
oposição	ɔpuzisɐ̃w̃
pela	pɛlɐ
pingolim	pĩɡulĩ
ascenso	ɐʃsẽsu
abandonado	ɐβɐ̃dunaðu
douro	dowɾu
arrepiar	ɐʁɨpjaɾ
dissera	disɛɾɐ
vitória	vitɔɾjɐ
sátão	satɐ̃w
estranho	iʃtɾɐɲu
luanda	lwɐ̃dɐ
proibição	pɾujβisɐ̃w̃
futricar	futɾikaʁ
bete	bɛtʃi
suspirar	suʃpiɾaɾ
mina	minɐ
acabado	ɐkɐβaðu
que	kɨ
poupar	powpar
traz	tɾaʃ
colchão	koɫʃɐ̃w̃
vih	veiɐɡa
mezinha	mɛziɲɐ
pagode	pɐɣɔðɨ
abadia	ɐbɐdiɐ
caligrafia	kɐliɣɾɐfiɐ
estamos	iʃtamuʃ
galgo	ɡaɫɣu
criptógrafo	kɾiptɔɡɾafu
produzir	pɾuduziɾ
hoje	oʒɨ
bois	bojʃ
bronze	bɾõzɨ
louça	losɐ
me	mɨ
sanguessuga	sɐ̃ɡɨsuɣɐ
desatar	dɨzɐtaɾ
metal	mɨtaɫ
mistério	miʃtɛɾju
pico	piku
alucinar	ɐlusinaɾ
pólvora	pɔɫvuɾɐ
pereira	pɨɾejɾɐ
cimitarra	simɨtaʁɐ
sadio	saðiu
luzerna	luzɛɾnɐ
quilo	kilu
prenda	pɾẽdɐ
pântano	pɐ̃tɐnu
reativação	ʁɨativɐsɐ̃w
patinete	patʃinɛtʃi
vede	vɛðɨ
porto	pɔɾtu
trincar	tɾĩkaɾ
superar	supɨɾaɾ
acúmulo	ɐkumulu
dois	dojʃ
benavente	bɨnɐvẽtɨ
espetacular	iʃpɛtɐkulaɾ
mantimento	mɐ̃timẽtu
excelente	iʃsɨlẽtɨ
tomar	tumaɾ
está	ʃta
secreto	sɨkɾɛtu
ouvir	owviɾ
pacote	pɐkɔtɨ
contato	kõtatu
aguerrido	aɡeʁidu
trocador	tɾukɐðoɾ
classe	klasɨ
raquete	ʁakɛtɨ
chinelas	ʃinɛlɐʃ
infrassónico	ĩfɾɐsɔniku
dossiê	dɔsje
externo	ɐjʃtɛrnu
remorso	ʁɨmɔɾsu
erróneo	eʁɔnju
sábado	saβɐðu
lagar	lɐɣaɾ
observar	ɔbsɨɾvaɾ
temor	tɨmoɾ
possibilidade	pusibilidadɨ
investigador	ĩvɨʃtiɣaðoɾ
peitudo	pɐjtudu
padoca	padɔka
esfregar	ɨʃfɾɨɣaɾ
asso	asu
exemplo	izẽplu
duende	duẽdɨ
vinhais	viɲajʃ
águia	aɣiɐ
demasiado	dɨmɐziaðu
moldura	moɫduɾɐ
refém	ʁɨfɐ̃j̃
mimosa	mimɔzɐ
herança	eɾɐ̃sɐ
estio	iʃtiu
tromba	tɾõbɐ
colcha	koɫʃɐ
capital	kɐpitaɫ
doutrinação	dowtɾinɐsɐ̃w̃
cintura	sĩtuɾɐ
tais	tajʃ
babosa	bɐβɔzɐ
muçulmano	musuɫmɐnu
descobrir	dɨʃkuβɾiɾ
empregado	ẽpɾɨɣaðu
portal	puɾtaɫ
lameiro	lamejɾu
cena	senɐ
relojoeiro	ʁɨluʒwɐjɾu
simples	sĩplɨʃ
maroto	mɐɾotu
demasiado	dɨmɐzjaðu
sombrio	sõbɾiu
fadigar	fɐðiɣaɾ
setenta	sɨtẽtɐ
dano	dɐnu
névoa	nɛvwɐ
porquê	puɾke
kilimanjaro	kilimɐ̃ʒaɾu
estudioso	iʃtuðjozu
perseguir	pɨɾsɨɣiɾ
ibéria	iβɛɾjɐ
receoso	ʁɨsjozu
impedimento	ĩpɨðimẽtu
espreitar	iʃpɾejtaɾ
recompensa	ʁɨkõpẽsɐ
transa	tɾɐ̃za
foca	fɔkɐ
fobia	fuβiɐ
vendar	vẽdaɾ
documental	dukumẽtaɫ
onde	õdɨ
cúmplice	kũplisɨ
mc	mɛki
podem	pɔðɐ̃j̃
seixo	sɐjʃu
procurar	pɾɔkuɾaɾ
asas	azɐʃ
gozando	ɡuzɐ̃du
nação	nɐsɐ̃w̃
fraquejar	fɾɐkɨʒaɾ
tratava	tɾɐtavɐ
ilusionista	iluzjuniʃtɐ
extravio	istɾaviu
calma	kaɫmɐ
regularidade	ʁɨɣulɐɾiðaðɨ
largura	lɐɾɣuɾɐ
estalar	iʃtɐlaɾ
quiser	kizɛɾ
tecer	tɨseɾ
tradicionalmente	tɾɐðisjunaɫmẽtɨ
chicho	ʃiʃu
falhar	fɐʎaɾ
obras	ɔβɾɐʃ
amedrontar	ɐmɨðɾõtaɾ
segurança	sɨɣuɾɐ̃sɐ
secretaria	sɨkɾɨtɐɾiɐ
mesóclise	mezɔklizi
quinze	kĩzɨ
esquerda	iʃkeɾðɐ
medronho	mɨðɾoɲu
esbranquiçado	ɨʒβɾɐ̃kisaðu
humidade	umiðaðɨ
varonis	vɐɾuniʃ
estratagema	ɨʃtɾɐtɐʒemɐ
conexo	konɛksu
copa	kɔpɐ
fusão	fuzɐ̃w̃
reconhecer	ʁɨkuɲɨseɾ
insígnia	ĩsiɣnjɐ
duradouro	duɾɐðowɾu
acrescer	ɐkɾɨʃseɾ
idílio	iðilju
conduta	kõdutɐ
contraceção	kõtɾɐsɛsɐ̃w̃
japonês	ʒɐpuneʃ
sinó	sinɔ
oficial	ɔfisjaɫ
correia	kuʁɐjɐ
alhures	ɐʎuɾɨʃ
naqueles	nɐkelɨʃ
friorento	fɾiuɾẽtu
vulgar	vuɫɣaɾ
garça	ɡaɾsɐ
virtual	viɾtuaɫ
dezassete	dɨzɐsɛtɨ
ufólogo	ufɔluɣu
elétrico	ilɛtɾiku
gaiola	ɡajɔlɐ
bitaite	bitajtɨ
chimpanzé	ʃĩpɐ̃zɛ
país	pɐiʃ
nas	nɐʃ
tabuada	tɐβwaðɐ
fugir	fuʒiɾ
roubar	ʁowβaɾ
deturpação	detuʁpasɐ̃w̃
similar	sɨmilaɾ
frança	fɾɐ̃sɐ
baguete	baɡɛtʃi
tingitano	tĩʒitɐnu
incomparável	ĩkõpɐɾaveɫ
abotoar	ɐbutwaɾ
mure	muɾɨ
consultório	kõsuɫtɔɾju
aprendiz	ɐpɾẽdiʃ
diferença	difɨɾẽsɐ
armamentista	aɾmamẽtʃista
kuduro	kuduru
artilharia	ɐɾtiʎɐɾiɐ
baleia	bɐlejɐ
bruno	bɾunu
tatu	tɐtu
azambuja	ɐzɐ̃buʒɐ
diariamente	diaɾiamẽtɨ
chumbo	ʃũbu
valo	valu
come	komi
doce	dosɨ
empreender	ẽpɾjẽdeɾ
pregar	pɾɛɣaɾ
terem	teɾɐ̃j̃
incapaz	ĩkɐpaʃ
grego	ɡɾeɣu
pirilampo	piɾilɐ̃pu
docente	dusẽtɨ
irracionalidade	iʁɐsjunaliðaðɨ
claros	klaɾuʃ
vier	vjɛɾ
futricada	futɾikada
trena	tɾenɐ
ceifa	sejfɐ
acompanhar	ɐkõpɐɲaɾ
encafifar	ĩkafifaɾ
irresponsabilidade	iʁɨʃpõsɐβiliðaðɨ
filão	filɐ̃w̃
virar	viɾaɾ
portunhol	puɾtuɲɔɫ
sofrer	sufɾeɾ
minhoca	miɲɔkɐ
austeridade	awʃtɨɾiðaðɨ
janota	ʒɐnɔtɐ
conde	kõdɨ
para	paɾɐ
fruição	fɾuisɐ̃w̃
áspero	aʃpɨɾu
fã	fɐ̃
froixo	fɾojʃu
dormindo	duɾmĩdu
apóstolos	ɐpɔʃtuluʃ
arno	aɾnu
hospitalidade	ɔʃpitɐliðaðɨ
propriedade	pɾupɾiɛðaðɨ
elegível	ilɨʒivɛɫ
nesta	nɛʃtɐ
polaco	pulaku
sois	sojʃ
assédio	ɐsɛðju
bacia	bɐsiɐ
sentinela	sẽtinɛlɐ
nos	nuʃ
lago	laɣu
dacito	dɐsitu
safa	safɐ
imagem	imaʒɐ̃j̃
essência	isẽsjɐ
imprensa	ĩpɾẽsɐ
minar	minaɾ
vindimar	vĩdimaɾ
tocou	tukow
teve	tevɨ
cervo	seɾvu
proprietário	pɾupɾiɛtaɾju
lenha	lɐjɲɐ
pelo	plu
ucrânia	ukɾɐnjɐ
limitado	limitaðu
ligar	liɣaɾ
pudesse	puðɛsɨ
enlevo	ej̃levu
ligado	liɣaðu
subdivisão	suβɨðɨvizɐ̃w̃
antigamente	ɐ̃tiɣɐmẽtɨ
doméstica	dumɛʃtikɐ
desaforamento	dezafoɾamẽtu
buchicho	buʃiʃu
direita	diɾɐjtɐ
civil	siviɫ
animado	ɐnimaðu
antes	ɐ̃tɨʃ
livre	livɾɨ
dali	dɐli
territorial	tɨʁituɾjaɫ
engruvinhado	ĩɡɾuviɲadu
fedelho	fɨðejʎu
invasão	ĩvazɐ̃w̃
tossir	tusiɾ
intencionalmente	ĩtẽsjunaɫmẽtɨ
proibido	pɾuiβiðu
seus	sewʃ
surpreender	suɾpɾjẽdeɾ
fiz	fiʃ
rápido	ʁapiðu
confete	kõfɛtʃi
fêmea	femjɐ
embaixador	ẽbajʃɐðoɾ
messe	mɛsɨ
púcaro	pukɐɾu
verdes	veɾðɨʃ
solidificar	suliðifikaɾ
imaterial	imɐtɨɾjaɫ
saudade	sawðaðɨ
tremer	tɾɨmeɾ
antiguidade	ɐ̃tiɣwiðaðɨ
evocar	ivukar
responsabilidade	ʁɨʃpõsɐβiliðaðɨ
subir	suβiɾ
rasuro	ʁazuɾu
recipiente	ʁɨsipjẽtɨ
carnal	kɐɾnaɫ
ervilha	eɾviʎɐ
manjerona	mɐ̃ʒɨɾonɐ
proeminência	proeminẽsja
aquém	akẽj̃
resete	ʁezɛtʃi
linhas	liɲɐʃ
capoeira	kɐpuɐjɾɐ
arouca	ɐɾowkɐ
mata	matɐ
espalhar	ɨʃpɐʎaɾ
dobras	dɔβɾɐʃ
espera	ɨʃpɛɾɐ
amadora	ɐmɐðoɾɐ
candelabro	kɐ̃dɨlaβɾu
catafalco	kɐtɐfaɫku
aproximadamente	ɐpɾɔsimaðɐmẽtɨ
trair	tɾɐiɾ
calo	kalu
dum	dũ
encanto	ẽkɐ̃tu
submete	submɛtʃi
altera	aɫtɛɾa
temperamento	tẽpɨɾɐmẽtu
embrulhado	ẽbɾuʎaðu
itamaraty	itamaɾatʃi
permanecer	pɨɾmɐnɨseɾ
exigência	iziʒẽsjɐ
ministro	mɨniʃtɾu
almanaque	aɫmɐnakɨ
espectro	iʃpɛtɾu
lácteo	laktju
sousa	sowzɐ
bombeiro	bõbɐjɾu
chegava	ʃɨɣavɐ
merceeiro	mɨɾsjejɾu
açorda	ɐsoɾðɐ
videira	viðejɾɐ
idiossincrasia	iðjɔsĩkɾɐziɐ
erro	ɛʁu
mútuo	mutwu
romã	ʁumɐ̃
esperma	ɨʃpɛɾmɐ
probabilidade	pɾuβɐβiliðaðɨ
senso	sẽsu
calmo	kaɫmu
sinceramente	sĩsɛɾɐmẽtɨ
procissão	pɾusisɐ̃w̃
geração	ʒɨɾɐsɐ̃w̃
esqueleto	ɨʃkɨletu
poio	poju
futucar	futukaɾ
canções	kɐ̃sõj̃ʃ
trovar	truvar
subiu	suβiw
ucraniano	ukɾɐnjɐnu
lavanda	lɐvɐ̃dɐ
brilho	bɾiʎu
ficado	fikaðu
veado	viadu
criminoso	kɾiminozu
círculo	siɾkulu
cantanhede	kɐ̃tɐɲeðɨ
médico	mɛdiku
empurrar	ẽpuʁaɾ
sandeu	sɐ̃dew
flamingo	flɐmĩɡu
cego	sɛɣu
passa	pasɐ
partidário	pɐɾtiðaɾju
cânhamo	kɐɲɐmu
tonto	tõtu
famoso	fɐmozu
bandeira	bɐ̃dɐjɾɐ
configuro	kõfiɡuɾu
começava	kumɨsavɐ
almeirim	ɐɫmɐjɾĩ
nero	nɛɾu
gradualmente	ɡɾɐdwaɫmẽtɨ
brincar	bɾĩkaɾ
estéticos	iʃtɛtikuʃ
criptofascismo	kɾiptofasijʃmu
justamente	ʒuʃtɐmẽtɨ
sustentação	suʃtẽtɐsɐ̃w̃
bilhar	biʎaɾ
item	itɛm
amolgar	ɐmoɫɡaɾ
teimar	tejmaɾ
expectativa	ɐjʃpɛtɐtivɐ
minissaia	minisajɐ
ú	u
punheta	puɲetɐ
refletir	ʁɨflɛtiɾ
fluência	fluẽsja
substantivo	subʃtɐ̃tivu
tosco	toʃku
onze	õzɨ
glorioso	ɡluɾjozu
lince	lĩsɨ
enfrentar	ẽfɾẽtaɾ
convencer	kõvẽseɾ
florete	fluɾetɨ
tome	tɔmɨ
exato	izatu
melhores	mɨʎɔɾɨʃ
apressado	ɐpɾɨsaðu
glossário	ɡlusaɾju
pavor	pɐvoɾ
anonimato	ɐnunimatu
perene	pɨɾɛnɨ
casarão	kɐzɐɾɐ̃w̃
completo	kõplɛtu
vislumbre	viʒlũbɾɨ
joaninha	ʒwɐniɲɐ
ermo	eɾmu
aidético	ajdɛtʃiku
vingança	vĩɡɐ̃sɐ
data	datɐ
tamos	tɐmus
cruzada	kɾuzadɐ
barulho	bɐɾuʎu
completar	kõplɨtaɾ
tabefe	tabɛfi
alpinismo	aɫpiniʒmu
saliva	saliva
unto	ũtu
aveiro	avejɾu
risco	ʁiʃku
homenagem	ɔmɨnaʒɐ̃j̃
arquitetura	ɐɾkitɛtuɾɐ
bocejo	busɐjʒu
vários	vaɾjuʃ
represa	ʁɨpɾezɐ
estranhos	ʃtɾɐɲuʃ
caloroso	kɐluɾozu
trancar	tɾɐ̃kaɾ
freira	fɾɐjɾɐ
virtude	viɾtuðɨ
cartas	kaɾtɐʃ
cinfães	sĩfɐ̃jʃ
visível	vizivɛɫ
dirigível	dɨɾiʒivɛɫ
princípio	pɾĩsipju
falará	fɐlɐɾa
afamar	ɐfɐmaɾ
cê	se
apreço	ɐpɾɛsu
etapa	itapɐ
nazismo	naziʒmu
exclamou	ɐjʃklɐmow
pátria	patɾjɐ
aço	asu
acostumar	ɐkuʃtumaɾ
triunfo	tɾiũfu
todo	toðu
u	u
criptocomunismo	kɾipkomunismu
chaga	ʃaɣɐ
apagar	ɐpɐɣaɾ
má	ma
plantação	plɐ̃tɐsɐ̃w̃
turba	tuɾβɐ
senectude	sɨnɛktuðɨ
sujar	suʒaɾ
vestida	vɨʃtiðɐ
exigente	iziʒẽtɨ
luxúria	luʃuɾjɐ
antepassado	ɐ̃tɨpɐsaðu
sedoso	sɨðozu
distribuir	dɨʃtɾiβuiɾ
ocasião	ɔkɐzjɐ̃w̃
mocidade	musiðaðɨ
teixeira	tɐjʃɐjɾɐ
tapeçaria	tɐpɨsɐɾiɐ
chocar	ʃukaɾ
obsequiar	obzekiaɾ
vazar	vɐzaɾ
campo	kɐ̃pu
negar	nɨɣaɾ
colarinho	kulɐɾiɲu
cear	siaɾ
pisar	pɨzaɾ
devoção	dɨvusɐ̃w̃
pôde	poðɨ
tépido	tɛpiðu
sopro	sɔpɾu
vacante	vɐkɐ̃tɨ
melancolia	mɨlɐ̃kuliɐ
dai	daj
opróbrio	opɾɔbɾju
geada	ʒjaðɐ
alheio	ɐʎɐju
fidalgos	fiðaɫɣuʃ
ternura	tɨɾnuɾɐ
hidrelétrico	idɾelɛtɾiku
miséria	mizɛɾjɐ
largos	laɾɣuʃ
parceiro	pɐɾsejɾu
reflexão	ʁɨflɛsɐ̃w̃
tempurá	tẽpuɾa
excitador	ɨʃsitɐðoɾ
congressista	kõɡɾɨsiʃtɐ
manifestar	mɐnifɨʃtaɾ
penha	pɐɲɐ
cirurgião	siɾuɾʒjɐ̃w̃
rede	ʁeðɨ
capixaba	kapiʃabɐ
usurpar	uzuɾpaɾ
cinema	sinemɐ
limoeiro	limwejɾu
deveria	dɨvɨɾiɐ
caixilho	kajʃiʎu
hulha	uʎɐ
gávea	ɡavjɐ
cante	kɐ̃tɨ
teias	tɐjɐʃ
bordado	buɾðaðu
lenço	lẽsu
efeito	ifɐjtu
cedo	seðu
lusofobia	luzɔfuβiɐ
eternamente	itɛɾnɐmẽtɨ
maléfico	mɐlɛfiku
garganta	ɡɐɾɣɐ̃tɐ
escapar	iʃkɐpaɾ
perecibilidade	peresibilidadʒi
praticabilidade	pratʃikabilidadʒi
redondo	ʁɨdõdu
facebook	fejzbuk
prazenteiro	pɾɐzẽtɐjɾu
senciente	sẽsjẽtɨ
temos	temuʃ
cataplana	kɐtɐplɐnɐ
rindo	ʁĩdu
sentido	sẽtiðu
banda	bɐ̃dɐ
júnior	ʒunjɔɾ
compromisso	kõpɾumisu
denso	dẽsu
oscular	oskulaɾ
dobro	doβɾu
repetidamente	ʁɨpɨtiðɐmẽtɨ
tirando	tiɾɐ̃du
zelha	zeʎɐ
extração	ɐjʃtɾasɐ̃w̃
feudalismo	fewdaliʃmu
lezíria	lɨziɾiɐ
demais	dɨmajʃ
soprar	supɾaɾ
aquele	ɐkelɨ
retardar	ʁɨtɐɾðaɾ
jornaleiro	ʒuɾnɐlejɾu
soma	sɔmɐ
vimioso	vimiozu
competição	kõpɨtisɐ̃w̃
verificar	vɨɾifikaɾ
alcunha	aɫkuɲɐ
aconchego	ɐkõʃeɣu
transição	tɾɐ̃zisɐ̃w̃
trilho	tɾiʎu
peru	pɨɾu
carreiro	kɐʁɐjɾu
saraivar	sɐɾajvaɾ
contornar	kõtuɾnaɾ
ideia	iðejɐ
dissonância	dʒisonɐ̃sja
oferta	ɔfɛɾtɐ
pálido	paliðu
almoçar	aɫmusaɾ
falha	faʎɐ
jugo	ʒuɣu
macieira	mɐsjɐjɾɐ
certo	sɛɾtu
obstante	ɔpʃtɐ̃tɨ
sucessivo	susɨsivu
vinte	vĩtɨ
unido	uniðu
aldraba	aɫdɾaβɐ
xícara	ʃikɐɾɐ
perceção	pɨɾsɛsɐ̃w̃
genioso	ʒeniozu
sicofanta	sikofɐ̃ta
molhar	muʎaɾ
ajoelhar	ɐʒwɨʎaɾ
muscular	muʃkulaɾ
águia	aɣjɐ
paralelo	pɐɾɐlɛlu
ü	w
neta	nɛtɐ
escuro	iʃkuɾu
ao	aw
criptoftalmia	kɾiptoftawmia
anticonstitucionalissimamente	ɐ̃tikõʃtitusjunɐlisimɐmẽtɨ
barbeiro	bɐɾβɐjɾu
sintonia	sĩtuniɐ
pijama	piʒɐmɐ
catástrofe	kɐtaʃtɾufɨ
zona	zonɐ
disposição	diʃpuzisɐ̃w̃
gajeiro	ɡaʒɐjɾu
vulcão	vuɫkɐ̃w̃
estima	iʃtimɐ
oitenta	ojtẽtɐ
salmoura	saɫmowɾɐ
encantar	ẽkɐ̃taɾ
merreca	meʁɛka
espadas	iʃpadɐʃ
importar	ĩpuɾtaɾ
avis	ɐviʃ
localmente	lukaɫmẽtɨ
aplacar	ɐplɐkar
alcáçova	aɫkasuvɐ
connosco	kõnoʃku
invocar	ĩvukaɾ
jejuar	ʒɨʒwaɾ
dele	delɨ
pelo	pɨlu
flora	flɔɾɐ
misturo	mistuɾu
baixa	bajʃɐ
intercessor	ĩtɨɾsesoɾ
seriamente	sɛɾjɐmẽtɨ
méxico	mɛʃiku
simpatizante	sĩpatizɐ̃tɨ
planta	plɐ̃tɐ
jesus	ʒɨzuʃ
gasolina	ɡɐzulinɐ
folhas	foʎɐʃ
cunhado	kuɲaðu
audição	awðisɐ̃w̃
conhecedor	kuɲɨsɨðoɾ
luva	luvɐ
enguiçar	ẽɡisaɾ
pergunta	pɨɾɣũtɐ
perdidamente	pɨɾðiðɐmẽtɨ
joia	ʒɔjɐ
queria	kɨɾiɐ
final	finaɫ
chuvisco	ʃuviʃku
salgado	saɫɣaðu
bendição	bẽdisɐ̃w̃
vede	veðɨ
plotagem	plotaʒi
curtir	kuɾtiɾ
alcachofra	aɫkɐʃofɾɐ
carneiro	kɐɾnɐjɾu
prácrito	pɾakɾitu
fiar	fjaɾ
mentalidade	mẽtɐliðaðɨ
velejar	vɨlɨʒaɾ
lenha	lɐɲɐ
istambul	iʃtɐ̃buɫ
negativamente	nɨɣɐtivɐmẽtɨ
costa	kɔʃtɐ
digo	diɡu
balançar	bɐlɐ̃saɾ
semanal	sɨmɐnaɫ
fona	fonɐ
cera	seɾɐ
lampejo	lɐ̃peʒu
meninas	mɨninɐʃ
vejo	vɐjʒu
simpático	sĩpatiku
tribo	tɾibu
árbitro	aɾβitɾu
cunha	kuɲɐ
sabonete	sɐβunetɨ
amplo	ɐ̃plu
caráter	kɐɾatɛɾ
ré	ʁɛ
liberação	liβɨɾɐsɐ̃w̃
incapacidade	ĩkɐpasiðaðɨ
enganar	ẽɡɐnaɾ
sala	salɐ
compaixão	kõpajʃɐ̃w̃
diáspora	djaʃpuɾɐ
constituir	kõʃtitwiɾ
teia	tejɐ
erguer	eɾɡeɾ
unidade	uniðaðɨ
anta	ɐ̃tɐ
petúnia	pɨtunjɐ
coçar	kusaɾ
seno	senu
voragem	vuɾaʒẽj̃
frágil	fɾaʒiɫ
negócios	nɨɣɔsjuʃ
barriga	bɐʁiɡɐ
enfermaria	ẽfɨɾmɐɾiɐ
brotar	bɾutaɾ
fria	fɾiɐ
ficava	fikavɐ
creditar	kɾɨðitaɾ
burguês	buɾɣeʃ
barato	bɐɾatu
caviar	kavjaɾ
picho	piʃu
trofa	tɾɔfɐ
fruteira	fɾutɐjɾɐ
embolar	ĩbolaɾ
estrutura	iʃtɾutuɾɐ
