organizatora	ˈorɡænˌɪzætˌoræ
priključi	pɾˈikʎʊt͡ʃɪ
depresiju	dˈɛpɾɛsˌɪjʊ
hvalili	xvˈalɪlɪ
Odatle	ˈodætlɛ
tvrđavu	tvrd͡ʑˈavʊ
ležišta	lˈɛʒɪʃtæ
ekstremitetima	ˈɛkstɾɛmˌɪtɛtˌɪmæ
odbacuju	ˈodbæt͡sˌʊjʊ
akutnog	ˈakʊtnoɡ
nastajanju	nˈastɑjˌæɲʊ
okrunjen	ˈokɾʊɲen
Korijeni	kˈorɪjˌenɪ
univerzitetu	ˈunɪvˌɛrzɪtˌɛtʊ
ranjenike	ɾˈaɲenˌɪkɛ
Rješenje	rjˈeʃɛɲe
Napravio	nˈapɾævˌɪo
ljudske	ʎˈutskɛ
jaše	jˈaʃɛ
prijedlogu	pɾˈijedlˌoɡʊ
Radi	ɾˈadɪ
pili	pˈilɪ
iste	ˈistɛ
poslužio	pˈoslʊʒˌɪo
Konstantinu	kˈonstæntˌɪnʊ
gasovitog	ɡˈasovˌɪtoɡ
Njime	ɲˈimɛ
loptu	lˈoptʊ
internetski	ˈintɛrnˌɛtskɪ
tranzicije	tɾˈanzɪt͡sˌɪje
podređen	pˈodɾɛd͡ʑɛn
glodara	ɡlˈodɑræ
Allahova	ˈallæhˌovæ
miševi	mˈiʃɛvɪ
julijanski	jˈulɪjˌænskɪ
pismenost	pˈismɛnost
salata	sˈalætæ
zubaca	zˈubæt͡sæ
očuvanju	ˈot͡ʃʊvˌæɲʊ
Marijin	mˈɑrɪjɪn
Vasilije	vˈasɪlˌɪje
postaju	pˈostɑjʊ
prilagođavaju	pɾˈilæɡˌod͡ʑævˌɑjʊ
Alpe	ˈalpɛ
iz	ˈiz
imajući	ˈimɑjˌʊt͡ɕɪ
pogoduje	pˈoɡodˌʊje
ulog	ˈuloɡ
slonove	slˈonovɛ
ljudsko	ʎˈutsko
kineskih	kˈinɛskɪh
Muziku	mˈuzɪkʊ
kućnim	kˈut͡ɕnɪm
Ordenom	ˈordɛnom
stopom	stˈopom
prikladno	pɾˈiklædno
predstava	pɾˈɛtstævæ
Dažbog	dˈaʒboɡ
uživo	ˈuʒɪvo
socijalizam	sˈot͡sɪjˌælɪzæm
proboscis	pɾˈobost͡sɪs
Vlaha	vlˈahæ
boravka	bˈoræfkæ
Robinson	ɾˈobɪnson
ispred	ˈispɾɛd
bogatije	bˈoɡætˌɪje
karavana	kˈɑrævˌænæ
Deset	dˈɛsɛt
krvnih	krvnˈih
privremene	pɾˈivɾɛmˌɛnɛ
Koji	kˈojɪ
jače	jˈat͡ʃɛ
sudska	sˈutskæ
racionalna	ɾˈat͡sɪˌonælnæ
sektoru	sˈɛktorʊ
Prirodne	pɾˈirodnɛ
službe	slˈuʒbɛ
Gondora	ɡˈondoræ
inžinjeri	ˈinʒɪɲˌerɪ
objavilo	ˈobjævˌɪlo
tektonskih	tˈɛktonskɪh
zub	zˈub
prostrane	pɾˈostɾænɛ
Norma	nˈormæ
osmanlijskom	ˈosmænlˌɪjskom
mnoge	mnˈoɡɛ
ušiju	ˈuʃɪjʊ
mislili	mˈislɪlɪ
savremenom	sˈavɾɛmˌɛnom
kompozicije	kˈompozˌɪt͡sɪje
zavjeru	zˈavjerʊ
terora	tˈɛroræ
najnovija	nˈɑjnovˌɪjæ
tekuća	tˈɛkʊt͡ɕæ
Parlamenta	pˈɑrlæmˌɛntæ
obećao	ˈobɛt͡ɕˌæo
parlamentarnim	pˈɑrlæmˌɛntɑrnɪm
Očekuje	ˈot͡ʃɛkˌʊje
klasika	klˈasɪkæ
ugostio	ˈuɡostˌɪo
zastavi	zˈastævɪ
zbivanja	zbˈivæɲæ
Town	tˈovn
promjenu	pɾˈomjenʊ
ornamenti	ˈornæmˌɛntɪ
pijani	pˈijænɪ
legionari	lˈɛɡɪˌonɑrɪ
reality	ɾˈɛælˌɪtɪ
čitalaca	t͡ʃˈitælˌæt͡sæ
trajnim	tɾˈɑjnɪm
istragom	ˈistɾæɡom
i	ˈi
kontaktirao	kˈontæktˌɪræo
Tuzla	tˈuzlæ
izgrađenih	ˈizɡɾæd͡ʑˌɛnɪh
Proteinska	pɾˈotɛˌɪnskæ
preparatima	pɾˈɛpɑrˌætɪmæ
globus	ɡlˈobʊs
pronaći	pɾˈonæt͡ɕɪ
nominalnom	nˈomɪnˌælnom
komplikacije	kˈomplɪkˌæt͡sɪje
porodici	pˈorodˌɪt͡sɪ
Predstavlja	pɾˈɛtstævljæ
Varoš	vˈɑroʃ
zaljubio	zˈaʎʊbˌɪo
Postaje	pˈostɑje
all	ˈall̩
posmatranjem	pˈosmætɾˌæɲem
Bee	bˈɛɛ
Regionalni	ɾˈɛɡɪˌonælnɪ
sisari	sˈisɑrɪ
župe	ʒˈupɛ
Milorad	mˈiloræd
horu	xˈorʊ
češći	t͡ʃˈɛʃt͡ɕɪ
kvantne	kvˈantnɛ
Pisanje	pˈisæɲe
nevina	nˈɛvɪnæ
vidom	vˈidom
edikt	ˈɛdɪkt
zauzvrat	zˈaʊzvɾæt
timu	tˈimʊ
Kraljevstva	kɾˈaʎefstvæ
neuronima	nˈɛʊrˌonɪmæ
unošenje	ˈunoʃˌɛɲe
minimalnom	mˈinɪmˌælnom
visinama	vˈisɪnˌæmæ
transkripata	tɾˈanskɾɪpˌætæ
Planina	plˈanɪnæ
ostavile	ˈostævˌɪlɛ
reakcijom	ɾˈɛækt͡sˌɪjom
dodirom	dˈodɪrom
Trener	tɾˈɛnɛr
vrstu	vrstˈu
ljudstva	ʎˈutstvæ
brinula	bɾˈinʊlæ
redoslijedu	ɾˈɛdoslˌɪjedʊ
prozvana	pɾˈozvænæ
katoličkim	kˈatolˌɪt͡ʃkɪm
izolaciju	ˈizolˌæt͡sɪjʊ
stepenice	stˈɛpɛnˌɪt͡sɛ
emitovanje	ˈɛmɪtˌovæɲe
različito	ɾˈazlɪt͡ʃˌɪto
fizikom	fˈizɪkom
hapšenje	xˈapʃɛɲe
zaljubljeni	zˈaʎʊbʎˌenɪ
shvatio	shvˈatɪo
podijeljenih	pˈodɪjˌeʎenɪh
tvrdo	tvrdˈo
poboljšan	pˈoboʎʃæn
zapovjedništvo	zˈapovjˌednɪʃtvo
mitologiju	mˈitolˌoɡɪjʊ
kontinente	kˈontɪnˌɛntɛ
kristalima	kɾˈistælˌɪmæ
opisujući	ˈopɪsˌʊjʊt͡ɕɪ
Bekra	bˈɛkɾæ
regionima	ɾˈɛɡɪˌonɪmæ
kritici	kɾˈitɪt͡sɪ
Predsjedništva	pɾˈɛtsjednˌɪʃtvæ
prost	pɾˈost
postavio	pˈostævˌɪo
Dakle	dˈaklɛ
Sofije	sˈofɪje
uslovima	ˈuslovˌɪmæ
nikad	nˈikæd
stupnja	stˈupɲæ
skandinavskih	skˈandɪnˌæfskɪh
Fleur	flˈɛʊr
ciljevi	t͡sˈiʎevɪ
definiše	dˈɛfɪnˌɪʃɛ
Požeški	pˈoʒɛʃkɪ
karakteristični	kˈɑræktˌɛrɪstˌɪt͡ʃnɪ
devetog	dˈɛvɛtoɡ
državno	drʒˈavno
vodika	vˈodɪkæ
razgradnje	ɾˈazɡɾædɲe
Kongo	kˈoŋɡo
Sovjetskom	sˈovjetskom
partizanskih	pˈɑrtɪzˌænskɪh
lokacije	lˈokæt͡sˌɪje
odličan	ˈodlɪt͡ʃæn
čitanju	t͡ʃˈitæɲʊ
studije	stˈudɪje
IV	ɾˈimskot͡ʃˈɛtɪrɪ
anatomija	ˈanætˌomɪjæ
arapsko	ˈɑræpsko
Biljke	bˈiʎkɛ
Okrug	ˈokɾʊɡ
nastavcima	nˈastæft͡sˌɪmæ
valovi	vˈalovɪ
ovisi	ˈovɪsɪ
skrivaju	skɾˈivɑjʊ
Bela	bˈɛlæ
suočen	sˈuot͡ʃɛn
Prema	pɾˈɛmæ
identifikacije	ˈidɛntˌɪfɪkˌæt͡sɪje
republikanska	ɾˈɛpʊblˌɪkænskæ
moždinu	mˈoʒdɪnʊ
vruća	vɾˈut͡ɕæ
regulira	ɾˈɛɡʊlˌɪræ
Prag	pɾˈaɡ
izlet	ˈizlɛt
sudovima	sˈudovˌɪmæ
Događaji	dˈoɡæd͡ʑˌɑjɪ
Defense	dˈɛfɛnsɛ
Malik	mˈalɪk
zatvarač	zˈatvɑræt͡ʃ
zglobni	zɡlˈobnɪ
dočekuje	dˈot͡ʃɛkˌʊje
prilagođava	pɾˈilæɡˌod͡ʑævæ
slučaju	slˈut͡ʃɑjʊ
zarobljeništvu	zˈɑrobʎˌenɪʃtvʊ
domoroci	dˈomorˌot͡sɪ
posebne	pˈosɛbnɛ
samu	sˈamʊ
nemoguće	nˈɛmoɡˌʊt͡ɕɛ
bizantskog	bˈizæntskoɡ
tvar	tvˈɑr
reznice	ɾˈɛznɪt͡sɛ
prirodnom	pɾˈirodnom
raspravi	ɾˈaspɾævɪ
ideologijom	ˈidɛˌoloɡˌɪjom
Sabora	sˈaboræ
pseudonim	psˈɛʊdˌonɪm
čeljusti	t͡ʃˈɛʎʊstɪ
slučaj	slˈut͡ʃɑj
lijeve	lˈijevɛ
pojačanu	pˈojæt͡ʃˌænʊ
svezak	svˈɛzæk
bojeći	bˈojet͡ɕɪ
Zajedno	zˈɑjedno
nijanse	nˈijænsɛ
predstavom	pɾˈɛtstævom
trenutak	tɾˈɛnʊtæk
zauzele	zˈaʊzˌɛlɛ
artiljerija	ˈɑrtɪʎˌerɪjæ
trgovački	trɡˈovæt͡ʃkɪ
policiji	pˈolɪt͡sˌɪjɪ
šumama	ʃˈumæmæ
rukama	ɾˈukæmæ
nekadašnjeg	nˈɛkædˌæʃɲeɡ
Formuli	fˈormʊlɪ
markama	mˈɑrkæmæ
zdravstvenu	zdɾˈafstvɛnʊ
Rimske	ɾˈimskɛ
cirkulacije	t͡sˈirkʊlˌæt͡sɪje
stvoriti	stvˈorɪtɪ
jug	jˈuɡ
Wilde	vˈildɛ
zaposleni	zˈaposlˌɛnɪ
Desni	dˈɛsnɪ
izdancima	ˈizdænt͡sˌɪmæ
kontaktu	kˈontæktʊ
proteinsku	pɾˈotɛˌɪnskʊ
tehničke	tˈɛhnɪt͡ʃkɛ
čijim	t͡ʃˈijɪm
double	dˈo͡ʊblɛ
uvijek	ˈuvɪjek
grčkog	ɡrt͡ʃkˈoɡ
Irsku	ˈirskʊ
tko	tkˈo
istočne	ˈistot͡ʃnɛ
oštar	ˈoʃtɑr
Istraživački	ˈistɾæʒˌɪvæt͡ʃkɪ
otvorenog	ˈotvorˌɛnoɡ
bolesnim	bˈolɛsnɪm
lokaliziran	lˈokælˌɪzɪræn
povećali	pˈovɛt͡ɕˌælɪ
rađanje	ɾˈad͡ʑæɲe
transdukcije	tɾˈanzdʊkt͡sˌɪje
Tijekom	tˈijekom
općinu	ˈopt͡ɕɪnʊ
vodeći	vˈodɛt͡ɕɪ
Poslanika	pˈoslænˌɪkæ
Adama	ˈadæmæ
lom	lˈom
dubok	dˈubok
skijanje	skˈijæɲe
destinacija	dˈɛstɪnˌæt͡sɪjæ
komuniciranja	kˈomʊnˌɪt͡sɪrˌæɲæ
policajaca	pˈolɪt͡sˌɑjæt͡sæ
obojen	ˈobojen
polovine	pˈolovˌɪnɛ
proksimalne	pɾˈoksɪmˌælnɛ
posta	pˈostæ
krajina	kɾˈɑjɪnæ
uspostavljajući	ˈuspostˌævljɑjˌʊt͡ɕɪ
efekti	ˈɛfɛktɪ
takvi	tˈakvɪ
grobu	ɡɾˈobʊ
Broz	bɾˈoz
kontinentima	kˈontɪnˌɛntɪmæ
Run	ɾˈun
siromašna	sˈiromˌæʃnæ
režimom	ɾˈɛʒɪmom
sušenja	sˈuʃɛɲæ
gospođa	ɡˈospod͡ʑæ
domaćinstava	dˈomæt͡ɕˌɪnstævæ
terapije	tˈɛræpˌɪje
nasilne	nˈasɪlnɛ
napadima	nˈapædˌɪmæ
grupiraju	ɡɾˈupɪrˌɑjʊ
Seattleu	sˈɛættlˌɛʊ
Izetbegović	ˈizɛdbˌɛɡovɪt͡ɕ
logo	lˈoɡo
simetričan	sˈimɛtɾˌɪt͡ʃæn
Sparte	spˈɑrtɛ
kalcij	kˈalt͡sɪj
Magnus	mˈaɡnʊs
zid	zˈid
Dobio	dˈobɪo
Đuro	d͡ʑˈuro
nastupa	nˈastʊpæ
Istočnih	ˈistot͡ʃnɪh
cistein	t͡sˈistɛɪn
iskazani	ˈiskæzˌænɪ
opsežno	ˈopsɛʒno
Primarni	pɾˈimɑrnɪ
zarobljeništvo	zˈɑrobʎˌenɪʃtvo
Spomenik	spˈomɛnɪk
patent	pˈatɛnt
asteroida	ˈastɛrˌoɪdæ
sina	sˈinæ
mod	mˈod
Naravno	nˈɑrævno
britansku	bɾˈitænskʊ
periferiji	pˈɛrɪfˌɛrɪjɪ
nacionalni	nˈat͡sɪˌonælnɪ
sjedištu	sjˈedɪʃtʊ
negativnim	nˈɛɡætˌɪvnɪm
dlan	dlˈan
kakvi	kˈakvɪ
Zvorniku	zvˈornɪkʊ
nasilnog	nˈasɪlnoɡ
relikvija	ɾˈɛlɪkvˌɪjæ
Ganz	ɡˈanz
Maka	mˈakæ
predstavljaju	pɾˈɛtstævljˌɑjʊ
hidrolize	xˈidɾolˌɪzɛ
ostanak	ˈostænæk
antibiotici	ˈantɪbˌɪotˌɪt͡sɪ
tipični	tˈipɪt͡ʃnɪ
jedinog	jˈedɪnoɡ
svjedočanstva	svjˈedot͡ʃˌænstvæ
morska	mˈorskæ
niži	nˈiʒɪ
Egipatska	ˈɛɡɪpˌætskæ
Takav	tˈakæv
zarobila	zˈɑrobˌɪlæ
Klement	klˈɛmɛnt
spašavanja	spˈaʃævˌæɲæ
opasnom	ˈopæsnom
radost	ɾˈadost
kućom	kˈut͡ɕom
Bugarskoj	bˈuɡɑrskoj
GmbH	ɡˈəmˌəbˌəxˈə
iznenađenja	ˈiznɛnˌæd͡ʑɛɲæ
kutnjaka	kˈutɲækæ
Louis	lˈo͡ʊɪs
imenovanja	ˈimɛnˌovæɲæ
sužavaju	sˈuʒævˌɑjʊ
fiziologiju	fˈizɪˌoloɡˌɪjʊ
odbili	ˈodbɪlɪ
republikanaca	ɾˈɛpʊblˌɪkænˌæt͡sæ
Glava	ɡlˈavæ
Dragoljub	dɾˈaɡoʎʊb
šaha	ʃˈahæ
litija	lˈitɪjæ
pobune	pˈobʊnɛ
Najveći	nˈɑjvɛt͡ɕɪ
kompanijom	kˈompænˌɪjom
carske	t͡sˈɑrskɛ
sudbina	sˈudbɪnæ
podlozi	pˈodlozɪ
konačni	kˈonæt͡ʃnɪ
Tampere	tˈampɛrɛ
jezičku	jˈezɪt͡ʃkʊ
istraženi	ˈistɾæʒˌɛnɪ
apstraktna	ˈapstɾæktnæ
drugim	dɾˈuɡɪm
isključeno	ˈiskʎʊt͡ʃˌɛno
vratnih	vɾˈatnɪh
britanskih	bɾˈitænskɪh
nepovoljnim	nˈɛpovˌoʎnɪm
imenovana	ˈimɛnˌovænæ
rezultirajući	ɾˈɛzʊltˌɪrɑjˌʊt͡ɕɪ
ks	kˈəsˌə
električno	ˈɛlɛktɾˌɪt͡ʃno
Između	ˈizmɛd͡ʑʊ
Vilenjaka	vˈilɛɲˌækæ
arkada	ˈɑrkædæ
vertikalno	vˈɛrtɪkˌælno
izvozu	ˈizvozʊ
mijenjala	mˈijeɲˌælæ
ponoviti	pˈonovˌɪtɪ
kvantnog	kvˈantnoɡ
kojih	kˈojɪh
ispali	ˈispælɪ
radničkih	ɾˈadnɪt͡ʃkɪh
Već	vˈɛt͡ɕ
vojskovođe	vˈojskovˌod͡ʑɛ
bezbojni	bˈɛzbojnɪ
Skupštine	skˈupʃtɪnɛ
sistematici	sˈistɛmˌætɪt͡sɪ
valutu	vˈalʊtʊ
simbola	sˈimbolæ
crkvu	t͡srkvˈu
hemijske	xˈɛmɪjskɛ
sekundarna	sˈɛkʊndˌɑrnæ
oslobađa	ˈoslobˌæd͡ʑæ
Zračni	zɾˈat͡ʃnɪ
sekvencom	sˈɛkvɛnt͡som
Sport	spˈort
jezička	jˈezɪt͡ʃkæ
najboljih	nˈɑjboʎɪh
Galija	ɡˈalɪjæ
Straža	stɾˈaʒæ
djetinjstva	djˈetɪɲstvæ
frejm	fɾˈejm
imunost	ˈimʊnost
Nosioci	nˈosɪˌot͡sɪ
ofanzivi	ˈofænzˌɪvɪ
čitav	t͡ʃˈitæv
škrge	ʃkrɡˈɛ
ručice	ɾˈut͡ʃɪt͡sɛ
podacima	pˈodæt͡sˌɪmæ
prijateljske	pɾˈijætˌɛʎskɛ
popraviti	pˈopɾævˌɪtɪ
čekali	t͡ʃˈɛkælɪ
aspirina	ˈaspɪrˌɪnæ
spontani	spˈontænɪ
efektivni	ˈɛfɛktˌɪvnɪ
elektron	ˈɛlɛktɾon
oružanog	ˈorʊʒˌænoɡ
izabrali	ˈizæbɾˌælɪ
dodirne	dˈodɪrnɛ
Trenutni	tɾˈɛnʊtnɪ
mV	mˈəvˈə
dati	dˈatɪ
zvijezdom	zvˈijezdom
spol	spˈol
Dream	dɾˈɛæm
evropska	ˈɛvɾopskæ
medaljona	mˈɛdæʎˌonæ
spontane	spˈontænɛ
prenosi	pɾˈɛnosɪ
kodeks	kˈodɛks
master	mˈastɛr
nastavnika	nˈastævnˌɪkæ
ovca	ˈoft͡sæ
zastupnik	zˈastʊpnɪk
električnu	ˈɛlɛktɾˌɪt͡ʃnʊ
dom	dˈom
važnije	vˈaʒnɪje
Tadašnji	tˈadæʃɲɪ
sunčanje	sˈunt͡ʃæɲe
Jacques	jˈat͡skvɛs
Slam	slˈam
privrednog	pɾˈivɾɛdnoɡ
Gradski	ɡɾˈatskɪ
doline	dˈolɪnɛ
uključeno	ˈukʎʊt͡ʃˌɛno
Marshall	mˈɑrshæll̩
Svjetlost	svjˈetlost
utiču	ˈutɪt͡ʃʊ
Drvo	drvˈo
fizičke	fˈizɪt͡ʃkɛ
Eddie	ˈɛddɪɛ
možda	mˈoʒdæ
suprostavio	sˈupɾostˌævɪo
Članom	t͡ʃlˈanom
teorem	tˈɛorɛm
uljane	ˈuʎænɛ
producentima	pɾˈodʊt͡sˌɛntɪmæ
skandala	skˈandælæ
Aurelija	ˈaʊrˌɛlɪjæ
osiguranje	ˈosɪɡˌʊræɲe
tranzistora	tɾˈanzɪstˌoræ
moćnim	mˈot͡ɕnɪm
Slika	slˈikæ
kolere	kˈolɛrɛ
Catherine	t͡sˈathɛrˌɪnɛ
uklapa	ˈuklæpæ
Ibrahima	ˈibɾæhˌɪmæ
oscilacije	ˈost͡sɪlˌæt͡sɪje
prijateljski	pɾˈijætˌɛʎskɪ
sloj	slˈoj
mom	mˈom
sekundarnim	sˈɛkʊndˌɑrnɪm
Foreman	fˈorɛmæn
reparacije	ɾˈɛpɑrˌæt͡sɪje
riječna	ɾˈijet͡ʃnæ
Ova	ˈovæ
kahve	kˈahvɛ
nafta	nˈaftæ
Afriku	ˈafɾɪkʊ
kršćanskih	krʃt͡ɕˈanskɪh
moga	mˈoɡæ
razgranatim	ɾˈazɡɾænˌætɪm
doživjela	dˈoʒɪvjˌelæ
hromosom	xɾˈomosom
grupirati	ɡɾˈupɪrˌætɪ
odbrani	ˈodbɾænɪ
pouzdanost	pˈo͡ʊzdænost
slike	slˈikɛ
Novac	nˈovæt͡s
umora	ˈumoræ
insekti	ˈinsɛktɪ
mikroskopski	mˈikɾoskˌopskɪ
popravila	pˈopɾævˌɪlæ
Eleanor	ˈɛlɛˌænor
Huna	xˈunæ
foton	fˈoton
slikama	slˈikæmæ
poštanski	pˈoʃtænskɪ
Trenutna	tɾˈɛnʊtnæ
potvrdilo	pˈotvrdɪlo
Odgovarajući	ˈodɡovˌɑrɑjˌʊt͡ɕɪ
slovenskih	slˈovɛnskɪh
ostvarivanju	ˈostvɑrˌɪvæɲʊ
terminologiju	tˈɛrmɪnˌoloɡˌɪjʊ
zaraditi	zˈɑrædˌɪtɪ
nalazila	nˈalæzˌɪlæ
Metallica	mˈɛtællˌɪt͡sæ
odjeljku	ˈodjeʎkʊ
svemiru	svˈɛmɪrʊ
aktivnostima	ˈaktɪvnˌostɪmæ
živoj	ʒˈivoj
odlikuje	ˈodlɪkˌʊje
Slijedeći	slˈijedˌɛt͡ɕɪ
ceremoniju	t͡sˈɛrɛmˌonɪjʊ
Ritam	ɾˈitæm
zasebnom	zˈasɛbnom
dlakom	dlˈakom
tegoba	tˈɛɡobæ
muslimanski	mˈuslɪmˌænskɪ
običaj	ˈobɪt͡ʃɑj
tinte	tˈintɛ
progresije	pɾˈoɡɾɛsˌɪje
vizuelno	vˈizʊˌɛlno
španski	ʃpˈanskɪ
rutama	ɾˈutæmæ
smanjeno	smˈaɲeno
fosilnih	fˈosɪlnɪh
tanji	tˈaɲɪ
Voight	vˈoɪkht
vremenskih	vɾˈɛmɛnskɪh
Kijeva	kˈijevæ
podržavaju	pˈodrʒævˌɑjʊ
projektovao	pɾˈojektˌovæo
propust	pɾˈopʊst
polarizacije	pˈolɑrˌɪzæt͡sˌɪje
radilice	ɾˈadɪlˌɪt͡sɛ
pjevanja	pjˈevæɲæ
Bugari	bˈuɡɑrɪ
Simona	sˈimonæ
Sunčevu	sˈunt͡ʃɛvʊ
Mu	mˈu
podržao	pˈodrʒæo
teritorijalnog	tˈɛrɪtˌorɪjˌælnoɡ
učini	ˈut͡ʃɪnɪ
olimpijskih	ˈolɪmpˌɪjskɪh
zakletvu	zˈaklɛtvʊ
Ranije	ɾˈanɪje
javlja	jˈavljæ
izvršnog	ˈizvrʃnoɡ
protjerali	pɾˈotjerˌælɪ
fluidnost	flˈuɪdnost
osobama	ˈosobˌæmæ
Standardni	stˈandɑrdnɪ
životna	ʒˈivotnæ
grubu	ɡɾˈubʊ
jezične	jˈezɪt͡ʃnɛ
idućih	ˈidʊt͡ɕɪh
ribolova	ɾˈibolˌovæ
planinarski	plˈanɪnˌɑrskɪ
Potočarima	pˈotot͡ʃˌɑrɪmæ
vazduh	vˈazdʊh
sferne	sfˈɛrnɛ
Scenarij	st͡sˈɛnɑrɪj
guverner	ɡˈuvɛrnɛr
halal	xˈalæl
osmanlijska	ˈosmænlˌɪjskæ
obveze	ˈobvɛzɛ
pravilno	pɾˈavɪlno
aktuelne	ˈaktʊˌɛlnɛ
kćerkom	kt͡ɕˈɛrkom
krunica	kɾˈunɪt͡sæ
kapu	kˈapʊ
vladi	vlˈadɪ
kraškim	kɾˈaʃkɪm
afrička	ˈafɾɪt͡ʃkæ
NK	nˈəkˌə
Manchester	mˈant͡shɛstɛr
supstancom	sˈupstænt͡som
Gdje	ɡdjˈe
životinju	ʒˈivotˌɪɲʊ
prognoze	pɾˈoɡnozɛ
mještane	mjˈeʃtænɛ
stvoreno	stvˈorɛno
dodataka	dˈodætˌækæ
kožnih	kˈoʒnɪh
slobodnog	slˈobodnoɡ
sadašnjeg	sˈadæʃɲeɡ
zapalio	zˈapælˌɪo
kanton	kˈanton
organi	ˈorɡænɪ
ratovanja	ɾˈatovˌæɲæ
izboriti	ˈizborˌɪtɪ
odanost	ˈodænost
širenju	ʃˈirɛɲʊ
Makedonaca	mˈakɛdˌonæt͡sæ
izazovu	ˈizæzˌovʊ
imuni	ˈimʊnɪ
Lena	lˈɛnæ
glatkom	ɡlˈatkom
neriješen	nˈɛrɪjˌeʃɛn
Prijenos	pɾˈijenos
trajnu	tɾˈɑjnʊ
definirao	dˈɛfɪnˌɪræo
nema	nˈɛmæ
Station	stˈatɪon
Mahmud	mˈahmʊd
povukle	pˈovʊklɛ
Bob	bˈob
pojedinačni	pˈojedˌɪnæt͡ʃnɪ
intermedijarni	ˈintɛrmˌɛdɪjˌɑrnɪ
izgubili	ˈizɡʊbˌɪlɪ
završeni	zˈavrʃɛnɪ
nukleotida	nˈuklɛˌotɪdæ
evoluira	ˈɛvolˌʊɪræ
vakuole	vˈakʊˌolɛ
proteinska	pɾˈotɛˌɪnskæ
Sunca	sˈunt͡sæ
Hitlera	xˈitlɛræ
prahistorije	pɾˈahɪstˌorɪje
hoće	xˈot͡ɕɛ
akte	ˈaktɛ
crnih	t͡srnˈih
radnog	ɾˈadnoɡ
odluče	ˈodlʊt͡ʃɛ
rijeka	ɾˈijekæ
uzgajali	ˈuzɡɑjˌælɪ
replikaciju	ɾˈɛplɪkˌæt͡sɪjʊ
kontraktilne	kˈontɾæktˌɪlnɛ
balkanskih	bˈalkænskɪh
fašističke	fˈaʃɪstˌɪt͡ʃkɛ
konjičke	kˈoɲɪt͡ʃkɛ
Louise	lˈo͡ʊɪsɛ
početnoj	pˈot͡ʃɛtnoj
odbijajući	ˈodbɪjˌɑjʊt͡ɕɪ
amino	ˈamɪno
šina	ʃˈinæ
legendu	lˈɛɡɛndʊ
vlažnosti	vlˈaʒnostɪ
Greben	ɡɾˈɛbɛn
sporo	spˈoro
šumske	ʃˈumskɛ
hrast	xɾˈast
marku	mˈɑrkʊ
reaktivne	ɾˈɛæktˌɪvnɛ
Major	mˈɑjor
plan	plˈan
osigurana	ˈosɪɡˌʊrænæ
Azerbejdžan	ˈazɛrbˌejd͡ʒæn
Pazar	pˈazɑr
korijena	kˈorɪjˌenæ
Tvornica	tvˈornɪt͡sæ
Hamdija	xˈamdɪjæ
Prijedlog	pɾˈijedloɡ
klimatska	klˈimætskæ
pločice	plˈot͡ʃɪt͡sɛ
razumljiva	ɾˈazʊmʎˌɪvæ
mlađim	mlˈad͡ʑɪm
potražnje	pˈotɾæʒɲe
Tjentište	tjˈentɪʃtɛ
Najnovije	nˈɑjnovˌɪje
freskama	fɾˈɛskæmæ
četvrti	t͡ʃˈɛtvrtɪ
kraljevstva	kɾˈaʎefstvæ
Rick	ɾˈit͡sk
Općina	ˈopt͡ɕɪnæ
Alma	ˈalmæ
oksid	ˈoksɪd
sudski	sˈutskɪ
izgovoru	ˈizɡovˌorʊ
iranske	ˈirænskɛ
Alfonsa	ˈalfonsæ
djecu	djˈet͡sʊ
svidio	svˈidɪo
građena	ɡɾˈad͡ʑɛnæ
proslavu	pɾˈoslævʊ
skloni	sklˈonɪ
odustajanja	ˈodʊstˌɑjæɲæ
dominantne	dˈomɪnˌæntnɛ
Vukčić	vˈukt͡ʃɪt͡ɕ
termodinamičke	tˈɛrmodˌɪnæmˌɪt͡ʃkɛ
izdavač	ˈizdævæt͡ʃ
pjeva	pjˈevæ
Christiana	t͡shɾˈistɪˌænæ
citat	t͡sˈitæt
proizvedenog	pɾˈoɪzvˌɛdɛnoɡ
injekcijom	ˈiɲekt͡sˌɪjom
jugozapadne	jˈuɡozˌæpædnɛ
plodom	plˈodom
Ninetales	nˈinɛtˌælɛs
Vijetnama	vˈijetnˌæmæ
glumiti	ɡlˈumɪtɪ
B	bˈə
ponovnu	pˈonovnʊ
službenoj	slˈuʒbɛnoj
ugljikovih	ˈuɡʎɪkˌovɪh
snimak	snˈimæk
imperija	ˈimpɛrˌɪjæ
odbija	ˈodbɪjæ
Obrenović	ˈobɾɛnˌovɪt͡ɕ
kutikule	kˈutɪkˌʊlɛ
mulja	mˈuʎæ
osnovu	ˈosnovʊ
ugla	ˈuɡlæ
zemljoradnju	zˈɛmʎorˌædɲʊ
Porast	pˈoræst
Nedaleko	nˈɛdælˌɛko
epa	ˈɛpæ
modernizacija	mˈodɛrnˌɪzæt͡sˌɪjæ
premašiti	pɾˈɛmæʃˌɪtɪ
egzilu	ˈɛɡzɪlʊ
nomenklatura	nˈomɛŋklˌætʊræ
Stoker	stˈokɛr
željezničkom	ʒˈɛʎeznˌɪt͡ʃkom
Zovu	zˈovʊ
Ponovno	pˈonovno
tematiku	tˈɛmætˌɪkʊ
jednostavnija	jˈednostˌævnɪjæ
