vedeckému	vˈedʲet͡skˌeːmu
všímam	fʃˈiːmam
Metódy	mˈetoːdi
relikvie	rˈelikvie
doplňovať	dˈopl̩ɲˌovatʲ
nádob	nˈaːdop
ohlasom	ˈohlasom
VEDA	vˈeda
spravny	sprˈavni
polohy	pˈolohi
ochrancu	ˈoxrant͡su
trenažér	trˈenaʒeːr
Vedel	vˈedʲel
DIN	dʲˈin
klenotom	klˈenotom
Jeremy	jˈeremi
VM	vˈeːˌem
Obrad	ˈobrat
Lumpur	lˈumpur
cigánske	t͡sˈiɡaːnske
temeno	tʲˈemeno
SLS	ˈesˌelˌes
reformu	rˈeformu
vnímajú	vɲˈiːmajuː
pochutnať	pˈoxutnatʲ
verziách	vˈerziaːx
zbieral	zbiˈeral
databázu	dˈatabˌaːzu
Turci	tˈurt͡si
nefalšovanú	ɲˈefalʃˌovanuː
vypadol	vˈipadol
silvestrovskú	sˈilvestrˌowskuː
kamsi	kˈamsi
premočení	prˈemot͡ʃˌeɲiː
volbami	vˈolbami
hrče	hˈr̩t͡ʃe
Britney	brˈitɲei
Kebyže	kˈebiʒe
Položil	pˈoloʒil
biedny	biˈedni
drážky	drˈaːʃki
dvojnásobný	dvˈojnaːsˌobniː
použila	pˈo͡ʊʒila
Zázraky	zˈaːzraki
predplatených	prˈetplatʲˌeniːx
svojim	svˈojim
nepozornosť	ɲˈepozˌornostʲ
prameň	prˈameɲ
tem	tʲˈem
Maďarskom	mˈadʲarskom
nezabúdame	ɲˈezabˌuːdame
vodeodolnosť	vˈodʲeˌodolnostʲ
svadobný	svˈadobniː
suvenírmi	sˈuveɲˌiːrmi
priložených	prˈiloʒˌeniːx
učiteľmi	ˈut͡ʃitʲˌeʎmi
Startup	stˈartup
fantázie	fˈantaːzie
Úsmev	ˈuːsmew
Schmidta	sxmˈitta
zasnežených	zˈasɲeʒˌeniːx
nabití	nˈabitʲiː
potvrdení	pˈotvr̩dʲˌeɲiː
požičiavajú	pˈoʒit͡ʃiˌavajuː
dojčaťa	dˈojt͡ʃatʲa
antibiotikami	ˈantibˌiotˌikami
spoznanie	spˈoznaɲie
preklenutie	prˈeklenˌutʲie
vyzvali	vˈizvali
ironický	ˈironˌit͡skiː
Citrón	t͡sˈitroːn
castejsie	t͡sˈastʲejsie
preplatok	prˈeplatok
vedieť	vˈedʲietʲ
LaserJet	lˈaserjˈet
úrazového	ˈuːrazˌoveːho
servisnom	sˈervisnom
konštantnú	kˈonʃtantnuː
Sto	stˈo
postihnutá	pˈostʲihnˌutaː
zastavil	zˈastavil
zmluvne	zmlˈuvɲe
šedou	ʃˈedo͡ʊ
saunou	sˈauno͡ʊ
stanovenom	stˈanovˌenom
naberali	nˈaberˌali
hnutí	hnˈutʲiː
lahodným	lˈahodniːm
začlenení	zˈat͡ʃleɲˌeɲiː
generála	ɡˈenerˌaːla
legislatíve	lˈeɡislˌatiːve
priala	priˈala
Pyco	pˈit͡so
Update	ˈubdatʲe
tzv	tˈeːzˌetvˌeː
Mesta	mˈesta
obvodový	ˈobvodˌoviː
maternice	mˈatʲerɲˌit͡se
Excellence	ˈekst͡sellˌent͡se
f	ˈef
developerom	dʲˈevelˌoperom
Paco	pˈat͡so
Menšia	mˈenʃia
Institut	ˈinstitut
berú	bˈeruː
Enterprise	ˈentʲerprˌise
uzamknuté	ˈuzamknˌuteː
premenená	prˈemeɲˌenaː
cisárovnej	t͡sˈisaːrˌovnej
päťdverový	pˈedʲdverˌoviː
rekordnú	rˈekordnuː
horkú	hˈorkuː
Reuters	rˈeutʲers
Coupé	t͡sˈo͡ʊpeː
percentách	pˈert͡sentaːx
preklenúť	prˈeklenuːtʲ
Zbaviť	zbˈavitʲ
predpoklad	prˈetpoklat
Občanom	ˈopt͡ʃanom
novény	nˈoveːni
Liturgia	lˈiturɡia
poddanských	pˈoddanskiːx
Sabol	sˈabol
Terms	tˈerms
Franca	frˈant͡sa
mohutnými	mˈohutnˌiːmi
informáciami	ˈinformˌaːt͡siˌami
nemeckými	ɲˈemet͡skˌiːmi
oslavovala	ˈoslavˌovala
najcennejší	nˈajt͡senɲˌejʃiː
púzdra	pˈuːzdra
bazár	bˈazaːr
bazénovej	bˈazeːnˌovej
ovisnuté	ˈovisnˌuteː
základne	zˈaːkladɲe
mala	mˈala
minerálnym	mˈiɲerˌaːlnim
Ružena	rˈuʒena
kalkulačka	kˈalkulˌat͡ʃka
vytvoreniu	vˈitvorˌeɲiu
pýcha	pˈiːxa
in	ˈin
Určené	ˈurt͡ʃeneː
Galileo	ɡˈalilˌeo
dávkach	dˈaːwkax
zastrašovanie	zˈastraʃˌovaɲie
žehliacej	ʒˈehliˌat͡sej
nákladom	nˈaːkladom
zničilo	zɲˈit͡ʃilo
hlaveň	hlˈaveɲ
Tretím	trˈetʲiːm
poľskí	pˈoʎskiː
pokožku	pˈokoʃku
hladovať	hlˈadovatʲ
Silva	sˈilva
Liečivá	liˈet͡ʃivaː
spoločenstvami	spˈolot͡ʃˌenstvami
využíva	vˈiuʒˌiːva
lepidla	lˈepidla
zmieta	zmiˈeta
MasterCard	mˈastert͡sˈart
slávil	slˈaːvil
marxizmu	mˈarksizmu
Vlčince	vˈl̩t͡ʃint͡se
Polo	pˈolo
nádchou	nˈaːtxo͡ʊ
Kancelárska	kˈant͡selˌaːrska
zlato	zlˈato
domovu	dˈomovu
Hádzanári	hˈaːd͡ʑanˌaːri
Rábek	rˈaːbek
stláčať	stlˈaːt͡ʃatʲ
PHP	pˈeːhˌaːpˌeː
spektre	spˈektre
digitálneho	dˈiɡitˌaːlneho
Dobrovodský	dˈobrovˌotskiː
Turzovke	tˈurzowke
jaskyniarov	jˈaskiɲiˌarow
nepriaznivo	ɲˈepriˌazɲivo
sekretárkou	sˈekretˌaːrko͡ʊ
dočítali	dˈot͡ʃiːtˌali
tvárami	tvˈaːrami
otočené	ˈotot͡ʃˌeneː
zjavia	zjˈavia
hlupák	hlˈupaːk
vitalita	vˈitalˌita
Columbia	t͡sˈolumbia
nepoznala	ɲˈepoznˌala
mamičkami	mˈamit͡ʃkˌami
nápravy	nˈaːpravi
pohotový	pˈohotˌoviː
hospodárstve	hˈospodˌaːrstve
rezervovaný	rˈezervˌovaniː
vysadili	vˈisadʲˌili
kobercom	kˈobert͡som
duchovnú	dˈuxovnuː
vagína	vˈaɡiːna
evanjelické	ˈevanjˌelit͡skeː
Zdrojom	zdrˈojom
MBA	mbˈa
solídnu	sˈoliːdnu
orieškov	ˈoriˌeʃkow
ubytovne	ˈubitˌovɲe
reprezentovali	rˈeprezˌentovˌali
FOCUS	fˈot͡sus
míňal	mˈiːɲal
nevyhnutným	ɲˈevihnˌutniːm
Odolné	ˈodolneː
Najvyššieho	nˈajviʃʃiˌeho
Miguel	mˈiɡuel
kontemplácie	kˈontʲemplˌaːt͡sie
release	rˈeleˌase
ústnu	ˈuːstnu
Diamond	diˈamont
lesníctve	lˈesɲiːt͡stve
kombinovaný	kˈombinˌovaniː
sovietskych	sˈoviˌetskix
murovanú	mˈurovˌanuː
poruchou	pˈoruxo͡ʊ
debatovať	dʲˈebatˌovatʲ
KOMENTÁR	kˈomentaːr
údajov	ˈuːdajow
diamant	diˈamant
marinády	mˈarinˌaːdi
osobnému	ˈosobnˌeːmu
prevodovky	prˈevodˌowki
chore	xˈore
dlhopisy	dˈl̩hopˌisi
pohyblivé	pˈohiblˌiveː
Tanier	tˈaɲier
autopreprava	ˈautˌopreprˌava
hraničí	hrˈaɲit͡ʃiː
oveµa	ovˈeːmˈiːa
geometrické	ɡˈeomˌetrit͡skeː
Webmagazin	vˈebmaɡˌazin
úľavou	ˈuːʎavo͡ʊ
sviežou	sviˈeʒo͡ʊ
popíšte	pˈopiːʃtʲe
transparent	trˈansparent
normálni	nˈormaːlni
najkvalitnejšieho	nˈajkvalˌitɲejʃiˌeho
accessories	ˈat͡st͡sessˌories
behať	bˈehatʲ
korigovať	kˈoriɡˌovatʲ
odvážna	ˈodvaːʒna
využívaná	vˈiuʒˌiːvanaː
zhodila	shˈodʲila
spisy	spˈisi
neduhy	ɲˈeduhi
určeným	ˈurt͡ʃeniːm
príjmovZákon	prˈiːjmowzˈaːkon
nejasností	ɲˈejasnˌostʲiː
žumpou	ʒˈumpo͡ʊ
RP	ˈr̩p
dokonalosťou	dˈokonˌalostʲo͡ʊ
licencované	lˈit͡sent͡sˌovaneː
sokol	sˈokol
vytrhnúť	vˈitr̩hnuːtʲ
Abarth	ˈabartx
tanca	tˈant͡sa
Pustým	pˈustiːm
Hodina	hˈodʲina
ukončený	ˈukont͡ʃˌeniː
chladnú	xlˈadnuː
Jaroslavom	jˈaroslˌavom
inśpirácie	ˈinspirˌaːt͡sie
osobnych	ˈosobnix
Španielsko	ʃpˈaɲiˌelsko
deň	dʲˈeɲ
zrýchlil	zrˈiːxlil
napovedá	nˈapovˌedaː
sebaobrany	sˈebaˌobrani
dažďu	dˈaʒdʲu
hostesky	hˈostʲeski
očarujúci	ˈot͡ʃarˌujuːt͡si
Nízka	ɲˈiːska
Hrobka	hrˈopka
zastúpení	zˈastuːpˌeɲiː
zájsť	zˈaːjstʲ
chodidlách	xˈodʲidlaːx
Parkovisko	pˈarkovˌisko
zameriavame	zˈameriˌavame
vníma	vɲˈiːma
Camaro	t͡sˈamaro
Georga	ɡˈeorɡa
podobných	pˈodobniːx
glukózu	ɡlˈukoːzu
geologická	ɡˈeolˌoɡit͡skaː
dvomi	dvˈomi
Púzdro	pˈuːzdro
VI	ʃˈestʲ
navštívime	nˈawʃtʲiːvˌime
Dakine	dˈakiɲe
každodennej	kˈaʒdodʲˌennej
maturitu	mˈaturˌitu
zelený	zˈeleniː
ženskosti	ʒˈenskostʲi
Medium	mˈedium
vyznamenanie	vˈiznamˌenaɲie
ANS	ˈans
snubný	snˈubniː
pridelí	prˈidʲeliː
reprezentačného	rˈeprezˌentat͡ʃnˌeːho
predstavenie	prˈetstavˌeɲie
Nebudú	ɲˈebuduː
faul	fˈaul
pôdu	pˈuodu
naštartuje	nˈaʃtartˌuje
Príloha	prˈiːloha
podielu	pˈodʲiˌelu
kuchýň	kˈuxiːɲ
priezviska	priˈezviska
Opierka	ˈopiˌerka
Myslí	mˈisliː
Klenovec	klˈenovet͡s
hmlu	hmlˈu
Huby	hˈubi
holiach	hˈoliax
nej	ɲˈej
personalistov	pˈersonˌalistow
svetlometmi	svˈetlomˌetmi
ksicht	ksˈixt
novostavbu	nˈovostˌawbu
vrak	vrˈak
dôsledok	dˈuoslˌedok
Janukovyč	jˈanukˌovit͡ʃ
zvažuje	zvˈaʒuje
Komora	kˈomora
Umenie	ˈumeɲie
fyzikálna	fˈizikˌaːlna
nemenné	ɲˈemenneː
Barani	bˈaraɲi
evanjelickým	ˈevanjˌelit͡skiːm
klamstvá	klˈamstvaː
precíznemu	prˈet͡siːzɲˌemu
prirážka	prˈiraːʃka
strese	strˈese
historickú	hˈistorˌit͡skuː
Jedálenský	jˈedaːlˌenskiː
otočné	ˈotot͡ʃneː
hole	hˈole
zamyslíte	zˈamislˌiːtʲe
posteľové	pˈostʲeʎˌoveː
Lyžovačka	lˈiʒovˌat͡ʃka
Vyzývam	vˈiziːvam
pristúpila	prˈistuːpˌila
herečka	hˈeret͡ʃka
ľudských	ʎˈutskiːx
rýchla	rˈiːxla
narastie	nˈarastʲie
zúčastnil	zˈuːt͡ʃastɲil
konzultovať	kˈonzultˌovatʲ
rádiovú	rˈaːdiˌovuː
sériový	sˈeːriˌoviː
Božskej	bˈoʃskej
anestézie	ˈaɲestˌeːzie
extrémnom	ˈekstreːmnom
Druhí	drˈuhiː
Leaf	lˈeaf
nulový	nˈuloviː
trinástimi	trˈinaːstʲˌimi
lyžičky	lˈiʒit͡ʃki
cirkevnými	t͡sˈirkevnˌiːmi
ekzémy	ˈekzeːmi
smerujúce	smˈerujˌuːt͡se
maďarčiny	mˈadʲart͡ʃˌini
výpravu	vˈiːpravu
Hokejisti	hˈokejˌistʲi
Elektro	ˈelektro
Maňka	mˈaɲka
štvorkoliek	ʃtvˈorkoliek
bezpochyby	bˈespoxˌibi
lákal	lˈaːkal
mo¾no	mˈotrˈiʃtvˈr̩tʲininˈo
výnimky	vˈiːɲimki
Jimmy	jˈimmi
Stanko	stˈaŋko
dekréty	dˈekreːti
tromfy	trˈomfi
Himalájska	hˈimalˌaːjska
povolanie	pˈovolˌaɲie
Tržby	tˈr̩ʒbi
Ambulancia	ˈambulˌant͡sia
Ventilátor	vˈentilˌaːtor
oslovila	ˈoslovˌila
zachovajte	zˈaxovˌajtʲe
tvorilo	tvˈorilo
skáču	skˈaːt͡ʃu
Liptáci	lˈiptaːt͡si
odkrytých	ˈotkritiːx
Ordinačné	ˈordinˌat͡ʃneː
živnostíVeľkoobchod	ʒˈivnostʲiːvˈeʎkoˌopxot
FILM	fˈilm
JEDEN	jˈeden
Mečiarových	mˈet͡ʃiˌaroviːx
veľvyslancom	vˈeʎvislˌant͡som
pľúcnu	pʎˈuːt͡snu
správaním	sprˈaːvaɲiːm
stlačenia	stlˈat͡ʃeɲia
Reproduktory	rˈeprodˌuktori
Únii	ˈuːnii
vydavateľstve	vˈidavˌatʲeʎstve
severný	sˈeverniː
sviatkoch	sviˈatkox
vylepšenou	vˈilepʃˌeno͡ʊ
vytvorilo	vˈitvorˌilo
dokument	dˈokument
CZT	t͡sˈeːzˌettˌeː
vyšetrenie	vˈiʃetrˌeɲie
zodpovedne	zˈotpovˌedɲe
salónov	sˈaloːnow
mozgom	mˈozɡom
nakupujeme	nˈakupˌujeme
ochotní	ˈoxotɲiː
autentická	ˈautʲˌentit͡skaː
adopčná	ˈadopt͡ʃnaː
deľba	dʲˈeʎba
investicii	ˈinvestˌit͡sii
Návštevu	nˈaːwʃtʲevu
čelne	t͡ʃˈelɲe
KZ	kˈaːzˌet
informujte	ˈinformˌujtʲe
žalostný	ʒˈalostniː
SOŠ	sˈoʃ
nevypláca	ɲˈeviplˌaːt͡sa
diakon	diˈakon
nehodách	ɲˈehodaːx
Maurícius	mˈaurˌiːt͡sius
charakterizovaná	xˈaraktˌerizˌovanaː
plastu	plˈastu
BP	bˈeːpˌeː
Tuším	tˈuʃiːm
revíroch	rˈeviːrox
triezvi	triˈezvi
zakladateľkou	zˈakladˌatʲeʎko͡ʊ
colným	t͡sˈolniːm
príležitostiach	prˈiːleʒˌitostʲiax
SPOKEY	spˈokei
ospravedlňujem	ˈospravˌedl̩ɲˌujem
izolované	ˈizolˌovaneː
vaňu	vˈaɲu
pomaly	pˈomali
nesmrteľnosť	ɲˈesmr̩tʲˌeʎnostʲ
klenbou	klˈenbo͡ʊ
novostavba	nˈovostˌawba
Chránenej	xrˈaːɲeɲej
Cartera	t͡sˈartʲera
trénerka	trˈeːnerka
Katku	kˈatku
Legendy	lˈeɡendi
kempu	kˈempu
Subjekt	sˈubjekt
najširší	nˈajʃirʃiː
preveril	prˈeveril
predlžovací	prˈedl̩ʒˌovat͡siː
Pýtala	pˈiːtala
Konzervativizmus	kˈonzervˌatʲivˌizmus
podišiel	pˈodʲiʃiel
mesiaca	mˈesiˌat͡sa
fotoaparáty	fˈotoˌaparˌaːti
trvajte	tˈr̩vajtʲe
nepriameho	ɲˈepriˌameho
úchytkami	ˈuːxitkˌami
Dík	dʲˈiːk
prešovský	prˈeʃowskiː
Ducha	dˈuxa
výťažku	vˈiːtʲaʃku
Plameň	plˈameɲ
nadväzec	nˈadvezet͡s
amatérskych	ˈamatˌeːrskix
chuťou	xˈutʲo͡ʊ
laminát	lˈaminaːt
nekonečných	ɲˈekoɲˌet͡ʃniːx
silnejšia	sˈilɲejʃia
slabých	slˈabiːx
selekcia	sˈelekt͡sia
potrápili	pˈotraːpˌili
nežiadal	ɲˈeʒiˌadal
Nálada	nˈaːlada
Filmy	fˈilmi
plavky	plˈawki
vrecúško	vrˈet͡suːʃko
skorú	skˈoruː
autoservisu	ˈautˌoservˌisu
obvodoch	ˈobvodox
pleťovej	plˈetʲovej
podchytiť	pˈotxitʲitʲ
Užite	ˈuʒitʲe
komforte	kˈomfortʲe
introvert	ˈintrovert
VUB	vˈup
oplotenie	ˈoplotʲˌeɲie
kazom	kˈazom
vzorcov	vzˈort͡sow
chudoby	xˈudobi
počujem	pˈot͡ʃujem
Prednú	prˈednuː
odsávač	ˈotsaːvat͡ʃ
strávi	strˈaːvi
nepodstatný	ɲˈepotstˌatniː
vychováva	vˈixovˌaːva
vidiecku	vˈidʲiˌet͡sku
zateplenej	zˈatʲeplˌeɲej
masáže	mˈasaːʒe
hadička	hˈadʲit͡ʃka
spojenectvo	spˈojeɲˌet͡stvo
Sabinov	sˈabinow
morí	mˈoriː
prístrojoch	prˈiːstrojox
klamal	klˈamal
vyvolaný	vˈivolˌaniː
referenčným	rˈeferˌent͡ʃniːm
šaty	ʃˈati
do	dˈo
bylinkových	bˈiliŋkˌoviːx
ostrie	ˈostrie
Spomínate	spˈomiːnˌatʲe
laminovaných	lˈaminˌovaniːx
objednať	ˈobjednatʲ
prianie	priˈaɲie
starobylý	stˈarobˌiliː
Košickej	kˈoʃit͡skej
hokeja	hˈokeja
chybou	xˈibo͡ʊ
Farebne	fˈarebɲe
výtvarné	vˈiːtvarneː
Parcel	pˈart͡sel
koncentračných	kˈont͡sentrˌat͡ʃniːx
úrokovú	ˈuːrokˌovuː
posudzovať	pˈosud͡ʑˌovatʲ
stratila	strˈatʲila
rozhodujúcou	rˈoshodˌujuːt͡so͡ʊ
východoslovenskej	vˈiːxodˌoslovˌenskej
prisať	prˈisatʲ
krčmy	kˈr̩t͡ʃmi
Dobrota	dˈobrota
investíciami	ˈinvestʲˌiːt͡siˌami
násilia	nˈaːsilia
oznamovať	ˈoznamˌovatʲ
stupňu	stˈupɲu
Truck	trˈut͡sk
Nadšenci	nˈatʃent͡si
ležiacej	lˈeʒiˌat͡sej
Jaskyňa	jˈaskiɲa
preukázal	prˈeukˌaːzal
paradoxné	pˈaradˌoksneː
vak	vˈak
zosadili	zˈosadʲˌili
dôvery	dˈuovˌeri
riesenia	riˈeseɲia
Kubu	kˈubu
eBay	ˈeːbˈai
regulácií	rˈeɡulˌaːt͡siiː
precitlivenosti	prˈet͡sitlˌivenˌostʲi
tušenie	tˈuʃeɲie
návštevnosť	nˈaːwʃtʲevnostʲ
AOS	ˈaos
sfarbené	sfˈarbeneː
zneškodnil	zɲˈeʃkodɲil
vadi	vˈadʲi
dielňa	dʲiˈelɲa
obkladu	ˈopkladu
zaujímavosti	zˈaujˌiːmavˌostʲi
pripojilo	prˈipojˌilo
súd	sˈuːt
Členov	t͡ʃlˈenow
Údajne	ˈuːdajɲe
Rely	rˈeli
dôstojné	dˈuostˌojneː
vynorila	vˈinorˌila
manga	mˈaŋɡa
bábätiek	bˈaːbetʲiek
Kontrolný	kˈontrolniː
užívania	ˈuʒiːvˌaɲia
geometriou	ɡˈeomˌetrio͡ʊ
Malacky	mˈalat͡ski
úročenie	ˈuːrot͡ʃˌeɲie
Relaxačný	rˈelaksˌat͡ʃniː
ocami	ˈot͡sami
Coldrex	t͡sˈoldreks
zapamätá	zˈapamˌetaː
konfliktom	kˈonfliktom
hotovou	hˈotovo͡ʊ
bezvýznamný	bˈezviːznˌamniː
dôvody	dˈuovˌodi
istej	ˈistej
fakte	fˈaktʲe
izb	ˈisp
úžitok	ˈuːʒitok
Krnáč	kˈr̩naːt͡ʃ
rozmer	rˈozmer
notár	nˈotaːr
Ona	ˈona
Omar	ˈomar
spôsobov	spˈuosˌobow
celovečerným	t͡sˈelovˌet͡ʃerniːm
Avent	ˈavent
Doobeda	dˈoobˌeda
Nezdravotnícke	ɲˈezdravˌotɲiːt͡ske
katastrálnom	kˈatastrˌaːlnom
probiotické	prˈobiˌotit͡skeː
Navrhnuté	nˈavr̩hnˌuteː
Telegraph	tˈeleɡrapx
Wes	vˈes
pudom	pˈudom
typickú	tˈipit͡skuː
strunu	strˈunu
samotní	sˈamotniː
personálne	pˈersonˌaːlne
asistenčný	ˈasistˌent͡ʃniː
dôchodkovo	dˈuoxˌotkovo
pstruhy	pstrˈuhi
výšku	vˈiːʃku
fazuľa	fˈazuʎa
neprehral	ɲˈeprehral
zastupujeme	zˈastupˌujeme
genetiku	ɡˈenetˌiku
čiastke	t͡ʃiˈastke
odložený	ˈodloʒˌeniː
zbavené	zbˈaveneː
Castle	t͡sˈastle
Posteľné	pˈostʲeʎneː
archeológia	ˈarxeˌoloːɡia
cislo	t͡sˈislo
fake	fˈake
zateplenia	zˈatʲeplˌeɲia
veľhory	vˈeʎhori
výrobky	vˈiːropki
¾ivota	trˈiʃtvˈr̩tʲiniˈivota
biologický	bˈiolˌoɡit͡skiː
električka	ˈelektrˌit͡ʃka
halušiek	hˈaluʃiek
hlavolam	hlˈavolam
telefóne	tˈelefˌoːɲe
dokumentácií	dˈokumˌentaːt͡sˌiiː
adresa	ˈadresa
zahrnutá	zˈahr̩nˌutaː
EEA	ˈeea
hracích	hrˈat͡siːx
odvozu	ˈodvozu
prehľadnosť	prˈehʎadnostʲ
Rona	rˈona
Prírodné	prˈiːrodneː
včasnú	ft͡ʃˈasnuː
zrážke	zrˈaːʃke
zakonov	zˈakonow
Davisovho	dˈavisˌowho
HODNOTENIE	hˈodnotʲˌeɲie
nájazd	nˈaːjast
večeroch	vˈet͡ʃerox
zhubný	shˈubniː
zakladáme	zˈakladˌaːme
dovolil	dˈovolil
primeraný	prˈimerˌaniː
najmenších	nˈajmenʃiːx
dychu	dˈixu
den	dʲˈen
vzrušujúcim	vzrˈuʃujˌuːt͡sim
Zábery	zˈaːberi
menovaných	mˈenovˌaniːx
baru	bˈaru
valce	vˈalt͡se
Bugár	bˈuɡaːr
povinnú	pˈovinnuː
Svietidlo	sviˈetʲidlo
piliny	pˈilini
Skúšanie	skˈuːʃaɲie
oprave	ˈoprave
Dovolenku	dˈovolˌeŋku
treska	trˈeska
statívu	stˈatiːvu
krycím	krˈit͡siːm
Predajca	prˈedajt͡sa
Poskytne	pˈoskitɲe
kuracieho	kˈurat͡siˌeho
umiestnených	ˈumiˌestɲeniːx
puzzle	pˈuzzle
úprimných	ˈuːprimniːx
dovolanie	dˈovolˌaɲie
ničenie	ɲˈit͡ʃeɲie
misky	mˈiski
lekárnickej	lˈekaːrɲˌit͡skej
ospravedlnili	ˈospravˌedl̩ɲˌili
januárové	jˈanuˌaːroveː
Navzdory	nˈawzdori
previazaný	prˈeviˌazaniː
director	dˈiret͡stor
pesničkár	pˈesɲit͡ʃkaːr
mlade	mlˈade
Hlivu	hlˈivu
činka	t͡ʃˈiŋka
Kompresor	kˈompresor
odmenila	ˈodmeɲˌila
komu	kˈomu
Intenzita	ˈintenzˌita
zápalov	zˈaːpalow
salón	sˈaloːn
útočníci	ˈuːtot͡ʃɲˌiːt͡si
zadlženosti	zˈadl̩ʒˌenostʲi
nezriedka	ɲˈezriˌetka
Nebudem	ɲˈebudʲem
spomenut	spˈomenut
nádherne	nˈaːtherɲe
pletených	plˈetʲeniːx
gravitácia	ɡrˈavitˌaːt͡sia
penzióny	pˈenziˌoːni
nenahraditeľná	ɲˈenahrˌadʲitʲˌeʎnaː
poučná	pˈo͡ʊt͡ʃnaː
sprístupňujú	sprˈiːstupɲˌujuː
hrozia	hrˈozia
fanúšika	fˈanuːʃˌika
stavaní	stˈavaɲiː
variabilný	vˈariˌabilniː
polárnych	pˈolaːrnix
nasledovania	nˈasledˌovaɲia
slon	slˈon
starého	stˈareːho
Medziročne	mˈed͡ʑirˌot͡ʃɲe
Často	t͡ʃˈasto
Technologický	tˈexnolˌoɡit͡skiː
Úvodné	ˈuːvodneː
Špiragov	ʃpˈiraɡow
Dobrodružstvo	dˈobrodrˌuʃstvo
verejnoprávne	vˈerejnˌopraːvɲe
oázy	ˈoaːzi
rezidenčné	rˈezidˌent͡ʃneː
neopakovali	ɲˈeopˌakovˌali
lacných	lˈat͡sniːx
Deezer	dʲˈeezer
dedinský	dʲˈedʲinskiː
nebyť	ɲˈebitʲ
stojacu	stˈojat͡su
kosenie	kˈoseɲie
Jamesa	jˈamesa
lístkami	lˈiːstkami
dlhom	dˈl̩hom
Príklad	prˈiːklat
splácate	splˈaːt͡satʲe
Bauer	bˈauer
nazývanú	nˈaziːvˌanuː
vinárne	vˈinaːrɲe
poznamku	pˈoznamku
straníckej	strˈaɲiːt͡skej
zjavne	zjˈavɲe
múčka	mˈuːt͡ʃka
hľadiskom	hʎˈadʲiskom
umiestniť	ˈumiˌestɲitʲ
školeniach	ʃkˈoleɲiax
liatiny	liˈatini
manuálny	mˈanuˌaːlni
Ježiš	jˈeʒiʃ
Zábavné	zˈaːbavneː
pichne	pˈixɲe
vzhliadnuť	fshliˈadnutʲ
zaisťovať	zˈaistʲˌovatʲ
Navštívili	nˈawʃtʲiːvˌili
pôrodnú	pˈuorˌodnuː
spísal	spˈiːsal
uvedomia	ˈuvedˌomia
doručovanie	dˈorut͡ʃˌovaɲie
bezproblémový	bˈesproblˌeːmoviː
zrkadlovo	zˈr̩kadlˌovo
ovplyvňuje	ˈowplivɲˌuje
značková	znˈat͡ʃkovaː
zajtra	zˈajtra
Obamu	ˈobamu
zasnežené	zˈasɲeʒˌeneː
audítorov	ˈaudʲˌiːtorow
BIOspotrebiteľ	bˈeːˌiːˈospotrˌebitʲeʎ
liať	liˈatʲ
dovolenka	dˈovolˌeŋka
Lisabone	lˈisabˌoɲe
záznamy	zˈaːznami
nábojov	nˈaːbojow
príkon	prˈiːkon
Močenok	mˈot͡ʃenok
saune	sˈauɲe
vzdelanosť	vzdʲˈelanostʲ
Chceli	xt͡sˈeli
dlhoročných	dˈl̩horˌot͡ʃniːx
rokmi	rˈokmi
záchranca	zˈaːxrant͡sa
zajaca	zˈajat͡sa
vlk	vˈl̩k
poslednýkrát	pˈoslednˌiːkraːt
hranice	hrˈaɲit͡se
EDC	ˈett͡s
pribudli	prˈibudli
rozprávajú	rˈospraːvˌajuː
tvárili	tvˈaːrili
študoval	ʃtˈudoval
Najväčším	nˈajvet͡ʃʃiːm
prúdové	prˈuːdoveː
globále	ɡlˈobaːle
uvedených	ˈuvedʲˌeniːx
nehoda	ɲˈehoda
nesúhlas	ɲˈesuːhlas
pohraničia	pˈohraɲˌit͡ʃia
Považskú	pˈovaʃskuː
obrátil	ˈobraːtʲil
Svedsku	svˈetsku
zapíšu	zˈapiːʃu
budúceho	bˈuduːt͡sˌeho
Ficove	fˈit͡sove
arcibiskup	ˈart͡sibˌiskup
Kali	kˈali
trojizbových	trˈojizbˌoviːx
cukre	t͡sˈukre
hrobové	hrˈoboveː
záhradným	zˈaːhradniːm
kamenných	kˈamenniːx
rasa	rˈasa
trvanlivá	tˈr̩vanlˌivaː
predmestia	prˈedmestʲia
pätiny	pˈetʲini
napnutie	nˈapnutʲie
Éterický	ˈeːterˌit͡skiː
zasadanie	zˈasadˌaɲie
progresu	prˈoɡresu
Žiarovka	ʒiˈarowka
Odporúčaný	ˈotporˌuːt͡ʃaniː
korytom	kˈoritom
detailov	dˈetaˌilow
workshop	vˈorkshop
Nitrianskej	ɲˈitriˌanskej
manipuláciou	mˈanipˌulaːt͡sˌio͡ʊ
niekto	ɲiˈekto
líšili	lˈiːʃili
cenovou	t͡sˈenovo͡ʊ
nedostal	ɲˈedostal
mrazmi	mrˈazmi
neozval	ɲˈeozval
ručenie	rˈut͡ʃeɲie
zažil	zˈaʒil
pozrela	pˈozrela
kurtov	kˈurtow
autoskla	ˈautˌoskla
predsavzatí	prˈetsawzˌatʲiː
Prajeme	prˈajeme
doporučuje	dˈoporˌut͡ʃuje
KĽDR	kʎdˈr̩
Jazdecký	jˈazdʲet͡skiː
psychoterapie	psˈixotʲˌerapie
uložená	ˈuloʒˌenaː
