մռու	məɾu
եղեւին	jɛʁɛvin
օգոստոսյան	ɔkʰɔstɔsjɑn
խոզուկ	χɔzuɡ
քամակ	kʰɑmɑɡ
բովանդակություն	pʰɔvɑntʰɑɡutʰʏn
ոստիկանապետ	vɔstiɡɑnɑbɛd
վիճակագիր	vid͡ʒɑɡɑkʰiɾ
պահածոյացնել	bɑhɑd͡zɔjɑt͡sʰənɛl
քաղց	kʰɑχt͡sʰ
ձեւույթ	t͡sʰɛvujtʰ
պարել	pɑɾɛl
անժաժ	ɑnʒɑʒ
բոլորակ	pʰɔlɔɾɑɡ
թռչող	tʰəɾt͡ʃʰɔʁ
ռոժ	ɾɔʒ
արյունահոսել	ɑɾʏnɑhɔsɛl
ապիկար	ɑbiɡɑɾ
փարթամակեցություն	pʰɑɾtʰɑmɑɡɛt͡sʰutʰʏn
մռութ	məɾutʰ
հատիկ	hɑdiɡ
հանրապետական	hɑnɾɑbɛdɑɡɑn
կվաս	ɡvɑs
բողկ	pʰɔχk
աղյուս	ɑʁʏs
դժոխք	tʰəʒɔχkʰ
շնորհք	ʃənɔɾkʰ
մասրենի	mɑsɾɛni
փոխառություն	pʰɔχɑɾutʰʏn
այսուհետեւ	ɑjsuhɛdɛv
լիբրեւիլ	lipʰɾɛvil
համրիչ	hɑmɾit͡ʃʰ
ստուգաբան	əstukʰɑpʰɑn
կայանալ	ɡɑjɑnɑl
հիպերմարկետ	hibɛɾmɑɾɡɛd
գրաստ	kʰəɾɑst
բաղդասարյան	pʰɑχtʰɑsɑɾjɑn
նեգատիվ	nɛkʰɑdiv
ծախսվել	d͡zɑχsvɛl
արշակ	ɑɾʃɑɡ
ցրդենի	t͡sʰəɾtʰɛni
հափշտակում	hɑpʰʃtɑɡum
ախալցխա	ɑχɑlt͡sʰəχɑ
ազդեցիկ	ɑstʰɛt͡sʰiɡ
լիֆչիկ	lift͡ʃʰiɡ
արեգակնային	ɑɾɛkʰɑɡnɑjin
եկբատան	jɛkʰpʰɑdɑn
սեղմիրան	sɛʁmiɾɑn
նկարիչ	nəɡɑɾit͡ʃʰ
քսենոփանես	kʰsɛnɔpʰɑnɛs
աապվ	ɑɑbəvə
անդեր	ɑntʰɛɾ
արշալույս	ɑɾʃɑlujs
ուսուցանել	usut͡sʰɑnɛl
է	jɛ
ասորիք	ɑsɔɾikʰ
սանդղակ	sɑntʰʁɑɡ
պոռնոգրաֆիա	bɔɾnɔkʰɾɑfjɑ
ծառայող	d͡zɑɾɑjɔʁ
անմիտ	ɑnmid
երկբարբառ	jɛɾkʰpʰɑɾpʰɑɾ
գաբրիել	kʰɑpʰɾijɛl
կիրառվել	ɡiɾɑɾvɛl
վրեժ	vəɾɛʒ
արեւածագ	ɑɾɛvɑd͡zɑkʰ
պելագիոս	bɛlɑkʰiɔs
մնչել	mənt͡ʃʰɛl
կենտկոմ	ɡɛndɡɔm
անբիծ	ɑnpʰid͡z
նույնականացման	nujnɑɡɑnɑt͡sʰmɑn
թալմուդ	tʰɑlmutʰ
թեորեմ	tʰɛɔɾɛm
փայտյա	pʰɑjdjɑ
երկինք	jɛɾɡiŋkʰ
ծնկոսկր	d͡zəŋɡɔskɾ
ուստի	usti
տերպանդրոս	dɛɾbɑntʰɾɔs
դահիրա	tʰɑhiɾɑ
ստորաբաժանում	əstɔɾɑpʰɑʒɑnum
ալեքսանդրիա	ɑlɛkʰsɑntʰɾjɑ
պողոտա	bɔʁɔdɑ
եղն	jɛʁən
լկստել	ləɡəstɛl
շռել	ʃəɾɛl
մորթի	mɔɾtʰi
աք	ɑkʰ
արիոս	ɑɾijɔs
մկնականջ	məɡnɑɡɑnt͡ʃʰ
կիբեռնետիկա	ɡipʰɛɾnɛdiɡɑ
տանը	dɑnə
կուսակցություն	ɡusɑkʰt͡sʰutʰʏn
միջուկ	mit͡ʃʰuɡ
աչեղ	ɑt͡ʃʰɛʁ
անօգ	ɑnɔkʰ
արգումենտ	ɑɾkʰumɛnd
արդուկել	ɑɾtʰuɡɛl
գիտակարգային	kʰidɑɡɑɾkʰɑjin
բանտարկել	pʰɑndɑɾɡɛl
վերջնականապես	vɛɾt͡ʃʰnɑɡɑnɑbɛs
հնչյուն	hənt͡ʃʰʏn
անճոռնի	ɑnd͡ʒɔɾni
օրգան	ɔɾkʰɑn
հարթուկ	hɑɾtʰuk
բալկաններ	pʰɑlɡɑnːɛɾ
գծիկ	kʰəd͡ziɡ
մատե	mɑdɛ
ծախսում	d͡zɑχsum
ապիկի	ɑbiɡi
չաղություն	t͡ʃʰɑʁutʰʏn
մտահոգ	mədɑhɔkʰ
զարհուրանք	zɑɾhuɾɑŋkʰ
ձուղբ	t͡sʰuχp
շապուհ	ʃɑbuh
միհրանյան	mihɾɑnjɑn
հիմնադրական	himnɑtʰɾɑɡɑn
ինքնիշխանություն	iŋkʰniʃχɑnutʰʏn
ջիլ	t͡ʃʰil
չեխոսլովակիա	t͡ʃʰɛχɔslɔvɑɡjɑ
պլուտարքոս	bludɑɾkʰɔs
խուզարկու	χuzɑɾɡu
պարզունակ	bɑɾzunɑɡ
դաբիր	tʰɑpʰiɾ
աստղ	ɑstχ
սսհմ	səsəhəmə
ձախողակ	t͡sʰɑχɔʁɑɡ
բադմինտոն	pʰɑtʰmindɔn
կեֆալոնիա	ɡɛfɑlɔnjɑ
բագրատունյաց	pʰɑkʰɾɑdunjɑt͡sʰ
շքահանդես	ʃəkʰɑhɑntʰɛs
պրոտակտինիում	bɾɔdɑɡdinijum
կացնահարում	ɡɑt͡sʰnɑhɑɾum
նորություն	nɔɾutʰʏn
արեւելյան	ɑɾɛvɛljɑn
ֆիզիոլոգիական	fiziɔlɔkʰjɑɡɑn
կրակել	ɡəɾɑɡɛl
թեոդոսիա	tʰɛɔtʰɔsjɑ
արձագանքել	ɑɾt͡sʰɑkʰɑŋkʰɛl
ընդհանրական	əntʰhɑnɾɑɡɑn
դուբնիում	tʰupʰnijum
լիազորվածություն	ljɑzɔɾvɑd͡zutʰʏn
զրադաշտ	zəɾɑtʰɑʃt
պլուզ	bəluz
դանակ	tʰɑnɑɡ
ուսանել	usɑnɛl
տասնմեկ	dɑsnəmɛɡ
երեւի	jɛɾɛvi
կարծրատիպ	ɡɑɾd͡zɾɑdib
աֆրիկա	ɑfɾiɡɑ
սյունակ	sʏnɑɡ
սրել	səɾɛl
տիկնիկային	diɡniɡɑjin
պայմանագիր	bɑjmɑnɑkʰiɾ
նախատանք	nɑχɑdɑŋkʰ
ծուլանալ	d͡zulɑnɑl
պարտիք	bɑɾdikʰ
կենսուրախ	ɡɛnsuɾɑχ
լոգիկա	lɔkʰiɡɑ
նավթադոլար	nɑftʰɑtʰɔlɑɾ
տապար	dɑbɑɾ
ստոծանի	əstɔd͡zɑni
առկայուն	ɑɾɡɑjun
կիպրոս	ɡibɾɔs
ուրբանոս	uɾpʰɑnɔs
տատիկ	dɑdiɡ
վերնաշապիկ	vɛɾnɑʃɑbiɡ
իսլամական	islɑmɑkɑn
պոմպ	bɔmb
ղեկավար	ʁɛɡɑvɑɾ
կողմ	ɡɔʁm
չնայած	t͡ʃʰənɑjɑd͡z
պատկառանք	bɑdɡɑɾɑŋkʰ
ազդող	ɑstʰɔʁ
շեփոր	ʃɛpʰɔɾ
հախճապակի	hɑχt͡ʃɑbɑɡi
արտահայտություն	ɑɾdɑhɑjdutʰʏn
նորմատիվ	nɔɾmɑdiv
բազազ	pʰɑzɑz
արտուքյան	ɑɾdukʰjɑn
քարաճիկ	kʰɑɾɑd͡ʒiɡ
քնաբեր	kʰənɑpʰɛɾ
գնոստիցիզմ	kʰənɔstit͡sʰizm
շագանակագեղձ	ʃɑkʰɑnɑɡɑkʰɛʁd͡z
մանգաղ	mɑŋkʰɑʁ
բագրատ	pʰɑkʰɾɑd
գանգրվել	kʰɑŋkʰəɾvɛl
աստղաֆիզիկա	ɑstʁɑfiziɡɑ
սազալ	sɑzɑl
ինքնապատասխանիչ	iŋkʰnɑbɑdɑsχɑnit͡ʃʰ
տրոմբոն	dɾɔmpʰɔn
աբրահամ	ɑpʰɾɑhɑm
ագահություն	ɑkʰɑhutʰʏn
ենթակառույց	jɛntʰɑɡɑɾujt͡sʰ
սոմալի	sɔmɑli
աղաղակ	ɑʁɑʁɑɡ
կոնցեպցիա	ɡɔnt͡sʰɛpʰt͡sʰjɑ
ընդունակ	əntʰunɑɡ
լեւանտ	lɛvɑnd
փչակ	pʰət͡ʃʰɑɡ
մեղադրել	mɛʁɑtʰɾɛl
ե	ɛ
հնար	hənɑɾ
սեպագիր	sɛbɑkʰiɾ
կարողանալ	ɡɑɾɔʁɑnɑl
ընել	ənɛl
կապիշոն	ɡɑbiʃɔn
մղմուղ	məʁmuʁ
հեծյալ	hɛd͡zjɑl
կոմբայն	ɡɔmpʰɑjn
պարթեւստան	bɑɾtʰɛvəstɑn
մավրիտանիա	mɑvɾidɑnjɑ
վերջատանջ	vɛɾt͡ʃʰɑdɑnt͡ʃʰ
բան	pʰɑn
լահմաջոյանոց	lɑhmɑt͡ʃʰɔjɑnɔt͡sʰ
տարրական	dɑɾːɑɡɑn
անշեջ	ɑnʃɛt͡ʃʰ
գուն	kʰun
էմին	ɛmin
ցավել	t͡sʰɑvɛl
ծղնի	d͡zəʁni
պրակտիկ	bɾɑɡdiɡ
տեսաերիզ	dɛsɑjɛɾiz
ուռուցք	uɾut͡sʰkʰ
ախոռ	ɑχɔɾ
թիկնապահ	tʰiɡnɑbɑh
աճապարել	ɑd͡ʒɑbɑɾɛl
դաշտավայր	tʰɑʃtɑvɑjɾ
լորամարգի	lɔɾɑmɑɾkʰi
հավատարմություն	hɑvɑdɑɾmutʰʏn
թուրքերեն	tʰuɾkʰɛɾɛn
հոհենցոլերն	hɔhɛnt͡sʰɔlɛɾn
նազանի	nɑzɑni
հարցում	hɑɾt͡sʰum
ծեփել	d͡zɛpʰɛl
դելփին	tʰɛlpʰin
էմպեդոկլես	ɛmbɛtʰɔɡlɛs
կորսիկերեն	ɡɔɾsiɡɛɾɛn
աղբյուրակ	ɑχpʏɾɑɡ
ռոբերտ	ɾɔpʰɛɾd
շիվ	ʃiv
ինքնագիր	iŋkʰnɑkʰiɾ
խիթալ	χitʰɑl
սիկտիվկար	siɡdivɡɑɾ
արշիպելագ	ɑɾʃibɛlɑkʰ
խնոցի	χənɔt͡sʰi
աղերս	ɑʁɛɾs
ալեկոծել	ɑlɛɡɔd͡zɛl
աղոթք	ɑʁɔtʰkʰ
գոռ	kʰɔɾ
լոքշ	lɔkʰʃ
սով	sɔv
հաղթել	hɑχtʰɛl
թհիմփհու	tʰhimpʰhu
դաշնակցություն	tʰɑʃnɑkʰt͡sʰutʰʏn
հաճախություն	hɑd͡ʒɑχutʰʏn
կարելի	ɡɑɾɛli
կվենի	ɡəvɛni
խույլ	χujl
ենիչերի	jɛnit͡ʃʰɛɾi
հնդեվրոպացի	həntʰɛvɾɔbɑt͡sʰi
մրցույթ	məɾt͡sʰujtʰ
ընդոստնել	əntʰɔstnɛl
զարթոնք	zɑɾtʰɔŋkʰ
ջազ	t͡ʃʰɑz
դեմ	tʰɛm
շեղբ	ʃɛχpʰ
ղեկ	ʁɛɡ
կիսապաշտպան	ɡisɑbɑʃtbɑn
թեոկրատիա	tʰɛɔɡɾɑdjɑ
թրակիա	tʰəɾɑɡjɑ
ֆշշալ	fəʃːɑl
վեվ	vɛv
մելք	mɛlkʰ
ճեղք	d͡ʒɛχkʰ
նավակատիք	nɑvɑɡɑdikʰ
հաս	hɑs
աներկյուղանալ	ɑnɛɾɡʏʁɑnɑl
խարույկ	χɑɾujɡ
բուկովինա	pʰuɡɔvinɑ
հարթություն	hɑɾtʰutʰʏn
բենիլյուքս	pʰɛnilʏkʰs
ավազուտ	ɑvɑzud
գամետ	kʰɑmɛd
պակ	bɑɡ
լուրթ	luɾtʰ
ողջունել	vɔχt͡ʃʰunɛl
գուշակողական	kʰuʃɑɡɔʁɑɡɑn
խորոված	χɔɾɔvɑd͡z
նիկել	niɡɛl
զգեստապահարան	əskʰɛstɑbɑhɑɾɑn
պիլիպինո	bilibinɔ
փայտ	pʰɑjd
փաստացի	pʰɑstɑt͡sʰi
կտրիճ	ɡədɾid͡ʒ
գետաբերան	kʰɛdɑpʰɛɾɑn
գերանդի	kʰɛɾɑntʰi
ծխել	d͡zəχɛl
ընկերուհի	əŋɡɛɾuhi
մադագասկար	mɑtʰɑkʰɑskɑɾ
կտնարք	ɡədnɑɾkʰ
խոխոջել	χɔχɔt͡ʃʰɛl
թուրքմեներեն	tʰuɾkʰmɛnɛɾɛn
վեհություն	vɛhutʰʏn
հերակլիտ	hɛɾɑɡlid
հոնք	hɔŋkʰ
ճաշաման	d͡ʒɑʃɑmɑn
ունայնություն	unɑjnutʰʏn
ժուռ	ʒuɾ
արքայախնձոր	ɑɾkʰɑjɑχənt͡sʰɔɾ
ջրշուն	t͡ʃʰəɾʃun
քյաբաբ	kʰjɑpʰɑpʰ
պարսկահայ	bɑɾskɑhɑj
բեսիրաթ	pʰɛsiɾɑtʰ
փույթ	pʰujtʰ
աշխարհակալ	ɑʃχɑɾɑɡɑl
արմավ	ɑɾmɑv
գործարկել	kʰɔɾd͡zɑɾɡɛl
դամբարան	tʰɑmpʰɑɾɑn
նավել	nɑvɛl
խաբեբայություն	χɑpʰɛpʰɑjutʰʏn
ստեսիքորոս	əstɛsikʰɔɾɔs
նասկի	nɑski
հանդիսանալ	hɑntʰisɑnɑl
շամպուն	ʃɑmbun
դաշտերի	tʰɑʃtɛɾi
մարս	mɑɾs
մութ	mutʰ
տերիտորիա	dɛɾidɔɾjɑ
ճաքել	d͡ʒɑkʰɛl
ծղուկ	d͡zəʁuɡ
ասվյա	ɑsvjɑ
մոտաբնակ	mɔdɑpʰənɑɡ
համշենցիներ	hɑmʃɛnt͡sʰinɛɾ
ուր	uɾ
գանգրաձեւ	kʰɑŋkʰɾɑt͡sʰɛv
զարմիկ	zɑɾmiɡ
դյույմ	tʰʏjm
առոգել	ɑɾɔkʰɛl
երկբայություն	jɛɾkʰpʰɑjutʰʏn
գինեմոլ	kʰinɛmɔl
եղունգ	jɛʁuŋkʰ
ծրագրավորել	d͡zəɾɑkʰɾɑvɔɾɛl
հուլիս	hulis
ուշունց	uʃunt͡sʰ
մաթեմատիկոս	mɑtʰɛmɑdiɡɔs
տարադրամի	dɑɾɑtʰəɾɑmi
փայտակարան	pʰɑjdɑɡɑɾɑn
վերջամասնիկ	vɛɾt͡ʃʰɑmɑsniɡ
երեսնամյա	jɛɾɛsnɑmjɑ
խրոխտալ	χəɾɔχtɑl
լուանդա	luɑntʰɑ
սեռի	sɛɾi
ասլանյան	ɑslɑnjɑn
տակռի	dɑɡɾi
ասպետ	ɑspɛd
ես	ɛs
բել	pʰɛl
հավաքածու	hɑvɑkʰɑd͡zu
ավտոռեֆերատ	ɑvdɔɾɛfɛɾɑd
կայթյուն	ɡɑjtʰʏn
անադիր	ɑnɑtʰiɾ
փոսուռա	pʰɔsuɾɑ
դրանդ	tʰəɾɑntʰ
գլոր	kʰəlɔɾ
զուգաբարձ	zukʰɑpʰɑɾt͡sʰ
ամորձի	ɑmɔɾt͡sʰi
շաշ	ʃɑʃ
ասորի	ɑsɔɾi
գրախոսություն	kʰəɾɑχɔsutʰʏn
ուիքիբառարան	vikʰipʰɑɾɑɾɑn
կոմպրոմիս	ɡɔmbɾɔmis
կայազոր	ɡɑjɑzɔɾ
գիրուկ	kʰiɾuɡ
շաքար	ʃɑkʰɑɾ
կորդիլերներ	ɡɔɾtʰilɛɾnɛɾ
արամեերեն	ɑɾɑmɛːɾɛn
կոնյակ	ɡɔnjɑɡ
բաբան	pʰɑpʰɑn
մակերիկամ	mɑɡɛɾiɡɑm
բառնալ	pʰɑɾnɑl
պախկվոցի	bɑχkvɔt͡sʰi
կոստանդնուպոլիս	ɡɔstɑntʰnubɔlis
շղթա	ʃəχtʰɑ
ձետ	t͡sʰɛd
աժ	ɑʒə
դաստիարակ	tʰɑstjɑɾɑɡ
տար	dɑɾ
կտակել	ɡədɑɡɛl
վիզ	viz
ուշաստիկ	uʃɑstiɡ
նորմանդացի	nɔɾmɑntʰɑt͡sʰi
իրական	iɾɑɡɑn
եռամսյակ	jɛɾɑmsjɑɡ
սպերմատոզոիդ	əspɛɾmɑdɔzɔjitʰ
կոտլետ	ɡɔdlɛd
մարաթի	mɑɾɑtʰi
ջանք	t͡ʃʰɑŋkʰ
հաշվապահ	hɑʃvɑbɑh
ակիշ	ɑɡiʃ
խորհրդարան	χɔɾəɾtʰɑɾɑn
գի	kʰi
նքողել	nəkʰɔʁɛl
կոստղոտ	ɡɔstʁɔd
մրջյուն	məɾt͡ʃʰʏn
աբայ	ɑpʰɑj
արամերեն	ɑɾɑmɛɾɛn
դարավանդ	tʰɑɾɑvɑntʰ
անակ	ɑnɑɡ
փչել	pʰət͡ʃʰɛl
թալիշագիտություն	tʰɑliʃɑkʰidutʰʏn
պիսակ	bisɑɡ
խոսալ	χɔsɑl
արգանակ	ɑɾkʰɑnɑɡ
բենզալցակայան	pʰɛnzɑlət͡sʰɑɡɑjɑn
վեհ	vɛh
աբեղայություն	ɑpʰɛʁɑjutʰʏn
մեղ	mɛʁ
տարեդարձ	dɑɾɛtʰɑɾt͡sʰ
այուբյան	ɑjupʰjɑn
զապորոժիե	zɑbɔɾɔʒjɛ
արտասահմանցի	ɑɾdɑsɑhmɑnt͡sʰi
կուլմինացիա	ɡulminɑt͡sʰjɑ
տարնմանություն	dɑɾnəmɑnutʰʏn
կտցար	ɡətʰt͡sʰɑɾ
ծրագրակազմ	d͡zəɾɑkʰəɾɑɡɑzm
եղջերու	jɛχt͡ʃʰɛɾu
նպաստել	nəbɑstɛl
բերք	pʰɛɾkʰ
հաճար	hɑd͡ʒɑɾ
պոպոզ	bɔbɔz
վրդովվել	vəɾtʰɔvːɛl
լիակազմ	lijɑɡɑzm
երախտագիտություն	jɛɾɑχtɑkʰidutʰʏn
կղերական	ɡəʁɛɾɑɡɑn
թոք	tʰɔkʰ
փքուն	pʰəkʰun
գող	kʰɔʁ
ազնավոր	ɑznɑvɔɾ
մեղեդի	mɛʁɛtʰi
մնացորդ	mənɑt͡sʰɔɾtʰ
պատիժ	bɑdiʒ
երկյուղալի	jɛɾɡʏʁɑli
եռաբարբառ	jɛɾɑpʰɑɾpʰɑɾ
քերոբյան	kʰɛɾɔpʰjɑn
առէջք	ɑɾɛt͡ʃʰkʰ
լյուրիկյան	lʏɾiɡjɑn
փոս	pʰɔs
խիղճ	χiʁd͡ʒ
բամբասանք	pʰɑmpʰɑsɑŋkʰ
ամուդարյա	ɑmutʰɑɾjɑ
երկաթգիծ	jɛɾɡɑtʰkʰid͡z
քվե	kʰəvɛ
տարբերակ	dɑɾpʰɛɾɑɡ
թունդ	tʰuntʰ
սաքսոնիա	sɑkʰsɔnjɑ
պաշար	bɑʃɑɾ
մենինգիտ	mɛniŋkʰid
լատվիա	lɑdvjɑ
բուծանել	pʰud͡zɑnɛl
չինգաչունգ	t͡ʃʰiŋkʰɑt͡ʃʰuŋkʰ
ալպակա	ɑlbɑɡɑ
աննա	ɑnːɑ
վերականգնում	vɛɾɑɡɑŋkʰnum
խորն	χɔɾn
ձողաձուկ	t͡sʰɔʁɑt͡sʰuɡ
նուրբ	nuɾpʰ
շարքային	ʃɑɾkʰɑjin
նիցցա	nit͡sʰːɑ
անվտանգ	ɑnvədɑŋkʰ
սաստ	sɑst
ատելություն	ɑdɛlutʰʏn
քանան	kʰɑnɑn
եմեն	jɛmɛn
համատարած	hɑmɑdɑɾɑd͡z
ռուս	ɾus
սմոգ	smɔkʰ
կերակրել	ɡɛɾɑɡɾɛl
բլոկ	pʰəlɔɡ
ադամանդել	ɑtʰɑmɑntʰɛl
փեհլիվանյան	pʰɛhlivɑnjɑn
թամադա	tʰɑmɑtʰɑ
զուգահեռագիծ	zukʰɑhɛɾɑkʰid͡z
ական	ɑɡɑn
գիմ	kʰim
քեմբրիջ	kʰɛmpʰɾit͡ʃʰ
հելվեցիա	hɛlvɛt͡sʰjɑ
կողբացի	ɡɔχpʰɑt͡sʰi
վռամ	vəɾɑm
ալազան	ɑlɑzɑn
լու	lu
ծիծաղաշարժ	d͡zid͡zɑʁɑʃɑɾʒ
զորավոր	zɔɾɑvɔɾ
զարհուրեցուցիչ	zɑɾhuɾɛt͡sʰut͡sʰit͡ʃʰ
թալան	tʰɑlɑn
կարգաբան	ɡɑɾkʰɑpʰɑn
թարթել	tʰɑɾtʰɛl
կազինո	ɡɑzinɔ
պատան	bɑdɑn
փայլում	pʰɑjlum
կապնվել	ɡɑbnəvɛl
ռեսուրս	ɾɛsuɾs
լիբերալիզմ	lipʰɛɾɑlizm
բազուկ	pʰɑzuɡ
նավապետ	nɑvɑbɛd
կադիս	ɡɑtʰis
բարսեղյան	pʰɑɾsɛʁjɑn
ռաքել	ɾɑkʰɛl
առիք	ɑɾikʰ
միջազգային	mit͡ʃʰɑskʰɑjin
թելավի	tʰɛlɑvi
կոճապղպեղ	ɡɔd͡ʒɑbəχpɛʁ
պատճեն	bɑdd͡ʒɛn
կիթ	ɡitʰ
տորմուզ	dɔɾmuz
դատախազ	tʰɑdɑχɑz
կեչի	ɡɛt͡ʃʰi
պարենքիմ	bɑɾɛŋkʰim
խութ	χutʰ
դրվատիք	tʰəɾvɑdikʰ
սմբուլ	səmpʰul
պայտըն	bɑjdən
աբիսողոմ	ɑpʰisɔʁɔm
հրամանատար	həɾɑmɑnɑdɑɾ
ազդու	ɑstʰu
դեմիրճյան	tʰɛmiɾd͡ʒjɑn
պաշտպան	bɑʃtbɑn
փոխանակել	pʰɔχɑnɑɡɛl
ժամանակի	ʒɑmɑnɑɡi
ֆոտոն	fɔdɔn
քսենոկրատես	kʰsɛnɔɡɾɑdɛs
հասնել	hɑsnɛl
գրենլանդիա	kʰɾɛnlɑntʰjɑ
սարսափեցում	sɑɾsɑpʰɛt͡sʰum
գլխատառ	kʰəlχɑdɑɾ
տեսիլք	dɛsilkʰ
նուդիզմ	nutʰizm
ջութակ	t͡ʃʰutʰɑɡ
կենցաղ	ɡɛnt͡sʰɑʁ
ժամահար	ʒɑmɑhɑɾ
հերովդես	hɛɾɔftʰɛs
սատուռն	sɑduɾn
երկնաթռիչ	jɛɾɡnɑtʰəɾit͡ʃʰ
վերջանալիք	vɛɾt͡ʃʰɑnɑlikʰ
բլոճ	pʰəlɔd͡ʒ
հաշվառք	hɑʃvɑɾkʰ
ծաղարար	d͡zɑʁɑɾɑɾ
ամպեղեն	ɑmbɛʁɛn
մարդասպաններ	mɑɾtʰɑspɑnːɛɾ
սպասք	əspɑskʰ
նորոգել	nɔɾɔkʰɛl
զարմ	zɑɾm
զարհուրադեմ	zɑɾhuɾɑtʰɛm
բնակվել	pʰənɑɡvɛl
մայրամուտ	mɑjɾɑmud
դիրտ	tʰiɾd
կամընտրական	ɡɑməndɾɑɡɑn
քահրիբար	kʰɑhɾipʰɑɾ
իմպերիալիզմ	imbɛɾjɑlizm
պետրոս	bɛdɾɔs
ներքինացնել	nɛɾkʰinɑt͡sʰənɛl
ջաղաց	t͡ʃʰɑʁɑt͡sʰ
քայլերթ	kʰɑjlɛɾtʰ
դոմփել	tʰɔmpʰɛl
հեն	hɛn
երկիցս	jɛɾɡit͡sʰəs
տաջիկ	dɑt͡ʃʰiɡ
դամբան	tʰɑmpʰɑn
բարկություն	pʰɑɾɡutʰʏn
նժդեհ	nəʒtʰɛh
տարերք	dɑɾɛɾkʰ
գերմանիա	kʰɛɾmɑnjɑ
չարակամություն	t͡ʃʰɑɾɑɡɑmutʰʏn
օրացույց	ɔɾɑt͡sʰujt͡sʰ
կտղել	ɡədʁɛl
բնական	pʰənɑɡɑn
հոտաղ	hɔdɑʁ
հրճվել	həɾd͡ʒvɛl
ջրհորդան	t͡ʃʰəɾhɔɾtʰɑn
միասիրտ	mijɑsiɾd
հերերո	hɛɾɛɾɔ
դիվերսիոն	tʰivɛɾsjɔn
ֆե	fɛ
շախմատ	ʃɑχmɑd
ղրղըզ	ʁəɾʁəz
աչիկ	ɑt͡ʃʰiɡ
քոչ	kʰɔt͡ʃʰ
ազգ	ɑskʰ
դարձյալ	tʰɑɾt͡sʰjɑl
ստեղծիչ	əstɛʁd͡zit͡ʃʰ
ծանրաբեռ	d͡zɑnɾɑpʰɛɾ
էլեմենտ	ɛlɛmɛnd
առաջընթաց	ɑɾɑt͡ʃʰəntʰɑt͡sʰ
զարդարուն	zɑɾtʰɑɾun
սողանք	sɔʁɑŋkʰ
պոլոճիկ	bɔlɔd͡ʒiɡ
զգոնություն	əskʰɔnutʰʏn
ոսկու	vɔsku
օգնամերժություն	ɔkʰnɑmɛɾʒutʰʏn
միասին	mijɑsin
քարտեզ	kʰɑɾdɛz
քոշ	kʰɔʃ
պրտու	bəɾdu
ի	i
ծափահարելի	d͡zɑpʰɑhɑɾɛli
վրձին	vəɾt͡sʰin
հակոբիկ	hɑɡɔpʰiɡ
անզգայացում	ɑnəskʰɑjɑt͡sʰum
կայիր	ɡɑjiɾ
ծիծառ	d͡zid͡zɑɾ
ապաթարց	ɑbɑtʰɑɾt͡sʰ
տակնուվրա	dɑɡnuvəɾɑ
ուղեւոր	uʁɛvɔɾ
շինել	ʃinɛl
ջալալ	t͡ʃʰɑlɑl
վերմուտ	vɛɾmud
միլան	milɑn
անաքսիմենես	ɑnɑkʰsimɛnɛs
հիմնախնդիր	himnɑχəntʰiɾ
սեւադա	sɛvɑtʰɑ
դասագիրք	tʰɑsɑkʰiɾkʰ
էստոնական	ɛstɔnɑɡɑn
մոկք	mɔkʰː
աբեղաթող	ɑpʰɛʁɑtʰɔʁ
մղձկալ	məχt͡sʰəɡɑl
զավթել	zɑftʰɛl
համարժեք	hɑmɑɾʒɛkʰ
ընթանալ	əntʰɑnɑl
անուշաբույր	ɑnuʃɑpʰujɾ
ղզլար	ʁəzlɑɾ
եմ	ɛm
ծղրտալ	d͡zəʁəɾdɑl
նոյ	nɔj
շափյուղա	ʃɑpʰʏʁɑ
մուշկ	muʃk
հնարել	hənɑɾɛl
ցուցարար	t͡sʰut͡sʰɑɾɑɾ
գյոթվերան	kʰjɔtʰvɛɾɑn
սյունյակ	sʏnjɑɡ
սպիտակավուն	əspidɑɡɑvun
նարդի	nɑɾtʰi
հակինթ	hɑɡintʰ
էվթանազիա	ɛftʰɑnɑzjɑ
ծիծաղկոտ	d͡zid͡zɑʁɡɔd
փաստոն	pʰɑstɔn
որակական	vɔɾɑɡɑɡɑn
պոռոտաբանություն	bɔɾɔdɑpʰɑnutʰʏn
մազանոթ	mɑzɑnɔtʰ
համշենցի	hɑmʃɛnt͡sʰi
ուրուր	uɾuɾ
պետք	bɛtkʰ
մահիճ	mɑhid͡ʒ
ածիկ	ɑd͡ziɡ
լանչ	lɑnt͡ʃʰ
պանթեոն	bɑntʰɛɔn
փոխառել	pʰɔχɑɾɛl
սալահեդդին	sɑlɑhɛtʰːin
չեչեն	t͡ʃʰɛt͡ʃʰɛn
բենեդիկտյան	pʰɛnɛtʰiɡdjɑn
մարտավարություն	mɑɾdɑvɑɾutʰʏn
գաղջ	kʰɑχt͡ʃʰ
ընդհանրապես	əntʰhɑnɾɑbɛs
տկար	dəɡɑɾ
մոդա	mɔtʰɑ
թթված	tʰətʰvɑd͡z
գմբեթ	kʰəmpʰɛtʰ
կեղեքել	ɡɛʁɛkʰɛl
շեռ	ʃɛɾ
կճուճ	ɡəd͡ʒud͡ʒ
ահաբեկություն	ɑhɑpʰɛɡutʰʏn
աննամուս	ɑnːɑmus
ծնեբեկ	d͡zənɛpʰɛɡ
երամ	jɛɾɑm
պատահար	bɑdɑhɑɾ
հարկել	hɑɾɡɛl
