ยี้บ	yi:p
ตะหลาด	ta.la:t
ถ้วย	thu:ai
คำ	kham
เพ็ด	phet
เอิ้น	ə:n
พื้นดิน	phʉ:n.din
กอง	gɔ:ŋ
ลด	lot
ทางเลี้ยว	tha:ŋ.li:ao
จอ	jɔ:
เด้อ	də:
สะ	sa
กาละเทสะ	ga:.la.the:.sa
ชาวบ้าน	cha:o.ba:n
อาวุโส	a:.wu.so:
สุข	suk
ไก่	gai
แต่งโต	tɛŋ.to:
ก่อ	gɔ:
พา	pha:
มกกะลาคม	mok.ga.la:.khom
ปะเลียน	pa.li:an
มอบ	mɔ:p
แตงโม	tɛ:ŋ.mo:
ไฟแซ็ก	fai.sɛk
ขม	khom
นม	nom
หน่อย	nɔ:i
แซม	sɛ:m
เคี่ยงปุง	khi:aŋ.puŋ
เซื้อเพิง	sʉ:a.phə:ŋ
เกิน	gə:n
ซิ้นเนี้ย	sin.ni:a
บักแตง	bak.tɛ:ŋ
วิที	wi.thi:
ตาลิโตน	ta:.li.to:n
เปิด	pə:t
ถืกหู	thʉ:k.hu:
นูน	nu:n
ทบทวน	thop.thu:an
กาตูน	ga:.tu:n
หนา	na:
ถก	thok
ฟัง	faŋ
เส้า	sao
ดี	di:
ส่อง	sɔŋ
ฝา	fa:
เบก	be:k
บ่ค่อย	bɔ:.khɔ:i
พึสะจิกาย๊น	phʉ.sa.ji.ga:.yon
หัวใจ	hu:a.jai
กับ	gap
มื้อเว็น	mʉ:.wen
ป้า	pa:
เผา	phao
หนังสือ	naŋ.sʉ:
เข้างาย	khao.ŋa:i
วันพะลึหัด	wan.pha.lʉ.hat
คุย	khui
เด่	de:
แม่หญิง	mɛ:.ɲiŋ
ด้าน	da:n
ญ้อย	ɲɔ:i
ต้อง	tɔŋ
ลอง	lɔ:ŋ
ฮาว	ha:o
ญ่าง	ɲa:ŋ
คำนวน	kham.nu:an
หอม	hɔ:m
ทน	thon
สาด	sa:t
ดอก	dɔ:k
ผืน	phʉ:n
ทำ	tham
มีด	mi:t
ลำ	lam
จานฮองกาแฟ	ja:n.hɔ:ŋ.ga:.fɛ:
ข้อมูน	khɔ:.mu:n
แข็ง	khɛŋ
ของ	khɔ:ŋ
อะดีด	a.di:t
เหม็น	men
น้ำมัน	na:m.man
ปายทาง	pa:i.tha:ŋ
พี่ซาย	phi:.sa:i
ลดเก็ง	lot.geŋ
ไข่ขาว	khai.kha:o
เข้าเจ้า	khao.jao
ป่าไม้	pa:.mai
ยา	ya:
เติม	tə:m
ไม้	mai
เป็น	pen
มุด	mut
ปึ่กซึก	pʉk.sʉk
กะดาดแข็ง	ga.da:t.khɛŋ
จบ	jop
ค็อนกีด	khɔn.gi:t
มีดโกน	mi:t.go:n
ยิ้ม	yim
สับ	sap
ที่สุด	thi:.sut
ถัดไป	that.pai
ทั่ว	thu:a
ใบดอก	bai.dɔ:k
เท	the:
ญ้อน	ɲɔ:n
ถืกกัน	thʉ:k.gan
ฟ้าว	fa:o
คนละ	khon.la
กุนแก	gun.gɛ:
พิม	phim
ฮ้าย	ha:i
อ่ามล่าม	a:m.la:m
ลาง	la:ŋ
ญ้าย	ɲa:i
ซ่าว่า	sa:.wa:
บูชา	bu:.cha:
พึสะพาคม	phʉ.sa.pha:.khom
อิ่ม	im
พ่อค้า	phɔ:.kha:
ขาด	kha:t
ถ้อน	thɔ:n
ทั่น	than
นี้หละ	ni:.la
เตา	tao
ต้องกาน	tɔŋ.ga:n
ขอบิ่น	khɔ:.bin
ต่น	ton
ดอก	dɔ:k
ลับจ้าง	lap.ja:ŋ
จับ	jap
ลึดูฮ้อน	lʉ.du:.hɔ:n
ซื้อ	sʉ:
โซฟา	so:.fa:
ฮูด	hu:t
พอน	phɔ:n
เคี่ยงญก	khi:aŋ.ɲok
ข้างล่าง	kha:ŋ.la:ŋ
ต้นไม้	ton.mai
ด้วยดี	du:ai.di:
พาเข้า	pha:.khao
ตุ้ย	tui
ทิด	thit
อิด	it
กะดิก	ga.dik
ลีไซเคิน	li:.sai.kən
มอ	mɔ:
ที่ดิน	thi:.din
สำคัน	sam.khan
เก็ด	get
มั่วซั่ว	mu:a.su:a
ล้อง	lɔ:ŋ
ถือ	thʉ:
มึง	mʉŋ
เก่ด	get
ถั่วงอก	thu:a.ŋɔ:k
บัด	bat
เซี้ยโลก	si:a.lo:k
ส้น	son
บักคัก	bak.khak
ลดปะจำทาง	lot.pa.jam.tha:ŋ
พุป่วย	phu.pu:ai
ขอบ	khɔ:p
ซำบาย	sam.ba:i
นัว	nu:a
ละเบียบ	la.bi:ap
แหวน	wɛ:n
สนทะนา	son.tha.na:
นิ้ว	niu
สามสิบ	sa:m.sip
พะยาบาน	pha.ya:.ba:n
ความสุข	khwa:m.suk
พุ	phu
บ่ฮู้อีโหน้อีเหน้	bɔ:.hu:.i:.no:.i:.ne:
ตึก	tʉk
เลน	le:n
คันเล่ง	khan.leŋ
ไหว้พะ	wai.pha
ฟิ่ว	fiu
ด้วย	du:ai
พะลัง	pha.laŋ
ที้ลี้	thi:.li:
ชาว	cha:o
แนวขั้น	nɛ:o.khan
ยี้สิบ	yi:.sip
ปะติทิน	pa.ti.thin
เกี่ยวกับ	gi:ao.gap
ขัง	khaŋ
เพื่อที่	phʉ:a.thi:
ปั้ม	pam
ตวด	tu:at
เที่ยงคืน	thi:aŋ.khʉ:n
แก	gɛ:
พุเถ้า	phu.thao
ละยะ	la.ya
อี่หลี	i:.li:
ตอบแทน	tɔ:p.thɛ:n
ปุง	puŋ
หน้าแล้ง	na:.lɛ:ŋ
เม้ม	mem
ไข้เลือดออก	khai.lʉ:at.ɔ:k
เป้าหมาย	pao.ma:i
มึน	mʉn
เมีย	mi:a
น้อง	nɔ:ŋ
ขี้	khi:
กม	gom
แม่น้ำ	mɛ:.na:m
ถีบ	thi:p
ปาตี้	pa:.ti:
น้ำโค่ก	na:m.kho:k
ขะบวน	kha.bu:an
เขา	khao
อง	oŋ
ลองเท้าผ้าใบ	lɔ:ŋ.thao.pha:.bai
วงกม	woŋ.gom
สัดเคิ่งบกเคิ่งน้ำ	sat.khəŋ.bok.khəŋ.na:m
สะอาดหูสะอาดตา	sa.a:t.hu:.sa.a:t.ta:
ทางหลัง	tha:ŋ.laŋ
สะถานที่	sa.tha:n.ti:
บักม่วง	bak.mu:aŋ
เมียง	mi:aŋ
บัว	bu:a
ซมพู	som.phu:
เล็ก	lek
เกิด	gə:t
เทิง	thə:ŋ
หก	hok
ค็อนโด	khon.do:
อาทิ	a:.thi
กกไม้	gok.mai
ว่า	wa:
คิบ	khip
เจ้าของ	jao.khɔ:ŋ
ลาน	la:n
หา	ha:
ผักกะเสด	phak.ga.se:t
ถ่าย	tha:i
หลายสิ่งหลายอย่าง	la:i.siŋ.la:i.ya:ŋ
อากาน	a:.ga:n
ยื่น	yʉ:n
หน่อยเดียว	nɔ:i.di:ao
เอาโลด	ao.lo:t
ถะแหมะ	tha.mɛ
โจก	jo:k
หยิบ	yip
ม้า	ma:
ลึดู	lʉ.du:
ส้อม	sɔm
มื้อฮือ	mʉ:.hʉ:
ฮึ่มๆ	hʉm
สำหลับ	sam.lap
ได้ลับ	dai.lap
ซ้ำ	sam
ไบบ่าย	bai.ba:i
ทอน	thɔ:n
นอน	nɔ:n
เหน้ก	nek
ค้า	kha:
ขี้มึน	khi:.mʉn
แมว	mɛ:o
โอน	o:n
เที่ยง	thi:aŋ
ลิง	liŋ
เคา	khao
เสี้ยเกาะอก	si:a.gɔ.ok
หละ	la
ขิ้น	khin
เข้า	khao
เกะกะ	ge.ga
ละเหล้น	la.len
คือเก่า	khʉ:.gao
หูจับ	hu:.jap
พุเดียว	phu.di:ao
กะหล้ำปี	ga.lam.pi:
เป่า	pao
กิ่ง	giŋ
ปีน	pi:n
ลำโต	lam.to:
น้ำตาน	na:m.ta:n
ไข่แดง	khai.dɛ:ŋ
แชะ	chɛ
สะดุด	sa.dut
ฮาก	ha:k
หงอก	ŋɔ:k
ตื่น	tʉ:n
ละวัง	la.waŋ
โจ่โล่	jo:.lo:
เสีย	si:a
หวี	wi:
ซัว	su:a
เออ	ə:
ปะลินญาโท	pa.lin.ɲa:.tho:
กัน	gan
เลี้ยน	li:an
พอ	phɔ:
สัด	sat
ขวา	khwa:
หัว	hu:a
ลูกสอน	lu:k.sɔ:n
ก้ม	gom
และ	lɛ
สึกสา	sʉk.sa:
หุ้ม	hum
ตัด	tat
เบิ่งแญง	bəŋ.ɲɛ:ŋ
ปะสา	pa.sa:
เพียง	phi:aŋ
เหยียด	yi:at
นิ้วนาง	niu.na:ŋ
คะนิดสาด	kha.nit.sa:t
โล	lo:
ขะยะ	kha.ya
ค้าวๆ	kha:o.kha:o
เพิง	phə:ŋ
โบด	bo:t
พาบวาด	pha:p.wa:t
คอสอ	khɔ:.sɔ:
พะสะติก	pha.sa.tik
ปั่ก	pak
ฝะลั่ง	fa.laŋ
แขน	khɛ:n
ลำ	lam
ละแวก	la.wɛ:k
ทำความสะอาด	tham.khwa:m.sa.a:t
กุงไทย	guŋ.thai
ลดพิกอั่บ	lot.phik.ap
จุดหมาย	jut.ma:i
เซียก	si:ak
กะ	ga
น้ำเป่า	na:m.pao
โอ่งโล่ง	o:ŋ.lo:ŋ
หม้น	mon
ปาแดก	pa:.dɛ:k
เทิง	thə:ŋ
อ้า	a:
ปั่น	pan
พาหะนะ	pha:.ha.na
เคื้อนที้	khʉ:an.thi:
เคี่ยง	khi:aŋ
หาง	ha:ŋ
หลังจาก	laŋ.ja:k
ปากดี	pa:k.di:
ได้	dai
ผ่าน	pha:n
ปะโยก	pa.yo:k
จินตะนา	jin.ta.na:
ญาม	ɲa:m
ดอก	dɔ:k
คัน	khan
ดำนา	dam.na:
เลิก	lə:k
หวอ	wɔ:
ท้าย	tha:i
เหดผน	he:t.phon
ข้อน	khɔn
กิดจะกัม	git.ja.gam
ใคแน่	khai.nɛ:
ลำไย	lam.yai
ซอก	sɔ:k
กีลา	gi:.la:
เลี่ยง	li:aŋ
แปด	pɛ:t
จุด	jut
เญ็บ	ɲep
ถะหวาย	tha.wa:i
ปะชาชน	pa.cha:.chon
ฟัน	fan
ขี้ผึ้ง	khi:.pʉŋ
วาด	wa:t
มื้อ	mʉ:
ฮ้องไห้	hɔ:ŋ.hai
จน	jon
ปิว	piu
ตา	ta:
คอก	khɔ:k
ลิ้นชัก	lin.chak
พูมถาน	phu:m.tha:n
ทัมมะดา	tham.ma.da:
แตกต่าง	tɛ:k.ta:ŋ
กว่า	gwa:
เนาะ	nɔ
ป่อง	pɔŋ
ฝั่ง	faŋ
ปากกืก	pa:k.gʉ:k
แกง	gɛ:ŋ
ส้อม	sɔm
ไทย	tha:i
เข็ม	khem
แก้ว	gɛ:o
เย็น	yen
คนไข้	khon.khai
ท่า	tha:
จัก	jak
พุล้าย	phu.la:i
น้ำปา	na:m.pa:
หันใจ	han.jai
ไข่เจียว	khai.ji:ao
บึ่ด	bʉt
นิ้วกาง	niu.ga:ŋ
ถิ้ม	thim
โต่ะ	to
ลด	lot
ห่ม	hom
แซบ	sɛ:p
ตาอยากหัว	ta:.ya:k.hu:a
ขน	khon
ห้องเลียน	hɔŋ.li:an
กะคุ	ga.ku
ไว้ถ้า	wai.tha:
ตาย	ta:i
ยืน	yʉ:n
ดึก	dʉk
แค่	khɛ:
ฝ่าย	fa:i
ข้าง	kha:ŋ
พอสมควน	phɔ:.som.khu:an
ซู่มื้อนี้	su:.mʉ:.ni:
ซวย	su:ai
ของ	khɔ:ŋ
ไหม้	mai
เตี้ย	ti:a
เปวไฟ	pe:o.fai
อุปะกอน	u.pa.gɔ:n
สวด	su:at
หัวเตอะหัวเติน	hu:a.tə.hu:a.tə:n
หยาบ	ya:p
ผักอี่เสด	phak.i:.se:t
สงคาม	soŋ.kha:m
อ่าง	a:ŋ
ล็อก	lɔk
คนป่วย	khon.pu:ai
มุม	mum
พ้อม	phɔ:m
แถว	thɛ:o
ตำบน	tam.bon
ที่	thi:
น้ำแข็ง	na:m.khɛŋ
ขั้น	khan
ไต	tai
ลุ้น	lun
พุโถ	phu.tho:
ชะนิด	cha.nit
เที่ยว	thi:ao
สัน	san
ไซ	sai
โล้ง	lo:ŋ
จาน	ja:n
หน้าเอิก	na:.ək
เกาะ	gɔ
กะต่า	ga.ta:
ถุงเท้า	thuŋ.thao
สี่เหลี่ยม	si:.li:am
กัน	gan
อ้อม	ɔ:m
ตาย้าน	ta:.ya:n
ขึ้น	khʉn
มัน	man
ปวด	pu:at
ปะเทด	pa.thet
สะพาย	sa.pha:i
หว้ายน้ำ	wa:i.na:m
ทีบ	thi:p
สุบ	sup
หัวเข่า	hu:a.khao
ซุด	sut
โตหนังสือ	to:.naŋ.sʉ:
ซื่อ	sʉ:
สีดยา	si:t.ya:
กำลัง	gam.laŋ
บักหุ่ง	bak.huŋ
ตะปู	ta.pu:
ดิน	din
ท้องเสีย	thɔ:ŋ.si:a
แลง	lɛ:ŋ
คึ้ม	khʉm
พาย	pha:i
ต่อไปนี้	tɔ:.pai.ni:
นั้นหละ	nan.la
จุ่นพู่น	jun.phu:n
ป้อน	pɔ:n
เปียง	pi:aŋ
ง่า	ŋa:
บีบ	bi:p
ผ้าม้าน	pha:.ma:n
กุมพา	gum.pha:
ทดแทน	thot.thɛ:n
แฟบ	fɛ:p
ดาว	da:o
เลิ้ม	lə:m
บังคับ	baŋ.khap
ลดยน	lot.yon
เสียหาย	si:a.ha:i
ลูกซิ้น	lu:k.sin
ลวดลาย	lu:at.la:i
เพดาน	phe:.da:n
เคี่ยงบิน	khi:aŋ.bin
กะดอง	ga.dɔ:ŋ
หนี	ni:
แต่	tɛ:
แลบลิ้น	lɛ:p.lin
เที่ย	thi:a
เสด	se:t
สะหมอง	sa.mɔ:ŋ
ลดกะบะ	lot.ga.ba
ลาด	la:t
เปี่ยน	pi:an
พวงมาลัย	phu:aŋ.ma:.lai
ลวม	lu:am
เดา	dao
ปะติเสด	pa.ti.se:t
เอื้อย	ʉ:ai
มื้อแลง	mʉ:.lɛ:ŋ
ลำต้น	lam.ton
เลียน	li:an
หน้าต่าง	na:.ta:ŋ
เตียง	ti:aŋ
เท่า	thao
คีบ	khi:p
พี้	phi:
อ่าน	a:n
โต่ง	to:ŋ
ขี้ฝ้า	khi:.fa:
เก้า	gao
ค่อย	khɔ:i
ปัดโท	pat.tho:
ทุ้ม	thum
โซกดี	so:k.di:
ลดซาด	lot.sa:t
ตุ่กตุ่ก	tuk.tuk
เท่านั้น	thao.nan
ลึดูแล้ง	lʉ.du:.lɛ:ŋ
เกสอน	ge:.sɔ:n
บักหล้า	bak.la:
พุใหญ่บ้าน	phu.ɲai.ba:n
นุ้ม	num
สาสะนาพุด	sa:.sa.na:.phut
จืด	jʉ:t
ญิง	ɲiŋ
หมุน	mun
สักสิด	sak.sit
บักจก	bak.jok
ข้างใน	kha:ŋ.nai
เสี้ย	si:a
กะโหลก	ga.lo:k
ท่อ	thɔ:
วะสั้น	wa.san
ใซ้	sai
ลดสิบล้อ	lot.sip.lɔ:
ห้องนอน	hɔŋ.nɔ:n
ใจกาง	jai.ga:ŋ
ต่างๆ	ta:ŋ.ta:ŋ
เนื้อหา	nʉ:a.ha:
กะด้อกะเดี้ย	ga.dɔ:k.ga.di:a
ซ่อก	sɔk
เพาะสะนั้นแล้ว	phɔ.sa.nan.lɛ:o
นาลิกา	na:.li.ga:
หิน	hin
เบา	bao
อา	a:
ตาม่วน	ta:.mu:an
ไหล	lai
อะทิบาย	a.thi.ba:i
ละบาย	la.ba:i
พุสาว	phu.sa:o
ติด	tit
หญ้ม	ɲom
ของขวน	khɔ:ŋ.khu:an
ลิน	lin
ค่ำ	kham
สัดเลี้ยง	sat.li:aŋ
ซูด	su:t
ลักสา	lak.sa:
ทุก	thuk
ซวน	su:an
เสี้ยยื้ด	si:a.yʉ:t
ม่ำ	mam
สอบ	sɔ:p
กำแพง	gam.phɛ:ŋ
นักล้อง	nak.lɔ:ŋ
ลดไฟ	lot.fai
สะหลุบ	sa.lup
ลาก	la:k
หญ้า	ɲa:
ก้าว	ga:o
เบิ่ง	bəŋ
อี่แม่	i:.mɛ:
โอกาด	o:.ga:t
ขึง	khʉŋ
คาว	kha:o
บอก	bɔ:k
กน	gon
เหด	he:t
หมายถึง	ma:i.thʉŋ
ละงับ	la.ŋap
เคย	khə:i
ฮ้าง	ha:ŋ
ขั้น	khan
ซิ้น	sin
ตะหลาดนัด	ta.la:t.nat
สะถานะกาน	sa.tha:.na.ga:n
ความปอดพัย	khwa:m.pɔ:t.phai
เกี้ยง	gi:aŋ
ลำไส้	lam.sai
นาลิกาปุก	na:.li.ga:.puk
ขี้ตม	khi:.tom
ไม	ma:i
จำเป็น	jam.pen
แหล้ว	lɛ:o
เฮ็ด	het
ใหญ่	ɲai
พะม่า	pha.ma:
อ้าย	a:i
หมั้นใจ	man.jai
ล้างกาย	la:ŋ.ga:i
