زرتشتی	zæɾtoʃtiː
شاهنشاهی ایران	ʃɒːhænʃɒːhiːjeiːɾɒːn
جا لباسي	d͡ʒɒːlebɒːsiː
دوناگری	devænɒːɡæɾiː
شما	ʃomɒː
یکتا	jektɒː
تماشا کردن	tæmɒːʃɒːkæɾdæn,tæmɒːʃɒːkæɾdæn
شمپانزه	ʃæmpɒːnze
کورسو زدن	kuːɾsuːzædæn
یاسمون	jɒːsæmuːn
برگه نخست	bæɾɡejenoxost
دق کردن	deɢkæɾdæn
شماره	ʃomɒːɾe
فردا غروب	fæɾdɒːɢoɾuːb
تنبل	tænbæl
گه	ɡoh
کیلوگرم	kiːloɡɾæm
اسلوونیایی	esluːveniːjɒːjiː
کرگوشی زدن	kæɾɡuːʃiːzædæn
بوئین	bhouːʔiːn
تنگ	tænɡ
خراش افتادن	xæɾɒːʃoftɒːdæn
قل قل زدن	ɢolɢolzædæn
شک کردن	ʃækkæɾdæn
ماریجوانا	mɒːɾiːxuːɒːnɒː
نزدیک شدن	næzdiːkŝodæn
زبان چینی	zæbɒːnet͡ʃiːniː
زهرشناسی	zæhɾʃenɒːsiː
حفظ	hefz
برق زدن	bæɾɢzædæn
شکستن	ʃekæstæn
لیتوانیایی	liːtvɒːniːjɒːjiː
فاحشه‌خانه	fɒːheʃexɒːne
گوهر	ɡohæɾ
مرد	mæɾd
بو گرفتن	buːɡeɾeftæn
گرم	ɡæɾm,ɡeɾæm
بارگذاری	bɒːɾɡozɒːɾiː
اسلاو	eslɒːv
سفیدار	sæfiːdɒːɾ,sefiːdɒːɾ
چماق	t͡ʃomɒːɢ
سزیم	seziːom
شیرجه زدن	ʃiːɾd͡ʒezædæn
کیشینف	kiːʃiːnef
جهل	d͡ʒæhl
روزنامه‌نگار	ɾuːznɒːmeneɡɒːɾ
هورمون	huːɾmuːn
شانگهای	ʃɒːnɡhɒːiː
مرکب	moɾækkæb
کلن	koln
شق کردن	ʃæɢkæɾdæn
پوپک	puːpæk
لندن	lændæn
ارسال کردن	eɾsɒːlkæɾdæn
مردن	moɾdæn
تهدید	tæhdiːd
نیم	niːm
پر کشیدن	pæɾkeʃiːdæn
ابربازار	æbɾæbɒːzɒːɾ
اورانیوم	uːɾɒːnjuːm
کور	kuːɾ
دیباچه	diːbɒːt͡ʃe
ساكت	sɒːket
وادی	vɒːdiː
ضرب گرفتن	zæɾbɡeɾeftæn
خجالت	xed͡ʒɒːlæt
هسته	hæste,hæstæ
آرامگاه	ɒːɾɒːmɡɒːh
دوست مکاتبه‌ای	dostemokɒːtebeɒːjiː
گلاب	ɡolɒːb
مذهب	mæzhæb
ضربه خوردن	zæɾbexoɾdæn
باهوش	bɒːhuːʃ
لمباندن	lombɒːndæn
دستره	dæstæɾe
گند کشیدن	ɡændkeʃiːdæn
سیرک	siːɾk
نجم	næd͡ʒm
کلید	keliːd
بادام زمینی	bɒːdɒːmezæmiːniː,bɒːdɒːmzæmiːniː
گرایش جنسی	ɡæɾɒːjeʃed͡ʒensiː
سرگرمی	sæɾɡæɾmiː
مشکی	meʃkiː
سوئیس	suːʔiːs
زمین زدن	zæmiːnzædæn
زبان قزاقی	zæbɒːneɢæzɒːɢiː
ناگازاکی	næɡæzɒːkiː
برگ	bæɾɡ
توهین	toʊhiːn
منگنز	mænɡènèz
بافت	bɒːft
جانماز	d͡ʒɒːnæmɒːz
دو زار و ده شاهی	dozɒːɾodæhʃɒːhiː
دائی	dɒːʔiː
جار کشیدن	d͡ʒɒːɾkeʃiːdæn
غار	ɢɒːɾ
خیار	xiːjɒːɾ
کارتاژ	kæɾtɒːʒ
دسامبر	desɒːmbɾ
شجر	ʃæd͡ʒæɾ
پوشیده	puːʃiːdæ
معاینه	moʔɒːjene
مرورگر	moɾuːɾɡæɾ
صفت	sefæt
سرما زدن	sæɾmɒːzædæn
توان بویایی	tævɒːnebuːjɒːjiː
چپاول	t͡ʃæpɒːvol
آموزشگاه	ɒːmuːzeʃɡæh
پزشکی	pezeʃkiː
حقه	hoɢɢe
استثمار	estesmɒːɾ
گندمی	ɡændomiː
به قلاب وصل كردن	beɢollɒːbvæslkæɾdæn
برگشت	bæɾɡæʃt
كبریت کشیدن	kebɾiːtkeʃiːdæn
کالیفرنیا	kɒːliːfoɾniːɒː
آریایی	ɒːɾiːjɒːjiː
خدا نگهدار	xodɒːneɡæhdɒːɾ
دستبرد زدن	dæstboɾdzædæn
هوار کشیدن	hævɒːɾkeʃiːdæn,hævɒːɾkeʃiːdæn
آب شدن	ɒːbʃodæn
ازبکستان	ozbækestɒːn
بی‌خوابی	biːxɒːbiː
چندخدایی	t͡ʃændxodɒːjiː
تهمت	tohmæt
هالتر	hɒːlteɾ
قهوه‌خانه	ɢæhvexɒːne
نابینایی	nɒːbiːnɒːjiː
گراز	ɡeɾɒːz
مقعدی	mæɢʔædiː
بشیر	bæʃiːɾ
چتر زدن	t͡ʃætɾzædæn
دفاع	defɒːʔ
هالو	hɒːluː
لهجه	læhd͡ʒe
بچ	bæt͡ʃ
اشغال	eʃɢɒːl
نقشه	næɢʃe
سنجاق زدن	sænd͡ʒɒːɢzædæn
نیشکر	nejʃækæɾ
قره‌باغ کوهستانی	ɢæɾebɒːɢekuːhestɒːniː
پیدا کردن	pejdɒːkæɾdæn
افزاره	æfzɒːɾe
ضمه	zæmme
سوم	som
آموزش	ɒːmuːzeʃ
بها	bæhɒː
التماس کردن	eltemɒːskæɾdæn
بومی	buːmiː
تجاوز	tæd͡ʒɒːvoz
دانا	dɒːnɒː
بتن	beton
شانه	ʃɒːne
پلک زدن	pelkzædæn
توپ	tuːp
بیزانس	biːzɒːns
كپور	kæpuːɾ
خواسته‌ای	xɒːsteiː
ميليارد	miːljɒːɾd
ترمز کردن	toɾmozkæɾdæn
آقاپسر	ɒːɢɒːpesæɾ
کار افتادن	kɒːɾoftɒːdæn
سیاه‌کاج	siːɒːhkɒːd͡ʒ
استوخودوس	ostoxuːddos
آسان	ɒːsɒːn
بیهوشی زدن	biːhuːʃiːzædæn
خانم‌ها و آقایان	xɒːnomhɒːvæɒːɢɒːjɒːn
بلغراد	belɢeɾɒːd
آگهی	ɒːɡæhiː
پاسخ دادن	pɒːsoxdɒːdæn,pɒːsoxdɒːdæn
ویژه	viːʒæ
گوشت	ɡuːʃt,ɡoʃt
اینترلینگو	iːnteɾliːnɡuːæ
کتاب مقدس	ketɒːbemoɢæddæs
مشاهده کردن	moʃɒːhedekæɾdæn
قفقاز شمالی	ɢæfɢɒːzeʃæmɒːliː
تلخ	tælx
عروس	æɾuːs
سوت زدن	suːtzædæn
رفیق	ɾæfiːɢ
شغال	ʃoɢɒːl
بدل شدن	bædælʃodæn
بولیوی	boliːviː
قرنیه	ɢæɾniːje
چنگال	t͡ʃænɡɒːl
بو کشیدن	buːkeʃiːdæn
شمع	ʃæmʔ
بیرون زدن	biːɾuːnzædæn
تزیین کردن	tæzʔiːnkæɾdæn
کامیون	kɒːmiːon
جا به جا شدن	d͡ʒɒːbed͡ʒɒːʃodæn
کیش	kiːʃ
جرگه‌سالاران	d͡ʒæɾɡesɒːlɒːɾɒːn
گمانه زدن	ɡomɒːnezædæn
هلندی	holændiː
مشق	mæʃɢ
کتابدار	ketɒːbdɒːɾ
فیلم	fiːlm
مهبانگ	mæhbɒːnɡ
دیروز صبح	diːɾuːzsobh
عر	æɾ
پانچ	pɒːnt͡ʃ
روزنامه‌نگاری	ɾuːznɒːmeneɡɒːɾiː
جدید	d͡ʒædiːd
حسودی	hæsuːdiː
تودهنی زدن	tuːdæhæniːzædæn
نهصد	nohsæd
برف دانه	bæɾfedɒːne
زمان	zæmɒːn
بینی	biːniː
چپ	t͡ʃæp
سفارش	sefɒːɾeʃ
بنگلادش	bænɡlɒːdeʃ
چندن	t͡ʃændæn
دادن	pænɒːhdɒːdæn,tekɒːndɒːdæn,pænddɒːdæn,d͡ʒɒːdɒːdæn
هیجان آمدن	hæjæd͡ʒɒːnɒːmædæn
بالون	bɒːluːn
مطاله کردن	motɒːlekæɾdæn
انجام گرفتن	ænd͡ʒɒːmɡeɾeftæn
تعلیم	tæʔliːm
قلبی	ɢælbiː
لوتوس	lotuːs
کوپرنیسیم	kopeɾniːsiːom
عشق	ʔeʃɢ
استاد	ostɒːd
بروت	boɾuːt
مذهب بودا	mæzhæbebuːdɒː
تلف	tælæf
سیاه‌سرفه	siːjɒːhsoɾfe
چشم زهر گرفتن	t͡ʃeʃmzæhɾɡeɾeftæn
همبستر	hæmbæstæɾ
پلاتین	pelɒːtiːn
جغرافیا	d͡ʒoɢɾɒːfiːjɒː
پوست گرفتن	puːstɡeɾeftæn
روان	ɾævɒːn
مارچوبه	mɒːɾt͡ʃuːbe
عصر	æsɾ
تقویت کردن	tæɢviːætkæɾdæn
سوت کشیدن	suːtkeʃiːdæn
سانتریفوژ	sɒːntɾiːfuːʒ
صندوق پست	sonduːɢepost
تنها	tænhɒː
دوشیدن	duːʃiːdæn
تشریف بردن	tæʃɾiːfboɾdæn
تسبیح	tæsbiːh
تکیه	tækjetekje,tækje
زالتسبورگ	zɒːlsbuːɾɡ
پنگان	penɡɒːn
شاخه	ʃɒːxe
تسار	tsɒːɾ
پوزه	puːze
پودینگ	puːdiːnɡ
خاتمه	xɒːteme
فرات	foɾɒːt
اصول اخلاق	osuːleæxlɒːɢ
درایه	dæɾɒːje
مانگا	mɒːnɡɒː
ستادن	setɒːdæn
دوسره	dosæɾe
ساوانا	sɒːvɒːnɒː
چرخ	t͡ʃæɾx
خرگوش	xæɾɡuːʃ
دوستدار	duːstdɒːɾ
آخر	ɒːxæɾ
مهتر	mæhtæɾ,mehtæɾ
كیف	kejf
پست سفارشی	postesefɒːɾʃiː
اتحادیه آفریقا	ettehɒːdiːjeɒːfɾiːɢɒː
ضربه زدن	zæɾbezædæn
خواهر	xɒːhæɾ,xwɒːhæɾ
محلی	mæhælliː
رنج کشیدن	ɾænd͡ʒkeʃiːdæn
دامن زدن	dɒːmænzædæn
تایوان	tɒːiːvɒːn
خانتیمانسییسک	xɒːntiːmɒːnsiːjsk
وصول کردن	vosuːlkæɾdæn
پروستات	pɾostɒːt
روان پزشک	ɾævɒːnʔpezeʃkʔ
روايت کردن	ɾævɒːjætkæɾdæn
چسب زدن	t͡ʃæsbzædæn
حواجه‌سرا	xɒːd͡ʒesæɾɒː
مغاره	mæɢɒːɾe
عصر هسته‌ای	æsɾehæsteʔiː
پذیرفتن	pæziːɾoftæn
کشتی گذاره	kæʃtiːjeɡozɒːɾæh
کوری	kuːɾiː
خواسته بودند	xɒːstebúdænd
لادا	lɒːdɒː
واکنشگاه هسته‌ای	vɒːkoneʃɡɒːhehæsteʔiː
سودان	suːdɒːn
سرفه	soɾfe
زاگرس	zɒːɡɾos
دندان	dændɒːn
درخت آزاد	deɾæxteɒːzɒːd
وجد آوردن	væd͡ʒdɒːvæɾdæn
هزاره‌ی سوم	hezɒːɾejesevvom
دگرگونی	deɡæɾɡuːniː
ضجه کشیدن	zæd͡ʒd͡ʒekeʃiːdæn
هشتم	hæʃtom
لنگ زدن	lænɡzædæn
زندانی کردن	zendɒːniːkæɾdæn
نیوزیلند	niːjuːziːlend
پالتو	pɒːlto
دهدهی	dæhdæhiː
برف	bæɾf
ارزانی داشتن	æɾzɒːniːdɒːʃtæn
کندی	kenediː
یاقوتی	jɒːɢuːtiː
زخم زدن	zæxmzædæn
عمه‌زاده	æmmezɒːde
داربست زدن	dɒːɾbæstzædæn
دمشق	demeʃɢ
خاطر نشان کردن	xɒːteɾneʃɒːnkæɾdæn
تابوت	tɒːbuːt
خواب	xɒːb
لباس	lebɒːs
کنار	kenɒːɾ,kenɒːɾe
کشت	keʃt
گمان کردن	ɡomɒːnkæɾdæn
سرجوخه	sæɾd͡ʒuːxe
بام	bɒːm
آهنگساز	ɒːhænɡsɒːz
هلنی	heleniː
کوه	kuːh
اقیانوس اطلس	oɢjɒːnuːseætlæs
باله	bɒːle
باران آمدن	bɒːɾɒːnɒːmædæn
ریدن	ɾiːdæn
ثبت کردن	sæbtkæɾdæn
آب معدنی	ɒːbmæʔdæniː
هوار	hævɒːɾ
غروب	ɢoɾuːb
فلاطون	flɒːtuːn
عمان	ommɒːn
پچ‌پچ کردن	pet͡ʃpet͡ʃkæɾdæn
شاه‌توت	ʃɒːhtuːt
شکارچی	ʃekɒːɾt͡ʃiː
امپراطوری	empɾɒːtuːɾiː
جنبش غیرمتعهد	d͡ʒonbeʃeædæmetæʔæhhod,d͡ʒonbeʃeɢejɾemoteʔæhhed
حدس	hæds
پراگ	pɾɒːɡ
مالزی	mɒːleziː
ته تغاری	tætoɢɒːɾiː
مغرب عربی	mæɢɾebʔæɾæbiː
چلیپا	t͡ʃæliːpɒː
زیستن	ziːstæn
کرواسی	koɾoɒːsiː
سفت	seft
تایید	tæʔiːd
نقب زدن	næɢbzædæn
طراح	tæɾɒːh
سوسیالیست	sosiːjɒːliːst
وسعت	vosʔæt
پیروی	pejɾoviː
قفسه کتاب	ɢæfæsejeketɒːb
تلف کردن	tælæfkæɾdæn
اندازه	ændɒːze
نقشه کشیدن	næɢʃekeʃiːdæn
عاشق بودن	ʔɒːʃeɢbuːdæn
کده	kæde
هکر	hækeɾ
قربانی کردن	ɢoɾbɒːniːkæɾdæn
مرور کردن	moɾuːɾkæɾdæn
غمگین	ɢæmɡiːn
حرف	hæɾf
مبلمان	moblemɒːn
یالتا	jɒːltæ
دکتر	doktoɾ
بلاروس	belɒːɾuːs
عذرخواهی	ozɾxɒːhiː
گرینلند	ɡɾiːnlænd
زخم زبان	zæxmezæbɒːn
حتی‌الامکان	hættælemkɒːn
مفت	moft
کشنده	keʃænde
غش و ضعف زدن	ɢæʃozæʔfzædæn
برخورد	bæɾxoɾd
برای همیشه	bæɾɒːjehæmiːʃe
هندوکش	henduːkuːʃ
الکترون	elektɾon
خان	xɒːn
دماغ گرفتن	dæmɒːɢɡeɾeftæn
تندپز	tondpæz
دار زدن	dɒːɾzædæn,dɒːɾzædæn
ظهر بخیر	zohɾbexejɾ
دست	dæst
راه شیری	ɾɒːheʃiːɾiː
ناخن کشیدن	nɒːxonzædæn
مونیخ	muːniːx
ریگ	ɾiːɡ
خون	xuːn
خیانت‌کار	xiːjɒːnætkɒːɾ
طول موج	tuːlemoʊd͡ʒ
دریای سیاه	dæɾjɒːjesiːjɒːh
لجام زدن	leɡɒːmzædæn
هشیاری	hoʃjɒːɾiː
ملاقات کردن	molɒːɢɒːtkæɾdæn
بسته	bæste
اردیبهشت	oɾdiːbeheʃt
مالی	mɒːliː
یاریگر	jɒːɾiːɡæɾ
دوات	dævɒːt
بی‌رنگ	biːɾænɡ
چهره	t͡ʃehɾæ,t͡ʃehɾe
شگفت	ʃeɡæft
در سمت چپ	dæɾsemett͡ʃæp
سوئز	suːez
فرار کردن	fæɾɒːɾkæɾdæn
مسواک	mesvɒːk
گسترش	ɡostæɾeʃ
میتوکندری	miːtokondɾiː
فوتبالیست	fuːtbɒːliːst
خاله	xɒːle
قاره	ɢɒːɾe
استخدام کردن	estexdɒːmkæɾdæn
زیرزمین	ziːɾzæmiːn
زق زدن	zeɢzædæn
نقره فام	noɢɾefæm
نان تست	nɒːnetost
کورش	kuːɾoʃ
شانزده	ʃɒːnzdæh
بزه	beze
تاتار	tɒːtɒːɾ
خوراکی	xoɾɒːkiː
دریاچه ارومیه	dæɾjɒːt͡ʃeeoɾuːmiːje
ستاره دریایی	siːtɒːɾejedæɾjɒːjiː
چشم خوردن	t͡ʃeʃmxoɾdæn
ارث بردن	eɾsboɾdæn
قیچی کردن	ɢejt͡ʃiːkæɾdæn
قلمه کردن	ɢælæmekæɾdæn
پررنگ	poɾɾænɡ
آبتنی کردن	ɒːbtæniːkæɾdæn
فرجام	fæɾd͡ʒɒːm
پیشنام	piːʃnɒːm
پل کشیدن	polkeʃiːdæn
بدتر	bædtæɾ
دروغ گفتن	doɾuːɢɡoftæn,doɾuːɢɡoftæn
دارو کوب	dɒːɾuːkob
رعد زدن	ɾæʔdzædæn
بیتولا	biːtolɒː
دختر باز	doxtæɾebɒːz
خلیج	xæliːd͡ʒ
اندازه‌گیری	ændɒːzeɡiːɾiː
منتظر شدن	montæzeɾʃodæn
توجه شدن	tævæd͡ʒd͡ʒohʃodæn
مردم‌شناسی	mæɾdomʃenɒːsiː
تردستی	tæɾdæstiː
طول	tuːl
تاراج کردن	tɒːɾɒːd͡ʒkæɾdæn
حیوانی	hejvɒːniː
مور	muːɾ
ادعا کردن	eddeʔɒːkæɾdæn
کره جنوبی	koɾejed͡ʒænuːbiː
تفنگ	tofænɡ
هدایت کردن	hedɒːjætkæɾdæn
تولدت مبارک	tævɒːllodætmobɒːɾæk
کره زدن	kæɾezædæn
ادویه	ædviːje
دیگر	diːɡæɾ
دوباره	dobɒːɾe
کر	kæɾ
لالمونی گرفتن	lɒːlmuːniːɡeɾeftæn
فصح	feʃ
سیزده	siːzdæh
خطا کردن	xætɒːkæɾdæn
سبزی	sæbziː
نطق	notɢ
خسارت زدن	xesɒːɾætzædæn
شیر دادن	ʃiːɾdɒːdæn
کباب	kebɒːb
پیر	piːɾ
مکزیک	mekziːk
مگس	mæɡæs
شوالیه كردن	ʃovɒːljekæɾdæn
دین	diːn
واو	vɒːv
زنگ زدن	zænɡzædæn,zænɡzædæn
قبر	ɢæbɾ
بانگ زدن	bɒːnɡzædæn
جایگاه	d͡ʒɒːjɡɒːh
نوشتن	neveʃtæn,næveʃtæn
مکادونیه	mækɒːduːniːje
کسشعر	kosʃeʔɾ,koseʃeʔɾ
یک	jek
سیبریه	siːbeɾiːje
سنگ جادو	sænɡed͡ʒɒːduː
ور زدن	veɾzædæn
راک اند رول	ɾɒːkɒːndɾol
بره	bæɾɾe,bæɾe
بودا	buːdɒː
نصف	nesf
بغ	bæɢ
آمپول	ɒːmpuːl
جان دادن	d͡ʒɒːndɒːdæn
مشت خوردن	moʃtxoɾdæn
عبری	ebɾiː
بیماری قند	biːmɒːɾiːjeɢænd
خشم	xæʃm
دستبرد	dæstboɾd
آوا	ɒːvɒː
یادش آمدن	jɒːdæʃɒːmædæn
بازگیری	bɒːzɡiːɾiː
گذرنامه	ɡozæɾnɒːme
حیله خوردن	hiːlexoɾdæn
سؤال	soʔɒːl
پیشرفته	piːʃɾæfte
حرف چینی	hæɾfet͡ʃiːniː
امپراتوری روم	empeɾɒːtuːɾiːjeɾuːm
تئاتر	teʔɒːtɾ
جام	d͡ʒɒːm
مستندات	mostænædɒːt
براتیسلاوا	bɾɒːtiːslɒːvɒː
جایزه	d͡ʒɒːjeze
لاتین	lɒːtiːn
اره و اوره و شمسی کوره	ɒːɾeuːɾeʃæmsiːkuːɾe
اداره	edɒːɾe
تف	tof
پر	poɾ,pæɾ
یاد بردن	jɒːdboɾdæn
خشک‌سالی	xoʃksɒːliː
زیبا	ziːbɒː
ضرر	zæɾæɾ
حقوق بشر	hoɢuːɢebæʃæɾ
زیست‌شیمی	ziːstʃiːmiː
لیختن‌اشتاین	liːxteneʃtɒːjn
شیشه	ʃiːʃe
گیهان	ɡeiːhɒːn
رژ لب	ɾoʒelæb
مطب زدن	mætæbzædæn
خود	xuːd,xod
نرم‌تن	næɾmtæn
دعوت كردن	dævætkæɾdæn
دارایی	dɒːɾɒːjiː
همخوابگی	hæmxɒːbeɡj
افغان	æfɢɒːn
قاضی	ɢɒːziː
آبمیوه	ɒːbmiːve
آناتولی	ɒːnætoliː
قرار زدن	ɢæɾɒːɾzædæn
ابر	æbæɾ
پایبندی	pɒːbændiː
بندپایان	bændpɒːjɒːn
قول زدن	ɢoʊlzædæn,ɢolzædæn
کمان‌دار	kæmɒːndɒːɾ
صدا زدن	sedɒːzædæn,sedɒːzædæn
گروه واژه	ɡoɾuːhvɒːʒe
دربی	deɾbiː
اعتماد	eʔtemɒːd
بیگ بن	biːɡben
بی‌خانمان	biːxɒːnemɒːn
کردی	koɾdiː
بستن	bæstæn
خالی کردن	xɒːliːkæɾdæn
بهینه	bæhiːnæ,behiːne
خلیج فارس	xæliːd͡ʒefɒːɾs
سیاتل	sejɒːtæl
جسد	d͡ʒæsæd
زبان دیوهی	zæbɒːndiːvehiː
مباهات کردن	mobɒːhɒːtkæɾdæn
پزشک	pezeʃk
پایین	pɒːjiːn
صوفیه	sofiːje
تلنگر زدن	tælænɡoɾzædæn
آفت	ɒːfæt
دست کشیدن	dæstkæʃiːdæn,dæstkeʃiːdæn
مادرخوانده	mɒːdæɾxwɒːnde
سپاسگزاری	sepɒːsɡozɒːɾiː
آب گرفتن	ɒːbɡeɾeftæn
قزاق	ɢæzzɒːɢ
رایگان	ɾɒːjɡɒːn
گدایی	ɡedɒːjiː
مهربانی	mehɾæbɒːniː
نقل کردن	næɢlkæɾdæn
نفهمی	næfæhmiː
نیاهندوایرانی	niːjɒːhendoiːɾɒːniː
تدوینگر	tædviːnɡæɾ
حس کردن	heskæɾdæn
اصلی	æsliː
فهرست محتویات	fehɾestemohtæviːjɒːt
بازار	bɒːzɒːɾ
پردازش داده‌ها	pæɾdɒːzeʃedɒːdehhɒː
چلچله	t͡ʃelt͡ʃele
رادون	ɾɒːdon
اسب آبی	æsbeɒːbiː
مريض	mæɾiːz
دعا	doʔɒː
پلو	polo
رزیدن	ɾæziːdæn
ناب	nɒːb
تاراج	tɒːɾɒːd͡ʒ
کوتاهی	kuːtɒːhiː
علامت	ælɒːmæt
ناخنک کردن	nɒːxonækkæɾdæn
فردریش	feɾedɾiːʃ
گام زدن	ɡɒːmzædæn,ɡɒːmzædæn
خائن	xɒːʔen
عجیب و غریب	ʔæd͡ʒiːboɢæɾiːb,ʔæd͡ʒiːboɢæɾiːb
پسرخاله	pesæɾxɒːle
نامه	nɒːme
الکترومغناطیس	elektɾomæɢnɒːtiːs
دوربین دیجیتال	duːɾbiːnediːd͡ʒiːtɒːl
بود	buːd
دينار	diːnɒːɾ
اشاره	eʃɒːɾe
صدمه زدن	sædæmezædæn
یادبود	jɒːdbuːd
کهن	kohæn
ورودی	voɾuːdiː
نوروز	nouːɾuːz
گریونا	ɡɾiːvnɒː
ماده تاریک	mɒːddejetɒːɾiːk
چوب زدن	t͡ʃuːbzædæn
دارو	dɒːɾuː
بهتان زدن	bohtɒːnzædæn
دزد	dozd
کار بردن	kɒːɾboɾdæn
نهانی	nehɒːniː
چسباندن	t͡ʃæsbɒːndæn
شهرزاد	ʃæhɾzɒːd
آرامش	ɒːɾɒːmeʃ
گاز	ɡɒːz
خواسته باشید	xɒːstebɒːʃiːd
رادیو	ɾɒːdiːo
اندریاس	ændɾiːjɒːs
رم دادن	ɾæmdɒːdæn
ارث گذاشتن	eɾsɡozɒːʃtæn
اسم	esm
شالوده	ʃɒːluːdæ
خواهد	xɒːhæd
کاری است که شده	kɒːɾiːæstkeʃode
خیلی ممنون	xejliːmæmnuːn
تروریسم	teɾuːɾiːsm
قلقلک	ɢelɢelæk
قیصر	ɢejsæɾ
خواسته باشند	xɒːstebɒːʃænd
کول	kuːl
سفیر	sefiːɾ
نظر زدن	næzæɾzædæn
لرزش	læɾzeʃ
پشه بند زدن	pæʃebændzædæn
کار انداختن	kɒːɾændɒːxtæn
کوسوو	kosovo
پیش‌بینی	piːʃbiːniː
پزشکی قانونی	pezeʃkiːjeɢɒːnuːniː
تندر	tondæɾ
بو کردن	buːkæɾdæn,buːkæɾdæn
صید کردن	sæiːdkæɾdæn
لوور	luːvɾ
الفبا	ælefbɒː
محکمه	mæhkæme
آسیب زدن	ɒːsiːbzædæn
سوسک	suːsk
باغچه	bɒːɢt͡ʃe
دفن کردن	dæfnkæɾdæn,dæfnkæɾdæn
بارگیری	bɒːɾɡiːɾiː
وصلت کردن	væslætkæɾdæn
شنبلیله	ʃænbeliːle
مار	mɒːɾ
آستانه	ɒːstɒːne
وزنه زدن	væznezædæn
رایانامه	ɾɒːjɒːnɒːme
شاهنشاهی	ʃɒːhænʃɒːhiː
آسفالت کردن	ɒːsfɒːltkæɾdæn
کفاره دادن	kæffɒːɾedɒːdæn
استخون	ostoxuːn
طیاره	tejjɒːɾe
فاشیسم	fɒːʃiːsæm
باگ	bɒːɡ
متر	metɾ
جرقه زدن	d͡ʒæɾæɢɢezædæn
زندانی	zendɒːní
کنه	kæne
شلاق	ʃællɒːɢ
پایتخت	pɒːjtæxt,pɒːjetæxt
پیمان	pejmɒːn
آمریکیوم	ɒːmeɾiːkiːjom
پیشوند	piːʃvænd
پایتون	pɒːjton
ناهار	nɒːhɒːɾ
مزار شریف	mæzɒːɾeʃæɾiːf
به سمت	hesemet
خوردن	xoɾdæn,zædæn
فولاد	fuːlɒːd
تیزآب	tiːzɒːb
دایره زدن	dɒːjeɾezædæn
زار زدن	zɒːɾzædæn
مشام	mæʃɒːm
شکفتن	ʃekoftæn
تگزاس	teɡzɒːs
تعلم	tæʔællom
اخطار کردن	extɒːɾkæɾdæn
پناه دادن	pænɒːhdɒːdæn
نابودی	nɒːbuːdiː
فهمیدن	fæhmiːdæn
فر	feɾ
آمدن	ɒːmædæn
متا	metɒː
افروختن	æfɾuːxtæn
یشمی	jæʃmiː
عافیت باشه	ɒːfiːjætbɒːʃe
یادداشت کردن	jɒːddɒːʃtkæɾdæn
خواهیم	xɒːhiːm
انگلستان	enɡelestæn
نوزاد	nouːzɒːd
همکلاس	hæmkelɒːs
دارمشتادیم	dɒːɾmeʃtɒːdiːom
سیاه‌چاله	siːjɒːht͡ʃɒːle
اسلو	oslo
بهره‌برداری کردن	bæhɾebæɾdɒːɾiːkæɾdæn
قل خوردن	ɢolxoɾdæn
رخسار	ɾoxsɒːɾ
اصابت	esɒːbæt
اصلاح	eslɒːh
خاطر داشتن	xɒːteɾdɒːʃtæn
هم	hæm
فارسی	fɒːɾsiː
رحمت کردن	ɾæhmætkæɾdæn
اتهام خوردن	ettehɒːmxoɾdæn
نفرین کردن	nefɾiːnkæɾdæn
تومسک	tomsk
پایان رساندن	pɒːjɒːnɾesɒːndæn
تاسیس	tæʔsiːs
شی	ʃiː
پادشاهی	pɒːdeʃɒːhiː,pɒːdʃɒːhiː
قرن	ɢæɾn
داده‌ها	dɒːdehɒː
روان‌شناس	ɾævɒːnʃenɒːs
انتقام گرفتن	enteɢɒːmɡeɾeftæn
مرده	moɾde
بدل کردن	bædælkæɾdæn
داشتید می‌خواستید	dɒːʃtiːdmíxɒːstiːd
چلاقی	t͡ʃolɒːɢiː
ناز	nɒːz
ماتروشکا	mɒːtɾuːʃkɒː
دال	dɒːl
کهکشان	kæhkeʃɒːn
دزد زدن	dozdzædæn
خرما	xoɾmɒː
کلمبیا	kolombiːjɒː
خرده	xoɾde
پرداختن	pæɾdɒːxtæn
دیوار	diːvɒːɾ
گفته	ɡofte
غنچه دادن	ɢont͡ʃedɒːdæn,ɢont͡ʃedɒːdæn,ɢont͡ʃædɒːdæn
پیشانی	piːʃɒːniː
سه نفری	senæfæɾiː
گل کردن	ɡolkæɾdæn
پست	pæst,post
توسری	tuːsæɾiː
پنجم	pænd͡ʒom
تاشکند	tɒːʃkænd
پاسبان	pɒːsbɒːn
ماسا�� دادن	mɒːsɒːʒdɒːdæn
دیروز غروب	diːɾuːzɢoɾuːb
دوم	dovvom
ناپسری	nɒːpesæɾiː
آشپزخانه	ɒːʃpæzxɒːne
بردن	boɾdæn
نشانه‌گذاری کردن	neʃɒːneɡozɒːɾiːkæɾdæn
چسب مایع	t͡ʃæsbemɒːjeʔ
بخیه خوردن	bæxiːjexoɾdæn
کلوچه	koluːt͡ʃæ
شوهر	شوهر,ʃoʊhæɾ
خراش خوردن	xæɾɒːʃxoɾdæn
زادگاه	zɒːdɡɒːh
ارعابگری	eɾʔɒːbɡæɾiː
اچ‌تی‌ام‌ال	et͡ʃtiːemel
دلار	dolɒːɾ
