memberitahukan	məmbˌɛritahˈukan
denda	dˈɛnda
varises	varˈisəs
neoliberalisme	nˌɛolˌibəralˈismə
berlakulah	bərlakˈulah
PBJ	pˌebˌed͡ʒˈe
Membedah	məmbˈɛdah
retrieval	rətrˈival
Labuan	labˈuan
Pudjo	pˈud͡ʒo
braille	brˈa͡ɪlə
tertelan	tərtˈɛlan
diskriminatif	dˌiskriminˈatif
Amandel	amˈandəl
sertaan	sərtˈaan
boomerang	bˌoomˈɛraŋ
granat	ɡrˈanat
deh	dˈɛh
Kodikau	kodˈika͡ʊ
pudar	pˈudar
Broadway	broˈadwaj
Dijadikannya	dˌid͡ʒadikˈanɲa
Wirata	wirˈata
Buol	bˈuol
mesen	mˈɛsən
Agun	ˈaɡun
sekoci	səkˈot͡ʃi
Sindo	sˈindo
Negarakertagama	nˌɛɡarˌakərtaɡˈama
ayakan	ajˈakan
Mulut	mˈulut
biennale	binnˈalə
bayi	bˈaji
Harita	harˈita
likuidasi	lˌikuidˈasi
BLONTANK	blˈontank
Aswaja	aswˈad͡ʒa
terpantau	tərpˈanta͡ʊ
Berikat	bərˈikat
Imamah	imˈamah
cracker	t͡ʃrˈat͡ʃkər
Semusim	səmˈusim
Ashanty	ˈashantj
Realitanya	rˌɛalitˈaɲa
Hippy	hˈipj
ekspansinya	ˌɛkspansˈiɲa
dibawanya	dˌibawˈaɲa
Direct	dˈirət͡ʃt
menyembah	məɲˈɛmbah
mis	mˈis
deselerasi	dˌɛsələrˈasi
kram	krˈam
Bachelorstudies	bˌaχəlɔrstˈudis
Romantic	romˈantit͡ʃ
silk	sˈilk
Asparagus	ˌasparˈaɡus
tromol	trˈomol
efektifitasnya	ˌɛfəktˌifitˈasɲa
Oksidasi	ˌoksidˈasi
KJ	kˌad͡ʒˈe
Namira	namˈira
Rasau	rˈasa͡ʊ
Semasa	səmˈasa
Djohermansyah	d͡ʒˌohərmˈançah
menasihatinya	mənˌasihatˈiɲa
Elvy	ˈɛlvj
Khairudin	xa͡ɪrˈudin
biro	bˈiro
memecah	məmˈɛt͡ʃah
dituntaskan	dˌituntˈaskan
baur	bˈa͡ʊr
Perdana	pərdˈana
Ihram	ˈihram
Lisda	lˈisda
Promenade	prˌomənˈadə
kelewatan	kələwˈatan
dipersyaratkan	dˌipərçarˈatkan
felt	fˈɛlt
Bahan	bˈahan
Europe	ˌɛurˈopə
bajunya	bad͡ʒˈuɲa
sarasehan	sˌarasˈɛhan
Lakukan	lakˈukan
sebanding	səbˈandiŋ
pipanya	pipˈaɲa
exist	ˈɛksist
SO	sˈo
Laga	lˈaɡa
ditransfer	ditrˈansfər
Morrie	mˈɔri
toksikologi	tˌoksikolˈoɡi
digubris	diɡˈubris
kualitasnya	kˌualitˈasɲa
superkomputer	sˌupərkompˈutər
PDRD	pˌedˌeərdˈe
Fulton	fˈulton
sensual	sənsˈual
pengikut	pəŋˈikut
BBPPKS	bˌebˌepˈepˌekˌaˈɛs
menyelenggarakan	məɲˌɛləŋɡarˈakan
ship	shˈip
Puting	pˈutiŋ
celakanya	t͡ʃˌɛlakˈaɲa
strok	strˈok
Penggandaan	pəŋɡandˈaan
freatik	frəˈatik
menginputkan	məŋinpˈutkan
Inzaghi	inzˈaɡhi
Mengutamakan	məŋˌutamˈakan
TTM	tˌetˌeəm
larisnya	larˈisɲa
dicatut	dit͡ʃˈatut
MPLS	ˌɛmpˌeəlˈɛs
Bere	bˈɛrə
Popnas	pˈopnas
Margarana	mˌarɡarˈana
aspal	ˈaspal
habbatussauda	hˌabbatusˈa͡ʊda
lanjutkan	land͡ʒˈutkan
ditapaki	dˌitapˈaki
Seusai	səˈusa͡ɪ
sudirman	sudˈirman
rebah	rˈɛbah
intelektualnya	ˌintəlˌɛktuˈalɲa
rangkanya	raŋkˈaɲa
SOGO	sˈoɡo
Muridnya	murˈidɲa
namaku	namˈaku
graffiti	ɡrafˈiti
Insang	ˈinsaŋ
Ketakwaan	kətakwˈaan
penghiburan	pəŋhibˈuran
Marussia	mˌarusˈia
awas	ˈawas
membahasnya	məmbahˈasɲa
IPhone	ˈifˈonə
hinterland	hintˈɛrland
Tuttosport	tuttˈospɔrt
mamak	mˈamak
kapulaga	kˌapulˈaɡa
terkecuali	tərkˌɛt͡ʃuˈali
acc	ˈat͡ʃt͡ʃ
Kincir	kˈint͡ʃir
Kasubid	kasˈubid
Kekakuan	kəkakˈuan
Pagerwesi	pˌaɡərwˈɛsi
Evangelisasi	ˌɛvaŋˌɛlisˈasi
Elia	əlˈia
melemparnya	mələmpˈarɲa
Indonesian	ˌindonəsˈian
persalinannya	pərsˌalinˈanɲa
menempatinya	mənˌɛmpatˈiɲa
Mendalami	məndalˈami
korset	kˈɔrsət
lantunan	lantˈunan
Turkish	tˈurkish
Sapudi	sapˈudi
bernegara	bərnəɡˈara
Pad	pˈad
maysir	mˈajsir
Kakawin	kakˈawin
endurance	ˌɛndurˈant͡ʃə
Mutif	mˈutif
Chicken	χˈit͡ʃkən
multinasional	mˌultinˌasiˈonal
Abah	ˈabah
Senin	sˈɛnin
Banleg	bˈanləɡ
Bidara	bidˈara
Gisele	ɡisˈɛlə
kenyamanannya	kəɲˌamanˈanɲa
STKIP	stkˈip
PTKIN	ptkˈin
membeberkannya	məmbˌɛbərkˈanɲa
cipanas	t͡ʃipˈanas
koyo	kˈojo
CloudIndonesiA	t͡ʃlˈoudˌindonˈɛsiˈa
mencakupi	mənt͡ʃakˈupi
berduaan	bˌɛrduˈaan
Sanksinya	sanksˈiɲa
actions	at͡ʃtˈions
Folat	fˈolat
integer	intˈɛɡər
ramainya	ramˈa͡ɪɲa
bergantian	bərɡantˈian
Roar	rˈoar
difusi	difˈusi
lalunya	lalˈuɲa
mengulang	məŋˈulaŋ
Knoppix	knˈopiks
Beroperasinya	bərˌopərasˈiɲa
Mauricio	mˌa͡ʊrit͡ʃˈio
Extract	ˈɛkstrat͡ʃt
Dinda	dˈinda
Pengetikan	pəŋətˈikan
Ukur	ˈukur
Munawaroh	mˌunawˈaroh
computing	t͡ʃompˈutiŋ
Saban	sˈaban
iBT	ˈibˌetˈe
AAUI	aa͡ʊi
arsen	ˈarsən
menjalin	mənd͡ʒˈalin
FAH	fˈah
Ketuanya	kətuˈaɲa
Rawan	rˈawan
Iringan	irˈiŋan
essential	ˌɛsəntˈial
TQ	tˌekˈi
Dear	dˈɛar
SSID	sˈid
Kupat	kˈupat
Ransel	rˈansəl
Supermall	supˈɛrmal
Mandul	mˈandul
OSPEK	ˈospək
APU	ˈapu
tonik	tˈonik
lahiran	lahˈiran
cungkup	t͡ʃˈuŋkup
Islamikah	ˌislamˈikah
muskuloskeletal	mˌuskulˌoskəlˈɛtal
Nashiruddin	nˌashirˈuddin
ganesha	ɡanˈɛsha
kerinduan	kərindˈuan
artistik	artˈistik
employer	əmplˈojər
hongkong	hˈoŋkoŋ
contek	t͡ʃˈontək
Pencahayaan	pənt͡ʃˌahajˈaan
pneumoniae	pnˌɛumˌoniˈaə
Dhia	dhˈia
memperjualbelikan	məmpərd͡ʒˌualbəlˈikan
Danareksa	dˌanarˈɛksa
Parmusi	parmˈusi
Banda	bˈanda
Thomas	thˈomas
depkes	dˈɛpkəs
seruling	sərˈuliŋ
Flea	flˈɛa
Supriyanto	sˌuprijˈanto
filologi	fˌilolˈoɡi
sever	sˈɛvər
Terengganu	tərəŋɡˈanu
Supercar	supˈɛrt͡ʃar
QE	kˈɛ
BLITAR	blˈitar
Perhentian	pərhəntˈian
Capitol	t͡ʃapˈitol
Daming	dˈamiŋ
Motorbeam	mˌotɔrbˈɛam
Hamba	hˈamba
jegal	d͡ʒˈɛɡal
jatuhan	d͡ʒatˈuhan
Chinatown	χinˈatown
BANTEN	bˈantən
direset	dirˈɛsət
Kebagusan	kəbaɡˈusan
LPSDKP	ˌɛlpˌeəsdˌekˌapˈe
Puseh	pˈusəh
penghambatan	pəŋhambˈatan
tetapkanlah	tˌɛtapkˈanlah
SonicMaster	sˈonit͡ʃmˈastər
kerna	kˈɛrna
Uighur	uˈiɡhur
Diana	diˈana
Cope	t͡ʃˈopə
meradang	mərˈadaŋ
Kena	kənˈa
ananda	anˈanda
dikucurkan	dˌikut͡ʃˈurkan
Parindu	parˈindu
Welfare	wəlfˈarə
Pujawan	pud͡ʒˈawan
sempel	sˈɛmpəl
Joetata	d͡ʒutˈata
stereotype	stˌɛrəˈotjpə
maisir	mˈa͡ɪsir
teknologi	tˌɛknolˈoɡi
try	trj
kencangnya	kənt͡ʃˈaŋɲa
USM	ˈusm
Americana	ˌamərit͡ʃˈana
sumo	sˈumo
hiburannya	hˌiburˈanɲa
mengelupas	məŋəlˈupas
Paradox	parˈadoks
depok	dˈɛpok
Indoensia	ˌindunsˈia
Fia	fˈia
nawarin	nawˈarin
cianjur	t͡ʃiˈand͡ʒur
Jabrix	d͡ʒˈabriks
line	lˈinə
AAJI	aˈad͡ʒi
ZenUI	zˈɛnˈui
ekaristi	ˌɛkarˈisti
Lewandowski	lˌɛwandˈowski
kerumunan	kərumˈunan
Renee	rənˈɛə
Mumi	mˈumi
diamalkan	dˌiamˈalkan
Strength	strˈɛŋth
Reo	rˈɛo
Meriahkan	məriˈahkan
penggoda	pəŋɡˈoda
Bajra	bˈad͡ʒra
rak	rˈak
FZ	ˌɛfzˈɛt
pillow	pˈilow
Mississippi	mˌisisˈipi
Sistemnya	sistˈɛmɲa
napa	nˈapa
berdampak	bərdˈampak
ISON	ˈison
kini	kˈini
semboyannya	səmbojˈanɲa
flowchart	flˈowχart
wisatakita	wˌisatakˈita
hiperaktivitas	hˌipərˌaktivˈitas
Crayon	t͡ʃrˈajon
Terhangat	tərhˈaŋat
berkat	bˈɛrkat
diprediksi	dˌiprədˈiksi
XXV	dˈuapˌuluhlˈima
Disosnaker	dˌisosnˈakər
Francesco	frant͡ʃˈɛst͡ʃo
Merauke	mərˈa͡ʊkə
menghidangkan	məŋhidˈaŋkan
naker	nˈakər
County	t͡ʃˈountj
pembebasan	pəmbəbˈasan
dipertajam	dˌipərtˈad͡ʒam
Laily	lˈa͡ɪlj
prinsip	prˈinsip
Monty	mˈontj
Untaian	untˈa͡ɪan
Walaupun	walˈa͡ʊpun
Nurjaman	nurd͡ʒˈaman
neoklasik	nˌɛoklˈasik
pariwisatanya	pˌariwˌisatˈaɲa
Kakeknya	kakˈɛkɲa
Noordin	noɔrdin
makin	mˈakin
sedot	sˈɛdot
heterogen	hˌɛtərˈoɡən
perairan	pərˈa͡ɪran
Kesungguhan	kəsuŋɡˈuhan
dibujuk	dibˈud͡ʒuk
Sriyanto	srijˈanto
Persema	pərsˈɛma
memperingan	məmpərˈiŋan
ATA	ˈata
ejakulasi	ˌɛd͡ʒakulˈasi
Unknown	ˈunknown
Ranah	rˈanah
pledoi	plədˈoi
terios	tərˈios
gravity	ɡrˈavitj
soap	sˈoap
segmennya	səɡmˈɛnɲa
lensa	lˈɛnsa
mm	ˌɛmˈɛm
bombardir	bombˈardir
Fix	fˈiks
Dibangunnya	dˌibaŋˈunɲa
dipantulkan	dˌipantˈulkan
Rau	rˈa͡ʊ
pematang	pəmˈataŋ
Sutjipto	sut͡ʃˈipto
LSR	ˌɛlˌɛsˈɛr
Shakhtar	shˈaxtar
tercinta	tərt͡ʃˈinta
cube	t͡ʃˈubə
File	fˈilə
Sunderland	sundˈɛrland
memaafkannya	məmˌaafkˈanɲa
Krimea	krimˈɛa
Abbiati	ˌabbiˈati
sembuh	sˈɛmbuh
Hole	hˈolə
pauk	pˈa͡ʊk
angkut	ˈaŋkut
Happening	hapˈɛniŋ
Crustacea	t͡ʃrˌustat͡ʃˈɛa
susana	susˈana
Bedasarkan	bədasˈarkan
perkataanku	pərkˌataˈanku
tetang	tˈɛtaŋ
FSR	ˌɛfˌɛsˈɛr
caesar	t͡ʃaˈɛsar
duplex	dˈupləks
elf	ˈɛlf
JYP	d͡ʒjp
Sanggaluri	sˌaŋɡalˈuri
Toksisitas	tˌoksisˈitas
Seleky	səlˈɛkj
trapezoidal	trˌapəzoˈidal
Maid	mˈa͡ɪd
Zuniga	zunˈiɡa
minister	minˈistər
Ajen	ˈad͡ʒən
Hore	hˈɔrə
Metallica	mətalˈit͡ʃa
Hanifah	hanˈifah
Hipotesa	hˌipotˈɛsa
lamina	lamˈina
Desti	dˈɛsti
mendatang	məndˈataŋ
perakaran	pərakˈaran
KASIH	kˈasih
nirlaba	nirlˈaba
pmii	pmˈii
selo	sˈɛlo
Windia	windˈia
kriting	krˈitiŋ
Hours	hˈours
Cane	t͡ʃˈanə
dikarantina	dˌikarantˈina
Tanjungrejo	tˌand͡ʒuŋrˈɛd͡ʒo
Dwight	dwˈiɡht
venues	vənˈuəs
Ogawa	oɡˈawa
goncangan	ɡont͡ʃˈaŋan
melipatgandakan	məlˌipatɡandˈakan
menjenguknya	mənd͡ʒəŋˈukɲa
Panduan	pandˈuan
ammonia	ˌammonˈia
IAD	ˈiad
Rachim	rˈaχim
Koto	kˈoto
Digantikan	dˌiɡantˈikan
Monitor	monˈitɔr
PROTON	prˈoton
peluit	pəlˈuit
Gambir	ɡˈambir
aster	ˈastər
Opteron	optˈɛron
KABUPATEN	kˌabupˈatən
pbb	pˌebˌebˈe
Pembaca	pəmbˈat͡ʃa
Greco	ɡrˈɛt͡ʃo
Macam	mˈat͡ʃam
KOI	kˈoi
sandal	sˈandal
melangsingkan	məlaŋsˈiŋkan
meminati	məminˈati
Sujud	sˈud͡ʒud
perekonomian	pərˌɛkonomˈian
Networks	nˈɛtwɔrks
merajalelanya	mərˌad͡ʒaləlˈaɲa
Province	provˈint͡ʃə
BISA	bˈisa
sepanjang	səpˈand͡ʒaŋ
deskripsikan	dˌɛskripsˈikan
Wetar	wˈɛtar
Taraf	tˈaraf
Pantang	pˈantaŋ
Champagne	χampˈaɡnə
Yasodhara	jˌasodhˈara
overload	ˌovərlˈoad
Fragmen	frˈaɡmən
Penyelesaian	pəɲˌɛləsˈa͡ɪan
NME	nmˈɛ
Borang	bˈɔraŋ
diperolah	dˌipərˈolah
semprotan	səmprˈotan
Cijantung	t͡ʃid͡ʒˈantuŋ
halal	hˈalal
penyiram	pəɲˈiram
simpatisannya	sˌimpatisˈanɲa
Vincentia	vˌint͡ʃəntˈia
Remove	rəmˈovə
pendulang	pəndˈulaŋ
Ironis	irˈonis
Artana	artˈana
nereka	nərˈɛka
kumpulkan	kumpˈulkan
Viking	vˈikiŋ
timbul	tˈimbul
Cikedung	t͡ʃikˈɛduŋ
logging	lˈoɡɡiŋ
matador	matˈadɔr
Palapia	pˌalapˈia
konyolnya	koɲˈolɲa
Jend	d͡ʒˈɛnd
tees	tˈɛəs
ditenggarai	dˌitəŋɡˈara͡ɪ
doble	dˈoblə
menempa	mənˈɛmpa
Sukamandi	sˌukamˈandi
ektoparasit	ˌɛktoparˈasit
menyiksa	məɲˈiksa
FKIK	fkˈik
Nunggu	nˈuŋɡu
paying	pˈajiŋ
salju	sˈald͡ʒu
nanging	nˈaŋiŋ
Muridan	murˈidan
dikali	dikˈali
mengejek	məŋˈɛd͡ʒək
fall	fˈal
ket	kˈɛt
diorganisir	dˌiɔrɡanˈisir
kotrimoksazol	kˌotrimoksˈazol
vagina	vaɡˈina
Input	ˈinput
marut	mˈarut
Milton	mˈilton
Izzy	ˈizzj
INKA	ˈinka
BlogThis	blˈoɡthˈis
turban	tˈurban
Today	tˈodaj
ending	ˈɛndiŋ
paripurna	pˌaripˈurna
Disadur	disˈadur
mempersenjatai	məmpərsənd͡ʒˈata͡ɪ
Modular	modˈular
backward	bˈat͡ʃkward
maghrib	mˈaɡhrib
Redaksi	rədˈaksi
cabotage	t͡ʃˌabotˈaɡə
marun	mˈarun
cuku	t͡ʃˈuku
menggilas	məŋɡˈilas
cetar	t͡ʃˈɛtar
setir	sˈɛtir
sesinya	səsˈiɲa
Jamkesus	d͡ʒamkˈɛsus
abatasa	ˌabatˈasa
ketidaktepatan	kətˌidaktəpˈatan
kaisar	kˈa͡ɪsar
pengunjungnya	pəŋund͡ʒˈuŋɲa
pepino	pəpˈino
mandikan	mandˈikan
Pajangan	pad͡ʒˈaŋan
pengumumannya	pəŋˌumumˈanɲa
Tiki	tˈiki
atupun	atˈupun
AKRA	ˈakra
Selisih	səlˈisih
ngeband	ŋˈɛband
Ketan	kˈɛtan
RSH	ˌɛrˌɛshˈa
penontonnya	pənontˈonɲa
bertumbuh	bərtˈumbuh
Shanghai	shˈaŋha͡ɪ
kebangsaannya	kəbˌaŋsaˈanɲa
memperuncing	məmpərˈunt͡ʃiŋ
BRS	bˌeərˈɛs
mensterilkan	mənstərˈilkan
pengangkutan	pəŋaŋkˈutan
kodok	kˈodok
Sungguhpun	suŋɡˈuhpun
VNT	fˌeəntˈe
Sense	sˈɛnsə
dian	dˈian
berhubung	bərhˈubuŋ
Selatpanjang	səlatpˈand͡ʒaŋ
punca	pˈunt͡ʃa
Damsyik	dˈamçik
memelopori	məmˌɛlopˈɔri
Wonoayu	wˌonoˈaju
bekal	bˈɛkal
inputnya	inpˈutɲa
tujuannya	tˌud͡ʒuˈanɲa
penyetaraan	pəɲˌɛtarˈaan
Appearance	ˌapəarˈant͡ʃə
bongsor	bˈoŋsɔr
oksida	oksˈida
ketidaksuburan	kətˌidaksubˈuran
Teteh	tˈɛtəh
Siakhulu	sˌiaxˈulu
Sayalah	sajˈalah
Karikatur	kˌarikˈatur
Marka	mˈarka
Handil	hˈandil
Athlon	ˈathlon
kabut	kˈabut
Konyolnya	koɲˈolɲa
extention	ˌɛkstəntˈion
Cortex	t͡ʃˈɔrtəks
KEDUA	kədˈua
Sedikit	sədˈikit
trilyun	trˈiljun
abangnya	abˈaŋɲa
Terungkap	tərˈuŋkap
krecek	krˈɛt͡ʃək
Mirawati	mˌirawˈati
Irwandi	irwˈandi
pengennya	pəŋˈɛnɲa
SGS	ˌɛsɡˌeəs
enemy	ˈɛnəmj
Oey	ˈuj
Efesiensi	ˌɛfəsˈinsi
suguhi	suɡˈuhi
redaksi	rədˈaksi
implementasinya	ˌimpləmˌɛntasˈiɲa
Bebi	bˈɛbi
highlight	hˈiɡhliɡht
BENAR	bənˈar
Sofian	sofˈian
Pembobolan	pəmbobˈolan
Jejaring	d͡ʒəd͡ʒˈariŋ
Main	mˈa͡ɪn
Las	lˈas
Rifa	rˈifa
HGH	hˌaɡˌehˈa
didapatnya	dˌidapˈatɲa
MDM	ˌɛmdˌeəm
Sugito	suɡˈito
Shoes	shˈus
Recep	rˈɛt͡ʃəp
umara	umˈara
Empedu	əmpˈɛdu
Sudin	sˈudin
Review	rˈɛviw
Schneider	sχnəˈidər
Sagi	sˈaɡi
Maladewa	mˌaladˈɛwa
TIME	tˈimə
Teenage	tˌɛənˈaɡə
Divo	dˈivo
rahmatullahi	rˌahmatulˈahi
Michels	mˈiχəls
supervision	sˌupərvisˈion
Mukaromah	mˌukarˈomah
Tat	tˈat
Materinya	mˌatərˈiɲa
Komplain	kˈompla͡ɪn
menjual	mənd͡ʒˈual
UNTAR	ˈuntar
Terjadinya	tərd͡ʒadˈiɲa
segelintir	səɡəlˈintir
kerasulan	kərasˈulan
cacahan	t͡ʃat͡ʃˈahan
kusut	kˈusut
Roberto	robˈɛrto
Perbesar	pərbˈɛsar
Karangmojo	kˌaraŋmˈod͡ʒo
TEP	tˈɛp
Tjen	t͡ʃˈɛn
Mardiono	mˌardiˈono
tagline	taɡlˈinə
keangkuhan	kəaŋkˈuhan
Arnold	ˈarnold
dailymail	dˈa͡ɪljma͡ɪl
daycare	dajt͡ʃˈarə
sepanduk	səpˈanduk
Bonusnya	bonˈusɲa
Sundulan	sundˈulan
Hangatnya	haŋˈatɲa
Lobar	lˈobar
kebiadaban	kəbˌiadˈaban
Anywhere	aɲwhˈɛrə
jkt	d͡ʒˌekˌatˈe
Gareng	ɡˈarəŋ
ditutupnya	dˌitutˈupɲa
Rumi	rˈumi
Tersulut	tərsˈulut
Retakan	rətˈakan
litter	lˈittər
technopreneur	tˌɛχnoprənˈɛur
Setyaningsih	sətjanˈiŋsih
Muzakir	muzˈakir
parade	parˈadə
memercayakan	məmˌɛrt͡ʃajˈakan
transportation	trˌanspɔrtatˈion
diresmikan	dˌirəsmˈikan
Php	pˌehˌapˈe
Samanera	sˌamanˈɛra
Legong	lˈɛɡoŋ
biota	biˈota
lalapan	lalˈapan
tracker	trˈat͡ʃkər
Poldasu	poldˈasu
lestarikan	lˌɛstarˈikan
properti	propˈɛrti
Beer	bˈɛər
Interscience	ˌintərst͡ʃˈint͡ʃə
Theater	thəˈatər
Cosmo	t͡ʃˈosmo
tampakkan	tampˈakkan
dibekukan	dˌibəkˈukan
Larung	lˈaruŋ
SPORT	spˈɔrt
curahkan	t͡ʃurˈahkan
Waterloo	wˌatərlˈoo
dibanding	dibˈandiŋ
kabelnya	kabˈɛlɲa
dikukus	dikˈukus
Internacional	ˌintərnˌat͡ʃiˈonal
dropdown	drˈopdown
Turismo	turˈismo
elver	ˈɛlvər
mengoperasikan	məŋˌopərasˈikan
Kokom	kˈokom
leptin	lˈɛptin
stuntman	stˈuntman
Asyraf	ˈaçraf
Asy	ˈaç
Tibo	tˈibo
pintarnya	pintˈarɲa
factors	fˈat͡ʃtɔrs
JAFEB	d͡ʒˈafəb
vokalnya	vokˈalɲa
Tawaran	tawˈaran
berjejaring	bərd͡ʒəd͡ʒˈariŋ
matik	mˈatik
engkel	ˈɛŋkəl
Mamluk	mˈamluk
mufrad	mˈufrad
papa	pˈapa
senior	sənˈiɔr
evapotranspirasi	ˌɛvapˌotranspirˈasi
dependensi	dˌɛpəndˈɛnsi
ilmuan	ilmˈuan
Gambaran	ɡambˈaran
Flood	flˈood
ESC	ˈɛst͡ʃ
Dipilih	dipˈilih
Susianto	sˌusiˈanto
kappa	kˈapa
girl	ɡˈirl
diperkokoh	dˌipərkˈokoh
Terry	tˈɛrrj
dies	dˈis
Peredam	pərˈɛdam
dipolitisasi	dˌipolˌitisˈasi
baluran	balˈuran
menghitam	məŋhˈitam
dikarenakan	dˌikarənˈakan
AAD	ˈaad
Dina	dˈina
didokumentasi	dˌidokˌuməntˈasi
Gaun	ɡˈa͡ʊn
kei	kˈɛi
keatas	kəˈatas
Kay	kˈaj
Runners	rˈunnərs
resistant	rəsˈistant
Kurban	kˈurban
Kromosom	kromˈosom
Milikmu	milˈikmu
menunjukkan	mənund͡ʒˈukkan
kejumudan	kəd͡ʒumˈudan
wistawan	wistˈawan
Benarlah	bənˈarlah
Fall	fˈal
menyimpan	məɲˈimpan
Loloan	lolˈoan
kewaspadaan	kəwˌaspadˈaan
Human	hˈuman
berapakah	bərapˈakah
mengusir	məŋˈusir
terbentuklah	tərbəntˈuklah
oksidatif	ˌoksidˈatif
kolaborasinya	kˌolabˌɔrasˈiɲa
ditabrak	ditˈabrak
konservatisma	kˌonsərvatˈisma
cd	t͡ʃˌedˈe
TPPU	tpˈu
demarkasi	dˌɛmarkˈasi
url	ˈurl
Kewanitaan	kəwˌanitˈaan
positifnya	pˌositˈifɲa
Pasha	pˈasha
menyeragamkan	məɲˌɛraɡˈamkan
Bocor	bˈot͡ʃɔr
dikepang	dikˈɛpaŋ
Kependidikan	kəpˌɛndidˈikan
SSos	ˈɛssˈos
paskibra	paskˈibra
quran	kwrˈan
Ats	ˈats
Rifelly	rˈifəlj
ketidakmerataan	kətˌidakmˌɛratˈaan
KPOP	kpˈop
Yuniarto	jˌuniˈarto
magang	mˈaɡaŋ
Muhadjir	muhˈad͡ʒir
kekhilafan	kəxilˈafan
pokonya	pokˈoɲa
kuncinya	kunt͡ʃˈiɲa
turunkanlah	tˌurunkˈanlah
dibesarkan	dˌibəsˈarkan
ELOHIM	əlˈohim
Rahman	rˈahman
Peroleh	pərˈoləh
Arnoud	arnˈoud
perioda	pəriˈoda
sinterklas	sintˈɛrklas
perfusi	pərfˈusi
Braman	brˈaman
Lay	lˈaj
otobiografinya	ˌotobˌioɡrafˈiɲa
Perhitungan	pərhitˈuŋan
Incoming	int͡ʃˈomiŋ
Aaker	aˈakər
PATPI	pˈatpi
Exhibition	ˌɛkshibitˈion
munajat	munˈad͡ʒat
Panakkukang	pˌanakkˈukaŋ
masing	mˈasiŋ
Slims	slˈims
Deklarasi	dˌɛklarˈasi
usil	ˈusil
Modul	mˈodul
Boot	bˈoot
Hanoi	hanˈoi
Minal	mˈinal
bangga	bˈaŋɡa
Balistik	balˈistik
musyrik	mˈuçrik
Zaldi	zˈaldi
pembalakan	pəmbalˈakan
Judulnya	d͡ʒudˈulɲa
kuburan	kubˈuran
videografi	vˌidəoɡrˈafi
Affandi	afˈandi
agent	ˈaɡənt
Petapa	pətˈapa
Dihimbau	dihˈimba͡ʊ
AdminEditor	ˈadminədˈitɔr
Padukuhan	pˌadukˈuhan
memanage	məmanˈaɡə
Kedaulatan	kəda͡ʊlˈatan
Dikontrakkan	dˌikontrˈakkan
SMA	smˈa
PDSP	pˌedˌeəspˈe
Pandangannya	pˌandaŋˈanɲa
Fortis	fˈɔrtis
PSII	psˈii
membunuh	məmbˈunuh
Hardjadinata	hˌard͡ʒadinˈata
FPS	ˌɛfpˌeəs
poll	pˈol
Dikelilingi	dˌikəlilˈiŋi
kekanan	kəkˈanan
plan	plˈan
BOK	bˈok
Umbul	ˈumbul
Bulakamba	bˌulakˈamba
Summer	sˈummər
endotel	əndˈotəl
Inyong	ˈiɲoŋ
Purworejo	pˌurwɔrˈɛd͡ʒo
Crunch	t͡ʃrˈunχ
Malinda	malˈinda
Magnetic	maɡnˈɛtit͡ʃ
minimalkan	mˌinimˈalkan
wudlu	wˈudlu
menua	mənˈua
Pretest	prˈɛtəst
kosambi	kosˈambi
Sangat	sˈaŋat
Geometry	ɡəˈomətrj
Surbakti	surbˈakti
Illallah	ilˈalah
Persembahan	pərsəmbˈahan
rambu	rˈambu
beristirahat	bərˌistirˈahat
gigitan	ɡiɡˈitan
diacara	dˌiat͡ʃˈara
berdesakan	bərdəsˈakan
bintik	bˈintik
gigawatt	ɡiɡˈawatt
Rosso	rˈoso
kriptokokus	krˌiptokˈokus
kesusasteraan	kəsˌusastərˈaan
nun	nˈun
Wadjdy	wˈad͡ʒdj
penempatan	pənəmpˈatan
kunyah	kˈuɲah
membuncah	məmbˈunt͡ʃah
zonasi	zonˈasi
Sabil	sˈabil
bar	bˈar
PSKK	pˌeəskˌakˈa
Suharyono	sˌuharjˈono
Mio	mˈio
Ozawa	ozˈawa
uduk	ˈuduk
pekembangan	pəkəmbˈaŋan
diujung	diˈud͡ʒuŋ
Renaissance	rˌɛna͡ɪsˈant͡ʃə
kemendagri	kəməndˈaɡri
Parwez	pˈarwəz
Pinang	pˈinaŋ
Khazraj	xˈazrad͡ʒ
loan	lˈoan
incest	ˈint͡ʃəst
Perdanakusuma	pərdˌanakusˈuma
Kodew	kˈodəw
Umami	umˈami
pemeraman	pəmərˈaman
SANAA	sanˈaa
Semai	sˈɛma͡ɪ
Jasper	d͡ʒˈaspər
player	plˈajər
kejantanan	kəd͡ʒantˈanan
sweater	swəˈatər
Gundam	ɡˈundam
koki	kˈoki
buprenorfin	bˌuprənˈɔrfin
desus	dˈɛsus
Telpon	təlpˈon
Bervariasi	bərvˌariˈasi
direplikasi	dˌirəplikˈasi
memilihnya	məmilˈihɲa
patner	pˈatnər
Sudjojono	sˌud͡ʒod͡ʒˈono
menyewakan	məɲəwˈakan
Pariwisata	pˌariwisˈata
tamanan	tamˈanan
bsk	bˌeəskˈa
sipilis	sipˈilis
Tunggak	tˈuŋɡak
Tanggap	tˈaŋɡap
pke	pkˈɛ
buklet	bˈuklət
Hammers	hˈammərs
Rinca	rˈint͡ʃa
favoritku	fˌavɔrˈitku
Bhirawa	bhirˈawa
