ସହଯୋଗୀ	sɔhɔd͡ʒogi
ପ୍ରତିପତ୍ତି	pɾɔt̪ipɔt̪t̪i
ଇତ୍ୟାଦି	it̪jaːd̪i
ଶୁଙ୍ଘିବାକୁ	suŋgʰibaːku
ପିଲାଟିଏ	pilaːʈie
ଘେରି	gʰeri
ପ୍ରତିକୃତି	pɾɔt̪ikrut̪i
ତାଙ୍କୁ	t̪aːŋku
କଠିନ	kɔʈʰinɔ
ସଙ୍କେତ	sɔŋket̪ɔ
ପକାଇଲେ	pɔkaːile
ଉଦୟ	ud̪ɔjɔ
ପାଇଲିନି	paːilini
ଶୁଣିବ	suɳibɔ
ପାର	paːɾɔ
ଆକବର	aːkɔbɔɾɔ
ଡରୁ	ɖɔru
ଭାଗ	bʱaːɡɔ
ଝୁଲୁଥାଅ	d͡ʒʱulut̪ʰaːɔ
ଦୈନିକ	d̪ɔinikɔ
ମୂଲ୍ୟ	muljɔ
ନେତା	net̪aː
ଉତ୍ତର	ut̪t̪ɔɾɔ
ଘୁଞ୍ଚିବା	gʰuɲt͡ʃibaː
ଗମନାଗମନ	ɡɔmɔnaːɡɔmɔnɔ
ବେଲ୍‌	bel
ତୁଳା	t̪ul̪aː
ଜଳବାୟୁରେ	d͡ʒɔl̪ɔbaːjure
କାଦୁଅ	kaːd̪uɔ
ଦେଲା	d̪elaː
ସମୀରାକୁ	sɔmiraːku
କଷୁଥିଲା	kɔsut̪ʰilaː
ହୋଇଥିବାରୁ	hoit̪ʰibaːru
ମାହାତ୍ମାଗାନ୍ଧୀଙ୍କ	maːhaːt̪maːgaːnd̪ʱiŋkɔ
ଟାଙ୍ଗୁ	ʈaːŋgu
ବାଜାଟି	baːd͡ʒaːʈi
ନାଟ୍ୟକାର	naːʈjɔkaːɾɔ
ଆସିଲେ	aːsile
ହଲାଉ	hɔlaːu
ଗର୍ତ୍ତ	ɡɔrt̪t̪ɔ
କଣ୍ଠରେ	kɔɳʈʰɔre
ଗ୍ରୀକ	grikɔ
ପିନ୍ଧିବି	pind̪ʱibi
ସେପାଖରୁ	sepaːkʰɔru
ଜ୍ଵର	d͡ʒuɔɾɔ
ଚାମଚରେ	t͡ʃaːmɔt͡ʃɔre
ବହୁମୂଲ୍ୟ	bɔhumuljɔ
ସେଇକଥା	seikɔt̪ʰaː
ଛୁଆ	t͡ʃʰuaː
ପେପେକୁ	pepeku
ଚନ୍ଦ୍ରଶେଖର	t͡ʃɔnd̪ɾɔsekʰɔɾɔ
ଶାଗ	saːɡɔ
ରହୁଥିବା	ɾɔhut̪ʰibaː
ଜରୁରି	d͡ʒɔruri
ପାଞ୍ଜି	paːɲd͡ʒi
ବିଦ୍ୟା	bid̪jaː
ଚାଲାକ୍	t͡ʃaːlaːk
ଝରକାରେ	d͡ʒʱɔɾɔkaːre
ଭାବି	bʱaːbi
ଦରଜି	d̪ɔɾɔd͡ʒi
ଅଛି	ɔt͡ʃʰi
ବାଃ	baːh
ଶିକ୍ଷିତା	sikʰit̪aː
ନେଇଯାନ୍ତି	neid͡ʒaːnt̪i
ଆପଣଙ୍କ	aːpɔɳɔŋkɔ
ନିୟମିତ	nijɔmit̪ɔ
ଅର୍ଥନୀତି	ɔrt̪ʰɔnit̪i
ବିନି	bini
ମଇଳ	mɔil̪ɔ
ଦଉଡି	d̪ɔuɖi
ମୋଡ଼ି	moɽi
ପ୍ରଫେସର	pɾɔpʰesɔɾɔ
ବିଶ୍ଵର	bisuɔɾɔ
ଦରକାରୀ	d̪ɔɾɔkaːri
ଆପଣାଇ	aːpɔɳaːi
ରାବୁଥିଲେ	raːbut̪ʰile
ବୁଲୁଥିଲା	bulut̪ʰilaː
ବାଇଗଣୀ	baːiɡɔɳi
ବିଷୟରେ	bisɔjɔre
ଘୁଡୁ	gʰuɖu
ଉଠୁଥିବା	uʈʰut̪ʰibaː
ପିମ୍ପୁଡ଼ିମାନେ	pimpuɽimaːne
ମାରୁଥିଲା	maːrut̪ʰilaː
ପକ୍ଷରୁ	pɔkʰjɔru
ଦୋକାନରୁ	d̪okaːnɔru
ବୈଧ	bɔid̪ʱɔ
ମାସର	maːsɔɾɔ
ରହିଥିଲେ	ɾɔhit̪ʰile
ପରିମାଣ	pɔrimaːɳɔ
ଦରଜୀ	d̪ɔɾɔd͡ʒi
ରୋଗରେ	roɡɔre
ଓଃ	oh
ଟେଲିଭିଜନ	ʈelibʱid͡ʒɔnɔ
ରହିବା	ɾɔhibaː
ହା	haː
ଯକୃତ	d͡ʒɔkrut̪ɔ
ବନେଇବା	bɔneibaː
କହିଥାନ୍ତି	kɔhit̪ʰaːnt̪i
ସଙ୍ଗୀତ	sɔŋgit̪ɔ
ଗିରଫ୍	giɾɔpʰ
ତୁଳୀ	t̪ul̪i
ବେଳକି	bel̪ɔki
ସଂସ୍କରଣ	sɔŋskɔɾɔɳɔ
ଦମ୍ଭରେ	d̪ɔmbʰɔre
ସମ୍ରାଟଙ୍କୁ	sɔmraːʈɔŋku
ପକାଏ	pɔkaːe
ପୁରାଯାଉଛି	puraːd͡ʒaːut͡ʃʰi
କଇଁଫୁଲରେ	kɔĩpʰulɔre
ଟିମି	ʈimi
ଭଲଭାବେ	bʰɔlɔbʱaːbe
ଚଢ଼ି	t͡ʃɔɽʱi
ସଂକ୍ରମିତ	sɔŋkɾɔmit̪ɔ
ସଭାପତି	sɔbʱaːpɔt̪i
ମିଳିଛି	mil̪it͡ʃʰi
ଫହୁ	pʰɔhu
ଗୋଟେ	goʈe
ଧୈର୍ଯ୍ୟର	d̪ʱɔird͡ʒjɔɾɔ
ଦେଲି	d̪eli
ମିଶାଇ	misaːi
ଯାଉ	d͡ʒaːu
ହୁକୁମ	hukumɔ
ଖଞ୍ଜିବା	kʰɔɲd͡ʒibaː
ସଂସ୍କୃତ	sɔŋskrut̪ɔ
ଗଛକୁ	ɡɔt͡ʃʰɔku
ପୃଷ୍ଠାଗୁଡ଼ିକ	prusʈʰaːguɽikɔ
ଠିକ	ʈʰikɔ
ବେଶ	besɔ
ଥକିଗଲା	t̪ʰɔkiɡɔlaː
ଯାବୁଡ଼ି	d͡ʒaːbuɽi
ଫେବୃଆରିର	pʰebruaːriɾɔ
ବୃନ୍ଦାବନ	brund̪aːbɔnɔ
ଅସିଗଲା	ɔsiɡɔlaː
ମୁଖି	mukʰi
ଫୋପାଡ଼ି	pʰopaːɽi
ସୁଯୋଗ	sud͡ʒoɡɔ
ନିଜଉପରେ	nid͡ʒɔupɔre
ଆଣିଛି	aːɳit͡ʃʰi
ମାତ୍ରେ	maːt̪re
ପୁଷ୍ପ	puspɔ
ପାରି	paːri
ଚୂଲି	t͡ʃuli
ରାଜ୍ୟ	raːd͡ʒjɔ
ଟିଏ	ʈie
ଆସିଛନ୍ତି	aːsit͡ʃʰɔnt̪i
ପଡ଼େ	pɔɽe
ଉକ୍ତ	ukt̪ɔ
ଅଳିଆ	ɔl̪iaː
ଭଲରେ	bʰɔlɔre
ସୂର୍ଯ୍ୟଙ୍କ	surd͡ʒjɔŋkɔ
ପ୍ରଦାନ	pɾɔd̪aːnɔ
ପାଣିଗ୍ରାହୀ	paːɳigraːhi
ଡି	ɖi
ସୂତାକାଟି	sut̪aːkaːʈi
ଐତିହାସିକ	ɔit̪ihaːsikɔ
ବାସ	baːsɔ
ଛାତରୁ	t͡ʃʰaːt̪ɔru
ପାଖକୁ	paːkʰɔku
ଭାବୁଥିବା	bʱaːbut̪ʰibaː
ଗାଁ	gaː̃
ଅନୁଯାଇ	ɔnud͡ʒaːi
ବ୍ରତ	bɾɔt̪ɔ
ମସିହାର	mɔsihaːɾɔ
ପିନ୍ଧିଲୁ	pind̪ʱilu
ଗଣେଶ	ɡɔɳesɔ
ଚଲାନ୍ତି	t͡ʃɔlaːnt̪i
ଭକ୍ତି	bʰɔkt̪i
ରୁହ	ruhɔ
ଯାଏ	d͡ʒaːe
କଲେମଧ୍ୟ	kɔlemɔd̪ʱjɔ
ପ୍ରସଙ୍ଗ	pɾɔsɔŋɡɔ
ଆଗ୍ରହ	aːgɾɔhɔ
ସତର୍କ	sɔt̪ɔrkɔ
ସ୍ଵାମୀ	suaːmi
ମାଆ	maːaː
ପରମାଣୁ	pɔɾɔmaːɳu
କୀଟପତଙ୍ଗ	kiʈɔpɔt̪ɔŋɡɔ
ବାହାରିଲେ	baːhaːrile
ପାଚେରୀରେ	paːt͡ʃerire
ସମ୍ମାନିତ	sɔmmaːnit̪ɔ
ଡବା	ɖɔbaː
ମାଙ୍କଡ଼	maːŋkɔɽɔ
ସୁବିଧା	subid̪ʱaː
ସେଠାରେ	seʈʰaːre
ପିଲାମାନଙ୍କୁ	pilaːmaːnɔŋku
ଏମ୍	em
ସବୁବେଳେ	sɔbubel̪e
ସ୍ୱାଧୀନତା	suaːd̪ʱinɔt̪aː
ନାଚୁଥିବାର	naːt͡ʃut̪ʰibaːɾɔ
ପ୍ରତିରୋଧ	pɾɔt̪irod̪ʱɔ
ବାଜା	baːd͡ʒaː
ଶିକ୍ଷକ	sikʰjɔkɔ
ହିସାବରେ	hisaːbɔre
ଭେଟିବ	bʱeʈibɔ
ଦେ	d̪e
ସାହୁ	saːhu
କଳାଟା	kɔl̪aːʈaː
ସେଠୀ	seʈʰi
ପିଇଲା	piilaː
ଅଙ୍ଗରକ୍ଷକ	ɔŋɡɔɾɔkʰjɔkɔ
ଭଲପାନ୍ତି	bʰɔlɔpaːnt̪i
ପିଟି	piʈi
ଥିଲେ	t̪ʰile
ଝଡି	d͡ʒʱɔɖi
ହରି	hɔri
ପଞ୍ଚମୀ	pɔɲt͡ʃɔmi
କବିତା	kɔbit̪aː
ସମୟର	sɔmɔjɔɾɔ
ସ୍ୱତନ୍ତ୍ର	suɔt̪ɔnt̪ɾɔ
କଣ୍ଢେଇ	kɔɳɖʱei
ପତି	pɔt̪i
ଧିରେ	d̪ʱire
ହେଉଛି	heut͡ʃʰi
ରନ୍ଧାଶାଳ	ɾɔnd̪ʱaːsaːl̪ɔ
ଆପଣମାନେ	aːpɔɳɔmaːne
ଏତିକି	et̪iki
ଅଞ୍ଚଳ	ɔɲt͡ʃɔl̪ɔ
ରଥଯାତ୍ରା	ɾɔt̪ʰɔd͡ʒaːt̪raː
ଏଇଲେ	eile
ପୋଡନ୍ତି	poɖɔnt̪i
ନାଟ	naːʈɔ
ଚଳାଇ	t͡ʃɔl̪aːi
ଲଙ୍କା	lɔŋkaː
ସେତିକି	set̪iki
ଭାସିପାର	bʱaːsipaːɾɔ
ଭାବିବାକୁ	bʱaːbibaːku
ଗାଇଲା	gaːilaː
ମନୁଆର	mɔnuaːɾɔ
ଗୁଡ଼ିଏ	guɽie
ସମ୍ଭବ	sɔmbʰɔbɔ
ପ୍ରାର୍ଥନା	praːrt̪ʰɔnaː
ଭଗାଂଘର	bʰɔgaːŋɡʱɔɾɔ
ଅବା	ɔbaː
ଓଲଟା	olɔʈaː
ପଢ଼ୁଥିଲେ	pɔɽʱut̪ʰile
ଦେଶର	d̪esɔɾɔ
ବାଳକଣ	baːl̪ɔkɔɳɔ
ଶୋଇଛନ୍ତି	soit͡ʃʰɔnt̪i
ଘୁଞ୍ଚାଇଲେ	gʰuɲt͡ʃaːile
ବାକିଥିଲା	baːkit̪ʰilaː
ଯିବା	d͡ʒibaː
ଇଛା	it͡ʃʰaː
ପହଞ୍ଚି	pɔhɔɲt͡ʃi
ପ୍ରଦାହ	pɾɔd̪aːhɔ
ବନେଇ	bɔnei
ଆନନ୍ଦିତ	aːnɔnd̪it̪ɔ
ବିରୁଦ୍ଧରେ	birud̪d̪ʱɔre
ଦେଖାଯାନ୍ତି	d̪ekʰaːd͡ʒaːnt̪i
ପ୍ରାଦେଶିକ	praːd̪esikɔ
ସୁଜି	sud͡ʒi
ବିରକ୍ତ	biɾɔkt̪ɔ
ହାଏ	haːe
ଯୁବ	d͡ʒubɔ
ଦୋଷ	d̪osɔ
ଆଜିକାଲି	aːd͡ʒikaːli
କାଳ	kaːl̪ɔ
ପାରୁଛ	paːrut͡ʃʰɔ
ଉତ୍ତରକୁ	ut̪t̪ɔɾɔku
ଯୋଡ଼ିକ	d͡ʒoɽikɔ
ପୁରାପୁରି	puraːpuri
କ୍ରିୟା	krijaː
କାଢୁଛି	kaːɖʱut͡ʃʰi
ନିତାଇ	nit̪aːi
ଗୋଲୁ	golu
ମୁହଁକୁ	muhɔ̃ku
ଶୁଭା	subʱaː
ପରପୃଷ୍ଠା	pɔɾɔprusʈʰaː
ଅଙ୍କ	ɔŋkɔ
କାବା	kaːbaː
ବାହାରିଆସିବ	baːhaːriaːsibɔ
ପରୀକ୍ଷା	pɔrikʰjaː
ସୁଁ	sũ
ଅଧ୍ୟକ୍ଷ	ɔd̪ʱjɔkʰjɔ
ହାଡ଼	haːɖɔ,haːɽɔ
ପାନ	paːnɔ
ରଖି	ɾɔkʰi
ଜାଣିନଥିଲା	d͡ʒaːɳinɔt̪ʰilaː
ପଟିଟିଏ	pɔʈiʈie
ବସ୍ତୁ	bɔst̪u
ହୋଇଯାଉଥିଲା	hoid͡ʒaːut̪ʰilaː
ଯିବ	d͡ʒibɔ
ପାରିବୁ	paːribu
ଖୁଣ୍ଟରେ	kʰuɳʈɔre
ରୋଡ଼	roɖɔ
ବିଭୋର	bibʱoɾɔ
ଇବ୍ରାହିମ୍	ibraːhim
ପଟକୁ	pɔʈɔku
ମୂନିଆ	muniaː
ଏଃ	eh
ବଢ଼ିଯାଇଛି	bɔɽʱid͡ʒaːit͡ʃʰi
ଭାଜପା	bʱaːd͡ʒɔpaː
ଦୂରତା	d̪uɾɔt̪aː
ବହିଟେ	bɔhiʈe
ଗତିକୁ	ɡɔt̪iku
ପାରନ୍ତି	paːɾɔnt̪i
ଦେଖିବି	d̪ekʰibi
ବାଟି	baːʈi
ଜ୍ଞାନପୀଠ	d͡ʒɲaːnɔpiʈʰɔ
ଛୁଇଁ	t͡ʃʰuĩ
ଭୟଙ୍କର	bʰɔjɔŋkɔɾɔ
କୃଷି	krusi
ପୂର୍ବତନ	purbɔt̪ɔnɔ
ସମ୍ପନ୍ନ	sɔmpɔnnɔ
ଖାଇନୁ	kʰaːinu
ସାବରମତି	saːbɔɾɔmɔt̪i
ଇଙ୍ଗିତ	iŋgit̪ɔ
ଉଠେଇ	uʈʰei
କହିଲୁ	kɔhilu
ନିର୍ବାଚନମଣ୍ଡଳୀ	nirbaːt͡ʃɔnɔmɔɳɖɔl̪i
ସ୍ୱର୍ଗ	suɔrɡɔ
ଖାଉଛନ୍ତି	kʰaːut͡ʃʰɔnt̪i
କରିନି	kɔrini
ଘନ	ɡʱɔnɔ
ସ୍ୱାଗତ	suaːɡɔt̪ɔ
ଶାରଳା	saːɾɔl̪aː
ପ୍ରତିଭା	pɾɔt̪ibʱaː
ଆଫ୍ରିକୀୟ	aːpʰrikijɔ
ମହାରାଷ୍ଟ୍ରର	mɔhaːraːsʈɾɔɾɔ
ମାତାପିତା	maːt̪aːpit̪aː
ମନ୍ଦିରରେ	mɔnd̪iɾɔre
ଉପଭୋଗ	upɔbʱoɡɔ
ଯନ୍ତ୍ର	d͡ʒɔnt̪ɾɔ
ବହୁ	bɔhu
ବାଡ଼ିରେ	baːɽire
ଭଉଣୀର	bʰɔuɳiɾɔ
କାଉଟିଏ	kaːuʈie
ଅବସରରେ	ɔbɔsɔɾɔre
ସପ୍ତମୀ	sɔpt̪ɔmi
ପ୍ରବୀଣ	pɾɔbiɳɔ
ଚାଉଳ-ଚୁନାରୁ	t͡ʃaːul̪ɔ-t͡ʃunaːru
ଧାର୍ମିକ	d̪ʱaːrmikɔ
ପ୍ରଥମେ	pɾɔt̪ʰɔme
ହେଇସାରିଥିଲା	heisaːrit̪ʰilaː
କରୁଥିବା	kɔrut̪ʰibaː
ବୁଝାଇଲେ	bud͡ʒʱaːile
ଶୀତ	sit̪ɔ
ଭୀଷଣ	bʱisɔɳɔ
ଥର	t̪ʰɔɾɔ
କହିପାରିବୁନି	kɔhipaːribuni
କର୍କଟ	kɔrkɔʈɔ
ଲକ୍ଷ୍ମଣ	lɔkʰmɔɳɔ
ଚାଟସଭା	t͡ʃaːʈɔsɔbʱaː
ପ୍ରାରମ୍ଭିକ	praːɾɔmbʱikɔ
ପୀଠ	piʈʰɔ
ପାଟିକରି	paːʈikɔri
ସଂଖ୍ୟାମାନେ	sɔŋkʰjaːmaːne
ଚିପା	t͡ʃipaː
ଅନୁଷ୍ଠାନ	ɔnusʈʰaːnɔ
ବର୍ଚ୍ଛାଧରି	bɔrt͡ʃt͡ʃʰaːd̪ʱɔri
ଖଞ୍ଜିବାରେ	kʰɔɲd͡ʒibaːre
ଛୁଆଟି	t͡ʃʰuaːʈi
ଛାର	t͡ʃʰaːɾɔ
ଦାଦା	d̪aːd̪aː
ପୋଷାକରେ	posaːkɔre
ଋତୁର	rut̪uɾɔ
ରୋଗାନ୍	rogaːn
ଅପଲକ	ɔpɔlɔkɔ
ପ୍ରଭୁ	pɾɔbʱu
ବିରଙ୍ଗପରିବା	biɾɔŋɡɔpɔribaː
ଉପସ୍ଥାପନା	upɔst̪ʰaːpɔnaː
ପ୍ରଯୁକ୍ତି	pɾɔd͡ʒukt̪i
କାନ୍ଦୁଥିଲା	kaːnd̪ut̪ʰilaː
ରୁହେ	ruhe
ନ୍ୟାପ୍	njaːp
ପାଳିବାକୁ	paːl̪ibaːku
ବିଲୁପ୍ତ	bilupt̪ɔ
ଜୁରାସିକ	d͡ʒuraːsikɔ
ସୋନୁ	sonu
ସ୍	s
ଖୋଦେଇ	kʰod̪ei
ଚୌକିରେ	t͡ʃɔukire
ମାନଙ୍କରେ	maːnɔŋkɔre
କ୍ଷୟ	kʰjɔjɔ
ମତ	mɔt̪ɔ
ସାତ	saːt̪ɔ
ଲମ୍ୱୁ	lɔmu
ଏପରିକି	epɔriki
ରଙ୍ଗୀନ	ɾɔŋginɔ
ମହାପ୍ରଭୁଙ୍କ	mɔhaːpɾɔbʱuŋkɔ
କହି	kɔhi
ଶ୍ରୀକୃଷ୍ଣ	srikrusɳɔ
ରଚନା	ɾɔt͡ʃɔnaː
ପକଉଛି	pɔkɔut͡ʃʰi
ମାରନ୍ତି	maːɾɔnt̪i
ହୋଇରହିଗଲେ	hoiɾɔhiɡɔle
ହେଲୁ	helu
ବୁଢୀ	buɖʱi
ସୁଶାନ୍ତ	susaːnt̪ɔ
ମାଢି	maːɖʱi
ଲେମ୍ବୁ	lembu
ଇନଷ୍ଟିଚ୍ୟୁଟ	inɔsʈit͡ʃjuʈɔ
ପୋକକୁ	pokɔku
ମିଠା-ମିଠା	miʈʰaː-miʈʰaː
ଆଉଁଷି	aːũisi
ପଡ଼ିଆଟେ	pɔɽiaːʈe
ଓହ୍ଲଉଥିବା	ohlɔut̪ʰibaː
ପ୍ରଦର୍ଶନ	pɾɔd̪ɔrsɔnɔ
ହଟାଗଲା	hɔʈaːɡɔlaː
ଡାକିବା	ɖaːkibaː
ଆମେ	aːme
ପାଉଁଶିଆ	paːũsiaː
ବାପାଂକୁ	baːpaːŋku
ସ୍କୁଲ	skulɔ
ଧକ୍‌	d̪ʱɔk
ବିରୟାନି	biɾɔjaːni
ଧର୍ମ	d̪ʱɔrmɔ
ମୋହମବତୀ	mohɔmɔbɔt̪i
ଦୋକାନକୁ	d̪okaːnɔku
ସେବା	sebaː
ସତେ	sɔt̪e
ପଶା	pɔsaː
କରୁଥିଲେ	kɔrut̪ʰile
ଚାହୁଁଥିଲା	t͡ʃaːhũt̪ʰilaː
ରାଓ	raːo
ହାତ	haːt̪ɔ
ରାତିରେ	raːt̪ire
ପିନ୍ଧିବାରେ	pind̪ʱibaːre
ଚାଲିଲି	t͡ʃaːlili
କୋଳ	kol̪ɔ
ଧକ୍କା	d̪ʱɔkkaː
ଚଉଡ଼ା	t͡ʃɔuɽaː
କୋଣକୁ	koɳɔku
ସମ୍ବାଦ	sɔmbaːd̪ɔ
ଚୌକିଟିଏ	t͡ʃɔukiʈie
ବନେଇଥାନ୍ତି	bɔneit̪ʰaːnt̪i
ବୋଝ	bod͡ʒʱɔ
କାନଭାସରେ	kaːnɔbʱaːsɔre
ନନ୍ଦୀ	nɔnd̪i
ଧରିଲା	d̪ʱɔrilaː
ଖୋଲିଦେଇ	kʰolid̪ei
କାନ୍ଦନା	kaːnd̪ɔnaː
ଭଲପାଆନ୍ତି	bʰɔlɔpaːaːnt̪i
ଯବକାଚ	d͡ʒɔbɔkaːt͡ʃɔ
ଦେଖୁଥିଲା	d̪ekʰut̪ʰilaː
ଏହି	ehi
ଅଙ୍ଗରକ୍ଷା	ɔŋɡɔɾɔkʰjaː
ରସର	ɾɔsɔɾɔ
ବହିଥିଲା	bɔhit̪ʰilaː
କାଟୋ	kaːʈo
ଏଠାକାର	eʈʰaːkaːɾɔ
କୁମ୍ଭୀରମାନଙ୍କୁ	kumbʱiɾɔmaːnɔŋku
ପ୍ରଫୁଲ୍ଲ	pɾɔpʰullɔ
ଜାମାକୁ	d͡ʒaːmaːku
ମାରୁ	maːru
କାହାନ୍ତି	kaːhaːnt̪i
ଖାଇ	kʰaːi
ପଇସା	pɔisaː
ଉପାଦାନ	upaːd̪aːnɔ
କଥାବାର୍ତ୍ତା	kɔt̪ʰaːbaːrt̪t̪aː
ବାଦାମୀ	baːd̪aːmi
ମହୁମାଛି	mɔhumaːt͡ʃʰi
ବୟସରେ	bɔjɔsɔre
ପାଇଲା	paːilaː
ପ୍ରମାଣ	pɾɔmaːɳɔ
ସନ୍ତସନ୍ତିଆ	sɔnt̪ɔsɔnt̪iaː
ଖୋଜିଲେ	kʰod͡ʒile
ଖଣ୍ଡିଆ	kʰɔɳɖiaː
ବାଳକଟା	baːl̪ɔkɔʈaː
କରାଯିବ	kɔraːd͡ʒibɔ
ସୁନା	sunaː
ଜୈବସନ୍ଦିପ୍ତ	d͡ʒɔibɔsɔnd̪ipt̪ɔ
ପର୍ଯ୍ୟାୟ	pɔrd͡ʒjaːjɔ
ଶିମିଳି	simil̪i
ଖାଦ୍ୟ	kʰaːd̪jɔ
ଝରକାର	d͡ʒʱɔɾɔkaːɾɔ
ନିଶୁଣୀ	nisuɳi
ଭାବୁଛନ୍ତି	bʱaːbut͡ʃʰɔnt̪i
ବିଚିତ୍ର	bit͡ʃit̪ɾɔ
ଡ୍ରମ	ɖɾɔmɔ
ଆସିପାରିଲାନି	aːsipaːrilaːni
ପାଟିକଲେ	paːʈikɔle
ବାକ୍ସରେ	baːksɔre
କରିପାରନ୍ତି	kɔripaːɾɔnt̪i
କୋମଳ	komɔl̪ɔ
ଗିଳି	gil̪i
ବାଘଟି	baːɡʱɔʈi
କଣ	kɔɳɔ
ନୁହେଁ	nuhẽ
ହାତରେ	haːt̪ɔre
କଲାପରେ	kɔlaːpɔre
ଦୁଇପଟକୁ	d̪uipɔʈɔku
ଆଇନ	aːinɔ
ଅଫ୍	ɔpʰ
କହୁଛି	kɔhut͡ʃʰi
ତନ୍ତୁଯୁକ୍ତ	t̪ɔnt̪ud͡ʒukt̪ɔ
ଜନ୍ମହୋଇ	d͡ʒɔnmɔhoi
ଯେବେ	d͡ʒebe
ବାଟ	baːʈɔ
ଜାଣିଛନ୍ତି	d͡ʒaːɳit͡ʃʰɔnt̪i
ପୁରାଣ	puraːɳɔ
ମହିମା	mɔhimaː
ପାଟିକଲା	paːʈikɔlaː
ଝାଳ	d͡ʒʱaːl̪ɔ
ଚାଲ୍	t͡ʃaːl
ଖଞା	kʰɔɲaː
ମଣ୍ଡଳୀ	mɔɳɖɔl̪i
ପାଉଡର	paːuɖɔɾɔ
ବାହାପିଆ	baːhaːpiaː
ଚାଖି	t͡ʃaːkʰi
ଗୁଡ଼େଇ	guɽei
ମାନଙ୍କ	maːnɔŋkɔ
ଆଛା	aːt͡ʃʰaː
କୁଡ଼ିଆ	kuɽiaː
ଗଛରୁ	ɡɔt͡ʃʰɔru
ଅାରେ	ɔre
ମଙ୍ଗଳ	mɔŋɡɔl̪ɔ
ବିହାରୀ	bihaːri
ସଙ୍ଗାତ	sɔŋgaːt̪ɔ
ଯାଉଚୁ	d͡ʒaːut͡ʃu
ଛୁଞ୍ଚିଟା	t͡ʃʰuɲt͡ʃiʈaː
ରାଜନୀତି	raːd͡ʒɔnit̪i
ହେଲାବେଳେ	helaːbel̪e
ବାବଦରେ	baːbɔd̪ɔre
ଚାନ୍ଦୁଆ	t͡ʃaːnd̪uaː
ପର୍ବପର୍ବାଣୀ	pɔrbɔpɔrbaːɳi
ସ୍ୱପ୍ନ	suɔpnɔ
ଟ୍ରାଇଆସିକ	ʈraːiaːsikɔ
ହାଣ୍ଡିଟିକୁ	haːɳɖiʈiku
ଶଙ୍କର	sɔŋkɔɾɔ
ଆଣ୍ଟି	aːɳʈi
ବୁଝିଗଲୁ	bud͡ʒʱiɡɔlu
ହୋଲି	holi
ଦେଖେ	d̪ekʰe
ଆୟ	aːjɔ
ତେଲେଙ୍ଗାନା	t̪eleŋgaːnaː
ସାଥିରେ	saːt̪ʰire
ବର୍ଷ	bɔrsɔ
ପିନ୍ଧିଛନ୍ତି	pind̪ʱit͡ʃʰɔnt̪i
ଦେଖିପାରିବେ	d̪ekʰipaːribe
ଝପଟିଗଲା	d͡ʒʱɔpɔʈiɡɔlaː
ହେଇଯିବ	heid͡ʒibɔ
ଏଗୁଡ଼ାକ	eguɽaːkɔ
ନିଶକୁ	nisɔku
ଚିଡ଼େଇବାକୁ	t͡ʃiɽeibaːku
ପଟିକୁ	pɔʈiku
କାଢ଼ିକି	kaːɽʱiki
ବସିବାକୁ	bɔsibaːku
ଯୋଡିବା	d͡ʒoɖibaː
ଶାଖା	saːkʰaː
ଦୂର	d̪uɾɔ
ଭରିଯାଇଥିଲା	bʰɔrid͡ʒaːit̪ʰilaː
ଚୈତନ୍ୟ	t͡ʃɔit̪ɔnjɔ
ବେଂଗ	beŋɡɔ
ଭାଜିବାକୁ	bʱaːd͡ʒibaːku
ଦାଶ	d̪aːsɔ
ଉପଯୋଗ	upɔd͡ʒoɡɔ
ସୀମା	simaː
ଦେଖେଇ	d̪ekʰei
ସେମାନଙ୍କର	semaːnɔŋkɔɾɔ
ସବୁଠି	sɔbuʈʰi
ମୌଳିକ	moul̪ikɔ
ରଖିବାକୁ	ɾɔkʰibaːku
ଚାହୁଁଛି	t͡ʃaːhũt͡ʃʰi
ଅଞ୍ଚଳରେ	ɔɲt͡ʃɔl̪ɔre
ବଦଳରେ	bɔd̪ɔl̪ɔre
ରାବିଲା	raːbilaː
ଧାରା	d̪ʱaːraː
ଡଙ୍ଗା	ɖɔŋgaː
ଘେରା	gʰeraː
ସମ୍ରାଟ	sɔmraːʈɔ
ପିଇ	pii
ଡରେଇ	ɖɔrei
ଚାହିଁ	t͡ʃaːhĩ
ଭାବନା	bʱaːbɔnaː
ଉଠେଇଲି	uʈʰeili
ଗଚ୍ଛ	ɡɔt͡ʃt͡ʃʰɔ
କୁଡ଼ିଆକୁ	kuɽiaːku
ତିଆରିକଲେ	t̪iaːrikɔle
ଯୁଦ୍ଧରେ	d͡ʒud̪d̪ʱɔre
ବ୍ଳକର	bl̪ɔkɔɾɔ
କାଜରୀ	kaːd͡ʒɔri
ବସ	bɔsɔ
ନାଚ	naːt͡ʃɔ
ପୋଷାକର	posaːkɔɾɔ
ବାବରଙ୍କ	baːbɔɾɔŋkɔ
ସେଥିରୁ	set̪ʰiru
ଦର୍ଶନ	d̪ɔrsɔnɔ
ଚିତାବାଘ	t͡ʃit̪aːbaːɡʱɔ
ଥାଆନ୍ତା	t̪ʰaːaːnt̪aː
ଅଟୋରିକ୍ସା	ɔʈoriksaː
ଦେବୀ	d̪ebi
ନଇଁ	nɔĩ
