leeschtungsstaark	leːʃtˈuɳstaːʀk
Zesummeschloss	ʦˌəzumˈeːʃlos
gekéiert	gˈəkɜ͡ɪʁt
weiengem	vɑ͡ɪˈəɳeːm
Mariage	mˌaːʀiˈɑʁə
beandrockende	bˌəɑntʀokˈeːntə
beleet	bˈeːleːt
Spent	zpˈænt
Struktur	ʃtʀˈuktuːʀ
Kadaster	kˈɑdaːstʁ
Sécherheetsgurt	zəɕʁhˈeːtsguʀt
dezentraliséiert	dˌeːʦəntʀˌaːliːzˈɜ͡ɪɐt
skurril	skˈuʀj
Assemblée	ɑsˈeːmbleː
Resistenz	ʀezˈistænʦ
gemelt	gˈəmeːlt
Casque	kˈɑsk
bescheide	beːʃˈɑ͡ɪdə
enregistréierten	ˌənʀeːʒˌiʃʀɜ͡ɪˈɐteːn
Collège	kˈoleːʃ
granzege	gʀˈɑnʦəʃ
Massage	mˈɑsaːʃ
zäitopwänneg	ʦˌæː͡ɪtopvˈeneːk
Baudelaire	bˌɑ͡ʊdeːlˈɑ͡ɪʀə
Brëscht	bʀˈəʃt
treffen	tʀˈæfən
lauter	lˈæː͡ʊtʁ
Wäi	vˈæː͡ɪ
Landesrekord	lˌɑnteːzʀˈeːkoʀt
Regierungskris	ʀˌeːʒiɐˈuɳzkʀiːz
Stäng	ʃˈeɳ
Iwwerschwemmungen	ˌivʁʃwæmˈuɳən
Gérant	gˈæʀɑnt
opgehuewe	ˌopgəhˈu͡əvə
Naturfotoen	nˌɑtuːʀfotˈoːən
Austin	ˈɑ͡ʊztiːn
Diplomate	dˌiploːmˈɑtə
Justiz	ʒˈustiʦ
iwreg	ˈivʀeːk
Premierminister	pʀˌeːmiˌɐmiːnˈizteːʀ
Bildungsberäich	bˌiltuɳzbˈeːʀæː͡ɪʃ
gläichzäiteg	glæː͡ɪɕʦˈæː͡ɪtəɕ
Drockmëttel	dʀokmˈətəl
liesen	lˈi͡əzən
Spruddelwaasser	ʃpʀudˈəlvaːsʁ
Chefen	khˈeːfən
Retard	ʀˈətaːʀ
Moritz	mˈoːʀitʦ
reservéiert	ʀezˈeʀvɜ͡ɪʁt
Fëschen	fˈəʃən
Organisatioun	ˌoʀgaːnizˈɑʦjə͡ʊn
verléinen	fʁlˈɜ͡ɪnən
veraarbechten	vˌeːʀaːʀbˈæɕteːn
Méimaschinn	mɜ͡ɪmˈɑʃin
Stefan	ʃˈeːfaːn
wouerhuelen	vˌə͡ʊɐhˈu͡əleːn
Notzdéieren	nˌotʦtɜ͡ɪˈɐeːn
Fonck	fˈonk
Rubriken	ʀubʀˈiːkeːn
deeglecht	dˈeːglæɕt
Ziilféierend	ʦˌiːlfɜ͡ɪˈɐeːnt
Lageren	laːgˈəʀən
Brigitte	bʀiːʒˈitə
Fairy	fˈɑ͡ɪʀiː
Système	ziztˈeːmə
strukturellen	ʃʀˌuktuːʀˈeːleːn
gefillter	gəfˈilteːʀ
Minoritéit	mˌiːnoːʀˈitɜ͡ɪt
BAATZ	bˈaːtʦ
Industrië	ˌintuʃʀˈiə
COVID	kˈoːviːd
gewonne	gəvˈonə
nogelies	nˌoːgəlˈiəs
Roum	ʀˈə͡ʊm
Familljemembere	fˌaːmiljˌeːmeːmbˈeːʀə
kënnen	kˈənən
Def	dˈeːf
ländlechen	lentlˈæɕeːn
gewéinleche	gˌəvɜ͡ɪnlˈæɕə
Ad	ˈɑd
Championat	khˌɑmpiˈoːnaːt
Députéierten	dˌeputˈɜ͡ɪʁtən
politesche	pˌoːliːtˈeːʃə
ekologeschen	ˌəkoːloːʁˈəʃeːn
Kavalkad	kɑvˈɑlkaːt
lagert	lˈaːʁəʀt
Virrecht	fˈiːʁʀæɕt
verdächtege	veːʀtˈekhteːʃ
ofzebauen	ˌofʦəbˈɑ͡ʊən
Ugeleeënheet	ˌugəleːˈənheːt
Probéier	pʀoːbˈɜ͡ɪɐ
maintien	mˈɑ͡ɪnti͡ən
Leck	lˈeːk
klot	klˈoːt
dorunner	dˈoːʀunʁ
Aarbechterpartei	ˌaːʀbæɕteːʀpˈɑʀtɑ͡ɪ
Séisswaasser	zˈɜ͡ɪsvaːsʁ
Cloche	klˈokhə
Barometer	bˌaːʀoːmˈeːteːʀ
laangfristeg	laːɳfʀˈistəɕ
Haaptpunkten	haːptpˈuɳktən
bisexuell	biːzˈeːksu͡əl
Auer	ˈɑ͡ʊʁ
Mittelbronn	mitˈeːlbʀon
kurdeschen	kuʀtˈeːʃeːn
Meindeg	mˈɑ͡ɪnteːk
bëssi	bˈəsi
Nier	nˈiːʁ
Ausgab	ˈæː͡ʊsgaːp
längeren	leɳˈeːʀeːn
Suns	zˈunz
Aarbechtsamt	aːʁbˈəɕʦɑmt
optiméieren	ˌoptimɜ͡ɪˈəʀən
geschlossene	gˌəʃlosˈeːnə
Global	glˈoːbaːl
Pällemsonndeg	pˌæləmzˈondəɕ
déng	dˈeɳ
Hollerich	holˈeːʀiʃ
Napoléon	nˌaːpoːlˈæoːn
welkomm	vˈeːlkom
Masteraarbecht	mˌɑzteːʀˈaːʀbæɕt
Zait	ʦˈɑ͡ɪt
Pampa	pˈɑmpɑ
Südeuropa	zˌyːdo͡ɪʀˈoːpɑ
zimlechen	ʦimlˈæɕeːn
Natura	naːtˈuːʀɑ
Spectateure	zpˌeːktaːtˈo͡ɪʀə
Gefaellt	gəfˈɑəlt
Erscheinungsbild	ˌɐʃɑ͡ɪnˈuɳzbilt
Together	toːgˈətheːʀ
Mëttelstandsbockel	mˌəteːlztɑntzbˈokeːl
Transaktioun	tʀɑnzˈaːksjə͡ʊn
Flüchtlingsproblematik	flˌyːkhtliɳzpʀˌobleːmˈɑtiːk
Biscuit	biskˈyit
Pëtrolsproduiten	pˌətʀolzpʀˌoːduˈiteːn
Holding	hˈoltiɳ
Veräin	fˈəʀæː͡ɪn
usprochsvolle	ˌuzpʀokhzvˈolə
nass	nˈɑs
beseet	bˈeːzeːt
markanter	mɑʀkˈɑnteːʀ
Gemengesyndikat	gˌəmeːɳˌeːzintˈiːkaːt
public	pˈyblik
accidentéiert	ˌɑksidˈæntɜ͡ɪʁt
virugedriwwe	vˌiːʀuːʁədʀˈivə
politiques	pˌoːliːtˈiːku͡əz
Lidderschreiwer	lˌideːʀʃʀˈɑ͡ɪveːʀ
ugeluechte	ˌuːʁəlˈu͡əkhtə
Veteranen	vˌətəʀˈɑ̃ːən
Stroftaxen	ʃʀoftˈaːkseːn
Mée	mˈeː
Symphonieorchester	zˌimphoːnˌi͡əoʀkhˈeːzteːʀ
niddereg	nidˈəʀəɕ
Conseillère	kˈɑ̃ːsjɛːʀ
Kuelestoff	ku͡əlˈeːztof
handgemaachte	hˌɑntgəmˈaːXtə
SIDEC	zˈiːdeːk
entsoen	əntzˈoən
Buergermeeschter	bˈuːʁʑʁmeːʃtʁ
Privat	pʀˈivaːt
Immatrikulatiounen	ˌimɑtʀˌikulaːʦjˈə͡ʊnən
uewen	ˈu͡əvən
ustiechen	uʃtˈi͡əɕən
Pobeier	poːbˈɑ͡ɪɐ
Schabloun	ʃˈɑblə͡ʊn
Granat	gʀˈɑ̃ːnaːt
Däers	dˈɛːʁs
Kantinnen	kɑntˈinən
Xi	ksˈi
onofhängegt	ˌoːnofhˈeɳeːgt
Wandkraaft	vˈɑntkʀaːft
Understanding	ˌundɐztˈɑntiɳ
Drëpp	dʀˈəp
Nordoste	noʀtˈoztə
gewinne	gəvˈinə
Qualcomm	kwˈɑlkom
Fame	fˈaːmə
eSport	ˈəʃpˈoʀt
Coursevëlo	kˌə͡ʊʀzeːvˈəloː
Autossteier	ˌɑ͡ʊtostˈɑ͡ɪɐ
Nohëllef	noːhˈələf
Flashmob	flˈɑzhmoːb
Corpse	kˈoʀpzə
Personnes	peːʀzˈoneːz
persoun	pˈeʀzə͡ʊn
Volleksmond	folˈeksmont
Vinesca	viːnˈeːzkɑ
deklinéiert	dəklˈinɜ͡ɪʁt
Klein	klˈɑ͡ɪn
agesaat	ɑʁˈəzaːt
Reeves	ʀˈeːveːz
dominanter	dˌoːmiːnˈɑnteːʀ
Jens	jˈeːnz
erauszegoen	ˌɐɑ͡ʊzʦəgˈoən
iessbar	ˈi͡əsbaːʀ
Shape	zhˈaːpə
ofgeschleeft	oːfgˈəʃleːft
Opkaf	ˈopkaːf
dër	dˈəʀ
Dags	dˈɑgz
adaptéiere	ˌaːdɑptɜ͡ɪˈɐə
Tunn	tˈun
Mystik	mˈiːstik
Ewéi	ˈəvɜ͡ɪ
Nostalgia	nˌoztɑlʒˈiɑ
Falsch	fˈɑlʃ
Licht	lˈiʃt
verléiren	veːʀlˈɜ͡ɪʀeːn
Applikatioun	ˌɑplikˈɑʦjə͡ʊn
Twenty	tvˈeːntiː
breede	bʀˈeːdə
Klöckner	klˈœːkneːʀ
geweit	gˈəvɑ͡ɪt
Colombera	kˌoːlombˈeːʀɑ
ant	ˈɑnt
hiert	hˈiːʁt
Büroe	byːʀˈoə
ameseiert	ˌaːmeːzˈɑ͡ɪɐt
beauty	bəˈɑ͡ʊtiː
entweckelt	əntvˈeːkəlt
Price	pʀˈiːs
ofbaut	ˈofbɑ͡ʊt
leiere	lɑ͡ɪˈɐə
gedroen	gədʀˈoːən
déontologie	dˌæontoːlˈoːXi͡ə
bewirtschaft	beːvˈiʀtʃɑft
Decisiounen	dˌesizjˈə͡ʊnən
Affär	ˈɑfɛːʀ
schwaetzen	ʃvɑˈətʦən
Editioune	ˌədiːtiˈə͡ʊnə
Caecilia	kˌɑəkiːlˈiɑ
Sensibilisatioun	sˌənziːbˌiːliːzaːtˈiə͡ʊn
opzehellen	ˌopʦəhˈeːleːn
Aasselbur	aːsˈəlbuːʀ
gewëssermoossen	gˌəvəsʁmˈoːsən
Nobäi	nˈoːbæː͡ɪ
Peter	pˈeːteːʀ
geplangter	gəplˈɑɳteːʀ
Avertissement	ˌɑvæʀtisˈəmænt
Luis	lˈuiz
hehe	hˈeːhə
Blocks	blˈokz
erafueren	ˌəʀɑfˈuːʁʀən
Wave	vˈaːvə
Schauspillerin	ʃˌɑ͡ʊʃpilˈəʀin
vertrëtt	vˈeːʀtʀət
rischteg	ʀˈiʃteːk
lackéiert	lˈɑkɜ͡ɪʁt
justifiéieren	ʒˌustifˌiɜ͡ɪˈəʀən
Bijouterie	bˌiʒutˈəʀiː
erhëlt	ˈɐhəlt
Coursën	kˈə͡ʊʀzən
Knuppert	knˈupʁt
Minsk	mˈinzk
irresponsabel	ˌiʀæspɑ̃ːsˈaːbəl
Fiedere	fi͡ədˈɐə
Konschthandwierker	kˌonʃthɑntviˈɐkeːʀ
umaachen	umˈaːXən
dë	dˈə
platzt	plˈɑtʦt
Jidereen	jiːdˈɐeːn
Salariatskummer	zˌaːlaːʀˌiɑtzkˈumeːʀ
Landessprooch	lɑntˈeːspʀoːX
raisons	ʀˈɑ͡ɪzonz
Éieregäscht	ˌɜ͡ɪəʀˈəgæʃt
Memberskaart	mˈɑ̃ːmbʁskaːʀt
Erosioun	əʀˈozjə͡ʊn
Spezifizitéiten	zpˌeːʦiːfˌiːʦiːtˈɜ͡ɪteːn
Undeitung	undˈɑ͡ɪtuɳ
wegen	vˈeːgən
Traitéë	tʀɑ͡ɪtˈæə
wannen	vˈɑnən
Everling	əvˈeːʀliɳ
Awëllegung	ˌɑvəlˈəʑuɳ
erfollegt	ʁfˈoləɕt
Tournéier	tə͡ʊʀnˈɜ͡ɪɐ
akzeptabel	ˌɑkʦæptˈaːbəl
Ajax	ˈaːjaːks
Portefeuille	poʀtˈəfœːj
vergies	vˈeːʀʒi͡əz
Kontinent	kontˈinænt
hoppla	hˈoplɑ
Gonzales	gonʦˈaːleːz
Vergiessenheet	vˌeːʀʒi͡əsˈeːnheːt
Dovun	dˈofun
tough	tˈə͡ʊgh
Zesummefaassung	ʦˌəzuməfˈaːsuɳ
Foodsaver	foːdzˈaːveːʀ
zougestoen	ʦˌə͡ʊgəʃtˈoːən
Benji	bˈeːnji
Reprochen	ʀəpʀˈoʃən
Keyboard	kˌəibˈoɑʀt
Dawid	dˈaːviːd
folleg	fˈoləɕ
Haler	hˈɑlʁ
bereeden	beːʀˈeːdən
Schubert	ʃˈuːbeːʀt
viirun	vˈiːʀuːn
Bernd	bˈeːʀnt
Opschwong	ˈopʃwoɳ
verdeedegt	fʁdˈeːdəɕt
Soubaal	zˈə͡ʊbaːl
Evo	ˈəvoː
fiischten	fˈiːʃtən
gegollen	gəgˈoleːn
Accorden	ɑkˈoːʀən
Karikature	kˌaːʀiːkaːtˈuːʀə
Maduro	maːdˈuːʀoː
jiddescher	jidˈeːʃeːʀ
Hip	hˈiːp
iwwerbréckt	ˈivʁbʀekt
Reizgas	ʀˈɑ͡ɪʦgaːz
blannen	blˈɑnən
Gedrecks	gˈədʀæks
Ukënnegung	ˌukənˈəʑuɳ
GamingCafé	gˈaːmiɳkˈɑfeː
op	ˈop
mëttelstännege	mˌəteːlztˈeneːʃ
Spillen	ʃpˈilən
Josette	joːzˈeːtə
Deprez	dˈeːpʀeːʦ
wees	vˈeːz
Erkältung	ʁkˈæltuɳ
Besozzi	beːzˈoʦʦi
Erauskomm	əʀˈæː͡ʊskom
entsprach	ˈənt͡ʃpʀɑX
écran	ˈækʀaːn
Restaurateuren	ʀˌæʃtæː͡ʊʀɑtˈœːʀən
Emmanuel	əmˈaːnu͡əl
Metty	mˈeːtiː
ugehuewen	ˌugəhˈu͡əvən
geännert	gˈəænʁt
CHdN	zˈeːhtˈen
Travail	tʀˈaːvɑ͡ɪl
Side	zˈiːdə
Besoin	bˈəzwɛ̃ː
Funktionalitéit	fˌuɳtiˌoːnaːlˈiːtɜ͡ɪt
villerlee	vilˈeːʀleː
MEE	mˈeː
Konterbont	kontˈeːʀbont
Kravitz	kʀˈaːvitʦ
Stärenhimmel	ʃtˌɛːʀənhˈiməl
Vrun	vʀˈuːn
Ënneschtgaass	ˌoænˈeːʃtgaːs
Onzefriddenheet	ˌonʦəfʀidˈənheːt
qualitative	kwˌaːliːtaːtˈiːvə
Sänger	zˈæɳʁ
Rami	ʀˈaːmi
ewechkomm	əvˈəɕkom
Reenschauere	ʀˌeːnskhɑ͡ʊˈɐə
eriwwerbréngen	ˌəʀivʁbʀˈeɳən
kuerzem	kˈu͡əʀʦəm
verstuerwenen	vˌeːʀztu͡əʀvˈeːnən
encouragéiert	ˌɑ̃ːkuʀˈɑʒɜ͡ɪʁt
Balkan	bˈɑlkaːn
Barren	bˈɑʀən
Cliff	klˈif
bestehenden	bˌeːzteːhˈeːndən
forces	fˈoʀsz
vernichten	fʁnˈiɕtən
Pabéier	paːbˈɜ͡ɪɐ
Weivill	vˈɑ͡ɪvil
www	vv
Molly	mˈoliː
Wëldpark	vˈəltpɑʀk
secherlech	zæɕˈeːʀlæɕ
Bekanntheetsgrad	bˌeːkɑnthˈeːtzgʀaːd
ënnerhalend	ˌoæneːʀhˈaːleːnt
deplacéiere	dˌeːplaːkɜ͡ɪˈɐə
ABREU	ˈɑbʀo͡ɪ
Grenzschléissungen	gʀˌeːnʦʃlɜ͡ɪsˈuɳeːn
Fussballterrain	fˌusbɑltˈeːʀɑ͡ɪn
Popp	pˈop
Behënnerung	bˌəhənˈəʀuɳ
Ermëttlungen	ʁmətlˈuɳən
Color	kˈoːloːʀ
Analys	ɑnˈɑliːs
Differenze	dˌifeːʀˈeːnʦə
Gefligel	gəflˈiːʑəl
ofkillt	ˈofkilt
Softbox	zˈoftboːks
Maartplaz	mˈaːʀtplaːʦ
Warschau	vˈɑʀʃɑ͡ʊ
Zuchbegleeder	ʦˌuXbeːglˈeːdɐ
Monopol	monˈoːpol
Kompensatioun	kˌompeːnzˈɑʦjə͡ʊn
Banquet	bˈæɳkeː
zoukomm	ʦˈə͡ʊkom
bezweckt	bˈeːʦveːkt
Bref	bʀˈeːf
Scheffleng	ʃˈeːfleːɳ
Behënnert	bˈəhənʁt
Cactus	kˈɑktuːz
Liwwerant	livˈəʀɑnt
gesondheetleche	gˌəzontheːtlˈæɕə
besënnt	bˈəzənt
Spezialist	ʃpeʦjˈaːlist
agereechte	ˌɑʁəʀˈeːɕtə
hipp	hˈip
Opportunitéiten	ˌopoʀtˌuːniːtˈɜ͡ɪteːn
Breyer	bʀəˈiɐ
passen	pˈɑsən
Transformatiounen	tʀˌɑnzfoʀmɑʦjˈə͡ʊnən
Kanéil	kˈɑnɜ͡ɪl
Engel	ˈæɳəl
öffentlechen	ˌœːfeːntlˈæɕeːn
enregistréieren	ˌɑ̃ːʀəgˌistʀɜ͡ɪˈəʀən
SOS	zˈoːz
Wull	vˈul
ee	ˈeː
vous	vˈuː
Dräieck	dʀˈæː͡ɪek
Dauphiné	dɑ͡ʊphˈiːnæ
Feynman	fəˈinmaːn
Mohr	mˈohʀ
equilibréiert	ˌeːkiːlˈibʀɜ͡ɪʁt
Bauplaz	bˈɑ͡ʊplaːʦ
film	fˈilm
Handysnummer	hˌɑntiznˈumeːʀ
peppeg	pˈeːpeːk
Lissabonner	lˌisaːbˈoneːʀ
Freeë	fʀˈeːə
resilient	ʀeːzˈiːli͡ənt
Ofgesin	ofgˈəziːn
qualifizéierter	kwˌaːliːfˌiːʦɜ͡ɪˈɐteːʀ
Gemengekommissiounen	gˌəmeːɳˌeːkomˌisiˈə͡ʊnən
Way	vˈɑiː
serbescher	zeːʀbˈeːʃeːʀ
Faseren	fɑzˈəʀən
ëss	ˈoæs
Behandlunge	bˌeːhɑntlˈuɳə
Vespa	vˈeːzpɑ
Remakel	ʀeːmˈaːkeːl
kalibréiert	kˌaːlibʀˈɜ͡ɪɐt
kommerzialiséiert	kˌomʁʦjaːlˈizɜ͡ɪʁt
SuperDrecksKëscht	zˈupʁdʀˈeːkzkˈəʃt
emt	ˈəmt
stierwt	ʃˈiɐvt
flotter	flˈoteːʀ
Prozedure	pʀˌoːʦədˈuːʀə
onméigleche	ˌonmɜ͡ɪglˈæɕə
Donnersbach	donˈeːʀzbɑX
Ongläichheet	oɳlˈæː͡ɪʃheːt
Toaster	tˈə͡ʊstʁ
Südfrankräich	zyːdfʀˈɑɳʀæː͡ɪʃ
Anti	ˈɑnti
immédiat	ˌimædˈiɑt
ANIL	ˈaːniːl
Ingenieure	ˌiɳeːni͡əˈuːʀə
editéiert	eːdˈitɜ͡ɪʁt
Satir	zˈaːtiːʁ
Peel	pˈeːl
Busch	bˈuʃ
Gesellschaften	gˌəzælʃˈɑftən
geschriww	gˈəʃʀiv
Frontalier	fʀontˈɑljeː
Fiir	fˈiːʀ
Saatz	zˈaːtʦ
Zumba	ʦˈumbɑ
Laag	lˈaːX
Chrëschtbam	khʀˈəʃtbaːm
conseil	kˈɑ̃ːsæl
vergiessene	vˌeːʀʒi͡əsˈeːnə
Recording	ʀeːkˈoʀtiɳ
entweckelen	ˌəntveːkˈeːleːn
erausbruecht	əʀˈæː͡ʊsbʀu͡əɕt
hierkommen	hiːʁkˈomən
Abrell	ˈɑbʀeːl
akzeptéiert	ɑkʦˈæptɜ͡ɪʁt
wahlberechtegt	vˌɑhlbeːʀˈæɕteːgt
zentrale	ʦəntʀˈaːlə
Cleveland	kleːvˈeːlɑnt
Veronsécherung	fˌəʀonzəɕˈəʀuɳ
bléien	blˈɜ͡ɪən
beschléissen	bəʃlˈɜ͡ɪsən
beléifter	beːlˈɜ͡ɪfteːʀ
iert	ˈiɐt
flottem	flˈoteːm
dréngende	dʀæɳˈeːntə
Koreaner	kˌoːʀəˈaːneːʀ
Ménage	mænˈɑʁə
ausfëllt	ˈɑ͡ʊzfəlt
Niki	nˈiːki
gefächert	gˈəfæɕʁt
soën	zˈoən
LNVL	lnvl
opriicht	ˈopʀiːɕt
verdämpt	vˈeːʀtempt
ugeluechten	ˌuːʁəlˈu͡əkhteːn
concernéierter	kˌonsʀnɜ͡ɪˈɐteːʀ
Gaasse	gˈaːsə
Weimerskirch	vɑ͡ɪmˈeːʀzkiʀkh
Knëppel	knˈəpəl
Logistis	loːXˈiztiːz
ausgeklammert	æː͡ʊsgˈəklɑmʁt
Liberale	lˌiːbeːʀˈaːlə
Sarrazin	zɑʀˈaːʦiːn
Lufthansa	lufthˈɑnzɑ
Quantum	kˈɑntum
längerer	leɳˈeːʀeːʀ
tesselen	teːsˈeːleːn
kënns	kˈənz
beleidegt	bəlˈɑ͡ɪdəɕt
entwécklen	əntvˈækleːn
anescht	ˈaːnəʃt
wäisser	vˈæː͡ɪseːʀ
Bernhard	bˈeːʀnhɑʀt
CePT	spt
Hollerech	holˈəʀæɕ
schotteschen	ʃotˈeːʃeːn
Krichsgebidder	kʀˌiʃzgəbˈideːʀ
Remich	ʀˈeːmiʃ
Horizonter	hoːʀˈiʦontʁ
Tauxen	tˈæː͡ʊksən
bléiwen	blˈɜ͡ɪveːn
Fear	fˈəɑʀ
Leid	lˈɑ͡ɪd
Iewen	ˈi͡əvən
Immobilien	ˌimobˈiːljən
gestion	gəztˈioːn
Gemësch	gˈəməʃ
populär	popˈylɛːʁ
Datacenter	daːtˈaːsnteːʀ
Airbus	ˈɑ͡ɪʀbuːz
Yards	ʒˈɑʀtz
Slalom	slˈɑloːm
Titel	tˈitəl
Reformisten	ʀˌeːfoʀmˈizteːn
systemrelevant	zˌizteːmʀeːlˈeːvɑnt
Spin	zpˈiːn
Andämmung	ɑntˈemuɳ
vernicht	fʁnˈiɕt
navel	nˈaːveːl
Bardet	bˈɑʀteːt
wonnerbart	vonˈeːʀbɑʀt
Misär	mˈizɛːʀ
Géigenzuch	gɜ͡ɪgˈənʦuX
Clubsall	klˈubzɑl
Kannerfilm	kɑnˈeːʀfilm
Plënneren	plənˈəʀən
Weekender	veːkˈeːndɐ
evoluéiert	ˌevolˈuɜ͡ɪʁt
Kuppel	kˈupəl
Virgab	vˈiʀgaːb
Ammoniumnitrat	ˌɑmoːnˌiumnˈitʀaːt
Konkurrenzrot	kˌoɳuʀˈeːnʦʀoːt
Lesbos	lˈeːzboːz
Transports	tʀˈɑnzpoʀtz
Geschwindegkeet	gˌəʃwindˈəɕkeːt
Schlofsak	ʃlˈoːfzaːk
Deep	dˈeːp
conforme	konfˈoʀmə
regelrechten	ʀˌeːgəlʀˈæɕteːn
Kelleren	kælˈəʀən
Geigendeel	ʒɑ͡ɪgˈənteːl
Zeechnungen	ʦeːɕnˈuɳən
relevanten	ʀˌeːleːvˈɑnteːn
derwidder	dʁvˈidʁ
Ausnamen	æː͡ʊsnˈaːmən
Freud	fʀˈo͡ɪd
Syfel	zˈifeːl
Fatalitéit	fˌaːtaːlˈiːtɜ͡ɪt
Iran	ˈiːʀɑ̃ː
Arbechten	ɑʀbˈæɕteːn
Arbécht	ˈɑʀbækht
Veräinsgeschicht	vˌeːʀæː͡ɪnzgˈəʃiʃt
Messias	meːsˈiɑz
Schaeffer	ʃɑˈəfeːʀ
Giedel	gˈi͡ədəl
awwer	ˈɑveːʀ
historescher	hˌiztoːʀˈeːʃeːʀ
pabeier	pˈɑbɑ͡ɪʁ
deplacéieren	dˌəplɑsɜ͡ɪˈəʀən
Glécklecherweis	gleklˈəɕʁvɑ͡ɪs
Bëbeeën	bəbˈeːən
skandinavesch	zkˌɑntiːnˈaːveːʃ
erakoumen	ˌɐaːkˈə͡ʊmeːn
Summerfest	zˈumʁfæst
präziséiert	pʀɛːʦˈiːsɜ͡ɪʁt
Plastik	plˈɑstik
Welttournée	veːltˈə͡ʊʀneː
Uelzecht	ˈu͡əlʦəɕt
opdränglech	optʀˈeɳlæɕ
Hostel	hˈoztəl
Sequenzen	zeːkˈu͡ənʦən
Bett	bˈæt
Heeschen	hˈeːʃən
Ëmweltorganisatioun	ˌəmwæltˌoʀgaːnizˈɑʦjə͡ʊn
entrée	ˈɑ̃ːtʀeː
Schinneverkéier	ʃˌineːveːʀkˈɜ͡ɪɐ
Championnat	ʃɑ̃ːpjˈɑ̃ːnaːt
knuspereg	knuspˈəʀəɕ
Czuga	kʦˈuːgɑ
Astronomie	ˌɑstʀonˈoːmiː
Furen	fˈuːʀən
Konnotatioun	kˌonoːtaːtˈiə͡ʊn
Dusch	dˈuʃ
Delikatess	dˌelikˈaːtæs
mitt	mˈit
Dissident	disˈiːdənt
Retouren	ʀətˈuːʀən
Spriecher	ʃpʀˈiəɕʁ
Espresso	æʃpʀˈæsoː
protection	pʀˌoːteːktˈioːn
Ob	ˈop
Sput	zpˈuːt
moosse	mˈoːsə
bedengt	bˈeːdəngt
Milk	mˈilk
international	ˌintʁnɑʦjˈoːnaːl
Onwiederen	ˌonvi͡ədˈɐeːn
Nordstreck	nˈoʀtʃʀeːk
rietsextrem	ʀi͡ətzˈeːkstʀeːm
Mënscherechtler	mˌənʃeːʀˈæɕtleːʀ
ropgelued	ʀopgˈəlu͡əd
vleicht	vlˈɑ͡ɪʃt
Vashem	vˈɑzheːm
kruet	kʀˈu͡ət
meescht	mˈeːʃt
physeschen	phizˈeːʃeːn
duebler	dˈu͡əbleːʀ
Gebailechkeeten	gˌəbɑ͡ɪlæɕkˈeːteːn
Recherchen	ʀəʃˈeʀɕən
März	mˈeʀʦ
Tschechesch	t͡ʃˈəɕəʃ
ën	ˈoæn
opdreiwen	opdʀˈɑ͡ɪvən
eemolege	eːmˈoːleːʃ
Konstruktioun	konstʀˈuksjə͡ʊn
hëlleflos	həlˈeːfloːz
Wer	vˈeːʀ
Mandela	mɑntˈeːlɑ
Virstellungsgespréich	fˌiːʁʃtæluɳsgˈəʃpʀɜ͡ɪɕ
Rendezvous	ʀeːntˈeːʦvə͡ʊz
rechtsstaatlech	ʀæɕtstˈaːtlæɕ
Räck	ʀˈɛːk
ausgeriichten	ˌɑ͡ʊzgəʀˈiːɕteːn
Legislatioun	lˌegislˈɑʦjə͡ʊn
geschat	gˈəʃaːt
Ëmweltverschmotzung	ˌəmwældfʁʃmˈoʦuɳ
inhaftéiert	ˌinhɑftˈɜ͡ɪɐt
aktivéieren	ˌɑktivɜ͡ɪˈəʀən
opgefall	opgˈəfɑl
Gebuert	gˈəbuːʁt
Proprietär	pʀˌopʀiˈətɛːʀ
Valerija	vˌaːleːʀˈiːʒɑ
Opstelle	opztˈəllə
deit	dˈɑ͡ɪt
viruginn	fiːʀˈugin
Seven	zˈeːveːn
opwänneg	opvˈænəɕ
Sturm	ʃˈuʀm
Our	ˈuːʀ
gëllt	gˈəlt
kinnte	kˈintə
Päischtcroisière	pˌæː͡ɪʃtkʀoˌiziˈeːʀə
Nopeschgemengen	nˌoːpəʃgəmˈæɳən
Nursing	nˈuʀziɳ
Geoffrey	ʒˌəofʀˈəiː
exportéieren	ˌækspoʀtɜ͡ɪˈəʀən
Miessungen	mi͡əsˈuɳən
beurteelen	bo͡ɪʀtˈeːleːn
Finanzkommissioun	fˌiːnɑnʦkˌomisˈiə͡ʊn
Verpakung	fʁpˈaːkuɳ
ekonomescher	ˌəkoːnoːmˈeːʃeːʀ
iwwerhaat	ivˈeːʀhaːt
Visiteur	vizˈitœːʀ
Jennifer	jeːnˈiːfeːʀ
Diskriminatioun	dˌiskʀimiːnˈɑʦjə͡ʊn
Infolux	infˈoːluːks
Tablett	tˈɑblæt
Summerprogramm	zˌumeːʀpʀˈogʀɑm
Nëssert	nˈəsʁt
relais	ʀˈeːlɑ͡ɪz
Hülkenberg	hyːlkˈeːnbeːʀg
Navette	nˈɑvæt
gestane	gəztˈaːnə
Campus	kˈɑ̃ːmpus
Mein	mˈɑ͡ɪn
al	ˈaːl
Kanal	kˈɑnaːl
wäit	vˈæː͡ɪt
Stéiere	ʃɜ͡ɪˈɐə
decisive	dˌeːkiːzˈiːvə
Tricolore	tʀˌiːkoːlˈoːʀə
Pas	pˈaːz
Kaaft	kˈaːft
Tätegkeet	tɛːtˈəɕkeːt
Input	ˈinpuːt
Klibberen	klibˈəʀən
