caixilho	kajʃiʎu
figurar	fiɡuɾaʁ
toda	todɐ
madre	madɾi
virtuais	viʁtuajs
úmido	umidu
embromation	ĩbɾomejʃõ
ultravioleta	uwtɾɐvioletɐ
rodrigues	ʁodɾiɡiʃ
superavitário	superavitarju
amália	amaljɐ
rapel	ʁapɛw
nenenzinho	nenẽj̃ziɲu
sobra	sɔbɾɐ
bombril	bõbɾiw
adeus	adewʃ
fora	fɔɾɐ
trama	tɾɐmɐ
capricho	kapɾiʃu
carteira	kaʁtejɾɐ
nanquim	nɐ̃kĩ
estética	ɪʃtɛtikɐ
tolo	tolu
perigo	peɾiɡu
repetir	hepet͡ʃiɻ
somos	sõmuʃ
pelo	pelo
saia	saja
redário	ʁedaɾju
continua	kõt͡ʃinuɐ
progressiva	pɾoɡɾesivɐ
basalto	bazawtu
crepes	kɾɛpis
flood	flɐd͡ʒ
arregimentar	aʁeʒimẽtaʁ
bíblia	bibljɐ
xavasca	ʃavaska
centopeia	sẽtopɛja
flor	floɹ
rasgo	ʁazɡu
sadio	sad͡ʒiʊ
rádio	ʁadʒju
gaiteiro	ɡajtejɾu
termo	teɹmu
chupisco	ʃupisku
olmo	owmu
mouse	mawzi
bico	biku
toupeira	towpejɾɐ
desenrascanço	dezẽj̃ʁaskɐ̃su
gratuito	ɡɾatujtu
currículo	kuʁikulu
abacaxi	abakaʃi
largo	laɻɡo
criptógama	kɾiptɔɡɐma
progresso	pɾɔɡɾɛsu
velar	velaʁ
universidades	universidadʒis
sequestro	sekwɛstɾo
aparente	apaɾẽt͡ʃi
sandália	sɐ̃daʎa
cóccix	kɔks
interpretar	ĩteʁpɾetaʁ
dodecaneso	dodekɐnezu
prestar	pɾestaʁ
pináculo	pinakulu
atenção	atẽsɐ̃w̃
atualmente	atuawmẽtʃi
criptofascista	kɾiptofasista
pitéu	pitɛw
entender	ĩtẽdeʁ
donzela	dõzɛlɐ
absinto	abisĩtu
alforria	awfoʁiɐ
kowalski	kovawski
setenta	setẽtɐ
passaralho	pɐsɐrɐʎu
tranquilinho	tɾɐ̃kwiliɲu
lata	latɐ
vestuário	veʃtuaɾiu
kombi	kõbi
corcunda	kɔhkũda
mediterrâneo	med͡ʒiteʁɐnju
esparavel	ispaɾavɛw
sucessivo	susesivu
ciúme	siumi
ânimo	ɐnimu
banheira	bɐɲejɾɐ
celestial	selest͡ʃjaw
errar	ehaɻ
peixe	pejʃe
frouxo	fɾowʃu
fujão	fuʒɐ̃w̃
sanfona	sɐ̃fonɐ
vestir	vist͡ʃiʁ
costa	kɔsta
desarmamentista	dezaʁmamẽtʃijʃta
pátio	pat͡ʃju
hortelã	oɻtelɐ̃
encaixar	ẽkajʃaʁ
aquela	akɛlɐ
ouros	owɾuʃ
seres	seɾiʃ
candidato	kɐ̃d͡ʒidatu
sela	sɛlɐ
marco	maʁku
abatiá	abat͡ʃja
marketing	maʁketʃĩ
louro	lowɾu
força	foɹsa
balalaika	balalajkɐ
barba	baʁbɐ
cociente	kosiẽti
aliança	aliɐ̃sɐ
condado	kõdadu
ampére	ɐ̃pɛɾi
físico	fiziku
psicanálise	psikanalizi
clava	klava
jogging	d͡ʒɔɡĩ
rosela	ʁozɛlɐ
quinto	kĩtu
tenso	tẽsu
pipa	pipa
relativismo	ʁelat͡ʃivismu
molosso	molosu
ubíquo	ubikwu
alminha	awmiɲɐ
osaka	osakɐ
infantilmente	ĩfɐ̃t͡ʃiwmẽt͡ʃi
expandir	ispɐ̃dʒiʁ
religiosamente	ʁeʎiʒiɔzamẽj̃tʃi
lírico	liɾiku
vêm	vẽj̃
root	ʁut͡ʃ
fatorial	fatoɾiaw
dez	dɛjs
horizonte	oɾizõt͡ʃi
por	poɾ
almoxarifado	awmoʃaɾifadu
afiançar	ɐfjɐ̃saɾ
declinativas	deklinat͡ʃivɐs
covo	kovu
templo	tẽplu
semeadura	semiaduɾɐ
gabriel	ɡabɾiɛw
calmaria	kawmaɾiɐ
bicha	biʃɐ
político	polit͡ʃiku
sídnei	sid͡ʒnej
filha	fiʎɐ
fígado	fiɡɐdu
terêncio	teɾẽsju
bunda	bũdɐ
gêmeo	ʒemju
escuro	iskuɾu
preservar	pɾezeʁvaʁ
joio	ʒoju
sociologia	sosjoloʒia
responder	ʁespõdeʁ
toda	tɔda
seno	senu
destruído	d͡ʒiʃtɾuidu
congressista	kõɡɾesistɐ
forçar	foʁsaʁ
recuperar	ʁekupeɾaʁ
margarida	mahɡaɾidɐ
àquelas	akɛlɐʃ
colete	kolɛtʃi
panetone	pɐnetoni
bastante	bastɐ̃t͡ʃi
cabido	kabidu
sesta	sɛʃtɐ
orgulho	oɾɡuʎu
default	difow
bazófia	bazɔfja
mitocôndria	mitokõdɾjɐ
proxy	pɾɔksi
brotar	bɾotaʁ
cível	siviw
cante	kɐ̃t͡ʃi
grego	ɡɾeɡu
pi	pi
fabiano	fabjɐnu
breakdance	bɾejkidẽsɪ
alienação	alienasɐ̃w̃
estância	istɐ̃siɐ
pleonástico	pleonaʃt͡ʃiku
substanciar	substɐ̃siaʁ
bombas	bõbɐ
delivery	deliveɾi
carnaval	kaʁnavaw
pevide	pevid͡ʒi
aguçado	aɡusadu
temporão	tẽpoɾɐ̃w̃
bosquímano	boʃkimɐnu
astride	astɾid͡ʒi
este	est͡ʃi
socialista	sosjalistɐ
menores	menɔɾis
biônico	bioniku
que	ki
ordenar	oɻdenaɻ
patota	patɔtɐ
programador	pɾoɡɾɐmadoʁ
demanda	demɐ̃dɐ
plaina	plɐjnɐ
workstation	woʁkstejʃõ
pinguim	pĩɡwĩ
venham	vẽɲɐ̃w̃
tipo	t͡ʃipo
barulho	baɾuʎu
voadora	vwadoɾɐ
estilo	ist͡ʃilu
aproximar	apɾɔsimah
afinal	afinaɻ
abacaxi	ɐbakɐʃi
resto	hɛsto
futricagem	futɾikaʒi
juiz	ʒuis
após	apɔjs
grotesca	ɡɾoteskɐ
unilateralismo	unilateɾalijʃmu
maquiavélico	makiavɛliku
chutar	ʃutaɾ
esses	esis
caçarola	kasaɾɔla
precisar	pɾesizaʁ
flor	floh
fancaria	fɐ̃kaɾiɐ
constatação	kõstatasɐ̃w̃
europa	ewɾɔpɐ
verdade	veɾdade
jura	ʒuɾa
estômago	istomaɡu
estudo	istudu
nado	nadu
muito	mũj̃tu
datashow	dataʃow
éris	ɛɾis
adquirir	adʒkiɾiʁ
ceo	siiow
vazão	vazɐ̃w̃
descer	deseʁ
pronúncia	pɾunũsjɐ
desfazimento	dʒisfazimẽtu
residente	ʁezidẽt͡ʃi
poderoso	podeɾozu
tanzânia	tɐ̃zɐnja
vigilância	viʒilɐ̃siɐ
agouro	aɡowɾu
ramiro	ʁamiɾu
projeto	pɾoʒɛto
ulterior	uwteɾioʁ
mentira	mĩt͡ʃiɾɐ
babou	babow
milha	miʎa
mapa	mapɐ
desperdício	despeʁdʒisju
classificação	klasifikasɐ̃w̃
dalguma	dawɡumɐ
mestra	mɛstɾɐ
kilobit	kilobiti
pilsen	piwsẽj̃
evento	evẽtu
case	kazi
sobre	sobɾe
povos	pɔvus
rock	ʁɔk
move	mɔvi
fresco	fɾesku
planalto	planawtu
puxa	puʃɐ
tango	tɐ̃ɡu
romano	ʁomɐnu
treinamento	tɾejnɐmẽtu
cunha	kuɲɐ
anime	animi
tirol	t͡ʃiɾɔw
superciliar	supeʁsiliaʁ
audiência	awdʒiẽsjɐ
nação	nasɐ̃w̃
cirilo	siɾilu
fumacê	fumase
educação	edukasɐ̃w̃
teu	tew
exame	ezɐmi
colina	kolina
admitir	adʒmitʃiɹ
sedição	sed͡ʒisɐ̃w̃
sinquisita	sĩkizitɐ
argumentar	aɻɡumẽtaɻ
helena	elenɐ
coró	koɾɔ
paraquedas	paɾakɛdɐs
estêvão	istevɐ̃w̃
capoeira	kapuejɾɐ
bálcãs	bawkɐ̃s
papagaio	papaɡaju
especial	ispesiaw
doutrinação	dotɾinasɐ̃w̃
apalpadelas	apawpadɛlɐs
caipirinha	kajpiɾiɲɐ
caractere	kaɾaktɛɾi
friagem	fɾiaʒẽj
for	fɔʁ
malograr	maloɡɾaʁ
j	ʒɔta
doído	duidu
rampa	ʁɐ̃pa
beijo	bejʒu
game	ɡejmi
rancor	ʁɐ̃koʁ
destruído	destɾuidu
regatinho	ʁeɡat͡ʃiɲu
especificar	ispesifikaʁ
vingança	vĩɡɐ̃sa
influenciar	ĩfluẽsiaʁ
boleto	buletu
ásia	azjɐ
afim	afĩ
ruténia	ʁuteniɐ
insano	ĩsɐnu
mundo	mũdo
shiitake	ʃiitaki
conceder	kõsedeʁ
luciano	lusjɐnu
infindo	ĩfĩdu
boçal	bosaw
vencido	vẽsidu
oferecer	ofeɾeseʁ
reutilizar	ʁewtʃiʎizaɾ
popular	populaʁ
brecha	bɾɛʃa
desrespeito	dezʁespejtu
duas	duɐs
demorar	demoɾaɾ
tivesse	t͡ʃivɛsi
divã	d͡ʒivɐ̃
zagreb	zaɡɾɛb
sociedade	sosiedade
obsequiar	obzekiaɾ
plástico	plaʃt͡ʃiku
flagelo	flaʒelu
lúcida	lusidɐ
pras	pɾas
francesa	fɾɐ̃sezɐ
poligamia	poliɡɐ̃mia
apanhar	apɐɲaɻ
crepe	kɾɛpi
salubérrimo	salubɛʁimu
etólogo	etɔloɡu
desbocado	d͡ʒisbokadu
pera	peɾɐ
cabeça	kabesɐ
mercadologicamente	meʁkadolɔʒikɐmẽt͡ʃi
justificativa	ʒust͡ʃifikat͡ʃiva
astro	ajʃtɾu
temente	temẽt͡ʃi
baía	baiɐ
lava	lava
esfinge	esfĩʒi
trigésimo	tɾiʒɛzimu
térmicas	tɛʁmikɐs
lampião	lɐ̃piɐ̃w̃
méxico	mɛʃiku
maré	maɾɛ
tupperware	tapɐwɛʁ
personagem	peʁsonaʒẽj̃
crença	kɾẽsɐ
kirov	kiɾɔv
corão	koɾɐ̃w̃
projeto	pɾoʒɛtu
faltas	fawtɐs
queixar	kejʃaʁ
todo	todu
orégano	oɾɛɡɐnu
prancha	pɾɐ̃ʃɐ
dakar	dakaʁ
alvorotar	awvoɾotaʁ
águia	aɡja
recinto	ʁesĩntu
explosão	isplozɐ̃w̃
esperança	ispeɾɐ̃sɐ
casaca	kazakɐ
encafifar	ĩkafifaɾ
oriente	oɾiẽt͡ʃi
notebook	nɔt͡ʃibuki
socialismo	sosialiʒmu
nababo	nababu
relativismo	ʁelat͡ʃiviʃmu
investimento	ĩvest͡ʃimẽtu
deitar	dejtaɹ
haiti	ait͡ʃi
negociar	neɡosiaʁ
apartamento	apaʁtɐmẽtu
dizer	dizeh
mongoloide	mõɡolɔjd͡ʒi
insônia	ĩsonja
requinte	ʁekĩt͡ʃi
simone	simoni
fuê	fwe
apreço	apɾɛsu
rapadura	ʁapaduɾɐ
cozinha	koziɲɐ
antiguidade	ɐ̃t͡ʃiɡwidad͡ʒi
controlo	kõtɾolu
jazz	d͡ʒɛs
manso	mɐ̃su
trombeta	tɾõbetɐ
mavioso	maviozu
polaco	polaku
abacate	abakati
moqueca	mukɛka
drive	dɾajv
carregar	kaheɡaɻ
acha	aʃɐ
ogro	oɡɾu
síndrome	sĩdɾomi
frísio	fɾizju
plotagem	plotaʒɐ̃
entusiasmo	ẽtuziazmu
margarida	maɾɡaɾidɐ
mouco	mowku
razão	ɦazɐ̃w̃
manhã	mɐɲɐ̃
cobre	kɔbɾi
ser	seʁ
uno	unu
qualquer	kwawkɛɾ
finalzinho	finawziɲu
parafuso	paɾafuzu
giga	ʒiɡa
vagabundo	vaɡabũdu
árvore	aɦvoɾi
ocupado	okupadu
retrasado	ʁetɾazadu
vasto	vastu
objeção	obiʒesɐ̃w̃
louco	lowku
calouro	kaloɾu
verbo	vɛɹbu
cátia	kat͡ʃjɐ
monogamia	monoɡɐ̃mia
arrente	aʁẽti
gente	ʒẽt͡ʃi
vegete	veʒɛtʃi
bailanta	bajlãta
sundanesas	sũdɐnezɐs
gamba	ɡɐ̃bɐ
espingarda	espĩɡaʁdɐ
playground	plejɡɾaw̃d͡ʒ
caroçama	kaɾosɐma
rango	ʁɐ̃ɡu
ida	ida
noemi	noemi
aterrou	ateʁow
caráter	kaɾateʁ
tabular	tabular
brejeirar	breʒejɾaʁ
dindim	dʒĩdʒĩ
tradicional	tɾadʒisjonaw
existem	ezistẽj̃
artista	aɾtʃistɐ
ponteira	põtejɾa
lúpulo	lupulu
firmemente	fiʁmimẽt͡ʃi
oca	okɐ
anuir	ɐnuir
picho	piʃu
latisse	lat͡ʃisi
eau	eau
valdemar	vawdemaʁ
accra	akɾɐ
lanterninha	lɐ̃tɛɾniɲɐ
groenlândia	ɡɾoẽlɐ̃d͡ʒia
solidão	solidɐ̃w
aníbal	ɐnibaw
quociente	kwosiẽti
caracol	kaɾakɔw
reformista	ʁefɔʁmistɐ
álbum	awbũ
trítio	tɾit͡ʃiu
passado	pasadu
bons	bõs
marretar	maʁetaʁ
videira	videjɾɐ
homenagem	omenaʒẽj̃
hollywood	hɔliwud͡ʒi
lentícula	lẽt͡ʃikulɐ
sugestivos	suʒest͡ʃivus
núbil	nubiw
pandeiro	pɐ̃dejɾu
cheesecake	t͡ʃiskejk
fazer	fazeɻ
espuma	iʃpũmɐ
capim	kapĩ
bahamas	bahɐmɐs
entrave	ĩtɾavi
arroz	aʁojs
cricri	kɾikɾi
cores	kɔɹs
gente	ʒẽti
gerência	ʒeɾẽsjɐ
tonto	tõtu
espinho	ispiɲu
emagrecer	emaɡɾeseɾ
sinalizar	sinalizaʁ
medroso	medɾozu
atarracar	ataʁakaɾ
liberdade	libeɹdad͡ʒi
monja	mõʒɐ
talher	taʎɛʁ
folk	fowki
xavecar	ʃavekaɾ
voluntário	volũtaɾju
posseiro	posejɾu
saudade	sawdadi
deformação	defoʁmasɐ̃w̃
eoo	eɔu
frank	fɾɐ̃ki
verdadeiramente	veʁdadejɾamẽt͡ʃi
expulsar	ispuwsaʁ
distinção	diʃtĩsɐ̃w̃
usufruto	uzufɾutu
honrado	õwhadu
calculadora	kawkuladora
recompensa	ʁekũpẽsɐ
óculos	ɔkulus
criada	kɾiadɐ
porto	pɔχtu
algo	awɡo
compromisso	kõpɾomiso
bacana	bakɐnɐ
moratória	moɾatɔɾjɐ
disto	d͡ʒistu
coruchéu	koɾuʃɛw
existência	ezistẽsjɐ
compaixão	kõpajʃɐ̃w̃
abaixo	abajʃo
consulado	kõsuladu
blitz	blits
globo	ɡlobu
noite	nojte
lâmpada	lɐ̃pɐdɐ
pimento	pimẽtu
utilidade	ut͡ʃilidad͡ʒi
dor	do
próprio	pɾɔpju
cenoura	senowɾɐ
negro	neɡɾu
limpar	lĩpaʁ
core	kɔɾi
recital	ʁesitaw
borboleta	boʁboleta
queimadura	kẽmaduɾɐ
profícuo	pɾofikwu
grande	ɡɾɐ̃d͡ʒi
súbito	subitu
destra	dɛstɾɐ
fé	fɛ
macaco	makaku
antanho	ɐ̃tɐɲu
nisto	nisto
fogem	fɔʒẽj̃
ferramenta	fɛʁɐmẽtɐ
sudanesa	sudɐnezɐ
chavão	ʃavɐ̃w̃
liberação	libeɾasɐ̃w̃
mudar	mudaɻ
megabyte	mɛɡabajtʃi
donzela	dõzɛla
hérnia	ɛɹniɐ
besta	beʃtɐ
espécie	espɛsji
jamaica	ʒamajkɐ
siririca	siɾiɾika
alertamente	alɛʁtamẽt͡ʃi
desenvolver	dʒizĩvowveʁ
irrupção	iʁupsɐ̃w̃
sabor	saboʁ
velhota	veʎɔtɐ
quebradeira	kebɾadejɾɐ
caçula	kasulɐ
pasto	paʃtu
calar	kalaʁ
rim	ʁĩ
frederico	fɾedeɾiku
condado	kõdado
utópico	utɔpiku
rapaz	ʁapajs
otávio	otavju
conhecimento	koɲesimẽtu
restar	ʁestaʁ
espelho	espeʎo
paciente	pasjẽt͡ʃi
paraíba	paɾaibɐ
novela	novɛla
merchan	meɾʃã
real	ʁeaw
nobélio	nobɛliu
italiano	italjɐnu
adorar	adoɾaʁ
direita	d͡ʒiɾejtɐ
gestapo	ɡestapu
fá	fa
raiano	ʁajɐnu
isopor	izopoʁ
alho	aʎu
estol	istɔw
entediar	ĩted͡ʒiaɻ
picante	pikɐ̃t͡ʃi
lima	lima
disso	d͡ʒisu
artigo	aɻtʃiɡo
tibete	t͡ʃibɛt͡ʃi
conjuro	kõʒuɾu
replantais	ʁeplɐ̃tajs
assobio	asubiu
milkshake	miwkʃejk
õ	õ
ancho	ɐ̃ʃu
entregador	ĩtɾeɡadoχ
luxemburgo	luʃẽbuʁɡu
participar	paʁt͡ʃisipaʁ
propósito	pɾopɔzitu
bishkek	biʃkɛk
noite	nojt͡ʃi
geocêntrico	ʒeosẽtɾiku
psicopata	psikopatɐ
queimadura	kejmaduɾɐ
mal	maw
censuro	sẽsuɾu
ginásio	ʒinazju
assistência	asistẽsjɐ
tapete	tapetʃi
notação	notasɐ̃w̃
massificar	masifikaʁ
traquejar	tɾakeʒaχ
minar	minaʁ
jacto	ʒaktu
araruna	aɾaɾunɐ
alva	awvɐ
morte	mɔhti
zeugma	zewɡimɐ
topete	topɛt͡ʃi
chamar	ʃɐmaɾ
sandália	sɐ̃dalia
maquete	makɛtʃi
sacrifício	sakɾifisju
quitinete	kitʃinɛtʃi
pantera	pɐ̃tɛɾa
punhal	puɲaw
tudo	tudo
livraria	livɾaɾiɐ
fanfarronice	fãfaʁonisi
patas	patɐs
hitler	hitleʁ
dali	dali
tinir	t͡ʃiniʁ
relacionamento	ʁelasjonamẽtu
propor	pɾopoʁ
meus	mews
dedicar	ded͡ʒikaʁ
neblina	neblina
voçoroca	vosoɾɔka
prosaico	pɾozajku
chon	ʃõ
ideal	ideaw
colante	kolɐ̃t͡ʃi
ensino	ẽsinu
totais	totajʃ
bruxa	bɾuʃɐ
adamastor	adɐmastoʁ
degelo	deʒelu
cara	kaɾɐ
competitividade	kõpet͡ʃit͡ʃividad͡ʒi
ué	uɛ
potencial	potẽsiaw
alcancia	awkɐ̃sia
verdadeiro	veʁdadejɾu
fodão	fɔdɐ̃w̃
baboseira	babozejɾa
rabanete	ʁabanet͡ʃi
linho	liɲu
lealdade	leawdad͡ʒi
funcionamento	fũsjonamẽtu
ivan	ivɐ̃
metálica	metalikɐ
grafíti	ɡɾafiti
arriba	aʁibɐ
atlântico	atlɐ̃t͡ʃiku
insígnia	ĩsiɡinjɐ
incel	ĩsɛw
útil	ut͡ʃiw
latia	lat͡ʃiɐ
noção	nosɐ̃w̃
americana	ameɾikɐnɐ
erro	eʁu
vencelho	vẽseʎu
fora	foɾɐ
criptologia	kɾiptoloʒia
presa	pɾezɐ
emburrecer	ĩbuʁeseɾ
preguiça	pɾeɡisɐ
pense	pẽsi
abolição	abolisɐ̃w̃
fíbula	fibula
miasma	mjazmɐ
bufê	bufe
ranger	ʁɐ̃ʒeɾ
definitivos	definit͡ʃivus
sábio	sabiu
sarapatel	saɾapatɛw
pê	pe
quando	kwɐ̃du
loiro	lojɾu
glorificação	ɡloɾifikasɐ̃w̃
bombaim	bõbaĩ
grampear	ɡɾɐ̃pjaʁ
atenas	atenɐs
rito	ʁitu
tu	tu
suábia	suabiɐ
raio	ʁaju
racial	ʁasjaw
paliativo	paljat͡ʃivu
tábua	tabuɐ
vejo	veʒo
fenício	fenisjo
promontório	pɾomõtɔɾiu
partido	paɹt͡ʃidu
trambicagem	tɾãbikaʒẽ
alívio	alivju
concha	kõʃa
pizza	pitsɐ
arminha	aʁmiɲɐ
abundante	abũdɐ̃t͡ʃi
tufão	tufɐ̃w̃
custar	kustaʁ
bater	bateʁ
melodia	melod͡ʒia
galego	ɡaleɡu
urbano	uʁbɐnu
zigoto	ziɡɔtu
malhar	maʎaʁ
martinho	maʁt͡ʃiɲu
exigência	eziʒẽsjɐ
jasão	ʒazɐ̃w̃
escolhos	eskɔʎus
pinque	pĩki
seguridade	seɡuɾidad͡ʒi
baixo	bajʃu
placar	plakar
média	mɛd͡ʒjɐ
criptomoeda	kɾiptomuɛda
apanhar	apɐɲaχ
ourela	owɾɛla
deísta	deistɐ
acerto	asɛɾtu
trova	trɔvɐ
intuição	ĩtuisɐ̃w̃
abrasax	abɾasaks
criptoftalmia	kɾiptoftawmia
chapecoense	ʃapekoẽse
tamanduá	tamɐ̃dua
trégua	tɾɛɡwɐ
positivo	pozit͡ʃivu
tupperware	tapuɛʁ
luz	lujs
borrar	boʁaʁ
pensamento	pẽsɐmẽtu
aderência	adeɾẽsja
lugar	luɡaɻ
psiquiatra	psikjatɾɐ
insônia	ĩsonia
arte	aχt͡ʃi
hipotensão	hipotẽsɐ̃w̃
triangular	tɾiɐ̃ɡulaɾ
cílio	silju
criptídeo	kɾiptʃidʒiu
ei	ej
vogar	voɡaʁ
google	ɡuɡoɫ
dirigir	d͡ʒiɾiʒiɹ
destacar	dʒiʃtakaɾ
valhalla	vawʁalɐ
czar	kzaʁ
rúgbi	ʁuɡbi
mistura	mijʃtuɾɐ
jasmim	ʒazmĩ
solucionar	solusjonaʁ
cometa	kometa
tera	tɛra
radical	ʁad͡ʒikaw
testamento	teʃtamẽtu
lar	laʁ
giratório	ʒiɾatɔɾju
arritmia	aʁit͡ʃimiɐ
papila	papilɐ
uzbeque	uzbɛki
alfarrábio	awfaʁabiu
capitais	kɐpitaiʃ
tratar	tɾataʁ
moisés	mojzɛjs
crisma	kɾizmɐ
carimã	kaɾimɐ̃
eucalipto	ewkaliptu
plotador	plotadoɾ
tais	tajs
soleira	solejɾa
alfinete	awfinɛtʃi
resistir	ʁezistʃiʁ
esperançadora	espeɾɐ̃sadoɾɐ
treno	tɾenu
bucéfalo	busɛfalu
pegar	peɡaʁ
buda	budɐ
repuxada	ʁepuʃadɐ
escravo	iskɾavu
pizzaiolo	pitsajolu
cabide	kabid͡ʒi
série	sɛɾi
traça	tɾasa
mandar	mɐ̃daɹ
época	ɛpukɐ
lembrança	lẽbɾɐ̃sɐ
dedicava	ded͡ʒikavɐ
vilipendiar	vilipẽd͡ʒiaʁ
desistir	dezist͡ʃiʁ
tinhoso	tij̃ozu
temporal	tẽpoɾaw
raquete	ʁakɛt͡ʃi
cecílio	sesiliu
cipozão	sipɔzɐ̃w̃
formulário	foʁmulaɾju
grécia	ɡɾɛsjɐ
esperma	ispɛʁmɐ
pico	piku
confete	kõfɛtʃi
fundação	fũdasɐ̃w̃
angola	ɐ̃ɡɔlɐ
absalão	absalɐ̃w̃
carrapato	kaʁapatu
lameiro	lamejɾu
gerente	ʒeɾẽt͡ʃi
superfície	supeʁfisi
zelo	zelu
flandres	flɐ̃dɾis
duende	duẽd͡ʒi
falcão	fawkɐ̃w̃
desconexo	dʒijʃkonɛksu
ótimo	ɔt͡ʃimo
mina	minɐ
existir	ezist͡ʃiɹ
celeste	selɛʃt͡ʃi
mendigo	mẽd͡ʒiɡu
mancomunado	mãkomunadu
velhota	vɛʎɔtɐ
erevan	eɾevɐ̃
quebec	kebɛk
relato	ʁelatu
amazonas	ɐmazonɐs
carniça	kaʁnisɐ
gôndola	ɡõdolɐ
mar	mah
véi	vɛj
cristão	kɾistɐ̃w̃
boquete	bokɛtʃi
groselha	ɡɾozɛʎa
parietal	paɾietaw
preciso	pɾesizu
pianista	piɐnista
chimarrear	ʃimaʁeaʁ
zelador	zeladoʁ
cartaz	kaɾtas
cheddar	ʃɛdaʁ
traíra	tɾaiɾɐ
gay	ɡej
desaforo	dʒizafoɾu
luxo	luʃu
técnica	tɛkinikɐ
homicídio	omisidʒiw
cajón	kaʁõ
combatente	kõbatẽt͡ʃi
tranquilão	tɾɐ̃kwilɐ̃w̃
peteminion	peteminjõ
turbulento	tuʁbulẽtu
feito	fejtu
dezoito	d͡ʒizojtu
sóbrio	sɔbɾju
rumor	ʁumoɾ
afora	afɔɾa
estender	estẽdeʁ
lábio	labju
estavas	estavas
anzol	ɐ̃zɔw
lento	lẽtu
doído	doidu
tucuxi	tukuʃi
de	de
presente	pɾezẽt͡ʃi
tinha	t͡ʃiɲa
ferreirinha	feʁejɾiɲɐ
só	sɔ
tua	tuɐ
benigno	beniɡinu
virar	viɾaʁ
taco	taku
ruço	ʁusu
quisto	kistu
ovárico	ovaɾiku
lobo	lobu
trivial	tɾiviaw
acabar	akabaʁ
colhão	kuʎɐ̃w̃
escritores	iskɾitoɾis
ouviu	owviw
crítica	kɾitʃikɐ
marinho	maɾiɲu
texto	testo
ocorrer	okoʁeʁ
byte	bajtʃi
tererê	teɾeɾe
tranquilona	tɾɐ̃kwilonɐ
perguntar	peʁɡũtaʁ
pleitear	plejtʃiaɹ
bravura	bɾavuɾa
criptônimo	kɾiptonimu
tareco	tarɛku
ambos	ɐ̃bus
egito	eʒitu
narciso	naʁsizu
ressignificar	ʁesiɡnifikaɾ
abrupto	abɾupto
top	tɔpi
abruptamente	abɾuptamẽte
desde	dejzd͡ʒi
medicina	med͡ʒisina
pardo	paʁdu
acaju	akaʒu
cavoucar	kavokaɾ
segar	seɡaʁ
roer	ʁoeʁ
casamento	kazɐmẽtu
longe	lõʒi
húmus	umus
apavorado	apavoɾadu
antífona	ɐ̃t͡ʃifona
amarelo	amaɾɛlu
instrumento	ĩstɾumẽtu
carranca	kaʁɐ̃kɐ
latirá	lat͡ʃiɾa
mandingar	mãdʒĩɡaχ
madressilva	madɾesiwvɐ
produzir	pɾoduziχ
veia	veja
substituir	subistʃituiʁ
pianinho	piɐniɲu
estrume	estɾumi
pureza	puɾeza
lado	ladu
lacrau	lakɾaw
anuência	anuẽsja
assiriologia	asiɾioloʒia
ofuscante	ofuskɐ̃t͡ʃi
menos	menus
protótipo	pɾotɔt͡ʃipu
sim	sĩj̃
monte	mõte
derrubar	deʁubaʁ
peão	peɐ̃w̃
guarita	ɡwaɾita
vermelho	veɻmeʎo
taiwan	tajwɐ̃
cítara	sitaɾa
lindo	lĩdu
manuscrito	mɐnuskɾitu
trabalho	tɾabaʎu
velcro	vɛwkru
pobre	pɔbɾi
pobreza	pobɾezɐ
fevereiro	feveɾejɾu
hebe	ɛbi
satélite	satɛlitʃi
rosmaninho	ʁozmɐniɲu
cambé	kɐ̃bɛ
tesouro	tezowɾu
pintada	pĩtadɐ
pompom	põpõ
stop	stɔp
língua	lĩɡwɐ
regra	ʁɛɡɾɐ
descarrilamento	deskaʁilamẽtu
sentença	sẽtẽsa
apontamento	apõtamẽtu
cansaço	kɐ̃sasu
lagarto	laɡaʁtu
robô	ʁobo
partilhar	paʁt͡ʃiʎaʁ
alicate	alikat͡ʃi
despenhadeiro	despeɲadejɾu
ora	ɔɾɐ
pesa	pɛzɐ
suprir	supɾiʁ
tenência	tenẽsja
moscou	moskow
poça	posɐ
controlar	kõtɾolaɻ
aldeia	awdejɐ
é	ɛ
gente	ʒẽte
swansea	swɐ̃si
zeloso	zelozu
gravar	ɡɾavaʁ
transporte	tɾɐ̃spɔʁtʃi
jogo	ʒoɡu
webnamorar	wɛbinamoɾaɾ
ficará	fikaɾa
cefeu	sefew
nestas	nɛstɐs
afago	ɐfaɡu
emprego	ĩpɾeɡu
este	ɛste
conquista	kõkistɐ
salsinha	sawsiɲɐ
esse	esi
balzaquiana	bawzakjɐ̃na
lacônico	lakoniku
albano	awbɐnu
janotar	ʒanotaɾ
outono	owtonu
joinha	ʒɔiɲɐ
fulcral	fuwkɾaw
doente	duẽt͡ʃi
bartolomeu	baʁtolomew
golfinho	ɡowfiɲu
serguei	seʁɡej
atrás	atɾajʃ
duunvirato	duũviɾatu
futebol	futebɔw
infinito	ĩfinitu
encalistrar	ĩkalistɾaɾ
champanhe	ʃɐ̃pɐɲi
delay	delej
poema	pɔẽmɐ
verificar	veɾifikaʁ
cantor	kɐ̃toʁ
esposa	espoza
vendável	vẽdavew
transmitir	tɾɐ̃ʃmitiχ
