հեռաձայնել	hɛrɑd͡zɑjnɛl
վայք	vɑjkʰ
վերուվայր	vɛɾuvɑjɾ
ուղղախոսություն	uʁːɑχɔsutʰjun
ձախող	d͡zɑχɔʁ
լեռնային	lɛrnɑjin
ճաղաշարք	t͡ʃɑʁɑʃɑɾkʰ
աբստրակտ	ɑpʰstɾɑkt
աստրախան	ɑstɾɑχɑn
բարով	bɑɾɔv
մամբո	mɑmbɔ
կապուտան	kɑputɑn
պոպուլիստ	pɔpulist
կոչեցյալ	kɔt͡ʃʰɛt͡sʰjɑl
կասկածելի	kɑskɑt͡sɛli
մալդիվերեն	mɑldivɛɾɛn
կացարան	kɑt͡sʰɑɾɑn
համագումար	hɑmɑɡumɑɾ
արշակունյաց	ɑɾʃɑkunjɑt͡sʰ
ավանդ	ɑvɑnd
ծովախորշ	t͡sɔvɑχɔɾʃ
օրենք	ɔɾɛŋkʰ
ցաքատ	t͡sʰɑkʰɑt
գնոստիկական	ɡənɔstikɑkɑn
հրաժեշտախնջույք	həɾɑʒɛʃtɑχənd͡ʒujkʰ
երկինք	jɛɾkiŋkʰ
ասկանիոս	ɑskɑnijɔs
աբխազ	ɑpʰχɑz
դարձվոր	dɑɾt͡sʰvɔɾ
կործանում	kɔɾt͡sɑnum
պար	pɑɾ
պաճուճաբանություն	pɑt͡ʃut͡ʃɑbɑnutʰjun
բարբանջել	bɑɾbɑnd͡ʒɛl
ճեպազրույց	t͡ʃɛpɑzəɾujt͡sʰ
թհիմփհու	tʰhimpʰhu
հայթայթել	hɑjtʰɑjtʰɛl
պարկավոր	pɑɾkɑvɔɾ
պինդոս	pindɔs
համալիր	hɑmɑliɾ
կանբեռա	kɑnbɛrɑ
անդրուար	ɑndɾuɑɾ
ստվարածավալ	əstəvɑɾɑt͡sɑvɑl
ուղեւոր	uʁɛvɔɾ
ազբ	ɑzb
կլեպ	kəlɛp
ալկոգել	ɑlkɔɡɛl
չվառ	t͡ʃʰəvɑr
վհատ	vəhɑt
նամակ	nɑmɑk
տրենաժոր	tɾɛnɑʒɔɾ
ներկարար	nɛɾkɑɾɑɾ
ուրդու	uɾdu
չուվաշերեն	t͡ʃʰuvɑʃɛɾɛn
կալիֆոռնիա	kɑlifɔrnjɑ
աղոթք	ɑʁɔtʰkʰ
լիկիերեն	likijɛɾɛn
նվաճում	nəvɑt͡ʃum
օգնամերժ	ɔkʰnɑmɛɾʒ
պահպանողական	pɑhpɑnɔʁɑkɑn
մարտարվեստ	mɑɾtɑɾvɛst
կամավորական	kɑmɑvɔɾɑkɑn
հիմնադրում	himnɑdɾum
հավաի	hɑvɑi
ինտերլինգվա	intɛɾliŋɡvɑ
կոճակ	kɔt͡ʃɑk
բարձրություն	bɑɾt͡sʰɾutʰjun
հաճարի	hɑt͡ʃɑɾi
սիցիլիա	sit͡sʰiljɑ
կոթ	kɔtʰ
նռնականետ	nərnɑkɑnɛt
հաշվում	hɑʃvum
օղակ	ɔʁɑk
են	ɛn
փողահար	pʰɔʁɑhɑɾ
ընդգծել	əndɡət͡sɛl
բաալբեկ	bɑɑlbɛk
արյունահոսություն	ɑɾjunɑhɔsutʰjun
ապահովագրություն	ɑpɑhɔvɑɡɾutʰjun
ոտնակ	vɔtnɑk
սարսափազդու	sɑɾsɑpʰɑzdu
ագուցանել	ɑɡut͡sʰɑnɛl
ցցունք	t͡sʰət͡sʰuŋkʰ
լիազորված	ljɑzɔɾvɑt͡s
դաղալ	dɑʁɑl
մնացորդ	mənɑt͡sʰɔɾtʰ
խաչմերուկ	χɑt͡ʃʰmɛɾuk
սովալլուկ	sɔvɑlːuk
պաշտպանել	pɑʃtpɑnɛl
հուանհե	huɑnhɛ
մակեդոնական	mɑkɛdɔnɑkɑn
դեմոկրատական	dɛmɔkɾɑtɑkɑn
իջեւան	id͡ʒɛvɑn
այն	ɑjn
սագ	sɑɡ
շամախի	ʃɑmɑχi
խնամ	χənɑm
մանեթ	mɑnɛtʰ
թեւք	tʰɛfkʰ
համառ	hɑmɑr
համք	hɑmkʰ
հնոցապան	hənɔt͡sʰɑpɑn
քեռայր	kʰɛrɑjɾ
արհամարհել	ɑrhɑmɑɾɛl
փեշմարգա	pʰɛʃmɑɾɡɑ
վերջը	vɛɾt͡ʃʰə
պապիկ	pɑpik
սարսափ	sɑɾsɑpʰ
ֆեոդալ	fjɔdɑl
ույղուրերեն	ujʁuɾɛɾɛn
վերցնել	vɛɾt͡sʰnɛl
դաշտամուկ	dɑʃtɑmuk
լավա	lɑvɑ
փիլաքյան	pʰilɑkʰjɑn
հայասերեն	hɑjɑsɛɾɛn
կասկածել	kɑskɑt͡sɛl
ջրիմուռներ	d͡ʒəɾimurnɛɾ
կրակ	kəɾɑk
խոհ	χɔh
վանկել	vɑŋkɛl
գլխովին	ɡəlχɔvin
ալկաշ	ɑlkɑʃ
աշխարհահռչակ	ɑʃχɑɾɑhərt͡ʃʰɑk
անոթի	ɑnɔtʰi
վայր	vɑjɾ
տեղիք	tɛʁikʰ
գործունեություն	ɡɔɾt͡sunɛutʰjun
զրույց	zəɾujt͡sʰ
լինց	lint͡sʰ
դնեստր	dnɛstəɾ
փապար	pʰɑpɑɾ
եռանկյունի	jɛrɑŋkjuni
ագահ	ɑɡɑh
փեյջեր	pʰɛjd͡ʒɛɾ
լեզվաբուն	lɛzvɑbun
հափշտակում	hɑpʰʃtɑkum
հասարակագիտություն	hɑsɑɾɑkɑɡitutʰjun
աղոտ	ɑʁɔt
ստանձնել	əstɑnd͡zənɛl
կշռադատել	kəʃrɑdɑtɛl
բուստ	bust
խորշոմ	χɔɾʃɔm
վիթ	vitʰ
լեզվակ	lɛzvɑk
բազա	bɑzɑ
իսկական	iskɑkɑn
միրուք	miɾukʰ
գործ	ɡɔɾt͡s
ծաղկեփունջ	t͡sɑχkɛpʰund͡ʒ
արբելա	ɑɾbɛlɑ
զինվոր	zinvɔɾ
կլորավուն	kəlɔɾɑvun
թարթիչ	tʰɑɾtʰit͡ʃʰ
նեւա	nɛvɑ
մեղրի	mɛʁɾi
էսկալացիա	ɛskɑlɑt͡sʰjɑ
դասական	dɑsɑkɑn
դառ	dɑr
վերջնամրցում	vɛɾt͡ʃʰnɑməɾt͡sʰum
ճտճտալ	t͡ʃətət͡ʃtɑl
կարակաս	kɑɾɑkɑs
հոնորիոս	hɔnɔɾiɔs
վերականգնման	vɛɾɑkɑŋɡnəmɑn
բիշկեկ	biʃkɛk
փիչխ	pʰit͡ʃʰχ
փոկիա	pʰɔkjɑ
խատուտիկ	χɑtutik
դեղաբույս	dɛʁɑbujs
անձրեւ	ɑnd͡zɾɛv
պատանդ	pɑtɑnd
ծիրան	t͡siɾɑn
ատոմային	ɑtɔmɑjin
եթովպիա	jɛtʰɔfpjɑ
խանձարուր	χɑnd͡zɑɾuɾ
սուլթան	sultʰɑn
ածիկ	ɑt͡sik
վերջաքմային	vɛɾt͡ʃʰɑkʰəmɑjin
անուր	ɑnuɾ
որոշում	vɔɾɔʃum
անտիոքյան	ɑntiɔkʰjɑn
թերագնահատում	tʰɛɾɑɡənɑhɑtum
նրանով	nɾɑnɔv
գյոռբագյոռ	ɡjɔrbɑɡjɔr
բրատիսլավա	bɾɑtislɑvɑ
տուփ	tupʰ
լյոքշ	ljɔkʰʃ
լաչառ	lɑt͡ʃʰɑr
անդրանիկ	ɑndɾɑnik
պարադոքսային	pɑɾɑdɔkʰsɑjin
ստորանալ	əstɔɾɑnɑl
վերուվեր	vɛɾuvɛɾ
առերեսվել	ɑrɛɾɛsvɛl
պարզ	pɑɾz
խորովել	χɔɾɔvɛl
հերոսաբար	hɛɾɔsɑbɑɾ
ուսուցանել	usut͡sʰɑnɛl
շինարար	ʃinɑɾɑɾ
դրոշմ	dəɾɔʃm
առողջացնել	ɑrɔχt͡ʃʰɑt͡sʰnɛl
հպարտ	həpɑɾt
առավոտ	ɑrɑvɔt
կրասնոդար	kɾɑsnɔdɑɾ
որդեգրություն	vɔɾtʰɛɡəɾutʰjun
աղտ	ɑχt
չորավուն	t͡ʃʰɔɾɑvun
ներկ	nɛɾk
կռահել	kərɑhɛl
քավ	kʰɑv
հակառակ	hɑkɑrɑk
մռութ	mərutʰ
երեմիա	jɛɾɛmjɑ
օլիգարխիա	ɔliɡɑɾχjɑ
հորեղբայր	hɔɾɛχpɑjɾ
սպարապետ	əspɑɾɑpɛt
շտանգա	əʃtɑŋɡɑ
մսակեր	məsɑkɛɾ
կլայեկ	kəlɑjɛk
հինգշաբթի	hiŋɡʃɑpti
դրամատուրգ	dɾɑmɑtuɾɡ
այսինքն	ɑjsiŋkʰən
գանգրել	ɡɑŋɡɾɛl
կաստայական	kɑstɑjɑkɑn
հուսադրել	husɑdɾɛl
միս	mis
ոռնալ	vɔrnɑl
աղանդավորական	ɑʁɑndɑvɔɾɑkɑn
կոմպետենտ	kɔmpɛtɛnt
գանգրահեր	ɡɑŋɡɾɑhɛɾ
կայք	kɑjkʰ
հոլանդացի	hɔlɑndɑt͡sʰi
թվարկել	tʰəvɑɾkɛl
պատուհաս	pɑtuhɑs
սուչավա	sut͡ʃʰɑvɑ
մամ	mɑm
հասցե	hɑst͡sʰɛ
տնջրի	tənd͡ʒəɾi
հանդբոլ	hɑndbɔl
անհնազանդ	ɑnhənɑzɑnd
անասնաբույժ	ɑnɑsnɑbujʒ
հասու	hɑsu
իզոտոպ	izɔtɔp
մոռ	mɔr
պարգեւել	pɑɾkʰɛvɛl
ջարքանդ	d͡ʒɑɾkʰɑnd
անդրբայկալ	ɑndəɾbɑjkɑl
անշուշտ	ɑnʃuʃt
ալինա	ɑlinɑ
հետազոտող	hɛtɑzɔtɔʁ
բրդել	bəɾtʰɛl
բիշքեկ	biʃkʰɛk
աղորիք	ɑʁɔɾikʰ
դաշտերում	dɑʃtɛɾum
խսհմ	χəsəhəm
արդարեւ	ɑɾtʰɑɾɛv
նուրբ	nuɾpʰ
ատամ	ɑtɑm
գնոստիկ	ɡənɔstik
իսլամացում	islɑmɑt͡sʰum
սերգեյ	sɛɾɡɛj
շիջել	ʃid͡ʒɛl
սամիթ	sɑmitʰ
նեղանալ	nɛʁɑnɑl
վերջաշեշտ	vɛɾt͡ʃʰɑʃɛʃt
օրանգուտանգ	ɔɾɑŋɡutɑŋɡ
հռոմեացի	hərɔmɛjɑt͡sʰi
նորապսակ	nɔɾɑpəsɑk
վաճառավայր	vɑt͡ʃɑrɑvɑjɾ
համբարձում	hɑmbɑɾt͡sʰum
որոջ	vɔɾɔd͡ʒ
մնացյալ	mənɑt͡sʰjɑl
ծրագրակազմ	t͡səɾɑɡəɾɑkɑzm
գլաքար	ɡəlɑkʰɑɾ
միջատասպան	mit͡ʃʰɑtɑspɑn
չեչեներեն	t͡ʃʰɛt͡ʃʰɛnɛɾɛn
բրեցել	bɾɛt͡sʰɛl
թամիլնադ	tʰɑmilnɑd
խոնավավուն	χɔnɑvɑvun
հեթում	hɛtʰum
խմոր	χəmɔɾ
կամուրջ	kɑmuɾd͡ʒ
կորնգան	kɔɾəŋɡɑn
լրտեսություն	ləɾtɛsutʰjun
վհատորեն	vəhɑtɔɾɛn
առակ	ɑrɑk
կոմպոզիտոր	kɔmpɔzitɔɾ
աննման	ɑnːəmɑn
բացականչություն	bɑt͡sʰɑkɑnt͡ʃʰutʰjun
բարբառային	bɑɾbɑrɑjin
անկախ	ɑŋkɑχ
տուգանք	tuɡɑŋkʰ
քիլիմ	kʰilim
մգեցում	məkʰɛt͡sʰum
գտածո	ɡətɑt͡sɔ
գոյություն	ɡɔjutʰjun
կրակել	kəɾɑkɛl
քաջվարդ	kʰɑd͡ʒvɑɾtʰ
լողակ	lɔʁɑk
զողալ	zɔʁɑl
արագածոտն	ɑɾɑɡɑt͡sɔtən
խոսրով	χɔsɾɔv
գորտ	ɡɔɾt
օդատիեզերական	ɔtʰɑtjɛzɛɾɑkɑn
դյուրավ	djuɾɑv
համանախագահ	hɑmɑnɑχɑɡɑh
սագո	sɑɡɔ
հի	hi
պողովատ	pɔʁɔvɑt
պատառել	pɑtɑrɛl
մեծապես	mɛt͡sɑpɛs
խրճիթ	χəɾt͡ʃitʰ
մատնանշել	mɑtnɑnəʃɛl
ս	sə
կարիք	kɑɾikʰ
ասկետիզմ	ɑskɛtizm
դավայ	dɑvɑj
հյուրովդ	hjuɾɔvəd
տեխաս	tɛχɑs
մակբայական	mɑkbɑjɑkɑn
քննադատել	kʰənːɑdɑtɛl
ստորագրություն	əstɔɾɑɡɾutʰjun
անդրավարտիք	ɑndɾɑvɑɾtikʰ
անտերունչ	ɑntɛɾunt͡ʃʰ
արտահերթ	ɑɾtɑhɛɾtʰ
ֆաշիստ	fɑʃist
թունավորել	tʰunɑvɔɾɛl
շեռ	ʃɛr
հավանական	hɑvɑnɑkɑn
օրենբուրգ	ɔɾɛnbuɾɡ
կլոր	kəlɔɾ
լաոս	lɑɔs
ֆոնոն	fɔnɔn
ալքիմիկոս	ɑlkʰimikɔs
շաբաթվա	ʃɑpʰɑtʰvɑ
ազդվել	ɑzdvɛl
լոմբարդացի	lɔmbɑɾdɑt͡sʰi
բրնձապուր	bəɾənd͡zɑpuɾ
խաղաղություն	χɑʁɑʁutʰjun
հարակիրի	hɑɾɑkiɾi
անալի	ɑnɑli
շարունակություն	ʃɑɾnɑkutʰjun
պորտվեյն	pɔɾtvɛjn
օգոստոս	ɔɡɔstɔs
քարաթոթոշ	kʰɑɾɑtʰɔtʰɔʃ
հակագրոհ	hɑkɑɡəɾɔh
սիմվոլիկ	simvɔlik
հարգել	hɑɾɡɛl
ատակ	ɑtɑk
տեխնիկական	tɛχnikɑkɑn
հաստիչ	hɑstit͡ʃʰ
հրուդեն	həɾudɛn
գանգրաշուք	ɡɑŋɡɾɑʃukʰ
յուրօրինակ	juɾɔɾinɑk
տնտեսագիտական	təntɛsɑɡitɑkɑn
երախայրի	jɛɾɑχɑjɾi
ջրային	d͡ʒəɾɑjin
եղիազար	jɛʁjɑzɑɾ
աղ	ɑʁ
ալիստեր	ɑlistɛɾ
բողոճ	bɔʁɔt͡ʃ
աշխույժ	ɑʃχujʒ
ամերիկական	ɑmɛɾikɑkɑn
կենտրոնանալ	kɛntɾɔnɑnɑl
թալիբ	tʰɑlib
վիբորգ	vibɔɾɡ
ժուռնալ	ʒurnɑl
համահայկական	hɑmɑhɑjkɑkɑn
սխրանք	səχɾɑŋkʰ
սիկկիմ	sikːim
սաղանալ	sɑʁɑnɑl
դեղձենի	dɛχt͡sʰɛni
ճաղատ	t͡ʃɑʁɑt
ելք	jɛlkʰ
սրբոսկր	səɾpʰɔskəɾ
սեպագիր	sɛpɑɡiɾ
իլ	il
թավա	tʰɑvɑ
խոշոր	χɔʃɔɾ
նռնենի	nərnɛni
լոշիկ	lɔʃik
հյուրերիդ	hjuɾɛɾid
օկուպացիա	ɔkupɑt͡sʰjɑ
գյոթ	ɡjɔtʰ
փորձարկիչ	pʰɔɾt͡sʰɑɾkit͡ʃʰ
փայլունակություն	pʰɑjlunɑkutʰjun
ասոցիացիա	ɑsɔt͡sʰjɑt͡sʰjɑ
կոկորդ	kɔkɔɾtʰ
մոտիվացիա	mɔtivɑt͡sʰjɑ
անատոլիական	ɑnɑtɔljɑkɑn
փորձարկել	pʰɔɾt͡sʰɑɾkɛl
հակաօսմանյան	hɑkɑɔsmɑnjɑn
անքաղաքավարություն	ɑŋkʰɑʁɑkʰɑvɑɾutʰjun
ագուցահանել	ɑɡut͡sʰɑhɑnɛl
գագաթնաժողով	ɡɑɡɑtʰnɑʒɔʁɔv
ջրամբար	d͡ʒəɾɑmbɑɾ
բազկաթոռ	bɑzkɑtʰɔr
փարթամակյաց	pʰɑɾtʰɑmɑkjɑt͡sʰ
ագարականալ	ɑɡɑɾɑkɑnɑl
հիմ	him
աճուրդ	ɑt͡ʃuɾtʰ
փախլավա	pʰɑχlɑvɑ
բահիկ	bɑhik
լիզել	lizɛl
շեղ	ʃɛʁ
մանվածապատություն	mɑnvɑt͡sɑpɑtutʰjun
բիրոբիջան	biɾɔbid͡ʒɑn
ջազվե	d͡ʒɑzvɛ
ինքնագիր	iŋkʰnɑɡiɾ
բարաք	bɑɾɑkʰ
հոտ	hɔt
անտիսթենես	ɑntistʰɛnɛs
հումուս	humus
ռիչարդ	rit͡ʃʰɑɾd
հապաղեցնել	hɑpɑʁɛt͡sʰnɛl
ռաբիզ	rɑbiz
բաժանել	bɑʒɑnɛl
ամուսնություն	ɑmusnutʰjun
վաճառատեղի	vɑt͡ʃɑrɑtɛʁi
հասցեատեր	hɑst͡sʰɛɑtɛɾ
ոգեւորվել	vɔkʰɛvɔɾvɛl
տերեփուկ	tɛɾɛpʰuk
սարիղամիշ	sɑɾiʁɑmiʃ
կզաքիս	kəzɑkʰis
կոլխիդա	kɔlχidɑ
գուգսիկ	ɡuɡsik
նկարահանում	nəkɑɾɑhɑnum
անհայտ	ɑnhɑjt
ջղայնացնել	d͡ʒəʁɑjnɑt͡sʰnɛl
բենգալուրու	bɛŋɡɑluɾu
եատմ	jɛɑtəmə
բոշա	bɔʃɑ
քարտաշյան	kʰɑɾtɑʃjɑn
սնահավատություն	sənɑhɑvɑtutʰjun
ալեկոծել	ɑlɛkɔt͡sɛl
շփոթություն	ʃəpʰɔtʰutʰjun
բրինձ	bəɾind͡z
խիթք	χitʰkʰ
ռիոն	rijɔn
աժ	ɑʒə
հազար	hɑzɑɾ
սիմոնիդես	simɔnidɛs
բակ	bɑk
հռետորաբանություն	hərɛtɔɾɑbɑnutʰjun
կրոն	kəɾɔn
եղեգն	jɛʁɛɡən
ուսանող	usɑnɔʁ
դադարել	dɑtʰɑɾɛl
հառաչանք	hɑrɑt͡ʃʰɑŋkʰ
ցխինվալ	t͡sʰχinvɑl
աշգաբատ	ɑʃɡɑbɑt
անգղ	ɑŋɡəʁ
լայնատարած	lɑjnɑtɑɾɑt͡s
թեզան	tʰɛzɑn
երեսուն	jɛɾɛsun
առնչություն	ɑrənt͡ʃʰutʰjun
համոզկեր	hɑmɔzkɛɾ
նիկոլ	nikɔl
ստանալ	əstɑnɑl
ստվարաբուն	əstəvɑɾɑbun
մույկ	mujk
հյուս	hjus
քառուղի	kʰɑruʁi
արդիականացում	ɑɾdijɑkɑnɑt͡sʰum
թողնել	tʰɔʁnɛl
աստրոլաբ	ɑstɾɔlɑb
երկմտել	jɛɾkmətɛl
արվեստ	ɑɾvɛst
փաթիլ	pʰɑtʰil
վավեր	vɑvɛɾ
քաղաքագետ	kʰɑʁɑkʰɑɡɛt
տագալերեն	tɑɡɑlɛɾɛn
աղաչել	ɑʁɑt͡ʃʰɛl
խտրականություն	χətɾɑkɑnutʰjun
ժամկոչ	ʒɑmkɔt͡ʃʰ
մտադիր	mətɑdiɾ
կովադիաց	kɔvɑdijɑt͡sʰ
ալեհավաք	ɑlɛhɑvɑkʰ
սյունակ	sjunɑk
երգեցողություն	jɛɾkʰɛt͡sʰɔʁutʰjun
կաղջին	kɑʁd͡ʒin
լուծել	lut͡sɛl
կղզիախումբ	kəʁzijɑχumb
կոստյում	kɔstjum
լվածաղիկ	ləvɑt͡sɑʁik
հայեր	hɑjɛɾ
ազգուտակ	ɑzɡutɑk
զոհ	zɔh
գերեվարում	ɡɛɾɛvɑɾum
ավանդել	ɑvɑndɛl
անձնական	ɑnd͡znɑkɑn
փեշքեշ	pʰɛʃkʰɛʃ
դիվան	d͡zivɑn
ծիծեռ	t͡sit͡sɛr
շամիրամ	ʃɑmiɾɑm
անկարա	ɑŋkɑɾɑ
փայտիկ	pʰɑjtik
եղնիկ	jɛʁnik
փափագ	pʰɑpʰɑɡ
հասակ	hɑsɑk
երեկ	jɛɾɛk
առաջնեկ	ɑrɑt͡ʃʰnɛk
գիշատել	ɡiʃɑtɛl
գաղափար	ɡɑʁɑpʰɑɾ
սվերդլովսկ	svəɾdlɔfsk
կենաց	kɛnɑt͡sʰ
բնավորություն	bənɑvɔɾutʰjun
գյոզ	ɡjɔz
սեւան	sɛvɑn
ֆրակ	fəɾɑk
մզկիթ	məzkitʰ
ներքուստ	nɛɾkʰust
պանամա	pɑnɑmɑ
ոսկու	vɔsku
անզգայաբար	ɑnzɡɑjɑbɑɾ
զարհուրիկ	zɑɾhuɾik
ջրկոտեմ	d͡ʒəɾkɔtɛm
խնձորուկ	χənd͡zɔɾuk
իռլանդիա	irlɑndjɑ
չիդար	t͡ʃʰidɑɾ
դոդ	dɔd
բերբեր	bɛɾbɛɾ
ազգական	ɑzɡɑkɑn
վերջնազարդ	vɛɾt͡ʃʰnɑzɑɾtʰ
գորբաչով	ɡɔɾbɑt͡ʃʰɔv
ապավինել	ɑpɑvinɛl
հատակ	hɑtɑk
ոնց	vɔnt͡sʰ
գաղտնիք	ɡɑχtnikʰ
ամուլ	ɑmul
ամբարիշտ	ɑmbɑɾiʃt
կիմրերեն	kimɾɛɾɛn
հայաբնակ	hɑjɑbənɑk
սալմաստ	sɑlmɑst
գաղութ	ɡɑʁutʰ
հայտնապես	hɑjtnɑpɛs
վերուվարել	vɛɾuvɑɾɛl
փղշտացի	pʰəʁəʃtɑt͡sʰi
տրուսիկ	tɾusik
թվիթեր	tʰvitʰɛɾ
օրհնել	ɔɾtʰnɛl
մարքսիզմ	mɑɾkʰsizm
երկսայր	jɛɾksɑjɾ
վեմ	vɛm
ահարոն	ɑhɑɾɔn
բոյկոտ	bɔjkɔt
պաշտպանել	pɑʃpɑnɛl
ծղուկ	t͡səʁuk
ախալքալաքի	ɑχɑlkʰɑlɑkʰi
գրագիտուհի	ɡəɾɑɡituhi
եկատերինբուրգ	jɛkɑtɛɾinbuɾɡ
բագաժնիկ	bɑɡɑʒnik
թագուհի	tʰɑkʰuhi
լիբրացիա	libɾɑt͡sʰjɑ
միայնակ	mijɑjnɑk
մադագասկար	mɑdɑɡɑskɑɾ
ճոռոմախոսություն	t͡ʃɔrɔmɑχɔsutʰjun
ահրիման	ɑhɾimɑn
ղալիբ	ʁɑlib
սկալդ	əskɑld
անդորրա	ɑndɔɾːɑ
նքողել	nəkʰɔʁɛl
երուսաղեմ	jɛɾusɑʁɛm
համեմատություն	hɑmɛmɑtutʰjun
կատալիզատոր	kɑtɑlizɑtɔɾ
կթոտ	kətʰɔt
մեծագույն	mɛt͡sɑɡujn
բուրդ	buɾtʰ
հհկ	həhəkə
աշակերտուհի	ɑʃɑkɛɾtuhi
վերմակասավան	vɛɾmɑkɑsɑvɑn
խելոք	χɛlɔkʰ
զեղչել	zɛχt͡ʃʰɛl
տուտ	tut
ողորկ	vɔʁɔɾk
խուց	χut͡sʰ
մաղձ	mɑʁd͡z
քսենոկրատես	kʰsɛnɔkɾɑtɛs
շոգենավ	ʃɔkʰɛnɑv
կիրճ	kiɾt͡ʃ
խոստովանել	χɔstɔvɑnɛl
նիլսբորիում	nilsbɔɾijum
եվրոպա	jɛvɾɔpɑ
գյափիկ	ɡjɑpʰik
ուստի	usti
փոխզիջում	pʰɔχzit͡ʃʰum
հնագետ	hənɑɡɛt
սրահ	səɾɑh
չուլ	t͡ʃʰul
վերջաքիմք	vɛɾt͡ʃʰɑkʰimkʰ
օգտանուն	ɔkʰtɑnun
մարտիկ	mɑɾtik
սիկտիր	siktiɾ
խնդրություն	χəntʰɾutʰjun
հակաթույն	hɑkɑtʰujn
առուշանյան	ɑruʃɑnjɑn
ավտոմայրուղի	ɑftɔmɑjɾuʁi
ռազիան	rɑzjɑn
կործանել	kɔɾt͡sɑnɛl
ստուդիա	əstudjɑ
նախանձվել	nɑχɑnd͡zvɛl
գործվածք	ɡɔɾt͡svɑt͡skʰ
վերջնաշեշտ	vɛɾt͡ʃʰnɑʃɛʃt
սանձել	sɑnd͡zɛl
ապուխտ	ɑpuχt
ընթանալ	əntʰɑnɑl
նախանձ	nɑχɑnd͡z
վատիկան	vɑtikɑn
ֆեոդալիզմ	fjɔdɑlizm
գռեհիկ	ɡərɛhik
ակնային	ɑknɑjin
ֆոտոն	fɔtɔn
տաճարական	tɑt͡ʃɑɾɑkɑn
բեն	bɛn
պատճառ	pɑtt͡ʃɑr
հեղվել	hɛʁvɛl
դաքքա	dɑkʰːɑ
դեդլայն	dɛdlɑjn
աջլիկ	ɑt͡ʃʰlik
տրիպուրա	tɾipuɾɑ
կանգառ	kɑŋɡɑr
հյուրս	hjuɾəs
սատուռն	sɑturn
որտեւ	vɔɾtɛv
արժանթին	ɑɾʒɑntʰin
զոհասեղան	zɔhɑsɛʁɑn
երկնչոտ	jɛɾkənt͡ʃʰɔt
ջրաքիս	d͡ʒəɾɑkʰis
լոր	lɔɾ
քրքում	kʰəɾkʰum
հեռագիր	hɛrɑɡiɾ
ստիպել	əstipɛl
բելառուս	bɛlɑrus
զզվել	zəzvɛl
սուբյեկտիվություն	subjɛktivutʰjun
աստղագնաց	ɑstʁɑɡənɑt͡sʰ
օսմանուհի	ɔsmɑnuhi
այլատյաց	ɑjlɑtjɑt͡sʰ
կանացի	kɑnɑt͡sʰi
ոլորան	vɔlɔɾɑn
փարա	pʰɑɾɑ
թավալ	tʰɑvɑl
հարակատար	hɑɾɑkɑtɑɾ
դաշտերով	dɑʃtɛɾɔv
դանդուռ	dɑndur
կոնական	kɔnɑkɑn
դավադրության	dɑvɑdɾutʰjɑn
մրսել	məɾsɛl
աղանդավորություն	ɑʁɑndɑvɔɾutʰjun
նորություններ	nɔɾutʰjunːɛɾ
բարձրաձայնել	bɑɾt͡sʰɾɑd͡zɑjnɛl
վայրկենական	vɑɾkɛnɑkɑn
երեսուն	jɛrɛsun
ծունկ	t͡suŋk
անգյալ	ɑŋɡjɑl
ղուկաս	ʁukɑs
բակո	bɑkɔ
ներդաշնակ	nɛɾdɑʃnɑk
քյաբաբ	kʰjɑbɑb
աստղ	ɑstəʁ
ապոլլոն	ɑpɔlɔn
կատարյալ	kɑtɑɾjɑl
կինո	kinɔ
վտակ	vətɑk
ֆինլանդական	finlɑndɑkɑn
ատրճանակ	ɑtəɾt͡ʃɑnɑk
ռազմ	rɑzm
պրոլյուվիալ	pɾɔljuvijɑl
տարի	tɑɾi
գալիս	ɡɑlis
քոր	kʰɔɾ
կերոսին	kɛɾɔsin
սննդամթերք	sənəndɑmətʰɛɾkʰ
գրադիենտ	ɡəɾɑdjɛnt
բանավեճ	bɑnɑvɛt͡ʃ
քթնել	kʰətʰnɛl
ախոյան	ɑχɔjɑn
կանխագրել	kɑnχɑɡəɾɛl
սերբերեն	sɛɾbɛɾɛn
վրաերթ	vəɾɑjɛɾtʰ
գծիկ	ɡət͡sik
ինչի	int͡ʃʰi
թուրքմենստան	tʰuɾkʰmɛnstɑn
մեսրոպ	mɛsɾɔp
անտառ	ɑntɑr
եռանկյուն	jɛrɑŋkjun
զիբիլանոց	zibilɑnɔt͡sʰ
ամլիկ	ɑmlik
վերնախավ	vɛɾnɑχɑv
քույր	kʰujɾ
բարբանջ	bɑɾbɑnd͡ʒ
արտույտ	ɑɾtujt
քեռու	kʰɛru
երնջակ	jɛɾənd͡ʒɑk
վայրաշարժ	vɑjɾɑʃɑɾʒ
գեղձի	ɡɛʁd͡zi
նախադեպ	nɑχɑdɛp
լուցկի	lut͡sʰki
ճեմասրահ	t͡ʃɛmɑsəɾɑh
մազ	mɑz
ձեռքսեղմում	d͡zɛrkʰsɛχmum
որեւէ	vɔɾɛvɛ
խորհրդանշական	χɔɾəɾtʰɑnəʃɑkɑn
քուռակ	kʰurɑk
հառաչք	hɑrɑt͡ʃʰkʰ
ամբարտավանական	ɑmbɑɾtɑvɑnɑkɑn
բառակապակցություն	bɑrɑkɑpɑkt͡sʰutʰjun
մոտամոտ	mɔtɑmɔt
վանկուվեր	vɑŋkuvɛɾ
շնչափող	ʃənt͡ʃʰɑpʰɔʁ
