של	ʃl
לעתיד	lʔtˈid
לתקופת	ltkvft
מודיעין	mvdˈiin
נובמבר	nvvmvʁ
נפגעו	nfɡʔv
דורג	dvʁɡ
הבת	ʔvt
הוצב	ʔvtsv
הסיני	ʔsˈini
העיקריות	ʔˈikʁivt
השליט	ʔʃlˈit
התייחס	ʔtˈijχs
התפתחו	ʔtftχv
והאחרון	vʔʔχʁvn
וחוסר	vχvsʁ
חייבת	χˈijvt
מאפשרים	mʔfʃʁˈim
מחשבים	mχʃvˈim
מטבעות	mtvʔvt
מקיף	mkˈif
ספריו	sfʁˈiv
שלבים	ʃlvˈim
באמצעים	vʔmtsˈim
באפריקה	vʔfʁˈikʔ
בייחוד	vˈijχvd
הזמר	ʔzmʁ
החלוקה	ʔχlvkʔ
המהדורה	ʔmʔdvʁʔ
המספרים	ʔmsfʁˈim
המקובלת	ʔmkvvlt
הנחיתה	ʔnχˈitʔ
לאנשי	lʔnʃj
סימנים	sˈimnim
אילו	ˈilv
בחשבון	vχʃvvn
גיבור	ɡˈivvʁ
דואר	dvʔʁ
דצמבר	dtsmvʁ
המשמעות	ʔmʃmʔvt
המתים	ʔmtˈim
הניסוי	ʔnˈisvj
העובד	ʔʔvvd
הצורה	ʔtsvʁʔ
זהים	zˈim
חקיקה	χkˈikʔ
טוני	tvnˈi
כביכול	χvˈiχvl
להתחרות	lʔtχʁvt
לשיא	lʃjʔ
מודרנית	mvdʁnˈit
מופע	mvfʔ
מפלגה	mflɡʔ
מפלגות	mflɡvt
נוכח	nvχχ
נמנה	nmnʔ
נתוני	ntvnˈi
עשויות	ʔʃvjvt
פצועים	ftsvˈim
רבע	ʁvʔ
שנתן	ʃntn
תהליכי	tʔlˈiχi
תכונה	tχvnʔ
בדיקת	vdˈikt
בישיבה	vˈiʃjvʔ
האגף	ʔʔɡf
המפגש	ʔmfɡʃ
הסמכות	ʔsmχvt
הערכים	ʔʔʁχˈim
הרופא	ʔʁvfʔ
טוענת	tvʔnt
ידיים	jdˈijm
לכדור	lχdvʁ
לפניו	lfnˈiv
מתנדבים	mtndvˈim
ריי	ʁˈij
אמריקאית	ʔmʁˈikit
בכנסייה	vχnsˈijʔ
במילה	vmˈilʔ
הטקס	ʔtks
המשפטים	ʔmʃftˈim
הסיפורים	ʔsˈifvʁim
לאותה	lʔvtʔ
להוות	lʔwt
להעריך	lʔʔʁˈiχ
ללהקה	llʔkʔ
לעצמה	lʔtsmʔ
לקהילה	lkˈilʔ
לשוק	lʃvk
מנכ	mnχ
מתארת	mtʔʁt
נוסד	nvsd
קפה	kfʔ
שתיים	ʃtˈajim
במעמד	vmʔmd
היותה	ˈivtʔ
הכלא	ʔχlʔ
מישהו	mˈiʃehˌu
מעורבת	mʔvʁvt
פנו	fnv
שרוב	ʃʁvv
באזורי	vʔzvʁˈi
ברצלונה	vʁtslvnʔ
בתרגום	vtʁɡvm
גברה	ɡvʁʔ
הטרור	ʔtʁvʁ
המוכר	ʔmvχʁ
הספיק	ʔsfˈik
הצבעה	ʔtsvʔʔ
וזו	vzv
לשלום	lʃlvm
פס	fs
קרוי	kʁvj
שלל	ʃll
שנראה	ʃnʁʔʔ
תחומים	tχvmˈim
תעשייה	tʔʃjjʔ
אשה	ʔʃʔ
בידו	vˈidv
דובר	dvvʁ
המדרש	ʔmdʁʃ
הקרובה	ʔkʁvvʔ
סר	sʁ
צמד	tsmd
שולחן	ʃvlχn
תאוריה	tʔvʁˈiʔ
Love	(͡e͡n)ˈɛl ˈə͡ʊ vˈiː ˈiː(͡h͡e)
בבימויו	vvˈimvjv
האלו	ʔʔlv
הבטיח	ʔvtˈiχ
הטוענים	ʔtvʔnˈim
הנקבות	ʔnkvvt
הסובייטים	ʔsvvˈijtim
הרכבות	ʔʁχvvt
השפעות	ʔʃfʔvt
התביעה	ʔtvˈiʔʔ
יצור	jtsvʁ
להשמיד	lʔʃmˈid
מחשש	mχʃʃ
מרחבי	mʁχvˈi
סוחר	svχʁ
צעדים	tsʔdˈim
שיריו	ʃjʁˈiv
שכבת	ʃχvt
איים	ˈijm
באמנות	vʔmnvt
בקיבוץ	vkˈivvts
המכונית	ʔmχvnˈit
המעמד	ʔmʔmd
ובנו	vvnv
ניצול	nˈitsvl
שווייץ	ʃwjjts
שזכו	ʃzχv
תקופות	tkvfvt
אלון	ʔlvn
בהר	vʔʁ
בימינו	vˈiminv
המדויק	ʔmdvjk
המוזיקלית	ʔmvzˈiklit
ואלה	vʔlʔ
לאלו	lʔlv
לרדת	lʁdt
מהקולות	mʔkvlvt
מובילה	mvvˈilʔ
רישום	ʁˈiʃvm
תיבות	tˈivvt
בכתיבת	vχtˈivt
דון	dvn
האישיים	ʔˈiʃjjm
העצמי	ʔʔtsmˈi
השישים	ʔʃjʃjm
וראש	vʁʔʃ
חול	χvl
טילים	tˈilim
לאמן	lʔmn
לתרבות	ltʁvvt
מחאה	mχʔʔ
מחליטה	mχlˈitʔ
משלהם	mʃlʔm
ציורי	tsˈivʁi
שנבחר	ʃnvχʁ
המסך	ʔmsχ
הקבוע	ʔkvvʔ
הקלטות	ʔkltvt
ושיחק	vʃjχk
מוצר	mvtsʁ
סמים	smˈim
באינטרנט	vˈintʁnt
בהשתתפות	vʔʃttfvt
החיל	ʔχˈil
הלחין	ʔlχˈin
מוזיקלי	mvzˈikli
מסרב	msʁv
נער	nʔʁ
קונג	kvŋ
קרקעות	kʁkʔvt
שהתקיים	ʃʔtkˈijm
בגודלה	vɡvdlʔ
במדליות	vmdlˈivt
בראשו	vʁʔʃv
הירוק	ˈiʁvk
לאו	lʔv
לעניין	lʔnˈijn
מהדורה	mʔdvʁʔ
מהתקופה	mʔtkvfʔ
ממדינות	mmdˈinvt
מסוגלת	msvɡlt
מצאה	mtsʔʔ
סטיבן	stˈivn
סיביות	sˈivivt
פרשים	fʁʃjm
קובץ	kovˈets
ראתה	ʁʔtʔ
שהדבר	ʃʔdvʁ
שרון	ʃʁvn
ששימשו	ʃʃjmʃv
בדרגת	vdʁɡt
הדו	ʔdv
חושב	χvʃv
חתמו	χtmv
למצרים	lmtsʁˈim
לסוף	lsvf
ממצאים	mmtsˈim
פורד	fvʁd
צילומי	tsˈilvmi
תפילה	tfˈilʔ
אמצע	ʔmtsʔ
בחוץ	vχvts
בי	vˈi
דמיון	dmˈivn
הליך	ʔlˈiχ
הקרוי	ʔkʁvj
עולמית	ʔvlmˈit
רכישת	ʁχˈiʃt
רכס	ʁχs
שבטים	ʃvtˈim
שעברה	ʃʔvʁʔ
אפל	ʔfl
בציור	vtsˈivʁ
בתחנת	vtχnt
בתקווה	vtkwʔ
החזק	ʔχzk
המטען	ʔmtʔn
הסמל	ʔsml
העשור	ʔʔʃvʁ
כפולה	χfvlʔ
להכין	lʔχˈin
סבלו	svlv
ערכי	ʔʁχˈi
רופאים	ʁvfˈim
אפס	ʔfs
גבעת	ɡvʔt
המקצועית	ʔmktsvˈit
הרבות	ʔʁvvt
התובע	ʔtvvʔ
ואחת	vʔχt
ונבחר	vnvχʁ
חצר	χtsʁ
טקסט	tkst
יציב	jtsˈiv
נבחרים	nvχʁˈim
סופרים	svfʁˈim
ספג	sfɡ
פיקוח	fˈikvχ
שיקום	ʃjkvm
ששמו	ʃʃmv
אירו	ˈiʁv
בעצמם	vʔtsmm
האומה	ʔʔvmʔ
ההפעלה	ʔʔfʔlʔ
הודיעו	ʔvdˈiʔv
החופשית	ʔχvfʃjt
הטבעת	ʔtvʔt
המתח	ʔmtχ
העיניים	ʔˈinijm
הצלב	ʔtslv
ולהם	vlʔm
לארגן	lʔʁɡn
לבקש	lvkʃ
מעוניין	mʔvnˈijn
נעים	nˈim
עיקריים	ˈikʁijm
תוספת	tvsft
בוטלה	vvtlʔ
ביקור	vˈikvʁ
בעיית	vˈijt
האחת	ʔʔχt
העתיד	ʔʔtˈid
הרגליים	ʔʁɡlˈijm
זוגו	zvɡv
לפעולה	lfʔvlʔ
נדירים	ndˈiʁim
ראייה	ʁˈijʔ
תחבורה	tχvvʁʔ
אבא	ʔvʔ
אנשיו	ʔnʃjv
בשאלה	vʃʔlʔ
הארגונים	ʔʔʁɡvnˈim
יכלה	jχlʔ
כמורה	χmvʁʔ
ליותר	lˈivtʁ
לייצג	lˈijtsɡ
מבוגרים	mvvɡʁˈim
מצומצם	mtsvmtsm
נסיך	nsˈiχ
נערה	nʔʁʔ
פרשה	fʁʃʔ
צרפתי	tsʁftˈi
תפיסה	tfˈisʔ
Me	(͡e͡n)ˈɛm ˈiː(͡h͡e)
ביצירת	vˈitsiʁt
במאות	vmʔvt
הוצא	ʔvtsʔ
החומרים	ʔχvmʁˈim
הטורקי	ʔtvʁkˈi
המבצר	ʔmvtsʁ
המגורים	ʔmɡvʁˈim
הקטנים	ʔktnˈim
וילהלם	vjlʔlm
מכה	mχʔ
סקר	skʁ
עוצמת	ʔvtsmt
עיקרי	ˈikʁi
שהופך	ʃʔvfχ
תומך	tvmχ
אמורים	ʔmvʁˈim
בזירה	vzˈiʁʔ
בחיפוש	vχˈifvʃ
ביניים	vˈinijm
דירוג	dˈiʁvɡ
המורים	ʔmvʁˈim
המשורר	ʔmʃvʁʁ
הנפש	ʔnfʃ
הפסטיבל	ʔfstˈivl
הפשע	ʔfʃʔ
הצלחתו	ʔtslχtv
הרומי	ʔʁvmˈi
ושלושה	vʃlvʃʔ
חידוש	χˈidvʃ
חשב	χʃv
לעורר	lʔvʁʁ
לפגיעה	lfɡˈiʔʔ
מסכים	msχˈim
מקלט	mklt
מתקיימת	mtkˈijmt
שוכנת	ʃvχnt
תקיפה	tkˈifʔ
איסוף	ˈisvf
בירת	vˈiʁt
גרנט	ɡʁnt
הבדל	ʔvdl
הנאצי	ʔnʔtsˈi
השחורה	ʔʃχvʁʔ
כיכר	χˈiχʁ
כליל	χlˈil
כסגן	χsɡn
עידן	ˈidn
שערך	ʃʔʁχ
ארגנטינה	ʔʁɡntˈinʔ
בתכנון	vtχnvn
דרכם	dʁχm
ההוראה	ʔʔvʁʔʔ
הכבד	ʔχvd
הכדורסל	ʔχdvʁsl
העבירה	ʔʔvˈiʁʔ
חבל	χvl
לאותו	lʔvtv
לאלה	lʔlʔ
ליישוב	lˈijʃvv
למטה	lmtʔ
למסור	lmsvʁ
מאחור	mʔχvʁ
מוכנים	mvχnˈim
משטרה	mʃtʁʔ
נדחתה	ndχtʔ
פירות	fˈiʁvt
תרומה	tʁvmʔ
בממשלה	vmmʃlʔ
בפרויקט	vfʁvjkt
דוברי	dvvʁˈi
האנושות	ʔʔnvʃvt
העיתונות	ʔˈitvnvt
הקולות	ʔkvlvt
ויליאמס	vjlˈiʔms
טור	tvʁ
כבשו	χvʃv
לשים	lʃjm
נחשבו	nχʃvv
נציג	ntsˈiɡ
סיור	sˈivʁ
פונקציה	fvnktsˈiʔ
שקיבלו	ʃkˈivlv
תיעוד	tˈiʔvd
אזרחות	ʔzʁχvt
בשלטון	vʃltvn
האקלים	ʔʔklˈim
הישראלים	ˈiʃʁʔlim
המחוזי	ʔmχvzˈi
הנצרות	ʔntsʁvt
העור	ʔʔvʁ
הפעולות	ʔfʔvlvt
חיצוניים	χˈitsvnijm
חרף	χʁf
חשמלי	χʃmlˈi
למקומות	lmkvmvt
למשוך	lmʃvχ
מחנות	mχnvt
מתחילת	mtχˈilt
נחתם	nχtm
קולומביה	kvlvmvˈiʔ
שמירת	ʃmˈiʁt
הופק	ʔvfk
היווני	ˈiwni
הנישואים	ʔnˈiʃvim
הקדיש	ʔkdˈiʃ
והשניים	vʔʃnˈijm
ומהווה	vmʔwʔ
זהותו	zʔvtv
חן	χn
טכנולוגיות	tχnvlvɡˈivt
כוחה	χvχʔ
כתבו	χtvv
נהרס	nʔʁs
נפח	nfχ
רבנים	ʁvnˈim
שכונת	ʃχvnt
שנועדה	ʃnvʔdʔ
שרים	ʃʁˈim
אימון	ˈimvn
בינה	vˈinʔ
בעבור	vʔvvʁ
האזרחי	ʔʔzʁχˈi
הורג	ʔvʁɡ
והקים	vʔkˈim
ותוך	vtvχ
ידיו	jdˈiv
יהושע	jʔvʃʔ
כלא	χlʔ
לקחה	lkχʔ
קלארק	klʔʁk
רוחב	ʁvχv
תמכו	tmχv
B	(͡e͡n)bˈiː(͡h͡e)
בגישה	vɡˈiʃʔ
בדרכם	vdʁχm
בשאר	vʃʔʁ
הודה	ʔvdʔ
המקורות	ʔmkvʁvt
הסיבוב	ʔsˈivvv
הרקע	ʔʁkʔ
התאחדות	ʔtʔχdvt
ובתי	vvtˈi
ויקטור	vjktvʁ
חלונות	χlvnvt
יישום	jjʃvm
לאירוע	lˈiʁvʔ
להסכם	lʔsχm
להעפיל	lʔʔfˈil
לשחזר	lʃχzʁ
מסופר	msvfʁ
צר	tsʁ
בפיקוד	vfˈikvd
המוקדמת	ʔmvkdmt
המנצח	ʔmntsχ
המסורתי	ʔmsvʁtˈi
הנוף	ʔnvf
הסדירה	ʔsdˈiʁʔ
התנגדו	ʔtŋdv
יעילות	jˈilvt
לבניין	lvnˈijn
לזכויות	lzχvjvt
מועמדים	mvʔmdˈim
מוצלח	mutslˈaχ
משרדי	mʃʁdˈi
קלות	klvt
רשתות	ʁʃtvt
שלילית	ʃlˈilit
שרד	ʃʁd
תחושה	tχvʃʔ
אורי	ʔvʁˈi
באירועים	vˈiʁvim
בינלאומיות	vˈinlʔvmivt
במחלקה	vmχlkʔ
האופוזיציה	ʔʔvfvzˈitsiʔ
המושב	ʔmvʃv
המילואים	ʔmˈilvim
השחרור	ʔʃχʁvʁ
להכניס	lʔχnˈis
למשרד	lmʃʁd
מורכבות	mvʁχvvt
מערבית	mʔʁvˈit
סירבה	sˈiʁvʔ
ביער	vˈiʔʁ
בכיכר	vχˈiχʁ
בנסיבות	vnsˈivvt
ברצח	vʁtsχ
היהודיים	ˈiʔvdijm
הנקראת	ʔnkʁʔt
הסיוע	ʔsˈivʔ
העלמין	ʔʔlmˈin
השחורים	ʔʃχvʁˈim
השלושה	ʔʃlvʃʔ
להשאיר	lʔʃˈiʁ
צמח	tsmχ
שגורם	ʃɡvʁm
ביוון	vˈiwn
בשורה	vʃvʁʔ
בשלבים	vʃlvˈim
היהודיות	ˈiʔvdivt
הכנסה	ʔχnsʔ
העניקה	ʔʔnˈikʔ
הפתוח	ʔftvχ
הצמח	ʔtsmχ
הרע	ʔʁʔ
חודשיים	χvdʃjjm
חילופי	χˈilvfi
חנות	χnvt
טורניר	tvʁnˈiʁ
יוחנן	jvχnn
להרוס	lʔʁvs
לקחו	lkχv
מודעות	mvdʔvt
מחלקות	mχlkvt
סיפורי	sˈifvʁi
עולמי	ʔvlmˈi
קורה	kvʁʔ
במדיניות	vmdˈinivt
בסוג	vsvɡ
בתנועת	vtnvʔt
הכירה	ʔχˈiʁʔ
הקדושה	ʔkdvʃʔ
השיב	ʔʃjv
ובדרך	vvdʁχ
חומות	χvmvt
להציע	lʔtsˈiʔ
לטענת	ltʔnt
לספרות	lsfʁvt
עוזב	ʔvzv
עוצמה	ʔvtsmʔ
פרטיות	fʁtˈivt
רפאל	ʁfʔl
אבני	ʔvnˈi
בוטל	vvtl
החמישים	ʔχmˈiʃjm
המדעית	ʔmdˈit
חז	χz
יפו	jfv
יצורים	jtsvʁˈim
למפלגה	lmflɡʔ
לעודד	lʔvdd
משטר	mʃtʁ
ניתנים	nˈitnim
שבא	ʃvʔ
שביצע	ʃvˈitsʔ
תלמידיו	tlmˈidiv
במתחם	vmtχm
הממצאים	ʔmmtsˈim
הפעיל	ʔfˈil
הרבנים	ʔʁvnˈim
מצור	mtsvʁ
עליון	ʔlˈivn
פרשת	fʁʃt
שמם	ʃmm
תפקידי	tfkˈidi
אינטרנט	ˈintʁnt
גנים	ɡnˈim
דרישות	dʁˈiʃvt
הדעות	ʔdʔvt
המידה	ʔmˈidʔ
המשפחות	ʔmʃfχvt
התמודד	ʔtmvdd
חילוקי	χˈilvki
כריס	χʁˈis
לקיום	lkˈivm
עוררה	ʔvʁʁʔ
עצום	ʔtsvm
שנותר	ʃnvtʁ
ביקשה	vˈikʃʔ
הסמוכים	ʔsmvχˈim
הצופה	ʔtsvfʔ
התיירות	ʔtˈijʁvt
כפרים	χfʁˈim
מאזור	mʔzvʁ
מדענים	mdʔnˈim
נרחבת	nʁχvt
פריטים	fʁˈitim
פרשנות	fʁʃnvt
קרובה	kʁvvʔ
שחלק	ʃχlk
תשובה	tʃvvʔ
בכתבי	vχtvˈi
בתא	vtʔ
הולכים	ʔvlχˈim
הטנקים	ʔtnkˈim
היסטוריונים	istvʁˈivnim
הכספים	ʔχsfˈim
המחתרת	ʔmχtʁt
הענק	ʔʔnk
וגדל	vɡdl
לניו	lnˈiv
לשבחים	lʃvχˈim
מוגדרת	mvɡdʁt
מוקד	mvkd
מוקדמת	mvkdmt
ערבי	ʔʁvˈi
קוק	kvk
שאני	ʃʔnˈi
שקבע	ʃkvʔ
אימה	ˈimʔ
בוגרים	vvɡʁˈim
במקצה	vmktsʔ
גשם	ɡʃm
העומד	ʔʔvmd
הפרסים	ʔfʁsˈim
הרמב	ʔʁmv
התשעים	ʔtʃˈim
וייתכן	vjjtχn
וקבע	vkvʔ
ילדיו	jldˈiv
להקות	lʔkvt
להתמקד	lʔtmkd
לחייו	lχˈijv
מבקשת	mvkʃt
מימין	mˈimin
נוח	nvχ
נושאי	nvʃˈi
ערבית	ʔʁvˈit
צליל	tslˈil
רפואה	ʁfvʔʔ
שבעת	ʃvʔt
איבדו	ˈivdv
בחרה	vχʁʔ
במחזור	vmχzvʁ
האולם	ʔʔvlm
היותר	ˈivtʁ
ואחרי	vʔχʁˈi
ובמשך	vvmʃχ
וכלי	vχlˈi
חנה	χnʔ
להתחתן	lʔtχtn
לתרום	ltʁvm
מתייחסים	mtˈijχsim
פתרונות	ftʁvnvt
שכללו	ʃχllv
שפורסם	ʃfvʁsm
תועלת	tvʔlt
אנושית	ʔnvʃjt
ההנחה	ʔʔnχʔ
הטכנולוגיה	ʔtχnvlvɡˈiʔ
המאמר	ʔmʔmʁ
המסדר	ʔmsdʁ
המקרא	ʔmkʁʔ
הנדרש	ʔndʁʃ
העולה	ʔʔvlʔ
העמק	ʔʔmk
הקושי	ʔkvʃj
יוצרו	jvtsʁv
כאחת	χʔχt
כשם	χʃm
לוין	lvjn
נמשכו	nmʃχv
נשמר	nʃmʁ
נתנה	ntnʔ
עבורם	ʔvvʁm
פרחים	fʁχˈim
שקיבלה	ʃkˈivlʔ
איבר	ˈivʁ
בווינה	vwjnʔ
בשפת	vʃft
החברתיות	ʔχvʁtˈivt
הנבחרות	ʔnvχʁvt
התאמה	ʔtʔmʔ
לבוש	lvvʃ
לבסס	lvss
לסגן	lsɡn
שלושים	ʃlvʃjm
בבניית	vvnˈijt
בל	vl
גרעין	ɡʁˈin
האולפן	ʔʔvlfn
האזרחית	ʔʔzʁχˈit
הדוכס	ʔdvχs
הדעת	ʔdʔt
הירדן	ˈiʁdn
המצרית	ʔmtsʁˈit
העסקה	ʔʔskʔ
הקבלה	ʔkvlʔ
חמורה	χmvʁʔ
יורד	jvʁd
לפלייאוף	lflˈijʔvf
מאפיין	mʔfˈijn
מיידית	mˈijdit
מעשיו	mʔʃjv
מתי	matˈaj
אישים	ˈiʃjm
ביצים	vˈitsim
בשמות	vʃmvt
האוכל	ʔʔvχl
האמנה	ʔʔmnʔ
הבעיות	ʔvˈivt
החום	ʔχvm
הקדומה	ʔkdvmʔ
מציגה	mtsˈiɡʔ
מתייחסת	mtˈijχst
קשרי	kʃʁˈi
רובין	ʁvvˈin
רוזן	ʁvzn
שבר	ʃvʁ
תרבותית	tʁvvtˈit
אסף	ʔsf
בריטית	vʁˈitit
הייתי	ˈijti
המורכב	ʔmvʁχv
הרוק	ʔʁvk
מדעיים	mdˈijm
מועט	mvʔt
מינויו	mˈinvjv
מנע	mnʔ
מתים	mtˈim
שבאו	ʃvʔv
שהצליח	ʃʔtslˈiχ
אמיתית	ʔmˈitit
האותיות	ʔʔvtˈivt
החלפת	ʔχlft
המס	ʔms
המשתמשים	ʔmʃtmʃjm
הקדמי	ʔkdmˈi
הרצאות	ʔʁtsʔvt
השמינית	ʔʃmˈinit
לאזורים	lʔzvʁˈim
לביקורת	lvˈikvʁt
לעיירה	lˈijʁʔ
מגוונים	mɡwnˈim
מזוהה	mzvʔʔ
מצוין	mtsvjn
סוכנות	svχnvt
צבאות	tsvʔvt
רמה	ʁamˈa
שפעלו	ʃfʔlv
בשטחים	vʃtχˈim
דיפלומטיים	dˈiflvmtijm
המצוי	ʔmtsvj
המשמשים	ʔmʃmʃjm
הפסיקה	ʔfsˈikʔ
הרבייה	ʔʁvˈijʔ
ובפרט	vvfʁt
טבעיים	tvˈijm
ירש	jʁʃ
כאמצעי	χʔmtsˈi
כרטיס	χʁtˈis
להגנת	lʔɡnt
לחברות	lχvʁvt
לשכת	lʃχt
מהליגה	mʔlˈiɡʔ
מקובלת	mkvvlt
נורה	nvʁʔ
שנבנו	ʃnvnv
באצטדיון	vʔtstdˈivn
בוצעה	vvtsʔʔ
במעלה	vmʔlʔ
הגנת	ʔɡnt
ההון	ʔʔvn
הועברה	ʔvʔvʁʔ
ובלתי	vvltˈi
והחלו	vʔχlv
חדרי	χdʁˈi
חודשי	χvdʃj
כמאמן	χmʔmn
כמויות	χmvjvt
מוריס	mvʁˈis
נתיב	ntˈiv
שליחות	ʃlˈiχvt
באביב	vʔvˈiv
בחו	vχv
בלשון	vlʃvn
בראיון	vʁˈivn
בשיעור	vʃjʔvʁ
גרין	ɡʁˈin
הלבנים	ʔlvnˈim
ואחיו	vʔχˈiv
ואינם	vˈinm
וכדי	vχdˈi
טיסות	tˈisvt
להוריד	lˌehoʁˈid
לחתום	lχtvm
לצמצם	ltsmtsm
מכוח	mχvχ
סינגל	sˈiŋl
ראשונים	ʁʔʃvnˈim
שאותה	ʃʔvtʔ
שרשרת	ʃʁʃʁt
אותיות	ʔvtˈivt
אזרח	ʔzʁχ
בעומק	vʔvmk
דפוס	dfvs
החיפוש	ʔχˈifvʃ
המחזור	ʔmχzvʁ
הנותרים	ʔnvtʁˈim
העיצוב	ʔˈitsvv
יובל	jvvl
לשחרור	lʃχʁvʁ
מוצלחת	mˌutslaχˈat
מרוצים	mʁvtsˈim
נבחרו	nvχʁv
נדרשים	ndʁʃjm
פורטוגל	fvʁtvɡl
בלחץ	vlχts
בממלכה	vmmlχʔ
בשכונת	vʃχvnt
גרעיני	ɡʁˈini
ההחלטות	ʔʔχltvt
היוצרים	ˈivtsʁim
היישובים	ˈijʃvvim
הכנסות	ʔχnsvt
המאפשרת	ʔmʔfʃʁt
הנסיעה	ʔnsˈiʔʔ
השיט	ʔʃjt
השפות	ʔʃfvt
ולו	vlv
ימיו	jmˈiv
כח	χχ
מהאוכלוסייה	mʔʔvχlvsˈijʔ
מצביעים	mtsvˈiim
עיראק	ˈiʁʔk
ביתר	vˈitʁ
ברשימה	vʁʃjmʔ
האינטרסים	ʔˈintʁsim
הגדרה	ʔɡdʁʔ
ההבדלים	ʔʔvdlˈim
ההתפתחות	ʔʔtftχvt
וחבריו	vχvʁˈiv
ירדו	jʁdv
לאט	lʔt
מחודש	mχvdʃ
מרוץ	mʁvts
משפטית	mʃftˈit
נפגעים	nfɡˈim
שעד	ʃʔd
שקלים	ʃklˈim
איטי	ˈiti
אפקט	ʔfkt
בהפקה	vʔfkʔ
במועצה	vmvʔtsʔ
בפוליטיקה	vfvlˈitikʔ
ברשות	vʁʃvt
הארצי	ʔʔʁtsˈi
החללית	ʔχllˈit
היצירות	ˈitsiʁvt
המאפיינים	ʔmʔfˈijnim
הסכסוך	ʔsχsvχ
התגובה	ʔtɡvvʔ
יורה	jvʁʔ
לאומיים	lʔvmˈijm
לסוג	lsvɡ
מדור	mdvʁ
פנימיים	fnˈimijm
קדם	kdm
רחל	ʁχl
תוארו	tvʔʁv
תרומות	tʁvmvt
אלים	ʔlˈim
אנושי	ʔnvʃj
בארבע	vʔʁvʔ
בולטת	vvltt
בפעולות	vfʔvlvt
הטובות	ʔtvvvt
הישג	ˈiʃɡ
הפדרלית	ʔfdʁlˈit
לארבעה	lʔʁvʔʔ
לסירוגין	lsˈiʁvɡin
מהגרים	mʔɡʁˈim
מונח	mvnχ
מועצה	mvʔtsʔ
מנצח	mntsχ
משלב	mʃlv
סגור	sɡvʁ
פציעה	ftsˈiʔʔ
פרצו	fʁtsv
קודמים	kvdmˈim
שודר	ʃvdʁ
שמחה	ʃmχʔ
שרידים	ʃʁˈidim
תומכים	tvmχˈim
במועצת	vmvʔtst
בריאן	vʁˈiʔn
גורמי	ɡvʁmˈi
ההסתדרות	ʔʔstdʁvt
הופעתה	ʔvfʔtʔ
הכתב	ʔχtv
המוקדמים	ʔmvkdmˈim
המלח	ʔmlχ
המעשה	ʔmʔʃʔ
הפנימיים	ʔfnˈimijm
הצמד	ʔtsmd
הקמתו	ʔkmtv
הקשים	ʔkʃjm
התנ	ʔtn
כחצי	χχtsˈi
לפתרון	lftʁvn
מיועד	mˈivʔd
מכירת	mχˈiʁt
פרוץ	fʁvts
קביעת	kvˈiʔt
קרטר	kʁtʁ
בידיו	vˈidiv
בפומבי	vfvmvˈi
דאג	dʔɡ
ההגדרה	ʔʔɡdʁʔ
היוונים	ˈiwnim
המורכבת	ʔmvʁχvt
המשא	ʔmʃʔ
העירונית	ʔˈiʁvnit
הקוד	ʔkvd
הרוצח	ʔʁvtsχ
התחום	ʔtχvm
ואל	vʔl
ובאופן	vvʔvfn
ובסוף	vvsvf
ויקטוריה	vjktvʁˈiʔ
טבעת	tvʔt
ככלי	χχlˈi
להישגים	lˈiʃɡim
לתחרות	ltχʁvt
מחזות	mχzvt
עצמאיים	ʔtsmˈijm
פלסטינים	flstˈinim
רוזוולט	ʁvzwlt
רצועת	ʁtsvʔt
אוקראינה	ʔvkʁˈinʔ
בארמון	vʔʁmvn
גורדון	ɡvʁdvn
האופן	ʔʔvfn
האמינו	ʔʔmˈinv
החוקר	ʔχvkʁ
הלכת	ʔlχt
המהירות	ʔmˈiʁvt
העלו	ʔʔlv
הפסיק	ʔfsˈik
והשנייה	vʔʃnˈijʔ
טעות	tʔvt
יער	jʔʁ
כראוי	χʁʔvj
להינשא	lˈinʃʔ
להיסטוריה	lˈistvʁiʔ
מלכת	mlχt
מפורסם	mfvʁsm
משולש	mʃvlʃ
עובדות	ʔvvdvt
קריית	kʁˈijt
אמא	ʔmʔ
בגטו	vɡtv
בדיוני	vdˈivni
בסנאט	vsnʔt
דיווחים	dˈiwχim
הקשת	ʔkʃt
השדרה	ʔʃdʁʔ
התפקידים	ʔtfkˈidim
ואומר	vʔvmʁ
חברתו	χvʁtv
להגביר	lʔɡvˈiʁ
לעומק	lʔvmk
לפתע	lftʔ
מגבלות	mɡvlvt
נפלו	nflv
בערבית	vʔʁvˈit
הגרעין	ʔɡʁˈin
ההזדמנות	ʔʔzdmnvt
הצדק	ʔtsdk
הקשור	ʔkʃvʁ
ובהן	vvʔn
ויתר	vjtʁ
חכם	χχm
לאיחוד	lˈiχvd
למועדון	lmvʔdvn
לנבחרת	lnvχʁt
מחוסר	mχvsʁ
ממושך	mmvʃχ
מפעיל	mfˈil
נהרסו	nʔʁsv
נלקח	nlkχ
פוטנציאל	fvtntsˈiʔl
שהקים	ʃʔkˈim
שנכתבו	ʃnχtvv
ארגן	ʔʁɡn
בחוסר	vχvsʁ
הגיבור	ʔɡˈivvʁ
המיסים	ʔmˈisim
המסר	ʔmsʁ
הראשונית	ʔʁʔʃvnˈit
השקעות	ʔʃkʔvt
ולפני	vlfnˈi
חבורת	χvvʁt
להסיר	lʔsˈiʁ
לזכייה	lzχˈijʔ
מדויקת	mdvjkt
מונתה	mvntʔ
