да	dˈɑ
жантүршігерлік	ʒɑntuɾʃɪɡeɾlˈɪk
жағаға	ʒɑʀɑʀˈɑ
жақсарған	ʒɑqsɑɾʀˈɑn
жаңартуға	ʒɑŋɑɾtwʀˈɑ
желдей	ʒeɫdˈej
жетiспейдi	ʒˈet(͡e͡n)ˈa͡ɪ(͡k͡k)spˈejd(͡e͡n)ˈa͡ɪ(͡k͡k)
жетістігін	ʒetɪstɪɡˈɪn
жиылып	ʒəjəɫəp
жоғалтады	ʒoʀɑɫtˈɑdə
жуықтаған	ʒwəqtɑʀɑn
жылыжай	ʒəɫəʒɑj
жылынан	ʒəɫənɑn
жымқырған	ʒəmqəɾʀɑn
жүйелер	ʒujelˈeɾ
жүргiзуде	ʒˈuɾɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zwdˈe
жүргендіктен	ʒuɾɡendɪktˈen
жұмғанын	ʒʊmʀˈɑnən
жұт	ʒˈʊt
залалды	zɑɫˈɑɫdə
залалсыздандыру	zɑɫˈɑɫsəzdɑndəɾw
заңбұзушылық	zɑŋbˈʊzwʃəɫəq
зейнеткердің	zejnetkeɾdˈɪŋ
имандылыққа	əjmɑndəɫəqqɑ
итi	əjt(͡e͡n)ˈa͡ɪ(͡k͡k)
итбалықтардың	əjtbɑɫəqtɑɾdəŋ
иттің	əjttɪŋ
кiммен	kə(͡e͡n)ˈa͡ɪ(͡k͡k)mmˈen
кiруi	kə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾw(͡e͡n)ˈa͡ɪ(͡k͡k)
канал	kɑnˈɑɫ
кезеңiндегi	kezˈeŋ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
келмейтiнi	keɫmˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)
келуде	keɫwdˈe
кеніштерін	kenɪʃteɾˈɪn
кенішіне	kenɪʃɪnˈe
кетерде	keteɾdˈe
кеткiсi	kˈetk(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)
кеткенге	ketkenɡˈe
кешіріп	keʃɪɾˈɪp
клиникаға	kɫəjnəjkɑʀɑ
колледжге	koɫledʒɡˈe
колониядағы	koɫˈonəjjadɑʀə
колониясының	koɫˈonəjjasənəŋ
конференциялар	konfeɾˈentsəjjaɫɑɾ
конференцияның	konfeɾˈentsəjjanəŋ
курортын	kwɾˈoɾtən
кісілерді	kɪsɪleɾdˈɪ
кітабынан	kɪtˈɑbənɑn
күйттеп	kujttˈep
күнiмен	kˈun(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
күндерге	kundeɾɡˈe
күнкөрiсi	kunkˈɵɾ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)
күресетiн	kuɾesˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
күреспен	kuɾespˈen
көзқарасымен	kɵzqɑɾˈɑsəmen
көмегiне	kɵmˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
көнбеген	kɵnbeɡˈen
көресiз	kɵɾˈes(͡e͡n)ˈa͡ɪ(͡k͡k)zə
көрмесінде	kɵɾmesɪndˈe
көрсетеміз	kɵɾsetemˈɪz
көршiнiң	kˈɵɾʃ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
көтерiлсе	kɵtˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)ɫsˈe
көтерілісшілерді	kɵteɾɪlɪsʃɪleɾdˈɪ
көшедегi	kɵʃedˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
көшесiне	kɵʃˈes(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
көшетін	kɵʃetˈɪn
лақтырды	ɫˈɑqtəɾdə
лигасына	ɫəjɡɑsənɑ
лицензиясын	ɫəjtsenzəjjasən
мадақтау	mɑdɑqtˈɑw
мазмұнда	mɑzmʊndˈɑ
малдарын	mɑɫdˈɑɾən
масыл	mˈɑsəɫ
маңайдағы	mɑŋɑjdˈɑʀə
мекемелерден	mekemeleɾdˈen
мемлекеттерi	memlekettˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
мемлекеттерді	memleketteɾdˈɪ
метан	metˈɑn
министрлiгiн	məjnəjstɾɫ(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
модераторы	modeɾɑtˈoɾə
мойныма	mˈojnəmɑ
мінезді	mɪnezdˈɪ
мінсіз	mɪnsˈɪz
мұрағаттан	mʊɾɑʀɑttˈɑn
мұрны	mˈʊɾnə
мәдениеттiң	mædˈenəjett(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
мәлiметке	mˈæɫ(͡e͡n)ˈa͡ɪ(͡k͡k)metkˈe
мәселесiмен	mæselˈes(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
нешiк	nˈeʃ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
ойша	ojʃˈɑ
ойымызға	ˈojəməzʀɑ
орналасқандықтан	oɾnɑɫɑsqˈɑndəqtɑn
орнатады	oɾnɑtˈɑdə
орындала	ˈoɾəndɑɫɑ
орыстанған	ˈoɾəstɑnʀɑn
отанында	otˈɑnəndɑ
отынын	ˈotənən
отырғандарға	ˈotəɾʀɑndɑɾʀɑ
оңтүстiкте	oŋtˈust(͡e͡n)ˈa͡ɪ(͡k͡k)ktˈe
пiкiрлердi	pə(͡e͡n)ˈa͡ɪ(͡k͡k)kə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾlˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
пайдаланса	pɑjdɑɫɑnsˈɑ
парағы	pɑɾˈɑʀə
партияларының	pˈɑɾtəjjaɫɑɾənəŋ
пияз	pəjjaz
полигонын	pˈoɫəjɡonən
полицияда	pˈoɫəjtsəjjadɑ
полициясынан	pˈoɫəjtsəjjasənɑn
поляктар	poɫjaktˈɑɾ
почта	pot͡ʃtˈɑ
принципті	pɾəjntsəjptɪ
провинциясы	pɾˈovəjntsəjjasə
пісіріп	pɪsɪɾˈɪp
революцияға	ɾevoɫjˈutsəjjaʀɑ
ренiш	ɾˈen(͡e͡n)ˈa͡ɪ(͡k͡k)ʃə
республиканы	ɾˈespwbɫəjkɑnə
рок	ɾˈok
рәсімдеп	ɾæsɪmdˈep
сайлануына	sɑjɫˈɑnwənɑ
сайттан	sɑjttˈɑn
салуымыз	sˈɑɫwəməz
салынуына	sˈɑɫənwənɑ
салыстырды	sˈɑɫəstəɾdə
салыстырсақ	sˈɑɫəstəɾsɑq
саналды	sɑnˈɑɫdə
санасуға	sɑnɑswʀˈɑ
сауатсыздық	sɑwˈɑtsəzdəq
саябаққа	sɑjabɑqqˈɑ
сағатында	sɑʀˈɑtəndɑ
саңлақ	sɑŋɫˈɑq
секундта	sekwndtˈɑ
сенбiде	sˈenb(͡e͡n)ˈa͡ɪ(͡k͡k)dˈe
солдаты	soɫdˈɑtə
сорпасы	soɾpˈɑsə
соқпай	soqpˈɑj
стандарттарын	stɑndɑɾttˈɑɾən
суытып	swətəp
сынағын	sənɑʀən
сынық	sənəq
сілтеді	sɪɫtedˈɪ
сүйреген	sujɾeɡˈen
сүндетке	sundetkˈe
сүруi	sˈuɾw(͡e͡n)ˈa͡ɪ(͡k͡k)
тiршiлiгiн	tə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾəʃə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
табанын	tɑbˈɑnən
табасыз	tɑbˈɑsəz
тайған	tɑjʀˈɑn
тамыздан	tˈɑməzdɑn
танымалдығы	tˈɑnəmɑɫdəʀə
таныстырылған	tˈɑnəstəɾəɫʀɑn
таппадым	tɑppˈɑdəm
тапсырғанын	tˈɑpsəɾʀɑnən
тартыла	tˈɑɾtəɫɑ
тары	tˈɑɾə
тасалап	tɑsɑɫˈɑp
таяудағы	tɑjawdˈɑʀə
таңданып	tɑŋdˈɑnəp
театрлар	teɑtɾɫˈɑɾ
территориясын	tˈeɾɾəjtoɾəjjasən
территориясындағы	tˈeɾɾəjtoɾəjjasəndɑʀə
технологиялардың	texnoɫˈoɡəjjaɫɑɾdəŋ
тигiзетiн	təjɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
тобыр	tˈobəɾ
толайым	toɫˈɑjəm
толтыратын	tˈoɫtəɾɑtən
туындының	twəndənəŋ
тынысын	tənəsən
тықпалап	təqpɑɫɑp
түбегінде	tubeɡɪndˈe
түбекті	tubektˈɪ
тұрсаң	tʊɾsˈɑŋ
тұрғызды	tˈʊɾʀəzdə
тәжікстандық	tæʒɪkstˈɑndəq
төлемейді	tɵlemejdˈɪ
төнеді	tɵnedˈɪ
фабрика	fˈɑbɾəjkɑ
финалы	fəjnɑɫə
форумының	fˈoɾwmənəŋ
футболды	fwtbˈoɫdə
хандары	xɑndˈɑɾə
хандық	xˈɑndəq
чемпионатындағы	t͡ʃˈempəjonɑtəndɑʀə
шайнап	ʃɑjnˈɑp
шалдыққандардың	ʃˈɑɫdəqqɑndɑɾdəŋ
шапты	ʃˈɑptə
шарасыздықтан	ʃɑɾˈɑsəzdəqtɑn
шарттарды	ʃɑɾttˈɑɾdə
шаруашылықтар	ʃɑɾwˈɑʃəɫəqtɑɾ
шаршады	ʃɑɾʃˈɑdə
шақыртуды	ʃˈɑqəɾtwdə
шетінеп	ʃetɪnˈep
шешiлуi	ʃˈeʃ(͡e͡n)ˈa͡ɪ(͡k͡k)ɫw(͡e͡n)ˈa͡ɪ(͡k͡k)
шештiк	ʃˈeʃt(͡e͡n)ˈa͡ɪ(͡k͡k)kə
шығарамын	ʃəʀɑɾɑmən
шығысы	ʃəʀəsə
шілдеден	ʃɪɫdedˈen
шөппен	ʃɵppˈen
экономисі	ekonˈoməjsɪ
экран	ekɾˈɑn
ізімен	ɪzɪmˈen
індетін	ɪndetˈɪn
ҚМГ	qəməɡə
Қадыржан	qˈɑdəɾʒɑn
Қамауға	qɑmɑwʀˈɑ
Қызылқоға	qəzəɫqoʀɑ
Құрамында	qʊɾˈɑməndɑ
Құрылтай	qˈʊɾəɫtɑj
қабiлетiн	qˈɑb(͡e͡n)ˈa͡ɪ(͡k͡k)lˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
қабаты	qɑbˈɑtə
қабылдар	qˈɑbəɫdɑɾ
қажырлы	qˈɑʒəɾɫə
қайнаса	qɑjnɑsˈɑ
қайратты	qɑjɾˈɑttə
қайтіп	qɑjtˈɪp
қаламаса	qɑɫɑmɑsˈɑ
қалауына	qɑɫˈɑwənɑ
қалжың	qˈɑɫʒəŋ
қалтасындағы	qɑɫtˈɑsəndɑʀə
қанау	qɑnˈɑw
қанағаттандырылмады	qɑnɑʀɑttˈɑndəɾəɫmɑdə
қандықол	qˈɑndəqoɫ
қаралу	qɑɾˈɑɫw
қарашы	qɑɾˈɑʃə
қариялардың	qˈɑɾəjjaɫɑɾdəŋ
қарша	qɑɾʃˈɑ
қастандықты	qɑstˈɑndəqtə
қатпады	qɑtpˈɑdə
қатыспайтынын	qˈɑtəspɑjtənən
қатысуын	qˈɑtəswən
қиналмай	qəjnɑɫmɑj
қиынның	qəjənnəŋ
қойдай	qojdˈɑj
қойылмайды	qˈojəɫmɑjdə
қойылыпты	qˈojəɫəptə
қойғандардың	qojʀɑndˈɑɾdəŋ
қолдағаны	qoɫdɑʀˈɑnə
қорытындылаған	qˈoɾətəndəɫɑʀɑn
қорқа	qoɾqˈɑ
қорқынышы	qˈoɾqənəʃə
қосылмайды	qˈosəɫmɑjdə
қосылуын	qˈosəɫwən
құлайтын	qʊɫˈɑjtən
құлағында	qʊɫˈɑʀəndɑ
құлдықта	qˈʊɫdəqtɑ
құрлығының	qˈʊɾɫəʀənəŋ
құрылғаны	qˈʊɾəɫʀɑnə
үзілістен	uzɪlɪstˈen
үйленуге	ujlenwɡˈe
Ұлтқа	ʊɫtqˈɑ
ұйымдарын	ˈʊjəmdɑɾən
ұнамаса	ʊnɑmɑsˈɑ
ұстанымынан	ʊstˈɑnəmənɑn
ұстағысы	ʊstˈɑʀəsə
ұшуы	ˈʊʃwə
ұқыпты	ˈʊqəptə
Әйелдің	æjeɫdˈɪŋ
Әлиева	ˈæɫəjevɑ
Әуесқой	æwesqˈoj
әкелінетін	ækelɪnetˈɪn
әнiнiң	ˈæn(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
әндерді	ændeɾdˈɪ
әнмен	ænmˈen
әртіс	æɾtˈɪs
әрқайсысында	æɾqˈɑjsəsəndɑ
әскердiң	æskˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
әңгімелердің	æŋɡɪmeleɾdˈɪŋ
Өздеріңіз	ɵzdeɾɪŋˈɪz
Өлім	ɵlˈɪm
өздерiмен	ɵzdˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
өзеннің	ɵzennˈɪŋ
өндiре	ˈɵnd(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈe
өндірген	ɵndɪɾɡˈen
өндірістің	ɵndɪɾɪstˈɪŋ
өнерпаздар	ɵneɾpɑzdˈɑɾ
өсетiн	ɵsˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
өсуін	ɵswˈɪn
өткiзсе	ˈɵtk(͡e͡n)ˈa͡ɪ(͡k͡k)zsˈe
China	(͡e͡n)t͡ʃˈa͡ɪnə(͡k͡k)
KASE	(͡e͡n)kˈe͡ɪs(͡k͡k)
WikiLeaks	(͡e͡n)wˈɪki lˈiːks(͡k͡k)
iлген	(͡e͡n)ˈa͡ɪ(͡k͡k)ɫɡˈen
iргесiнде	(͡e͡n)ˈa͡ɪ(͡k͡k)ɾɡˈes(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
iшiнара	(͡e͡n)ˈa͡ɪ(͡k͡k)ʃə(͡e͡n)ˈa͡ɪ(͡k͡k)nɑɾˈɑ
Австралияда	ɑvstɾˈɑɫəjjadɑ
Австриядан	ˈɑvstɾəjjadɑn
Австриялық	ˈɑvstɾəjjaɫəq
Ага	ɑɡˈɑ
Алеппоның	ɑleppˈonəŋ
Антонио	ɑntˈonəjo
Арафат	ɑɾɑfˈɑt
Бiлетiндердiң	bə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈet(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
Бейне	bejnˈe
Бекзат	bekzˈɑt
Бәрiнiң	bˈæɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
Венгрияның	vˈenɡɾəjjanəŋ
Гитлердiң	ɡəjtleɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
ДНК	dənəkə
Дау	dˈɑw
Джонсон	dʒonsˈon
Дзюдодан	dzjudodˈɑn
Единая	ˈedəjnɑja
Ержановтың	eɾʒɑnˈovtəŋ
Еңлік	eŋlˈɪk
Жансейiт	ʒɑnsˈej(͡e͡n)ˈa͡ɪ(͡k͡k)tə
Жат	ʒˈɑt
Жаяу	ʒɑjˈaw
Жоңғар	ʒoŋʀˈɑɾ
Жұматай	ʒʊmɑtˈɑj
Земан	zemˈɑn
Инвестиция	əjnvestəjtsəjja
Кенен	kenˈen
Козловпен	kozɫovpˈen
Конференцияға	konfeɾˈentsəjjaʀɑ
Күзде	kuzdˈe
Күзембаев	kuzembɑˈev
Күйеуiм	kujˈew(͡e͡n)ˈa͡ɪ(͡k͡k)mə
Көпшілігі	kɵpʃɪlɪɡˈɪ
Көрермендер	kɵɾeɾmendˈeɾ
Лаура	ɫɑwɾˈɑ
М	mə
Матаевтардың	mɑtɑevtˈɑɾdəŋ
Милиция	məjɫəjtsəjja
Мұнайға	mʊnɑjʀˈɑ
Мұндайды	mʊndˈɑjdə
Мұхамеджан	mʊxɑmedʒˈɑn
Назханов	nɑzxɑnˈov
Нұрмат	nʊɾmˈɑt
Нұртастың	nʊɾtˈɑstəŋ
Оздоев	ozdoˈev
Оксфорд	oksfˈoɾd
Олеся	olesjˈa
Олландтың	oɫɫˈɑndtəŋ
Омаровтың	omɑɾˈovtəŋ
Омбыда	ˈombədɑ
Оралдан	oɾɑɫdˈɑn
Прагаға	pɾɑɡɑʀˈɑ
Пәкістандық	pækɪstˈɑndəq
Рада	ɾɑdˈɑ
Раков	ɾɑkˈov
Роджер	ɾodʒˈeɾ
Ромин	ɾˈoməjn
Рұқсат	ɾʊqsˈɑt
Саясаттанушының	sɑjasɑttˈɑnwʃənəŋ
Сенатта	senɑttˈɑ
Серб	sˈeɾb
Соларға	soɫɑɾʀˈɑ
Сыйлық	səjɫəq
Тараздан	tɑɾɑzdˈɑn
Таған	tɑʀˈɑn
Тур	twɾ
Уругвай	wɾwɡvˈɑj
Усман	wsmˈɑn
Хаменеидің	xɑmenˈeəjdɪŋ
ЦРУ	tsɾw
Челябинск	t͡ʃeɫjˈabəjnsk
Шарын	ʃˈɑɾən
Ыстық	əstəq
Януковичке	janwkˈovəjt͡ʃke
автопарк	ɑvtopˈɑɾk
ажырасуға	ˈɑʒəɾɑswʀɑ
азаматтан	ɑzɑmɑttˈɑn
азаматша	ɑzɑmɑtʃˈɑ
айдалып	ɑjdˈɑɫəp
айлары	ɑjɫˈɑɾə
аймақтарын	ɑjmɑqtˈɑɾən
айналатынын	ɑjnɑɫˈɑtənən
айналым	ɑjnˈɑɫəm
айтылғанымен	ˈɑjtəɫʀɑnəmen
айтыскерлер	ˈɑjtəskeɾleɾ
айшықты	ˈɑjʃəqtə
айырады	ˈɑjəɾɑdə
актісін	ɑktɪsˈɪn
акционерлері	ˈɑktsəjoneɾleɾɪ
алдың	ˈɑɫdəŋ
алысты	ˈɑɫəstə
амалдарына	ɑmɑɫdˈɑɾənɑ
американдықтардың	ɑmˈeɾəjkɑndəqtɑɾdəŋ
апталап	ɑptɑɫˈɑp
апталығында	ɑptˈɑɫəʀəndɑ
арманына	ɑɾmˈɑnənɑ
асап	ɑsˈɑp
астарлап	ɑstɑɾɫˈɑp
атаулыға	ɑtˈɑwɫəʀɑ
атқаруда	ɑtqɑɾwdˈɑ
атүстi	ɑtˈust(͡e͡n)ˈa͡ɪ(͡k͡k)
аударыпты	ɑwdˈɑɾəptə
аулақпын	ɑwɫˈɑqpən
ауытқу	ˈɑwətqw
ашар	ɑʃˈɑɾ
аялдама	ɑjaɫdɑmˈɑ
ағаларымыздың	ɑʀɑɫˈɑɾəməzdəŋ
ағылды	ˈɑʀəɫdə
ақпаратында	ɑqpɑɾˈɑtəndɑ
ақшасыз	ɑqʃˈɑsəz
аңғарылып	ɑŋʀˈɑɾəɫəp
бiл	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə
бiлiмге	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə(͡e͡n)ˈa͡ɪ(͡k͡k)mɡˈe
бiрiгу	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡw
бiреулерге	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾewleɾɡˈe
базада	bɑzɑdˈɑ
балғын	bˈɑɫʀən
банкпен	bɑnkpˈen
барайын	bɑɾˈɑjən
бармақшы	bɑɾmˈɑqʃə
баршамыз	bɑɾʃˈɑməz
басымыздан	bˈɑsəməzdɑn
батпан	bɑtpˈɑn
бағаларын	bɑʀɑɫˈɑɾən
бейнелеп	bejnelˈep
бейсенбіде	bejsenbɪdˈe
бензинге	bˈenzəjnɡe
беретініне	beɾetɪnɪnˈe
берілсін	beɾɪɫsˈɪn
беттеген	betteɡˈen
биi	bəj(͡e͡n)ˈa͡ɪ(͡k͡k)
билігінде	bəjlɪɡɪnde
биржасындағы	bəjɾʒɑsəndɑʀə
блогын	bɫˈoɡən
бодандық	bodˈɑndəq
боксшыларының	bˈoksʃəɫɑɾənəŋ
болардан	boɫɑɾdˈɑn
боларсыз	boɫˈɑɾsəz
буды	bwdə
біліктілігі	bɪlɪktɪlɪɡˈɪ
бірлікті	bɪɾlɪktˈɪ
біткеннен	bɪtkennˈen
бџл	bəlˌetəˈefɫə
бүлк	bˈuɫk
бұзушылықтарға	bˈʊzwʃəɫəqtɑɾʀɑ
бәсекелестікке	bæsekelestɪkkˈe
бөлімдер	bɵlɪmdˈeɾ
гранты	ɡɾˈɑntə
даналық	dɑnˈɑɫəq
делегациясын	deleɡˈɑtsəjjasən
денсаулықтары	densˈɑwɫəqtɑɾə
депутатқа	depwtɑtqˈɑ
дефолт	defˈoɫt
додасының	dodˈɑsənəŋ
донор	donˈoɾ
дүмпу	dˈumpw
дүниелік	dˈunəjelɪk
дүниемен	dˈunəjemen
дәуiр	dˈæw(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
еврейлердің	evɾejleɾdˈɪŋ
екісі	ekɪsˈɪ
елiктеп	ˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)ktˈep
елегiнен	elˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
елмiз	ˈeɫm(͡e͡n)ˈa͡ɪ(͡k͡k)zə
емтиханнан	ˈemtəjxɑnnɑn
енгізілуі	enɡɪzɪɫwˈɪ
енуіне	enwɪnˈe
ертеңiнде	eɾtˈeŋ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
ертеңге	eɾteŋɡˈe
есесiн	esˈes(͡e͡n)ˈa͡ɪ(͡k͡k)nə
ескеретін	eskeɾetˈɪn
естидi	ˈestəjd(͡e͡n)ˈa͡ɪ(͡k͡k)
еткенімен	etkenɪmˈen
етпес	etpˈes
еңкейген	eŋkejɡˈen
жазғанда	ʒɑzʀɑndˈɑ
жайпап	ʒɑjpˈɑp
жалдайды	ʒɑɫdˈɑjdə
жалғастырамыз	ʒɑɫʀˈɑstəɾɑməz
жамбасына	ʒɑmbˈɑsənɑ
жандана	ʒɑndɑnˈɑ
жандары	ʒɑndˈɑɾə
жарғылық	ʒˈɑɾʀəɫəq
жатырсыз	ʒˈɑtəɾsəz
жатырсың	ʒˈɑtəɾsəŋ
жатқызу	ʒˈɑtqəzw
жатқызған	ʒˈɑtqəzʀɑn
жаулықты	ʒˈɑwɫəqtə
жақсылықты	ʒˈɑqsəɫəqtə
жаңартты	ʒɑŋˈɑɾttə
жаңғыру	ʒˈɑŋʀəɾw
жекешелендіруге	ʒekeʃelendɪɾwɡˈe
желілері	ʒelɪleɾˈɪ
желісінен	ʒelɪsɪnˈen
жертөледе	ʒeɾtɵledˈe
жетiстiктерi	ʒˈet(͡e͡n)ˈa͡ɪ(͡k͡k)sətə(͡e͡n)ˈa͡ɪ(͡k͡k)ktˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
жеткізбек	ʒetkɪzbˈek
жиналысына	ʒəjnɑɫəsənɑ
жок	ʒˈok
жолдауға	ʒoɫdɑwʀˈɑ
жоңғар	ʒoŋʀˈɑɾ
жуу	ʒww
жіберілетін	ʒɪbeɾɪletˈɪn
жүгi	ʒˈuɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
жүйесімен	ʒujesɪmˈen
жүргiзушiлер	ʒˈuɾɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zwʃ(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾ
жүргізілуі	ʒuɾɡɪzɪɫwˈɪ
жүрсің	ʒuɾsˈɪŋ
жүрушi	ʒˈuɾwʃ(͡e͡n)ˈa͡ɪ(͡k͡k)
жұмсамақ	ʒʊmsɑmˈɑq
жұртшылықпен	ʒˈʊɾtʃəɫəqpen
заңнамасын	zɑŋnɑmˈɑsən
инвесторлармен	əjnvestoɾɫɑɾmen
кiнәлiлер	kə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈæɫ(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾ
кiрмейтiн	kə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾmˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə
кiсiлердi	kə(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
кампаниясы	kɑmpˈɑnəjjasə
кандидатурасы	kˈɑndəjdɑtwɾɑsə
капитализм	kˈɑpəjtɑɫəjzm
капиталға	kˈɑpəjtɑɫʀɑ
кезегін	kezeɡˈɪn
келiсiмi	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)
келiспейтiнiн	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)spˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
келтірілді	keɫtɪɾɪɫdˈɪ
кеңiстiктi	kˈeŋ(͡e͡n)ˈa͡ɪ(͡k͡k)sətə(͡e͡n)ˈa͡ɪ(͡k͡k)kətə(͡e͡n)ˈa͡ɪ(͡k͡k)
кеңсесi	keŋsˈes(͡e͡n)ˈa͡ɪ(͡k͡k)
кеңістікті	keŋɪstɪktˈɪ
киiк	kəj(͡e͡n)ˈa͡ɪ(͡k͡k)kə
кинофестивалінің	kəjnofestəjvɑlɪnɪŋ
классик	kɫˈɑssəjk
клубтардың	kɫwbtˈɑɾdəŋ
клубынан	kɫwbənɑn
колонияның	koɫˈonəjjanəŋ
комбинаты	kˈombəjnɑtə
компартиясы	kompˈɑɾtəjjasə
консул	kˈonswɫ
коррупцияны	kˈoɾɾwptsəjjanə
куәгерлерден	kwæɡeɾleɾdˈen
кіргенде	kɪɾɡendˈe
күйеуімді	kujewɪmdˈɪ
күлген	kuɫɡˈen
күнiнiң	kˈun(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
күшiнде	kˈuʃ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
күшейгенін	kuʃejɡenˈɪn
кәнігі	kænɪɡˈɪ
көбеюi	kɵbejˈu(͡e͡n)ˈa͡ɪ(͡k͡k)
көмірсутегі	kɵmɪɾswteɡˈɪ
көпшiлiгiнiң	kˈɵpʃ(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
көрелiк	kɵɾˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
көрмесе	kɵɾmesˈe
көрсетілгендей	kɵɾsetɪɫɡendˈej
көршілерімен	kɵɾʃɪleɾɪmˈen
көштен	kɵʃtˈen
лайықсыз	ɫˈɑjəqsəz
мазалаған	mɑzɑɫɑʀˈɑn
мектептерiнде	mekteptˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
мемлекетіне	memleketɪnˈe
метросының	metɾˈosənəŋ
минуттай	məjnwttɑj
митингi	məjtəjnɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
мырыш	məɾəʃ
мүмкiндiктер	mˈumk(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)ktˈeɾ
