In	(͡e͡n)ˈɪn(͡k͡n)
LCA	(͡e͡n)ˌɛlsˌiːˈe͡ɪ(͡k͡n)
MRI	(͡e͡n)ˌɛmˌɑːɹˈa͡ɪ(͡k͡n)
Mr	(͡e͡n)mˈɪstə(͡k͡n)
NOAA	(͡e͡n)nˈə͡ʊə(͡k͡n)
New	(͡e͡n)njˈuː(͡k͡n)
PBS	(͡e͡n)pˌiːbˌiːˈɛs(͡k͡n)
Pranesh	(͡e͡n)pɹˈe͡ɪnəʃ(͡k͡n)
RFC	(͡e͡n)ˌɑːɹˌɛfsˈiː(͡k͡n)
SIM	(͡e͡n)sˈɪm(͡k͡n)
TCM	(͡e͡n)tˌiːsˌiːˈɛm(͡k͡n)
USS	(͡e͡n)ˈʌs(͡k͡n)
cm	(͡e͡n)sˌiːˈɛm(͡k͡n)
e	ˈiː
kW	kˈeːj dˈɐbɐljuː
o	ˈoː
α	(͡e͡l)ˈalfa(͡k͡n)
ಅತನ	ˈɐtɐnɐ
ಅದ	ˈɐdɐ
ಅಪಹರಣ	ˈɐpɐhˌɐɹɐɳɐ
ಕರಗದ	kˈɐɹɐɡˌɐdɐ
ಕಲಹ	kˈɐlɐhɐ
ಚ	cˈɐ
ತಡ	tˈɐɖɐ
ತದ	tˈɐdɐ
ತವರದ	tˈɐvɐɹˌɐdɐ
ನರಕ	nˈɐɹɐkɐ
ನರಕದ	nˈɐɹɐkˌɐdɐ
ಬಣದ	bˈɐɳɐdɐ
ಮರಳ	mˈɐɹɐɭɐ
AN	(͡e͡n)an(͡k͡n)
BBCಯ	(͡e͡n)bˌiːbˌiːsˈiː(͡k͡n)jˈɐ
CAD	(͡e͡n)kˈad(͡k͡n)
GB	(͡e͡n)d͡ʒˌiːbˈiː(͡k͡n)
IC	(͡e͡n)ˈa͡ɪk(͡k͡n)
Indian	(͡e͡n)ˈɪndi͡ən(͡k͡n)
Intel	(͡e͡n)ˈɪntɛl(͡k͡n)
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡k͡n)
MGM	(͡e͡n)ˌɛmd͡ʒˌiːˈɛm(͡k͡n)
OBC	(͡e͡n)ˈɒbk(͡k͡n)
SSRI	(͡e͡n)ˈɛssɹˈa͡ɪ(͡k͡n)
UFOಗಳ	(͡e͡n)jˌuːˌɛfˈə͡ʊ(͡k͡n)ɡˈɐɭɐ
Vol	(͡e͡n)vˈɒl(͡k͡n)
Vಯ	vˈiːjˈɐ
W	dˈɐbɐljuː
as	(͡e͡n)az(͡k͡n)
d	dˈiː
ed	(͡e͡n)ˈɛd(͡k͡n)
from	(͡e͡n)fɹɒm(͡k͡n)
with	(͡e͡n)wɪð(͡k͡n)
y	wˈaːj
ಅವಯವ	ˈɐvɐjˌɐvɐ
ಎರಕದ	ˈeɹɐkˌɐdɐ
ಔತಣ	ˈa͡ʊtɐɳɐ
ಕಳಸ	kˈɐɭɐsɐ
ಗಣನ	ɡˈɐɳɐnɐ
ಗಹನ	ɡˈɐhɐnɐ
ಬಳಪದ	bˈɐɭɐpˌɐdɐ
ಶರಭ	ɕˈɐɹɐbʰɐ
ಸದನದ	sˈɐdɐnˌɐdɐ
